=== EPS summary - Lp. plantarum ===

Strain                                   Biosynth     Modif      Transport    Regulat    Total   
-----------------------------------------------------------------------------------------------
P2271_Sourdough_CN                       0            0          0            0          0       
P2302_Sourdough_BE                       0            0          0            0          0       
P2336_Sourdough_BE                       0            1          0            0          1       
P2505_Sourdough_Lib                      0            1          0            1          2       
P2506_Topinambur_IT                      0            0          0            0          0       
P2538_Sourdough_Lib                      0            0          0            0          0       
P2584_Sourdough_BE                       0            0          0            0          0       
P2811_SweetCherry_BE                     0            0          0            0          0       
P2813_SweetCherry_BE                     0            0          0            0          0       
P2814_SweetCherry_BE                     0            0          0            0          0       
P2918_Fermented_IQF_Mango_BE             0            2          0            1          3       
P3181_GREEN_Injera_BE                    0            0          0            0          0       
P331_Cacoa_CR                            0            0          0            2          2       
P3336_GreenBanana_BE                     0            0          0            0          0       
P3337_BambaraGroudhut_BE                 0            0          0            1          1       
P3338_BambaraGroudhut_BE                 0            0          0            0          0       
P3340_RedCowpea_BE                       0            0          0            0          0       
P3342_SorghumSeso_BE                     2            4          0            0          6       
Reference_reformatted                    0            0          0            0          0       
Type_Strain_reformatted                  0            0          0            0          0       
