=== GABA operon summary - Lp. plantarum ===

Strain                                   gadB     gadC     gabD     gltT     Complete  
------------------------------------------------------------------------------------------
P2271_Sourdough_CN                       no       no       no       no       0/4       
P2302_Sourdough_BE                       no       no       no       no       0/4       
P2336_Sourdough_BE                       no       no       no       no       0/4       
P2505_Sourdough_Lib                      no       no       no       no       0/4       
P2506_Topinambur_IT                      no       no       no       no       0/4       
P2538_Sourdough_Lib                      no       no       no       no       0/4       
P2584_Sourdough_BE                       no       no       no       no       0/4       
P2811_SweetCherry_BE                     no       no       no       no       0/4       
P2813_SweetCherry_BE                     no       no       no       no       0/4       
P2814_SweetCherry_BE                     no       no       no       no       0/4       
P2918_Fermented_IQF_Mango_BE             no       no       no       no       0/4       
P3181_GREEN_Injera_BE                    no       no       no       no       0/4       
P331_Cacoa_CR                            no       no       no       no       0/4       
P3336_GreenBanana_BE                     no       no       no       no       0/4       
P3337_BambaraGroudhut_BE                 no       no       no       no       0/4       
P3338_BambaraGroudhut_BE                 no       no       no       no       0/4       
P3340_RedCowpea_BE                       no       no       no       no       0/4       
P3342_SorghumSeso_BE                     no       no       no       no       0/4       
Reference_reformatted                    no       no       no       no       0/4       
Type_Strain_reformatted                  no       no       no       no       0/4       
