strain,module,module_name,module_category,completeness,is_complete,unique_enzymes_count
P2302_Sourdough_BE,M00001,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Carbohydrate metabolism,0.8888888888888888,True,10
P2302_Sourdough_BE,M00002,"Glycolysis, core module involving three-carbon compounds",Carbohydrate metabolism,1.0,True,10
P2302_Sourdough_BE,M00003,"Gluconeogenesis, oxaloacetate => fructose-6P",Carbohydrate metabolism,0.8571428571428571,True,10
P2302_Sourdough_BE,M00308,"Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P",Carbohydrate metabolism,0.5,False,10
P2302_Sourdough_BE,M00552,"D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P",Carbohydrate metabolism,0.4,False,10
P2302_Sourdough_BE,M00165,Reductive pentose phosphate cycle (Calvin cycle),Energy metabolism,0.6363636363636364,False,10
P2302_Sourdough_BE,M00034,Methionine salvage pathway,Amino acid metabolism,0.375,False,10
P2302_Sourdough_BE,M00897,"Thiamine biosynthesis, plants, AIR (+ NAD+) => TMP/thiamine/TPP",Metabolism of cofactors and vitamins,0.4,False,10
P2302_Sourdough_BE,M00898,"Thiamine biosynthesis, pyridoxal-5P => TMP/thiamine/TPP",Metabolism of cofactors and vitamins,0.3333333333333333,False,10
P2302_Sourdough_BE,M00611,Oxygenic photosynthesis in plants and cyanobacteria,Module set,0.0,False,10
P2302_Sourdough_BE,M00612,Anoxygenic photosynthesis in purple bacteria,Module set,0.0,False,10
P2505_Sourdough_Lib,M00632,"Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P",Carbohydrate metabolism,0.75,True,16
P2505_Sourdough_Lib,M00116,"Menaquinone biosynthesis, chorismate (+ polyprenyl-PP) => menaquinol",Metabolism of cofactors and vitamins,0.5555555555555556,False,16
P2505_Sourdough_Lib,M00932,"Phylloquinone biosynthesis, chorismate (+ phytyl-PP) => phylloquinol",Metabolism of cofactors and vitamins,0.4285714285714285,False,16
P2506_Topinambur_IT,M00888,"Galactofuranan biosynthesis, decaprenyl phosphate + UDP-GlcNAc (+ dTDP-Rha/UDP-Galf) => GL-5",Glycan metabolism,0.5,False,27
P2506_Topinambur_IT,M00115,"NAD biosynthesis, aspartate => quinolinate => NAD",Metabolism of cofactors and vitamins,1.0,True,27
P2506_Topinambur_IT,M00912,"NAD biosynthesis, tryptophan => quinolinate => NAD",Metabolism of cofactors and vitamins,0.375,False,27
P2538_Sourdough_Lib,M00888,"Galactofuranan biosynthesis, decaprenyl phosphate + UDP-GlcNAc (+ dTDP-Rha/UDP-Galf) => GL-5",Glycan metabolism,0.5,False,8
