module,genome_name,db_name,module_name,module_class,module_category,module_subcategory,module_definition,stepwise_module_completeness,stepwise_module_is_complete,pathwise_module_completeness,pathwise_module_is_complete,proportion_unique_enzymes_present,enzymes_unique_to_module,unique_enzymes_hit_counts,enzyme_hits_in_module,gene_caller_ids_in_module,warnings
M00001,P1211_Sourdough_BE,P1211_Sourdough_BE,"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate",Pathway modules,Carbohydrate metabolism,Central carbohydrate metabolism,"(K00844,K12407,K00845,K25026,K00886,K08074,K00918) (K01810,K06859,K13810,K15916) (K00850,K16370,K21071,K24182,K00918) (K01623,K01624,K11645,K16305,K16306) K01803 ((K00134,K00150) K00927,K11389) (K01834,K15633,K15634,K15635) (K01689,K27394) (K00873,K12406)",0.8888888888888888,True,0.9,True,,No enzymes unique to module,,"K00134,K00873,K00927,K01624,K01689,K01689,K01803,K01810,K01834,K01834,K25026","1331,789,1330,425,810,1328,1329,2394,2281,2033,1132","K00134 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00611/M00612,K00873 is present in multiple modules: M00001/M00002,K00927 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00611/M00612,K01624 is present in multiple modules: M00001/M00003/M00165/M00345/M00344/M00611/M00612,K01689 is present in multiple modules: M00001/M00002/M00003/M00346,K01803 is present in multiple modules: M00001/M00002/M00003/M00165,K01810 is present in multiple modules: M00001/M00004,K01834 is present in multiple modules: M00001/M00002/M00003,K25026 is present in multiple modules: M00001/M00549"
M00002,P1211_Sourdough_BE,P1211_Sourdough_BE,"Glycolysis, core module involving three-carbon compounds",Pathway modules,Carbohydrate metabolism,Central carbohydrate metabolism,"K01803 ((K00134,K00150) K00927,K11389) (K01834,K15633,K15634,K15635) (K01689,K27394) (K00873,K12406)",1.0,True,1.0,True,,No enzymes unique to module,,"K00134,K00873,K00927,K01689,K01689,K01803,K01834,K01834","1331,789,1330,810,1328,1329,2281,2033","K00134 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00611/M00612,K00873 is present in multiple modules: M00001/M00002,K00927 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00611/M00612,K01689 is present in multiple modules: M00001/M00002/M00003/M00346,K01803 is present in multiple modules: M00001/M00002/M00003/M00165,K01834 is present in multiple modules: M00001/M00002/M00003"
M00003,P1211_Sourdough_BE,P1211_Sourdough_BE,"Gluconeogenesis, oxaloacetate => fructose-6P",Pathway modules,Carbohydrate metabolism,Central carbohydrate metabolism,"(K01596,K01610) (K01689,K27394) (K01834,K15633,K15634,K15635) K00927 (K00134,K00150) K01803 ((K01623,K01624,K11645) (K03841,K02446,K11532,K01086,K04041),K01622)",0.8571428571428571,True,0.875,True,,No enzymes unique to module,,"K00134,K00927,K01610,K01624,K01689,K01689,K01803,K01834,K01834","1331,1330,2871,425,810,1328,1329,2281,2033","K00134 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00611/M00612,K00927 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00611/M00612,K01610 is present in multiple modules: M00003/M00170,K01624 is present in multiple modules: M00001/M00003/M00165/M00345/M00344/M00611/M00612,K01689 is present in multiple modules: M00001/M00002/M00003/M00346,K01803 is present in multiple modules: M00001/M00002/M00003/M00165,K01834 is present in multiple modules: M00001/M00002/M00003"
M00307,P1211_Sourdough_BE,P1211_Sourdough_BE,"Pyruvate oxidation, pyruvate => acetyl-CoA",Pathway modules,Carbohydrate metabolism,Central carbohydrate metabolism,"((K00163,K00161+K00162)+K00627+K00382-K13997),K00169+K00170+K00171+(K00172,K00189),K03737",0.0,False,0.6666666666666666,False,1.0,K00627,1,"K00382,K00627","1595,1596",K00382 is present in multiple modules: M00307/M00009/M00011/M00532/M00621/M00036/M00032
M00009,P1211_Sourdough_BE,P1211_Sourdough_BE,"Citrate cycle (TCA cycle, Krebs cycle)",Pathway modules,Carbohydrate metabolism,Central carbohydrate metabolism,"(K01647,K05942,K01659) (K01681,K27802,K01682) (K00031,K00030) ((K00164+K00658,K01616)+K00382,K00174+K00175-K00177-K00176) (K01902+K01903,K01899+K01900,K18118) (K00234+K00235+K00236+(K00237,K25801),K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247) (K01676,K01679,K01677+K01678) (K00026,K00025,K00024,K00116)",0.125,False,0.1875,False,,No enzymes unique to module,,"K00382,K01679","1595,1715","K00382 is present in multiple modules: M00307/M00009/M00011/M00532/M00621/M00036/M00032,K01679 is present in multiple modules: M00009/M00011/M00982/M00173/M00376/M00613/M00614"
M00011,P1211_Sourdough_BE,P1211_Sourdough_BE,"Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate",Pathway modules,Carbohydrate metabolism,Central carbohydrate metabolism,"((K00164+K00658,K01616)+K00382,K00174+K00175-K00177-K00176) (K01902+K01903,K01899+K01900,K18118) (K00234+K00235+K00236+(K00237,K25801),K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247) (K01676,K01679,K01677+K01678) (K00026,K00025,K00024,K00116)",0.2,False,0.3,False,,No enzymes unique to module,,"K00382,K01679","1595,1715","K00382 is present in multiple modules: M00307/M00009/M00011/M00532/M00621/M00036/M00032,K01679 is present in multiple modules: M00009/M00011/M00982/M00173/M00376/M00613/M00614"
M00004,P1211_Sourdough_BE,P1211_Sourdough_BE,Pentose phosphate pathway (Pentose phosphate cycle),Pathway modules,Carbohydrate metabolism,Central carbohydrate metabolism,"(K13937,((K00036,K19243) (K01057,K07404))) K00033 K01783 (K01807,K01808) K00615 ((K00616 (K01810,K06859,K15916)),K13810)",1.0,True,1.0,True,,No enzymes unique to module,,"K00033,K00033,K00036,K00615,K00615,K00615,K00616,K01783,K01807,K01807,K01810,K07404","2563,1105,1429,2778,68,1739,69,1177,2278,445,2394,1652","K00033 is present in multiple modules: M00004/M00006,K00036 is present in multiple modules: M00004/M00006/M00008,K00615 is present in multiple modules: M00004/M00007/M00165/M00611/M00612,K00616 is present in multiple modules: M00004/M00007,K01783 is present in multiple modules: M00004/M00007/M00165,K01807 is present in multiple modules: M00004/M00007/M00580/M00165/M00611/M00612,K01810 is present in multiple modules: M00001/M00004,K07404 is present in multiple modules: M00004/M00006/M00008"
M00006,P1211_Sourdough_BE,P1211_Sourdough_BE,"Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P",Pathway modules,Carbohydrate metabolism,Central carbohydrate metabolism,"(K13937,((K00036,K19243) (K01057,K07404))) K00033",1.0,True,1.0,True,,No enzymes unique to module,,"K00033,K00033,K00036,K07404","2563,1105,1429,1652","K00033 is present in multiple modules: M00004/M00006,K00036 is present in multiple modules: M00004/M00006/M00008,K07404 is present in multiple modules: M00004/M00006/M00008"
M00007,P1211_Sourdough_BE,P1211_Sourdough_BE,"Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P",Pathway modules,Carbohydrate metabolism,Central carbohydrate metabolism,"K00615 (K00616,K13810) K01783 (K01807,K01808)",1.0,True,1.0,True,,No enzymes unique to module,,"K00615,K00615,K00615,K00616,K01783,K01807,K01807","2778,68,1739,69,1177,2278,445","K00615 is present in multiple modules: M00004/M00007/M00165/M00611/M00612,K00616 is present in multiple modules: M00004/M00007,K01783 is present in multiple modules: M00004/M00007/M00165,K01807 is present in multiple modules: M00004/M00007/M00580/M00165/M00611/M00612"
M00580,P1211_Sourdough_BE,P1211_Sourdough_BE,"Pentose phosphate pathway, archaea, fructose 6P => ribose 5P",Pathway modules,Carbohydrate metabolism,Central carbohydrate metabolism,"(K08094 (K08093,K13812),K13831) K01807",0.5,False,0.5,False,,No enzymes unique to module,,"K01807,K01807","2278,445",K01807 is present in multiple modules: M00004/M00007/M00580/M00165/M00611/M00612
