layers	Type_strain	Reference	P568_Madre_SD_BE	P527_SD_Italy	P526_SD_Italy	P518_SD_Italy	P516_SD_Italy	P515_SD_Italy	P2800_SD_BE	P2799_SD_BE	P2187_Madre_SD_BE	P2186_Madre_SD_BE	P2185_Madre_SD_BE	P2183_Madre_SD_BE	P2182_Madre_SD_BE	P1194_Madre_SD_BE	P1191_Madre_SD_BE	P1190_Madre_SD_BE
P1190_Madre_SD_BE	0.9926784177777778	0.9930237781484571	0.9926507178631052	0.9922522365038561	0.9928481407471763	0.9928827216856893	0.992628444252377	0.9922743125533733	0.9998611137254902	0.9998605663304888	0.9989108575924469	0.9989085375494072	0.9988017781274587	0.9999170574534162	0.9997102886115444	0.9934638454861111	0.9927573516766981	1.0
P1191_Madre_SD_BE	0.9941774131944446	0.9917006896551724	0.9915924935732648	0.9917526153846156	0.9922376835664336	0.9999176402640265	0.9923569130434783	0.9917195648464164	0.992339052092229	0.9924668595744681	0.9927675777964676	0.9927509351305814	0.9927815807269654	0.9925137393526405	0.9924136936170213	0.9932090592334494	1.0	0.9924704603580563
P1194_Madre_SD_BE	0.9935652046263345	0.9925551491901108	0.9921924656357389	0.9920215752828546	0.9923630168589175	0.9936487335092349	0.9923937976929902	0.9920427589208007	0.9934379127459367	0.9934952044293016	0.9933541399662733	0.9935380254237288	0.993544115156647	0.9935517802385009	0.9933951582549188	1.0	0.9934643474503027	0.9935432480818414
P2182_Madre_SD_BE	0.9922961012433392	0.992915894039735	0.9925886533665836	0.9919465000000002	0.9927267071057193	0.9927515337423313	0.9924708283002589	0.9919417413355877	0.9999241962905719	0.9999448501152961	0.9988849066874028	0.9988891893998443	0.998892352024922	0.9999425461538463	1.0	0.993763905172414	0.9925168456947997	0.9998743802925327
P2183_Madre_SD_BE	0.9921856838365897	0.9928310693400166	0.9923559682804676	0.991440409556314	0.992703515151515	0.9921172227074236	0.9923024568965516	0.991325836873407	0.9998297800471327	0.9998305973622964	0.9988870518867924	0.9988887124802528	0.9988761713836478	1.0	0.99978028125	0.9931318858131488	0.9920001110162254	0.9999840170940171
P2185_Madre_SD_BE	0.9926431083481351	0.9921809605911331	0.9921590531561463	0.9916197451146984	0.9918578892733564	0.9930905882352942	0.9917119758412425	0.9914294928148775	0.9985980634920636	0.9985330455259027	0.9999159800153729	0.9998066563706565	1.0	0.998633809897879	0.9985755933544306	0.9931046326707003	0.9927954184277262	0.9985306598586017
P2186_Madre_SD_BE	0.9926248890860692	0.9924795884773662	0.9926255657237937	0.9915824081981214	0.99245323117338	0.9932635888501743	0.9922430191972076	0.9913719250425893	0.9986309610802225	0.9985589535798585	0.9999204237288136	1.0	0.9998229675425039	0.9983844767899293	0.9982863162055337	0.9928938712446352	0.9929264770797963	0.9985385342789599
P2187_Madre_SD_BE	0.9928869155555556	0.9922560461285008	0.9920507136929462	0.9916141538461538	0.9922036236933798	0.9930793570807994	0.9918972996515679	0.9915649275362318	0.998793373301359	0.998721721958926	1.0	0.9998841071428572	0.9998824922600619	0.9986466166007906	0.9985800318471338	0.9931394896193771	0.9927736757215619	0.9986939034045924
P2799_SD_BE	0.9925169866666665	0.992985855704698	0.9926304606365158	0.9924265864144454	0.9930704283216782	0.9929358135444152	0.9928937260034902	0.9922938025751072	0.9999585467399843	1.0	0.9990120409771475	0.9990390901898734	0.9989151300236406	0.9998891757387247	0.9998719812059516	0.9932256250000001	0.992829103448276	0.9998881089494164
P2800_SD_BE	0.992311550660793	0.9930614720394736	0.992771041322314	0.9920134096692113	0.992823894189072	0.9927820590790617	0.9925685159620362	0.9920175232459849	1.0	0.9999288167938931	0.9988503944315545	0.998854305663305	0.998754907120743	0.999891810542399	0.9998457983193277	0.9934573783091375	0.9925497804054054	0.9998908479755539
