layers	Reference	P815_Cocoa_CR	P800_Unknown_BE	P363_Unknown_BE	P360_Cocoa_CR	P3378_Banana_BE	P3335_RedCowpea_BE	P3334_WhiteCowpea_BE	P3333_Amaranth_BE	P3124_LMG_BE	P2809_Apricot_BE	P2764_Cocoa_VN	P2763_Cocoa_VN	P2746_Cocoa_VN	P2740_Qu_CN	P2712_SD_BE	P2711_SD_BE	P240_SD_IT	P2176_Unknown_BE	P2052_Cocoa_CR	P2029_Cocoa_CR	P2024_Cocoa_CR	P2020_Cocoa_CR	P187_SD_IT
P187_SD_IT	0.763730487025984	0.740100808626564	0.83237303513293	0.730323312559637	0.753955020113738	0.77425215731676	0.853615708884656	0.852421065142067	0.848843608242643	0.746191353930639	0.848706888457927	0.754805822937548	0.732819892775609	0.751860199236658	0.742439900602674	0.765646401791525	0.876241543598214	0.99693417220826	0.815758966004238	0.72965729546744	0.741916701275165	0.728328120538396	0.758766592640047	1.0
P2020_Cocoa_CR	0.787980582927693	0.893542061136528	0.82439069582148	0.895825895590345	0.899022092455327	0.807751202557913	0.806743572423752	0.806288816282216	0.804679747368064	0.771735777635864	0.804779431086201	0.818829825713453	0.880392986046523	0.895311563716927	0.779845480903121	0.794469792837839	0.813352090427722	0.810397921214894	0.786452918291768	0.898021668504549	0.897924702720838	0.892132728265455	1.0	0.810973874444734
P2024_Cocoa_CR	0.808640904243719	0.92496290411359	0.828048587980601	0.974431870837301	0.914998573726503	0.819401196086035	0.818859241488868	0.81850288074073	0.815775255416274	0.789610374200216	0.81619345945495	0.824067423561966	0.906796536712376	0.919326363429221	0.80425463971319	0.808316810166751	0.836712475031978	0.807162990407518	0.814299621365471	0.947917290374513	0.936901021338623	1.0	0.926963955774832	0.807884688332146
P2029_Cocoa_CR	0.791218117588468	0.910962191480992	0.824037445425769	0.921689459276385	0.935783683715234	0.810621142235333	0.82135372399846	0.82071942234764	0.817579070200091	0.776474540714334	0.818016621920147	0.815606287829838	0.897838141572049	0.914570246063356	0.796412742664767	0.801009381154682	0.824529081456156	0.811048003957168	0.803204043610204	0.911718990337686	1.0	0.921520918385179	0.915698391088425	0.811243224948539
P2052_Cocoa_CR	0.800121065268796	0.922861305538522	0.827451369340774	0.954361593397063	0.913477702257324	0.820693628698826	0.82010656113118	0.819663716780617	0.818868773654064	0.793079517276481	0.818714606971524	0.826455311980541	0.90359446834183	0.914473574504523	0.807778189253253	0.812752052920777	0.830547570590479	0.810095417452996	0.818003101284419	1.0	0.925102959985163	0.948931251596925	0.930852709582374	0.811000655348361
P2176_Unknown_BE	0.785872877075139	0.775024711727066	0.85123193557162	0.774055144127542	0.774526240846747	0.807496622628204	0.856148313712833	0.855304629410125	0.854547306807271	0.790998656968517	0.853995975588016	0.783613749835032	0.76356219891673	0.77179205686023	0.785624656843525	0.802735193127762	0.873937745586887	0.862217141883334	1.0	0.774223990816434	0.769584306468585	0.771305102905377	0.776043698015144	0.86374349229584
P240_SD_IT	0.762823215462736	0.735593918922952	0.833757724935347	0.7263708953768	0.750984963238712	0.77412731668622	0.85353494425174	0.852703551910806	0.849379391945804	0.743539664838237	0.849036727003414	0.756232116120413	0.72981718920506	0.749573734480318	0.740291255709914	0.763311030934014	0.874718738644449	1.0	0.815571489819686	0.726540487229859	0.738000652634219	0.725145348367104	0.756318005840966	0.99851293752972
P2711_SD_BE	0.768892441267461	0.74081056115958	0.83179443969273	0.726494841607027	0.739874543828486	0.766561034757124	0.826312875576369	0.823898015496048	0.818152573521042	0.748864500482617	0.81851581135992	0.744591411013984	0.728126525818956	0.725665751053796	0.736867376792502	0.783729036190005	1.0	0.839591025260892	0.79856622695372	0.719463332382086	0.725540088479246	0.721260379941366	0.732827841519645	0.842468888158863
P2712_SD_BE	0.803059259461471	0.707227425229989	0.748132806287092	0.708120837198966	0.697166204585369	0.785325220930828	0.751441792726623	0.750379642560565	0.738052118069885	0.77582956094976	0.738052118069885	0.746930709289571	0.684357010759441	0.700161856914208	0.75194764948112	1.0	0.778420464579046	0.731736996310753	0.729101747436715	0.703813915218061	0.707545460302201	0.696050166336841	0.707554619384977	0.733350592061092
P2740_Qu_CN	0.861064903922535	0.798898453182669	0.81347569125591	0.796823232570458	0.799746617450175	0.86401872964946	0.82213996320751	0.822047476191691	0.819172508664664	0.850127164020479	0.819175164316896	0.843843215168011	0.777636991206809	0.793856487790993	1.0	0.872104062255673	0.828864512460985	0.813820434466203	0.81142895808147	0.796286545227436	0.798561537321038	0.79318420878201	0.797709919591097	0.813840189511126
