layers	LBPURC4201_assembly_Sourdough	ASM622828v1_Beer	ASM622820v1_BeerKeg	ASM5041081v1_TomatoeFruit	ASM3988027v1_TenebrioMolitorFeces	ASM276217v1_FemaleGut	ASM211734v1_WheatBeer	ASM211732v1_BrewerySurface	ASM167680v1_TraditionalKoreanKimichi	Reference_45709_F01
ASM167680v1_TraditionalKoreanKimichi	0.9049058809380449	0.8618106289451324	0.8997881043032965	0.8936365085825788	0.9127533473761406	0.9526135565452813	0.895369986966593	0.8348451484738927	1.0	0.9116799618908978
ASM211732v1_BrewerySurface	0.809943351876195	0.8051200338246985	0.8136969038631149	0.8094868084050477	0.8212568589284422	0.8074874628589892	0.8333518874399194	1.0	0.7991156250691094	0.8002123789250838
ASM211734v1_WheatBeer	0.8239599476075556	0.7995056851011214	0.8166631139782411	0.8130376582688423	0.8085434502933195	0.8044059962069625	1.0	0.7544703901126054	0.7878942199015894	0.7858465690968198
ASM276217v1_FemaleGut	0.8475748363350689	0.8000137157908608	0.8444902195998651	0.8233230201596992	0.8570710467195024	1.0	0.8420120418898923	0.7696116959072726	0.8750638663952711	0.8432561574745135
ASM3988027v1_TenebrioMolitorFeces	0.9035132797348605	0.8177057061431863	0.8859008094401296	0.8299316209744239	1.0	0.8661883473399558	0.8598479454424606	0.7975434539147219	0.8581117919675131	0.8530952662775769
ASM5041081v1_TomatoeFruit	0.8928201725906477	0.8680043853457929	0.8842416143593411	1.0	0.8866538682325927	0.8941611849844254	0.9268164052084608	0.835582469909564	0.8936581092823153	0.8893362851290352
ASM622820v1_BeerKeg	0.9054957815263918	0.8345800476351404	1.0	0.8358266397579683	0.8882854061852375	0.8626439482185938	0.8797810161723427	0.79358509045032	0.8477431221176451	0.8467300140237032
ASM622828v1_Beer	0.8195502024993234	1.0	0.8265766893892085	0.8058438865167774	0.8178205170246095	0.8098434238259129	0.8566479920693921	0.7780564893654973	0.7986026303471154	0.8057801043648973
LBPURC4201_assembly_Sourdough	1.0	0.8221024664421154	0.9064820823948481	0.8405141528965058	0.9023708561041432	0.8663304515594762	0.8790697469540218	0.7928272315883136	0.8517018274400863	0.8470223709442019
Reference_45709_F01	0.9269242056377509	0.8902742542279924	0.9250667915366383	0.9111403953289222	0.9329157993656007	0.9414279116459423	0.9168489468907056	0.8536214964511484	0.9327125382066833	1.0
