query	subject	pident	alignment_length	mismatches	gap_opens	qstart	qend	sstart	send	evalue	bitscore	function	genome
00000128|gene_cluster:GC_00004461|genome_name:P2336_Sourdough_BE|gene_callers_id:2931	sp|A0A0H2URH7|GLYAT_STRPN	42.593	54	31	0	2	55	75	128	3.92e-06	45.1	sp|A0A0H2URH7|GLYAT_STRPN Glycosyltransferase GlyA OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=glyA PE=3 SV=1	P2336_Sourdough_BE
00000128|gene_cluster:GC_00004461|genome_name:P2336_Sourdough_BE|gene_callers_id:2931	sp|A0A0H3JNB0|TARP_STAAN	40.0	55	33	0	3	57	76	130	1.16e-05	43.5	sp|A0A0H3JNB0|TARP_STAAN Poly(ribitol-phosphate) beta-N-acetylglucosaminyltransferase TarP OS=Staphylococcus aureus (strain N315) OX=158879 GN=tarP PE=1 SV=1	P2336_Sourdough_BE
00000128|gene_cluster:GC_00004461|genome_name:P2336_Sourdough_BE|gene_callers_id:2931	sp|A0A0H2UR96|GLYG_STRPN	35.294	51	33	0	1	51	73	123	5.2e-05	41.6	sp|A0A0H2UR96|GLYG_STRPN Glycosyltransferase GlyG OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=glyG PE=1 SV=1	P2336_Sourdough_BE
00000128|gene_cluster:GC_00004461|genome_name:P2336_Sourdough_BE|gene_callers_id:2931	sp|P11290|YIBD_ECOLI	36.735	49	31	0	1	49	75	123	0.000326	39.7	sp|P11290|YIBD_ECOLI Uncharacterized glycosyltransferase YibD OS=Escherichia coli (strain K12) OX=83333 GN=yibD PE=3 SV=2	P2336_Sourdough_BE
00000128|gene_cluster:GC_00004461|genome_name:P2336_Sourdough_BE|gene_callers_id:2931	sp|P71059|EPSJ_BACSU	38.298	47	29	0	2	48	73	119	0.000855	38.1	sp|P71059|EPSJ_BACSU Uncharacterized glycosyltransferase EpsJ OS=Bacillus subtilis (strain 168) OX=224308 GN=epsJ PE=2 SV=1	P2336_Sourdough_BE
00000183|gene_cluster:GC_00004659|genome_name:P2336_Sourdough_BE|gene_callers_id:2840	sp|A6QQR4|ERC6L_BOVIN	24.164	538	316	21	374	849	125	632	1.53e-14	82.0	sp|A6QQR4|ERC6L_BOVIN DNA excision repair protein ERCC-6-like OS=Bos taurus OX=9913 GN=ERCC6L PE=2 SV=1	P2336_Sourdough_BE
00000183|gene_cluster:GC_00004659|genome_name:P2336_Sourdough_BE|gene_callers_id:2840	sp|O10302|GTA_NPVOP	24.375	480	271	22	374	824	59	475	1.71e-14	80.9	sp|O10302|GTA_NPVOP Probable global transactivator OS=Orgyia pseudotsugata multicapsid polyhedrosis virus OX=262177 GN=GTA PE=3 SV=1	P2336_Sourdough_BE
00000183|gene_cluster:GC_00004659|genome_name:P2336_Sourdough_BE|gene_callers_id:2840	sp|G5EDG2|SMRCD_CAEEL	23.21	461	290	17	374	786	422	866	2.53e-13	77.8	sp|G5EDG2|SMRCD_CAEEL SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1 homolog OS=Caenorhabditis elegans OX=6239 GN=smrd-1 PE=3 SV=1	P2336_Sourdough_BE
00000183|gene_cluster:GC_00004659|genome_name:P2336_Sourdough_BE|gene_callers_id:2840	sp|Q8BHK9|ERC6L_MOUSE	22.941	510	314	20	374	828	126	611	2.35e-12	75.1	sp|Q8BHK9|ERC6L_MOUSE DNA excision repair protein ERCC-6-like OS=Mus musculus OX=10090 GN=Ercc6l PE=1 SV=1	P2336_Sourdough_BE
00000183|gene_cluster:GC_00004659|genome_name:P2336_Sourdough_BE|gene_callers_id:2840	sp|Q9DG67|RA54B_CHICK	23.857	503	300	23	374	830	336	801	7.56e-12	73.2	sp|Q9DG67|RA54B_CHICK DNA repair and recombination protein RAD54B OS=Gallus gallus OX=9031 GN=RAD54B PE=2 SV=1	P2336_Sourdough_BE
00000507|gene_cluster:GC_00005038|genome_name:P2336_Sourdough_BE|gene_callers_id:2930	sp|A0A0H2URH7|GLYAT_STRPN	28.571	98	67	2	14	109	168	264	0.009	39.3	sp|A0A0H2URH7|GLYAT_STRPN Glycosyltransferase GlyA OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=glyA PE=3 SV=1	P2336_Sourdough_BE
00000516|gene_cluster:GC_00004919|genome_name:P2336_Sourdough_BE|gene_callers_id:2852	sp|C5D4U1|DNAK_GEOSW	51.148	479	228	3	1	478	1	474	1.87e-160	471.0	sp|C5D4U1|DNAK_GEOSW Chaperone protein DnaK OS=Geobacillus sp. (strain WCH70) OX=471223 GN=dnaK PE=3 SV=1	P2336_Sourdough_BE
00000516|gene_cluster:GC_00004919|genome_name:P2336_Sourdough_BE|gene_callers_id:2852	sp|Q45551|DNAK_GEOSE	50.731	479	230	3	1	478	1	474	1.96e-159	468.0	sp|Q45551|DNAK_GEOSE Chaperone protein DnaK OS=Geobacillus stearothermophilus OX=1422 GN=dnaK PE=3 SV=2	P2336_Sourdough_BE
