query,genome,gene_cluster,gene_callers_id,subject,pident,alignment_length,evalue,bitscore,function
00000013|gene_cluster_GC_00002647|genome_name_P800_Unknown_BE|gene_callers_id_1253,P800_Unknown_BE,GC_00002647,1253,sp|P37782|RFBF_SHIFL,31.559,263.0,2.55e-20,91.7,sp|P37782|RFBF_SHIFL dTDP-rhamnosyl transferase RfbF OS=Shigella flexneri OX=623 GN=rfbF PE=3 SV=2
00000027|gene_cluster_GC_00002919|genome_name_P800_Unknown_BE|gene_callers_id_665,P800_Unknown_BE,GC_00002919,665,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000045|gene_cluster_GC_00003085|genome_name_P800_Unknown_BE|gene_callers_id_633,P800_Unknown_BE,GC_00003085,633,sp|P55500|Y4IQ_SINFN,27.602,221.0,9.32e-07,52.8,sp|P55500|Y4IQ_SINFN Putative insertion sequence ATP-binding protein y4iQ/y4nD/y4sD OS=Sinorhizobium fredii (strain NBRC 101917 / NGR234) OX=394 GN=NGR_a03160 PE=3 SV=1
00000060|gene_cluster_GC_00003155|genome_name_P800_Unknown_BE|gene_callers_id_345,P800_Unknown_BE,GC_00003155,345,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000070|gene_cluster_GC_00002892|genome_name_P800_Unknown_BE|gene_callers_id_1971,P800_Unknown_BE,GC_00002892,1971,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000071|gene_cluster_GC_00002769|genome_name_P800_Unknown_BE|gene_callers_id_1954,P800_Unknown_BE,GC_00002769,1954,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000087|gene_cluster_GC_00002592|genome_name_P800_Unknown_BE|gene_callers_id_639,P800_Unknown_BE,GC_00002592,639,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000126|gene_cluster_GC_00002648|genome_name_P800_Unknown_BE|gene_callers_id_1945,P800_Unknown_BE,GC_00002648,1945,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000146|gene_cluster_GC_00002698|genome_name_P800_Unknown_BE|gene_callers_id_1857,P800_Unknown_BE,GC_00002698,1857,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000175|gene_cluster_GC_00003080|genome_name_P800_Unknown_BE|gene_callers_id_1250,P800_Unknown_BE,GC_00003080,1250,sp|P46918|GGAB_BACSU,28.362,409.0,3.09e-37,147.0,sp|P46918|GGAB_BACSU Minor teichoic acid biosynthesis protein GgaB OS=Bacillus subtilis (strain 168) OX=224308 GN=ggaB PE=3 SV=1
00000176|gene_cluster_GC_00002670|genome_name_P800_Unknown_BE|gene_callers_id_1249,P800_Unknown_BE,GC_00002670,1249,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
