gene_callers_id	source	accession	function	e_value
2	KOfam	K00656	formate C-acetyltransferase [EC:2.3.1.54]	0
3	KOfam	K04069	pyruvate formate lyase activating enzyme [EC:1.97.1.4]	2e-72
5	KOfam	K26057	6-dehydroglucose reductase [EC:1.1.1.432]	5.9e-74
10	KOfam	K03451	betaine/carnitine transporter, BCCT family	4.3e-166
15	KOfam	K01486	adenine deaminase [EC:3.5.4.2]	7.4e-196
16	KOfam	K19504	glucoselysine-6-phosphate deglycase	2.2e-82
18	KOfam	K03315	Na+:H+ antiporter, NhaC family	6.7e-157
19	KOfam	K03293	amino acid transporter, AAT family	5.7e-151
22	KOfam	K19267	NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]	7.5e-49
23	KOfam	K18909	MarR family transcriptional regulator, repressor for mepA	7.9e-26
24	KOfam	K16509	regulatory protein spx	3.4e-47
25	KOfam	K21929	uracil-DNA glycosylase [EC:3.2.2.27]	2.8e-24
27	KOfam	K03575	A/G-specific adenine glycosylase [EC:3.2.2.31]	2.5e-121
30	KOfam	K13993	HSP20 family protein	6e-33
34	KOfam	K02348	ElaA protein	1.2e-46
35	KOfam	K03298	drug/metabolite transporter, DME family	8.5e-37
36	KOfam	K22736	vacuolar iron transporter family protein	2.1e-51
37	KOfam	K22736	vacuolar iron transporter family protein	1.1e-60
38	KOfam	K24041	penicillin V amidase [EC:3.5.1.11]	2.1e-125
40	KOfam	K02171	BlaI family transcriptional regulator, penicillinase repressor	1.3e-30
46	KOfam	K03457	nucleobase:cation symporter-1, NCS1 family	6.5e-75
47	KOfam	K08161	MFS transporter, DHA1 family, multidrug resistance protein	4.8e-162
48	KOfam	K06889	uncharacterized protein	6.8e-41
52	KOfam	K01119	2',3'-cyclic-nucleotide 2'-phosphodiesterase / 3'-nucleotidase [EC:3.1.4.16 3.1.3.6]	8.3e-138
53	KOfam	K13936	malonate transporter and related proteins	3.1e-46
54	KOfam	K06221	2,5-diketo-D-gluconate reductase A [EC:1.1.1.346]	9e-118
58	KOfam	K06153	undecaprenyl-diphosphatase [EC:3.6.1.27]	2.6e-97
59	KOfam	K23518	O-acetyl-ADP-ribose deacetylase [EC:3.1.1.106]	8e-83
65	KOfam	K01610	phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]	2e-46
67	KOfam	K01580	glutamate decarboxylase [EC:4.1.1.15]	1.6e-108
72	KOfam	K07223	porphyrinogen peroxidase [EC:1.11.1.-]	7.8e-102
73	KOfam	K15256	tRNA (cmo5U34)-methyltransferase [EC:2.1.1.-]	1.6e-31
73	KOfam	K03183	demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [EC:2.1.1.163 2.1.1.201]	9.1e-96
77	KOfam	K02440	glycerol uptake facilitator	3e-93
78	KOfam	K03671	thioredoxin	8.7e-32
79	KOfam	K21600	CsoR family transcriptional regulator, copper-sensing transcriptional repressor	4.2e-18
83	KOfam	K10914	CRP/FNR family transcriptional regulator, cyclic AMP receptor protein	3.2e-45
83	KOfam	K21562	CRP/FNR family transcriptional regulator, anaerobic regulatory protein	3.6e-79
84	KOfam	K07386	putative endopeptidase [EC:3.4.24.-]	7e-203
86	KOfam	K17869	NADH oxidase (H2O-forming) [EC:1.6.3.4]	2.2e-203
97	KOfam	K03688	ubiquinone biosynthesis protein	5.1e-159
98	KOfam	K03311	branched-chain amino acid:cation transporter, LIVCS family	1.1e-152
99	KOfam	K16209	lactose/raffinose/galactose permease	2.9e-233
100	KOfam	K12308	beta-galactosidase [EC:3.2.1.23]	2.4e-137
