items	num_genomes_gene_cluster_has_hits	num_genes_in_gene_cluster	max_num_paralogs	SCG	functional_homogeneity_index	geometric_homogeneity_index	combined_homogeneity_index	AAI_min	AAI_max	AAI_avg
GC_00000001	28	137	13	0	0.691746084551509	0.695532722205163	0.693634235482506	0.194260485651214	1.0	0.66228459286262
GC_00000002	29	113	8	0	0.870365774135823	0.95562888872363	0.911006690696465	0.2	1.0	0.772941920130884
GC_00000003	28	112	13	0	0.820278313962368	0.646087825600816	0.722836974963597	0.0198300283286119	1.0	0.454460936047338
GC_00000004	29	88	4	0	0.797222476305338	0.875128902119063	0.834361055259859	0.434944237918216	1.0	0.688953047977532
GC_00000005	29	87	3	0	0.760308914726197	0.748800078190452	0.754510611848588	0.286821705426357	1.0	0.625114745673855
GC_00000006	29	87	3	0	0.785048681237429	0.939301304245694	0.855275618512071	0.507246376811594	1.0	0.695949505867221
GC_00000007	29	87	3	0	0.74649480815148	0.94849959670717	0.835460013845557	0.405737704918033	1.0	0.642068834054189
GC_00000008	29	87	4	0	0.730593759717932	0.97695978515813	0.836003912935811	0.490853658536585	1.0	0.660481089574328
GC_00000009	25	86	18	0	0.899842994789209	0.668110353248014	0.76685243456886	0.0186915887850467	1.0	0.520281609709739
GC_00000010	26	86	8	0	0.950953972189285	0.641404158611718	0.766091271319372	0.0389908256880734	1.0	0.523717667139397
GC_00000011	29	84	4	0	0.739529488358087	0.917655287337432	0.81901928509924	0.065	1.0	0.635212277682157
GC_00000012	29	74	3	0	0.822824247811466	0.653837007338524	0.728661284879415	0.00566037735849057	1.0	0.585961872961098
GC_00000013	29	74	12	0	0.871481985584138	0.673303171281406	0.759680505733249	0.0408163265306122	1.0	0.546158971733825
GC_00000014	29	71	3	0	0.779747111039767	0.70903670541899	0.742712698189687	0.309210526315789	1.0	0.77489145398708
GC_00000015	24	69	4	0	0.597122907599048	0.765013489336937	0.670721493284983	0.0715596330275229	1.0	0.769056836935013
GC_00000016	22	69	6	0	0.965936817092059	0.616245986903004	0.752447423435275	0.066193853427896	1.0	0.522059579305049
GC_00000017	26	67	7	0	0.947994365369244	0.656118434476642	0.775502295048707	0.027027027027027	1.0	0.678221066280768
GC_00000018	27	66	6	0	0.806765474754904	0.711691518704141	0.756252101231303	0.193548387096774	1.0	0.663282953605534
GC_00000019	29	65	3	0	0.827507534211543	0.89500416501245	0.859933421679714	0.0256410256410256	1.0	0.667482330703485
GC_00000020	29	63	3	0	0.836617346617894	0.884851356318013	0.860058614613783	0.0378486055776892	1.0	0.67083942774728
GC_00000021	29	62	3	0	0.81210356938392	0.988818786342008	0.891791101719688	0.498727735368957	1.0	0.725336164475357
GC_00000022	29	62	3	0	0.800302614179636	0.862802484161303	0.830378169466017	0.09375	1.0	0.643630602194606
GC_00000023	29	62	3	0	0.848656732013773	0.897403239139704	0.872349533016049	0.0241545893719807	1.0	0.704133743105532
GC_00000024	29	61	3	0	0.851376083917902	0.828075043274615	0.8395639219485	0.0127551020408163	1.0	0.699570647931304
GC_00000025	27	61	6	0	0.928974704330338	0.704204945084673	0.801122620995578	0.0693069306930693	1.0	0.657301303900882
GC_00000026	29	60	3	0	0.801258691645354	0.929664080651655	0.860698624865984	0.142857142857143	1.0	0.691348309568649
GC_00000027	29	60	3	0	0.822752266800211	0.947424566495938	0.880698125797166	0.0197044334975369	1.0	0.724494169380201
GC_00000028	29	59	3	0	0.91530805397814	0.912837395404545	0.91407105519787	0.617647058823529	1.0	0.867231638418079
GC_00000029	29	59	3	0	0.864504919500904	0.972982476153361	0.915541667618621	0.0	1.0	0.779972639299069
GC_00000030	29	59	3	0	0.831430176253602	0.963807059896419	0.892738026538105	0.0367965367965368	1.0	0.73516285000797
GC_00000031	29	59	3	0	0.84665481269056	0.969836218548754	0.90406887546888	0.0990291262135922	1.0	0.772807589951939
GC_00000032	29	59	3	0	0.850656672380243	0.988043436911573	0.914217319032036	0.611439842209073	1.0	0.798117990448162
GC_00000033	29	59	3	0	0.885494648023595	0.923781257024965	0.904232855539146	0.050251256281407	1.0	0.739882933075665
GC_00000034	25	59	5	0	0.901380325062208	0.719695272713017	0.800356454386335	0.0338983050847458	1.0	0.693709199694896
GC_00000035	29	58	2	0	0.815424320004882	0.977439136097316	0.889111371181722	0.5	1.0	0.74470396380757
GC_00000036	29	58	2	0	0.805116690704078	0.980111692017395	0.884037347417116	0.47787610619469	1.0	0.735316319483481
GC_00000037	29	58	2	0	0.835287541613395	0.99540940906753	0.908345947579802	0.588414634146341	1.0	0.790545276142417
GC_00000038	29	58	2	0	0.860785599268004	0.993765812926756	0.922508047161519	0.606508875739645	1.0	0.816759558557688
GC_00000039	29	58	2	0	0.809555824687594	0.884511003473515	0.845375191768001	0.291390728476821	1.0	0.74869292436389
GC_00000040	29	58	2	0	0.844314888495923	0.991502663175952	0.912008341722665	0.59622641509434	1.0	0.794694609001358
GC_00000041	29	58	2	0	0.840764113482342	0.998094984937087	0.912699016366283	0.598484848484849	1.0	0.795775357935067
GC_00000042	29	58	2	0	0.875126379008348	0.952107014069024	0.911995114370585	0.588235294117647	1.0	0.792627720684224
GC_00000043	29	58	2	0	0.828293989206114	0.990853875084672	0.902310719237971	0.582995951417004	1.0	0.789493278078625
