query	subject	pident	alignment_length	mismatches	gap_opens	qstart	qend	sstart	send	evalue	bitscore	function	genome
00000017|gene_cluster:GC_00004081|genome_name:P331_Cacoa_CR|gene_callers_id:2134	sp|P77414|WCAA_ECOLI	38.053	113	64	2	4	114	8	116	2.24e-13	71.2	sp|P77414|WCAA_ECOLI Putative colanic acid biosynthesis glycosyl transferase WcaA OS=Escherichia coli (strain K12) OX=83333 GN=wcaA PE=4 SV=1	P331_Cacoa_CR
00000017|gene_cluster:GC_00004081|genome_name:P331_Cacoa_CR|gene_callers_id:2134	sp|P22639|Y2836_NOSS1	25.989	177	118	4	1	168	1	173	2.22e-12	68.6	sp|P22639|Y2836_NOSS1 Uncharacterized glycosyltransferase alr2836 OS=Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576) OX=103690 GN=alr2836 PE=3 SV=2	P331_Cacoa_CR
00000017|gene_cluster:GC_00004081|genome_name:P331_Cacoa_CR|gene_callers_id:2134	sp|P33697|EXOO_RHIME	34.167	120	79	0	7	126	16	135	2.44e-11	65.9	sp|P33697|EXOO_RHIME Succinoglycan biosynthesis protein ExoO OS=Rhizobium meliloti (strain 1021) OX=266834 GN=exoO PE=3 SV=2	P331_Cacoa_CR
00000017|gene_cluster:GC_00004081|genome_name:P331_Cacoa_CR|gene_callers_id:2134	sp|Q58457|Y1057_METJA	30.189	212	123	10	4	201	11	211	1.06e-10	63.5	sp|Q58457|Y1057_METJA Uncharacterized glycosyltransferase MJ1057 OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) OX=243232 GN=MJ1057 PE=3 SV=2	P331_Cacoa_CR
00000017|gene_cluster:GC_00004081|genome_name:P331_Cacoa_CR|gene_callers_id:2134	sp|P37783|RFBG_SHIFL	40.816	98	51	3	7	97	1	98	1.84e-10	62.8	sp|P37783|RFBG_SHIFL dTDP-rhamnosyl transferase RfbG OS=Shigella flexneri OX=623 GN=rfbG PE=3 SV=1	P331_Cacoa_CR
00000266|gene_cluster:GC_00004928|genome_name:P331_Cacoa_CR|gene_callers_id:3154	sp|P0DXX5|TACT2_SALEN	28.169	142	88	5	14	153	13	142	6.63e-11	61.2	sp|P0DXX5|TACT2_SALEN tRNA-acetylating toxin 2 OS=Salmonella enteritidis OX=149539 GN=tacT2 PE=1 SV=1	P331_Cacoa_CR
00000266|gene_cluster:GC_00004928|genome_name:P331_Cacoa_CR|gene_callers_id:3154	sp|A0A0F6BAH9|TACT2_SALT1	28.169	142	88	5	14	153	13	142	8.86e-11	60.8	sp|A0A0F6BAH9|TACT2_SALT1 tRNA-acetylating toxin 2 OS=Salmonella typhimurium (strain 14028s / SGSC 2262) OX=588858 GN=tacT2 PE=1 SV=1	P331_Cacoa_CR
00000266|gene_cluster:GC_00004928|genome_name:P331_Cacoa_CR|gene_callers_id:3154	sp|I6XA42|TACT_MYCTU	23.81	168	106	5	9	176	10	155	3.64e-10	59.3	sp|I6XA42|TACT_MYCTU tRNA-acetylating toxin OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) OX=83332 GN=tacT PE=1 SV=1	P331_Cacoa_CR
00000352|gene_cluster:GC_00004379|genome_name:P331_Cacoa_CR|gene_callers_id:1258	sp|Q925X2|Y1244_LISIN	28.797	316	179	10	1	281	1	305	1.64e-24	103.0	sp|Q925X2|Y1244_LISIN Uncharacterized phage-related protein Lin1244/Lin1753 OS=Listeria innocua serovar 6a (strain ATCC BAA-680 / CLIP 11262) OX=272626 GN=lin1244 PE=3 SV=1	P331_Cacoa_CR
00000354|gene_cluster:GC_00004761|genome_name:P331_Cacoa_CR|gene_callers_id:2127	sp|P39602|YWCD_BACSU	38.333	120	74	0	15	134	1	120	2.97e-22	88.2	sp|P39602|YWCD_BACSU Uncharacterized membrane protein YwcD OS=Bacillus subtilis (strain 168) OX=224308 GN=ywcD PE=3 SV=1	P331_Cacoa_CR
00000354|gene_cluster:GC_00004761|genome_name:P331_Cacoa_CR|gene_callers_id:2127	sp|P58412|GTCA_LISMO	35.772	123	79	0	12	134	20	142	7.4e-19	80.1	sp|P58412|GTCA_LISMO Cell wall teichoic acid glycosylation protein GtcA OS=Listeria monocytogenes serovar 1/2a (strain ATCC BAA-679 / EGD-e) OX=169963 GN=gtcA PE=3 SV=1	P331_Cacoa_CR
00000354|gene_cluster:GC_00004761|genome_name:P331_Cacoa_CR|gene_callers_id:2127	sp|Q927U4|GTCA_LISIN	35.772	123	79	0	12	134	20	142	3.93e-18	78.2	sp|Q927U4|GTCA_LISIN Cell wall teichoic acid glycosylation protein GtcA OS=Listeria innocua serovar 6a (strain ATCC BAA-680 / CLIP 11262) OX=272626 GN=gtcA PE=3 SV=1	P331_Cacoa_CR
00000354|gene_cluster:GC_00004761|genome_name:P331_Cacoa_CR|gene_callers_id:2127	sp|Q9ZH29|GTCA_LISMN	33.333	123	82	0	12	134	20	142	3.99e-16	72.8	sp|Q9ZH29|GTCA_LISMN Cell wall teichoic acid glycosylation protein GtcA OS=Listeria monocytogenes OX=1639 GN=gtcA PE=3 SV=3	P331_Cacoa_CR
00000383|gene_cluster:GC_00004152|genome_name:P331_Cacoa_CR|gene_callers_id:2840	sp|Q5UPT4|YL247_MIMIV	32.0	150	87	6	11	148	11	157	8.33e-12	65.9	sp|Q5UPT4|YL247_MIMIV Uncharacterized HNH endonuclease L247 OS=Acanthamoeba polyphaga mimivirus OX=212035 GN=MIMI_L247 PE=4 SV=1	P331_Cacoa_CR
00000395|gene_cluster:GC_00004844|genome_name:P331_Cacoa_CR|gene_callers_id:3081	sp|O31943|YONR_BACSU	43.86	57	31	1	7	63	5	60	6.64e-06	43.5	sp|O31943|YONR_BACSU SPbeta prophage-derived uncharacterized HTH-type transcriptional regulator YonR OS=Bacillus subtilis (strain 168) OX=224308 GN=yonR PE=4 SV=1	P331_Cacoa_CR
00000503|gene_cluster:GC_00004192|genome_name:P331_Cacoa_CR|gene_callers_id:2139	sp|D4GYG3|AGLJ_HALVD	30.897	301	198	5	2	299	5	298	1.32e-34	130.0	sp|D4GYG3|AGLJ_HALVD Glycosyltransferase AglJ OS=Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) OX=309800 GN=aglJ PE=1 SV=1	P331_Cacoa_CR
00000503|gene_cluster:GC_00004192|genome_name:P331_Cacoa_CR|gene_callers_id:2139	sp|P37786|RFBJ_SHIFL	49.558	113	53	2	4	116	7	115	7.46e-29	110.0	sp|P37786|RFBJ_SHIFL Protein RfbJ OS=Shigella flexneri OX=623 GN=rfbJ PE=3 SV=2	P331_Cacoa_CR
00000503|gene_cluster:GC_00004192|genome_name:P331_Cacoa_CR|gene_callers_id:2139	sp|P37787|Y2094_SHIFL	38.272	162	96	3	152	311	1	160	6.2600000000000005e-27	106.0	sp|P37787|Y2094_SHIFL Uncharacterized protein SF2094/S2216 OS=Shigella flexneri OX=623 GN=SF2094 PE=4 SV=1	P331_Cacoa_CR
00000503|gene_cluster:GC_00004192|genome_name:P331_Cacoa_CR|gene_callers_id:2139	sp|D4GU74|AGL6_HALVD	29.391	279	188	6	3	280	45	315	1.5699999999999997e-23	103.0	sp|D4GU74|AGL6_HALVD Low-salt glycan biosynthesis hexosyltransferase Agl6 OS=Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) OX=309800 GN=agl6 PE=3 SV=1	P331_Cacoa_CR
00000503|gene_cluster:GC_00004192|genome_name:P331_Cacoa_CR|gene_callers_id:2139	sp|D4GZ42|DPM1L_HALVD	28.829	222	146	7	2	222	7	217	2.34e-14	74.3	sp|D4GZ42|DPM1L_HALVD Dolichyl-phosphate hexose transferase HVO_1613 OS=Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) OX=309800 GN=HVO_1613 PE=3 SV=1	P331_Cacoa_CR
00000696|gene_cluster:GC_00004641|genome_name:P331_Cacoa_CR|gene_callers_id:3126	sp|Q8E217|LYTR_STRA5	47.561	246	121	2	1	238	1	246	5.9800000000000004e-80	243.0	sp|Q8E217|LYTR_STRA5 Sensory transduction protein LytR OS=Streptococcus agalactiae serotype V (strain ATCC BAA-611 / 2603 V/R) OX=208435 GN=lytR PE=3 SV=1	P331_Cacoa_CR
00000696|gene_cluster:GC_00004641|genome_name:P331_Cacoa_CR|gene_callers_id:3126	sp|Q8E7H3|LYTR_STRA3	47.561	246	121	2	1	238	1	246	5.9800000000000004e-80	243.0	sp|Q8E7H3|LYTR_STRA3 Sensory transduction protein LytR OS=Streptococcus agalactiae serotype III (strain NEM316) OX=211110 GN=lytR PE=3 SV=1	P331_Cacoa_CR
00000696|gene_cluster:GC_00004641|genome_name:P331_Cacoa_CR|gene_callers_id:3126	sp|Q8DVB7|LYTR_STRMU	47.951	244	121	2	1	238	1	244	1.33e-79	242.0	sp|Q8DVB7|LYTR_STRMU Sensory transduction protein LytR OS=Streptococcus mutans serotype c (strain ATCC 700610 / UA159) OX=210007 GN=lytR PE=3 SV=1	P331_Cacoa_CR
00000696|gene_cluster:GC_00004641|genome_name:P331_Cacoa_CR|gene_callers_id:3126	sp|Q82Z76|LYTT_ENTFA	41.25	240	136	3	1	236	1	239	1.8e-60	193.0	sp|Q82Z76|LYTT_ENTFA Sensory transduction protein LytT OS=Enterococcus faecalis (strain ATCC 700802 / V583) OX=226185 GN=lytT PE=4 SV=1	P331_Cacoa_CR
00000696|gene_cluster:GC_00004641|genome_name:P331_Cacoa_CR|gene_callers_id:3126	sp|Q81JL3|LYTT_BACAN	37.903	248	141	2	1	238	2	246	1.5e-58	188.0	sp|Q81JL3|LYTT_BACAN Sensory transduction protein LytT OS=Bacillus anthracis OX=1392 GN=lytT PE=3 SV=1	P331_Cacoa_CR
00000729|gene_cluster:GC_00005111|genome_name:P331_Cacoa_CR|gene_callers_id:3125	sp|Q814J2|LRGA_BACCR	44.167	120	65	1	6	125	3	120	5.3799999999999995e-24	94.0	sp|Q814J2|LRGA_BACCR Antiholin-like protein LrgA OS=Bacillus cereus (strain ATCC 14579 / DSM 31 / CCUG 7414 / JCM 2152 / NBRC 15305 / NCIMB 9373 / NCTC 2599 / NRRL B-3711) OX=226900 GN=lrgA PE=3 SV=1	P331_Cacoa_CR
00000729|gene_cluster:GC_00005111|genome_name:P331_Cacoa_CR|gene_callers_id:3125	sp|A9VTH7|LRGA_BACMK	45.763	118	62	1	8	125	2	117	1.0399999999999998e-23	93.2	sp|A9VTH7|LRGA_BACMK Antiholin-like protein LrgA OS=Bacillus mycoides (strain KBAB4) OX=315730 GN=lrgA PE=3 SV=1	P331_Cacoa_CR
00000729|gene_cluster:GC_00005111|genome_name:P331_Cacoa_CR|gene_callers_id:3125	sp|B9ISZ4|LRGA_BACCQ	42.623	122	68	1	8	129	2	121	2.0899999999999997e-23	92.4	sp|B9ISZ4|LRGA_BACCQ Antiholin-like protein LrgA OS=Bacillus cereus (strain Q1) OX=361100 GN=lrgA PE=3 SV=1	P331_Cacoa_CR
00000729|gene_cluster:GC_00005111|genome_name:P331_Cacoa_CR|gene_callers_id:3125	sp|B7HZC4|LRGA_BACC7	42.623	122	68	1	8	129	2	121	2.0899999999999997e-23	92.4	sp|B7HZC4|LRGA_BACC7 Antiholin-like protein LrgA OS=Bacillus cereus (strain AH187) OX=405534 GN=lrgA PE=3 SV=1	P331_Cacoa_CR
00000729|gene_cluster:GC_00005111|genome_name:P331_Cacoa_CR|gene_callers_id:3125	sp|Q6HAJ6|LRGA_BACHK	44.068	118	64	1	8	125	2	117	2.99e-23	92.0	sp|Q6HAJ6|LRGA_BACHK Antiholin-like protein LrgA OS=Bacillus thuringiensis subsp. konkukian (strain 97-27) OX=281309 GN=lrgA PE=3 SV=1	P331_Cacoa_CR
00000868|gene_cluster:GC_00004091|genome_name:P331_Cacoa_CR|gene_callers_id:2132	sp|P26403|RFBN_SALTY	39.51	286	166	6	5	287	2	283	4.4500000000000006e-58	191.0	sp|P26403|RFBN_SALTY O-antigen chain rhamnosyltransferase RfbN OS=Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720) OX=99287 GN=rfbN PE=1 SV=1	P331_Cacoa_CR
00000868|gene_cluster:GC_00004091|genome_name:P331_Cacoa_CR|gene_callers_id:2132	sp|Q54129|WBAN_SALAN	36.749	283	172	6	8	287	6	284	1.99e-53	179.0	sp|Q54129|WBAN_SALAN O-antigen chain rhamnosyltransferase WbaN OS=Salmonella anatum OX=58712 GN=wbaN PE=1 SV=1	P331_Cacoa_CR
00000868|gene_cluster:GC_00004091|genome_name:P331_Cacoa_CR|gene_callers_id:2132	sp|P44029|Y653_HAEIN	26.829	164	97	9	1	151	1	154	0.001	43.5	sp|P44029|Y653_HAEIN Uncharacterized glycosyltransferase HI_0653 OS=Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd) OX=71421 GN=HI_0653 PE=3 SV=1	P331_Cacoa_CR
00000977|gene_cluster:GC_00004364|genome_name:P331_Cacoa_CR|gene_callers_id:3086	sp|Q8R890|XERCL_CALS4	29.568	301	175	8	92	363	83	375	5.38e-23	102.0	sp|Q8R890|XERCL_CALS4 Tyrosine recombinase XerC-like OS=Caldanaerobacter subterraneus subsp. tengcongensis (strain DSM 15242 / JCM 11007 / NBRC 100824 / MB4) OX=273068 GN=TTE2127 PE=3 SV=1	P331_Cacoa_CR
00000977|gene_cluster:GC_00004364|genome_name:P331_Cacoa_CR|gene_callers_id:3086	sp|P96629|INT_BACSU	28.287	251	165	6	136	377	123	367	1.42e-19	92.4	sp|P96629|INT_BACSU ICEBs1 integrase OS=Bacillus subtilis (strain 168) OX=224308 GN=int PE=3 SV=1	P331_Cacoa_CR
