Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,45709_F01_Reference,ASM167680v1_TraditionalKoreanKimichi,ASM211732v1_BrewerySurface,ASM211734v1_WheatBeer,ASM276217v1_FemaleGut,ASM3988027v1_TenebrioMolitorFeces,ASM5041081v1_TomatoeFruit,ASM622820v1_BeerKeg,ASM622828v1_Beer,LBPURC4201_assembly_Sourdough
add,add,Adenosine deaminase,10,10,1.0,1,4672,,,,1044,1044,1044.0,JECDCPOO_00303,KDAEOHOB_00562,OPNKAGHI_02354,KAHEJOMD_00335,HMEEEBGO_01500,KGEHKDDB_00301,GMGKJONF_00331,HLLCJJMH_00347,BMKFACGC_00335,FHDKMCMF_00278
divIB_2~~~divIB_1~~~divIB,divIB_2;divIB_1;divIB,Cell division protein DivIB,10,11,1.1,1,4671,,,,387,870,791.1818181818181,JECDCPOO_01462,KDAEOHOB_01802,OPNKAGHI_01149,KAHEJOMD_01612,HMEEEBGO_00075,KGEHKDDB_01534,GMGKJONF_01585;GMGKJONF_01584,HLLCJJMH_01635,BMKFACGC_01106,FHDKMCMF_01638
group_3099,,hypothetical protein,10,10,1.0,1,4670,,,,291,363,355.8,JECDCPOO_00885,KDAEOHOB_01161,OPNKAGHI_01746,KAHEJOMD_01029,HMEEEBGO_00874,KGEHKDDB_00886,GMGKJONF_00939,HLLCJJMH_00935,BMKFACGC_00967,FHDKMCMF_02209
group_3098,,hypothetical protein,10,10,1.0,1,4669,,,,555,555,555.0,JECDCPOO_02235,KDAEOHOB_02480,OPNKAGHI_00303,KAHEJOMD_02364,HMEEEBGO_02132,KGEHKDDB_02255,GMGKJONF_02321,HLLCJJMH_02339,BMKFACGC_02329,FHDKMCMF_00900
carD,carD,Caffeyl-CoA reductase-Etf complex subunit CarD,10,10,1.0,1,4666,,,,609,795,776.4,JECDCPOO_02024,KDAEOHOB_02290,OPNKAGHI_00504,KAHEJOMD_02161,HMEEEBGO_02344,KGEHKDDB_02070,GMGKJONF_02124,HLLCJJMH_02123,BMKFACGC_02143,FHDKMCMF_01087
group_3095,,hypothetical protein,10,10,1.0,1,4665,,,,321,321,321.0,JECDCPOO_02084,KDAEOHOB_02352,OPNKAGHI_00441,KAHEJOMD_02223,HMEEEBGO_02283,KGEHKDDB_02131,GMGKJONF_02187,HLLCJJMH_02184,BMKFACGC_02206,FHDKMCMF_01027
group_3094,,hypothetical protein,10,10,1.0,1,4664,,,,207,207,207.0,JECDCPOO_00787,KDAEOHOB_01068,OPNKAGHI_01843,KAHEJOMD_00928,HMEEEBGO_00972,KGEHKDDB_00792,GMGKJONF_00842,HLLCJJMH_00840,BMKFACGC_00863,FHDKMCMF_02303
group_3093,,hypothetical protein,10,10,1.0,1,4663,,,,501,555,549.6,JECDCPOO_00286,KDAEOHOB_00544,OPNKAGHI_02378,KAHEJOMD_00318,HMEEEBGO_01517,KGEHKDDB_00284,GMGKJONF_00314,HLLCJJMH_00330,BMKFACGC_00318,FHDKMCMF_00295
addB_2~~~addB_1~~~addB,addB_2;addB_1;addB,ATP-dependent helicase/deoxyribonuclease subunit B,10,11,1.1,1,4661,,,,846,3606,3282.5454545454545,JECDCPOO_02457,KDAEOHOB_00210,OPNKAGHI_02595,KAHEJOMD_02582,HMEEEBGO_01871,KGEHKDDB_02492,GMGKJONF_02533;GMGKJONF_02534,HLLCJJMH_02584,BMKFACGC_02568,FHDKMCMF_00664
group_3092,,hypothetical protein,10,10,1.0,1,4660,,,,126,126,126.0,JECDCPOO_01180,KDAEOHOB_01445,OPNKAGHI_01435,KAHEJOMD_01316,HMEEEBGO_00499,KGEHKDDB_01170,GMGKJONF_01225,HLLCJJMH_01219,BMKFACGC_01409,FHDKMCMF_01924
nagR_1~~~nagR_2,nagR_1;nagR_2,HTH-type transcriptional repressor NagR,10,10,1.0,1,4659,,,,702,729,704.7,JECDCPOO_00586,KDAEOHOB_00844,OPNKAGHI_02065,KAHEJOMD_00627,HMEEEBGO_01208,KGEHKDDB_00596,GMGKJONF_00623,HLLCJJMH_00633,BMKFACGC_00629,FHDKMCMF_02499
hisC~~~norG,hisC;norG,Histidinol-phosphate aminotransferase;HTH-type transcriptional regulator NorG,10,10,1.0,1,4658,,,,1254,1398,1383.6,JECDCPOO_02314,KDAEOHOB_00060,OPNKAGHI_00218,KAHEJOMD_02433,HMEEEBGO_02015,KGEHKDDB_02341,GMGKJONF_02383,HLLCJJMH_02419,BMKFACGC_02402,FHDKMCMF_00825
group_3091,,hypothetical protein,10,10,1.0,1,4657,,,,1128,1128,1128.0,JECDCPOO_02423,KDAEOHOB_00179,OPNKAGHI_00129,KAHEJOMD_02547,HMEEEBGO_01902,KGEHKDDB_02455,GMGKJONF_02500,HLLCJJMH_02506,BMKFACGC_02535,FHDKMCMF_00703
cah,cah,Carbonic anhydrase,10,10,1.0,1,4656,,,,639,639,639.0,JECDCPOO_02425,KDAEOHOB_00180,OPNKAGHI_00127,KAHEJOMD_02548,HMEEEBGO_01901,KGEHKDDB_02456,GMGKJONF_02502,HLLCJJMH_02505,BMKFACGC_02537,FHDKMCMF_00702
hdlIVa,hdl IVa,(S)-2-haloacid dehalogenase 4A,10,10,1.0,1,4655,,,,654,654,654.0,JECDCPOO_02357,KDAEOHOB_00108,OPNKAGHI_00182,KAHEJOMD_02477,HMEEEBGO_01965,KGEHKDDB_02384,GMGKJONF_02436,HLLCJJMH_02464,BMKFACGC_02451,FHDKMCMF_00780
group_3090,,Calcium-transporting ATPase 1,10,11,1.1,1,4654,,,,1266,2649,2408.181818181818,JECDCPOO_01070,KDAEOHOB_01344,OPNKAGHI_01551;OPNKAGHI_01550,KAHEJOMD_01211,HMEEEBGO_00602,KGEHKDDB_01069,GMGKJONF_01121,HLLCJJMH_01118,BMKFACGC_01488,FHDKMCMF_02026
group_3089,,hypothetical protein,10,10,1.0,1,4653,,,,1314,1314,1314.0,JECDCPOO_01072,KDAEOHOB_01346,OPNKAGHI_01548,KAHEJOMD_01213,HMEEEBGO_00600,KGEHKDDB_01071,GMGKJONF_01123,HLLCJJMH_01120,BMKFACGC_01486,FHDKMCMF_02024
group_3087,,hypothetical protein,10,10,1.0,1,4651,,,,288,288,288.0,JECDCPOO_02350,KDAEOHOB_00101,OPNKAGHI_00190,KAHEJOMD_02470,HMEEEBGO_01972,KGEHKDDB_02377,GMGKJONF_02429,HLLCJJMH_02457,BMKFACGC_02444,FHDKMCMF_00787
group_3085,,hypothetical protein,10,10,1.0,1,4649,,,,216,504,448.5,JECDCPOO_00942,KDAEOHOB_01218,OPNKAGHI_01687,KAHEJOMD_01085,HMEEEBGO_00818,KGEHKDDB_00942,GMGKJONF_00995,HLLCJJMH_00991,BMKFACGC_01027,FHDKMCMF_02153
group_3082,,hypothetical protein,10,10,1.0,1,4644,,,,855,906,900.9,JECDCPOO_00845,KDAEOHOB_01126,OPNKAGHI_01783,KAHEJOMD_00989,HMEEEBGO_00914,KGEHKDDB_00850,GMGKJONF_00900,HLLCJJMH_00899,BMKFACGC_00925,FHDKMCMF_02245
tsaD,tsaD,tRNA N6-adenosine threonylcarbamoyltransferase,10,10,1.0,1,4643,,,,1050,1050,1050.0,JECDCPOO_00657,KDAEOHOB_00921,OPNKAGHI_01991,KAHEJOMD_00708,HMEEEBGO_01132,KGEHKDDB_00667,GMGKJONF_00700,HLLCJJMH_00709,BMKFACGC_00706,FHDKMCMF_02428
group_3081,,hypothetical protein,10,10,1.0,1,4642,,,,327,327,327.0,JECDCPOO_02281,KDAEOHOB_00033,OPNKAGHI_00260,KAHEJOMD_02407,HMEEEBGO_02049,KGEHKDDB_02308,GMGKJONF_02357,HLLCJJMH_02386,BMKFACGC_02376,FHDKMCMF_00858
pdhD_1,pdhD_1,Dihydrolipoyl dehydrogenase,10,10,1.0,1,4640,,,,1293,1428,1414.5,JECDCPOO_01421,KDAEOHOB_01761,OPNKAGHI_01193,KAHEJOMD_01569,HMEEEBGO_00117,KGEHKDDB_01493,GMGKJONF_01542,HLLCJJMH_01593,BMKFACGC_01150,FHDKMCMF_01679
comGA,comGA,Competence protein ComGA,10,10,1.0,1,4639,,,,777,966,947.1,JECDCPOO_00892,KDAEOHOB_01168,OPNKAGHI_01738,KAHEJOMD_01036,HMEEEBGO_00867,KGEHKDDB_00893,GMGKJONF_00946,HLLCJJMH_00942,BMKFACGC_00975,FHDKMCMF_02202
pnuC_2,pnuC_2,Nicotinamide riboside transporter PnuC,10,10,1.0,1,4638,,,,621,729,718.2,JECDCPOO_00970,KDAEOHOB_01245,OPNKAGHI_01657,KAHEJOMD_01112,HMEEEBGO_00702,KGEHKDDB_00969,GMGKJONF_01022,HLLCJJMH_01018,BMKFACGC_01598,FHDKMCMF_02126
yagU,yagU;,Inner membrane protein YagU;hypothetical protein,10,12,1.2,1,4637,,,,156,522,435.0,JECDCPOO_00312,KDAEOHOB_00571,OPNKAGHI_02342;OPNKAGHI_02343,KAHEJOMD_00344,HMEEEBGO_01491,KGEHKDDB_00310,GMGKJONF_00341;GMGKJONF_00342,HLLCJJMH_00356,BMKFACGC_00344,FHDKMCMF_00269
ywnH,ywnH,Putative phosphinothricin acetyltransferase YwnH,10,10,1.0,1,4636,,,,498,498,498.0,JECDCPOO_02195,KDAEOHOB_02441,OPNKAGHI_00342,KAHEJOMD_02328,HMEEEBGO_02169,KGEHKDDB_02216,GMGKJONF_02276,HLLCJJMH_02302,BMKFACGC_02289,FHDKMCMF_00937
group_3079,,hypothetical protein,10,10,1.0,1,4635,,,,426,1263,1179.3,JECDCPOO_00469,KDAEOHOB_00728,OPNKAGHI_02192,KAHEJOMD_00506,HMEEEBGO_01332,KGEHKDDB_00467,GMGKJONF_00502,HLLCJJMH_00512,BMKFACGC_00499,FHDKMCMF_00111
group_3078,,hypothetical protein,10,10,1.0,1,4634,,,,933,993,987.0,JECDCPOO_00054,KDAEOHOB_00307,OPNKAGHI_00067,KAHEJOMD_00069,HMEEEBGO_01767,KGEHKDDB_00049,GMGKJONF_00076,HLLCJJMH_00094,BMKFACGC_00060,FHDKMCMF_00530
group_3077,,hypothetical protein,10,10,1.0,1,4633,,,,648,717,654.9,JECDCPOO_02493,KDAEOHOB_00248,OPNKAGHI_02646,KAHEJOMD_02617,HMEEEBGO_01834,KGEHKDDB_02536,GMGKJONF_02572,HLLCJJMH_02633,BMKFACGC_02613,FHDKMCMF_00619
group_3076,,hypothetical protein,10,10,1.0,1,4632,,,,324,381,363.9,JECDCPOO_01182,KDAEOHOB_01447,OPNKAGHI_01433,KAHEJOMD_01318,HMEEEBGO_00497,KGEHKDDB_01172,GMGKJONF_01227,HLLCJJMH_01221,BMKFACGC_01407,FHDKMCMF_01922
ydjH,ydjH,putative sugar kinase YdjH,10,10,1.0,1,4628,,,,879,879,879.0,JECDCPOO_02407,KDAEOHOB_00161,OPNKAGHI_00147,KAHEJOMD_02530,HMEEEBGO_01920,KGEHKDDB_02436,GMGKJONF_02482,HLLCJJMH_02526,BMKFACGC_02517,FHDKMCMF_00724
