items	num_genomes_gene_cluster_has_hits	num_genes_in_gene_cluster	max_num_paralogs	SCG	functional_homogeneity_index	geometric_homogeneity_index	combined_homogeneity_index	AAI_min	AAI_max	AAI_avg
GC_00000001	24	259	22	0	0.363352572965661	0.802633203719709	0.500244249202233	0.0518672199170125	1.0	0.7601934587846
GC_00000002	24	254	19	0	0.697446161638646	0.702595224709753	0.700011224578925	0.0927318295739348	1.0	0.662063175117464
GC_00000003	24	203	17	0	0.816968703473769	0.646393412729602	0.721739591977106	0.0367965367965368	1.0	0.508618208759651
GC_00000004	24	203	15	0	0.442019351026356	0.76275423447715	0.559693764493168	0.19366852886406	1.0	0.733310772252886
GC_00000005	24	158	16	0	0.406935357113165	0.759786036209463	0.530004513063723	0.0269662921348315	1.0	0.711537893604936
GC_00000006	24	144	10	0	0.949073703679807	0.636204947580632	0.761765618201807	0.0127388535031847	1.0	0.548962493628099
GC_00000007	22	137	12	0	0.866716460136932	0.661160152186297	0.750110816625647	0.0553935860058309	1.0	0.582847529001173
GC_00000008	24	129	10	0	0.536797981272549	0.66847931653082	0.59544529427408	0.0867924528301887	1.0	0.553373647067427
GC_00000009	24	117	11	0	0.845358204342413	0.673676085209407	0.749815339414197	0.05625	1.0	0.580180702917772
GC_00000010	24	114	16	0	0.853307800225119	0.638242905820677	0.730270379367723	0.0526315789473684	1.0	0.572780460699957
GC_00000011	24	112	8	0	0.511502256657044	0.703232173712065	0.592236187292823	0.015015015015015	1.0	0.635039479634074
GC_00000012	24	109	8	0	0.883356226682414	0.64547343107291	0.745907788488977	0.11878453038674	1.0	0.59509408034422
GC_00000013	23	107	11	0	0.609539722203194	0.682880030552763	0.644128973166255	0.0492813141683778	1.0	0.580675775053525
GC_00000014	24	95	8	0	0.965688474964771	0.632852748150761	0.764620388140974	0.0	1.0	0.544536505872615
GC_00000015	24	94	21	0	0.942527463578524	0.634360479076945	0.758331847387947	0.0338600451467269	1.0	0.499674387882788
GC_00000016	24	93	8	0	0.60860508642519	0.690509872381492	0.646975570113069	0.0628019323671498	1.0	0.603752938864836
GC_00000017	24	92	7	0	0.721322697128864	0.805274711385685	0.760990322015019	0.0946428571428571	1.0	0.790750631356221
GC_00000018	24	81	7	0	0.602947013145975	0.648477865159391	0.624884159916348	0.142053445850914	1.0	0.515553645534893
GC_00000019	23	81	6	0	0.94210778370622	0.616445205037358	0.745252590176286	0.00593471810089021	1.0	0.507368941641939
GC_00000020	24	74	4	0	0.73417041341669	0.953703061520542	0.829660020552592	0.00401606425702811	1.0	0.630037365307212
GC_00000021	24	65	4	0	0.743405297754319	0.93184868229116	0.827028325701185	0.451327433628319	1.0	0.649855343771273
GC_00000022	24	59	4	0	0.80855187793734	0.711315046795164	0.756822992239982	0.0129589632829374	1.0	0.488611992279659
GC_00000023	24	57	3	0	0.811818788393869	0.872415823566405	0.841027196370221	0.465648854961832	1.0	0.776571677284815
GC_00000024	24	56	3	0	0.780779186612986	0.71884617349219	0.748533794600173	0.0309734513274336	1.0	0.486030341340076
GC_00000025	24	54	3	0	0.78956318865596	0.984585313247733	0.876355410606893	0.498412698412698	1.0	0.72680443246481
GC_00000026	23	51	6	0	0.849905025727839	0.680154091615232	0.755613131781397	0.0106837606837607	1.0	0.449408412937825
GC_00000027	24	51	6	0	0.96533567048889	0.781268722713013	0.863603193954617	0.00842696629213483	1.0	0.646166556510245
GC_00000028	19	50	5	0	0.953729680194112	0.66091642333957	0.780772464860484	0.00505050505050505	1.0	0.497095444238301
GC_00000029	24	49	3	0	0.802835927293304	0.9331297645562	0.863093208961188	0.0568862275449102	1.0	0.708234042119842
GC_00000030	24	49	3	0	0.82359234095987	0.929732733573706	0.873449846389366	0.120754716981132	1.0	0.726177640867668
GC_00000031	24	49	3	0	0.915245004418176	0.968475844961304	0.941108316863928	0.0160642570281124	1.0	0.837540638745458
GC_00000032	22	49	3	0	0.828886009696708	0.651345021146287	0.729468257676364	0.0161290322580645	1.0	0.530596815339039
GC_00000033	24	49	3	0	0.824495643661082	0.884352048092724	0.853375540293915	0.0364372469635627	1.0	0.65285466413286
GC_00000034	24	48	2	0	0.815616070548823	0.960432195725642	0.882120095924545	0.46	1.0	0.725455082742317
GC_00000035	24	48	3	0	0.893229422410528	0.831396103827779	0.861204302404411	0.0147492625368732	1.0	0.670285989246637
GC_00000036	24	48	2	0	0.863892866884888	1.0	0.926976954773915	0.634615384615385	1.0	0.818219789961811
GC_00000037	24	48	2	0	0.819232034429051	0.973930102863725	0.889908082450742	0.526946107784431	1.0	0.758971418864399
GC_00000038	24	48	2	0	0.881396515318283	0.988704767964435	0.931971915053418	0.641630901287554	1.0	0.816441801357562
GC_00000039	24	48	2	0	0.804999097635806	0.992383299735842	0.88892342771844	0.517676767676768	1.0	0.752216312056738
GC_00000040	24	48	2	0	0.872636833961899	0.981985392660152	0.924087516850855	0.626506024096386	1.0	0.809290352900966
GC_00000041	24	48	2	0	0.858073869444513	0.779758898142644	0.817044020860259	0.412162162162162	1.0	0.712741997316465
GC_00000042	24	48	2	0	0.796570069628322	0.995552567203569	0.885014631786487	0.498525073746313	1.0	0.742677671080985
GC_00000043	24	48	2	0	0.795226930613785	0.965349972570395	0.872069029494644	0.459798994974874	1.0	0.722513275597847
GC_00000044	24	48	2	0	0.830511262523657	0.979827330946103	0.899011529240567	0.526748971193416	1.0	0.757157867086945
GC_00000045	24	48	2	0	0.84879440784217	0.984257735420348	0.911520673070722	0.541033434650456	1.0	0.796805277113109
GC_00000046	24	48	2	0	0.884885053654117	0.969989763033935	0.925485036277334	0.720670391061452	1.0	0.855219105352827
GC_00000047	24	47	2	0	0.843388825613678	0.938079860094821	0.888217769848212	0.0511756569847856	1.0	0.712551643309624
GC_00000048	24	47	2	0	0.665672991276246	0.700490331090554	0.682637992724476	0.0699708454810496	1.0	0.735387005337354
GC_00000049	24	46	2	0	0.817300101612073	0.985953718596258	0.893740044094764	0.398176291793313	1.0	0.757872634098351
GC_00000050	24	46	2	0	0.814938982812032	0.964871245423273	0.883589923032923	0.48936170212766	1.0	0.750210710247713
GC_00000051	23	46	3	0	0.660881235640681	0.681646039414155	0.671103053424673	0.115555555555556	1.0	0.658280193236715
GC_00000052	24	46	2	0	0.900766258059003	0.997603485838778	0.946715003074764	0.748366013071895	1.0	0.871450222601118
GC_00000053	24	44	2	0	0.816648660301968	0.985242670163504	0.893058413742978	0.551369863013699	1.0	0.770185930666976
GC_00000054	24	44	2	0	0.862179795276018	0.976305963123249	0.915700621086404	0.597269624573379	1.0	0.798201877493885
