gene_callers_id	source	accession	function	e_value
0	NCBI_PGAP	KAHEJOMD_00001	Chromosomal replication initiator protein DnaA (dnaA)	0
1	NCBI_PGAP	KAHEJOMD_00002	Beta sliding clamp (dnaN)	0
3	NCBI_PGAP	KAHEJOMD_00004	DNA replication and repair protein RecF (recF)	0
4	NCBI_PGAP	KAHEJOMD_00005	DNA gyrase subunit B (gyrB)	0
5	NCBI_PGAP	KAHEJOMD_00006	DNA gyrase subunit A GyrA (gyrA)	0
6	NCBI_PGAP	KAHEJOMD_00007	Small ribosomal subunit protein bS6 (rpsF)	0
7	NCBI_PGAP	KAHEJOMD_00008	Single-stranded DNA-binding protein A (ssbA_1)	0
8	NCBI_PGAP	KAHEJOMD_00009	Small ribosomal subunit protein bS18 (rpsR)	0
10	NCBI_PGAP	KAHEJOMD_00011	Dipeptide-binding protein (dppA_1)	0
13	NCBI_PGAP	KAHEJOMD_00014	Dipeptide-binding protein (dppA_2)	0
16	NCBI_PGAP	KAHEJOMD_00017	Cyclic-di-AMP phosphodiesterase GdpP (gdpP)	0
17	NCBI_PGAP	KAHEJOMD_00018	Large ribosomal subunit protein bL9 (rplI)	0
19	NCBI_PGAP	KAHEJOMD_00020	Isoprimeverose transporter (xylP_1)	0
20	NCBI_PGAP	KAHEJOMD_00021	Beta-xylosidase (xynB_1)	0
22	NCBI_PGAP	KAHEJOMD_00023	Replicative DNA helicase DnaC (dnaC)	0
23	NCBI_PGAP	KAHEJOMD_00024	Putative NAD(P)H-dependent FMN-containing oxidoreductase YwqN (ywqN)	0
27	NCBI_PGAP	KAHEJOMD_00028	Dipeptide-binding protein (dppA_3)	0
31	NCBI_PGAP	KAHEJOMD_00033	Transcriptional regulatory protein WalR (walR)	0
32	NCBI_PGAP	KAHEJOMD_00034	Sensor protein kinase WalK (walK)	0
34	NCBI_PGAP	KAHEJOMD_00036	Two-component system WalR/WalK regulatory protein YycI (yycI)	0
35	NCBI_PGAP	KAHEJOMD_00037	Exodeoxyribonuclease WalJ (walJ)	0
36	NCBI_PGAP	KAHEJOMD_00038	Serine protease Do-like HtrA (htrA)	0
37	NCBI_PGAP	KAHEJOMD_00039	Ribosomal RNA large subunit methyltransferase H (rlmH)	0
44	NCBI_PGAP	KAHEJOMD_00046	IS256 family transposase ISEfm2	0
46	NCBI_PGAP	KAHEJOMD_00048	IS30 family transposase ISLsa1	0
61	NCBI_PGAP	KAHEJOMD_00063	Cell wall protein	0
64	NCBI_PGAP	KAHEJOMD_00066	Foldase protein PrsA (prsA_1)	0
68	NCBI_PGAP	KAHEJOMD_00070	putative MFS-type transporter EfpA (efpA)	0
70	NCBI_PGAP	KAHEJOMD_00072	Ribosome protection protein VmlR (vmlR_1)	0
72	NCBI_PGAP	KAHEJOMD_00074	Multidrug export protein EmrB (emrB_1)	0
73	NCBI_PGAP	KAHEJOMD_00075	Arginine exporter protein ArgO (argO)	0
74	NCBI_PGAP	KAHEJOMD_00076	HTH-type transcriptional regulator MgrA (mgrA)	0
75	NCBI_PGAP	KAHEJOMD_00077	Acetyl esterase (aes_1)	0
76	NCBI_PGAP	KAHEJOMD_00078	ADP-ribosylarginine hydrolase Tri1 (tri1)	0
77	NCBI_PGAP	KAHEJOMD_00079	Galactoside O-acetyltransferase (lacA_1)	0
80	NCBI_PGAP	KAHEJOMD_00082	Peptidyl-lysine N-acetyltransferase YjaB (yjaB)	0
82	NCBI_PGAP	KAHEJOMD_00084	Dipeptide-binding protein (dppA_4)	0
95	NCBI_PGAP	KAHEJOMD_00097	1,4-dihydroxy-2-naphthoyl-CoA synthase (menB)	0
96	NCBI_PGAP	KAHEJOMD_00098	2-succinylbenzoate--CoA ligase (menE)	0
99	NCBI_PGAP	KAHEJOMD_00101	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L- lysine ligase (murE)	0
100	NCBI_PGAP	KAHEJOMD_00102	Lysine--tRNA ligase (lysS)	0
102	NCBI_PGAP	KAHEJOMD_00106	3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase (hcaB)	0
106	NCBI_PGAP	KAHEJOMD_00110	Glutamate/gamma-aminobutyrate antiporter (gadC_1)	0
107	NCBI_PGAP	KAHEJOMD_00111	Glutamate decarboxylase (gadB_1)	0
108	NCBI_PGAP	KAHEJOMD_00112	Glutamate--tRNA ligase (gltX_1)	0
110	NCBI_PGAP	KAHEJOMD_00117	Proton/sodium-glutamate symport protein (gltT)	0
111	NCBI_PGAP	KAHEJOMD_00118	Alkyl hydroperoxide reductase C (ahpC)	0
113	NCBI_PGAP	KAHEJOMD_00120	putative sugar epimerase YhfK (yhfK_1)	0
118	NCBI_PGAP	KAHEJOMD_00125	6-phosphogluconate dehydrogenase, decarboxylating (gnd)	0
120	NCBI_PGAP	KAHEJOMD_00127	Protein ElaA (elaA_1)	0
123	NCBI_PGAP	KAHEJOMD_00130	Glucose-6-phosphate 1-dehydrogenase (zwf)	0
