query	subject	pident	alignment_length	mismatches	gap_opens	qstart	qend	sstart	send	evalue	bitscore	function	genome
00000099|gene_cluster:GC_00004298|genome_name:P2811_SweetCherry_BE|gene_callers_id:3105	sp|G0YF19|SAT_STABO	34.507	142	82	4	26	163	111	245	2.11e-15	74.7	sp|G0YF19|SAT_STABO Sophorolipid acetyltransferase OS=Starmerella bombicola OX=75736 GN=at PE=1 SV=1	P2811_SweetCherry_BE
00000099|gene_cluster:GC_00004298|genome_name:P2811_SweetCherry_BE|gene_callers_id:3105	sp|P07464|THGA_ECOLI	34.507	142	79	4	26	160	67	201	4.76e-14	70.1	sp|P07464|THGA_ECOLI Galactoside O-acetyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=lacA PE=1 SV=1	P2811_SweetCherry_BE
00000099|gene_cluster:GC_00004298|genome_name:P2811_SweetCherry_BE|gene_callers_id:3105	sp|Q4L967|ATRF2_STAHJ	31.452	124	74	2	26	145	66	182	3.04e-12	65.1	sp|Q4L967|ATRF2_STAHJ Putative acetyltransferase SH0499 OS=Staphylococcus haemolyticus (strain JCSC1435) OX=279808 GN=SH0499 PE=3 SV=1	P2811_SweetCherry_BE
00000099|gene_cluster:GC_00004298|genome_name:P2811_SweetCherry_BE|gene_callers_id:3105	sp|Q6GDP3|ATRF2_STAAR	25.694	144	96	2	22	161	62	198	6.05e-12	64.3	sp|Q6GDP3|ATRF2_STAAR Putative acetyltransferase SAR2635 OS=Staphylococcus aureus (strain MRSA252) OX=282458 GN=SAR2635 PE=3 SV=1	P2811_SweetCherry_BE
00000099|gene_cluster:GC_00004298|genome_name:P2811_SweetCherry_BE|gene_callers_id:3105	sp|Q7A3E8|ATRF2_STAAN	25.0	144	97	2	22	161	62	198	4.1e-11	62.0	sp|Q7A3E8|ATRF2_STAAN Putative acetyltransferase SA2342 OS=Staphylococcus aureus (strain N315) OX=158879 GN=SA2342 PE=1 SV=1	P2811_SweetCherry_BE
00000116|gene_cluster:GC_00005192|genome_name:P2811_SweetCherry_BE|gene_callers_id:3072	sp|P71059|EPSJ_BACSU	27.397	219	142	5	10	215	5	219	8.93e-20	92.0	sp|P71059|EPSJ_BACSU Uncharacterized glycosyltransferase EpsJ OS=Bacillus subtilis (strain 168) OX=224308 GN=epsJ PE=2 SV=1	P2811_SweetCherry_BE
00000116|gene_cluster:GC_00005192|genome_name:P2811_SweetCherry_BE|gene_callers_id:3072	sp|A0A0H2UR96|GLYG_STRPN	38.525	122	70	3	10	130	5	122	5.38e-17	83.6	sp|A0A0H2UR96|GLYG_STRPN Glycosyltransferase GlyG OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=glyG PE=1 SV=1	P2811_SweetCherry_BE
00000116|gene_cluster:GC_00005192|genome_name:P2811_SweetCherry_BE|gene_callers_id:3072	sp|A0A0H3JNB0|TARP_STAAN	28.261	230	149	6	9	225	3	229	2.09e-15	79.3	sp|A0A0H3JNB0|TARP_STAAN Poly(ribitol-phosphate) beta-N-acetylglucosaminyltransferase TarP OS=Staphylococcus aureus (strain N315) OX=158879 GN=tarP PE=1 SV=1	P2811_SweetCherry_BE
00000116|gene_cluster:GC_00005192|genome_name:P2811_SweetCherry_BE|gene_callers_id:3072	sp|Q92IF9|Y461_RICCN	32.796	186	101	8	9	183	294	466	4.67e-15	79.7	sp|Q92IF9|Y461_RICCN Uncharacterized glycosyltransferase RC0461 OS=Rickettsia conorii (strain ATCC VR-613 / Malish 7) OX=272944 GN=RC0461 PE=3 SV=1	P2811_SweetCherry_BE
00000116|gene_cluster:GC_00005192|genome_name:P2811_SweetCherry_BE|gene_callers_id:3072	sp|Q92IF9|Y461_RICCN	34.783	92	56	2	10	101	16	103	1.4e-07	56.6	sp|Q92IF9|Y461_RICCN Uncharacterized glycosyltransferase RC0461 OS=Rickettsia conorii (strain ATCC VR-613 / Malish 7) OX=272944 GN=RC0461 PE=3 SV=1	P2811_SweetCherry_BE
00000116|gene_cluster:GC_00005192|genome_name:P2811_SweetCherry_BE|gene_callers_id:3072	sp|E0U4V7|TARQ_BACSH	34.01	197	119	8	9	198	2	194	8.87e-15	79.0	sp|E0U4V7|TARQ_BACSH Poly(ribitol-phosphate) beta-glucosyltransferase OS=Bacillus spizizenii (strain ATCC 23059 / NRRL B-14472 / W23) OX=655816 GN=tarQ PE=1 SV=1	P2811_SweetCherry_BE
