query	subject	%pident	alignment_length	mismatches	gap_opens	qstart	qend	sstart	send	e-value	bitscore	function	genome
00000278|gene_cluster_GC_00003352|genome_name_P2796_Unknown_BE|gene_callers_id_2044	sp|Q57168|T1MH_HAEIN	43.612	454	220	9	77	506	1	442	2.3199999999999997e-126	379.0	sp|Q57168|T1MH_HAEIN Type I restriction enzyme HindI methylase subunit OS=Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd) OX=71421 GN=hsdM PE=1 SV=1	P2796_Unknown_BE
00000278|gene_cluster_GC_00003352|genome_name_P2796_Unknown_BE|gene_callers_id_2044	sp|Q60297|T1MH_METJA	38.004	521	289	14	10	506	48	558	1.85e-107	334.0	sp|Q60297|T1MH_METJA Type I restriction enzyme MjaIX methylase subunit OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) OX=243232 GN=MJECL42 PE=3 SV=1	P2796_Unknown_BE
00000278|gene_cluster_GC_00003352|genome_name_P2796_Unknown_BE|gene_callers_id_2044	sp|P10484|T1M1_ECOLX	26.226	530	322	19	13	504	15	513	5.22e-45	168.0	sp|P10484|T1M1_ECOLX Type I restriction enzyme EcoR124I/EcoR124II methylase subunit OS=Escherichia coli OX=562 GN=hsdM PE=1 SV=1	P2796_Unknown_BE
00000278|gene_cluster_GC_00003352|genome_name_P2796_Unknown_BE|gene_callers_id_2044	sp|Q47163|T1MP_ECOLX	26.415	530	321	20	13	504	15	513	9.46e-45	167.0	sp|Q47163|T1MP_ECOLX Type I restriction enzyme EcoprrI methylase subunit OS=Escherichia coli OX=562 GN=hsdM PE=3 SV=1	P2796_Unknown_BE
00000278|gene_cluster_GC_00003352|genome_name_P2796_Unknown_BE|gene_callers_id_2044	sp|P75436|T1MD_MYCPN	27.057	547	323	21	9	504	11	532	9.73e-44	165.0	sp|P75436|T1MD_MYCPN Type I restriction enzyme MpnII methylase subunit OS=Mycoplasma pneumoniae (strain ATCC 29342 / M129 / Subtype 1) OX=272634 GN=MPN_342 PE=1 SV=1	P2796_Unknown_BE
00000318|gene_cluster_GC_00003258|genome_name_P2796_Unknown_BE|gene_callers_id_2043	sp|P44152|T1SH_HAEIN	26.761	213	139	10	14	221	4	204	8e-05	48.5	sp|P44152|T1SH_HAEIN Type I restriction enzyme HindI specificity subunit OS=Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd) OX=71421 GN=hsdS PE=1 SV=1	P2796_Unknown_BE
00000318|gene_cluster_GC_00003258|genome_name_P2796_Unknown_BE|gene_callers_id_2043	sp|Q57594|T1S1_METJA	28.78	205	109	10	4	191	10	194	0.000162	47.4	sp|Q57594|T1S1_METJA Type I restriction enzyme MjaVII specificity subunit OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) OX=243232 GN=MJ0130 PE=1 SV=3	P2796_Unknown_BE
00000318|gene_cluster_GC_00003258|genome_name_P2796_Unknown_BE|gene_callers_id_2043	sp|Q58926|T1SX_METJA	25.131	191	134	6	4	189	15	201	0.000487	45.8	sp|Q58926|T1SX_METJA Putative type I restriction enzyme MjaX specificity subunit OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) OX=243232 GN=MJ1531 PE=3 SV=1	P2796_Unknown_BE
00000386|gene_cluster_GC_00003423|genome_name_P2796_Unknown_BE|gene_callers_id_2530	sp|Q6GDD6|ICAB_STAAR	25.385	260	174	8	42	292	35	283	8.33e-21	93.2	sp|Q6GDD6|ICAB_STAAR Poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase OS=Staphylococcus aureus (strain MRSA252) OX=282458 GN=icaB PE=3 SV=1	P2796_Unknown_BE
00000386|gene_cluster_GC_00003423|genome_name_P2796_Unknown_BE|gene_callers_id_2530	sp|Q5HKP8|ICAB_STAEQ	26.054	261	169	8	43	292	35	282	1.52e-20	92.4	sp|Q5HKP8|ICAB_STAEQ Poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase OS=Staphylococcus epidermidis (strain ATCC 35984 / DSM 28319 / BCRC 17069 / CCUG 31568 / BM 3577 / RP62A) OX=176279 GN=icaB PE=3 SV=1	P2796_Unknown_BE
