query	subject	pident	alignment_length	mismatches	gap_opens	qstart	qend	sstart	send	evalue	bitscore	function	genome
00000197|gene_cluster:GC_00004082|genome_name:P3340_RedCowpea_BE|gene_callers_id:2749	sp|P22082|SNF2_YEAST	24.831	443	259	16	157	561	795	1201	7.1e-15	82.4	sp|P22082|SNF2_YEAST SWI/SNF chromatin-remodeling complex subunit SNF2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SNF2 PE=1 SV=1	P3340_RedCowpea_BE
00000197|gene_cluster:GC_00004082|genome_name:P3340_RedCowpea_BE|gene_callers_id:2749	sp|Q3B7N1|CHD1L_BOVIN	22.176	478	291	18	157	607	76	499	1.63e-12	74.3	sp|Q3B7N1|CHD1L_BOVIN ATP-dependent chromatin remodeler CHD1L OS=Bos taurus OX=9913 GN=CHD1L PE=2 SV=2	P3340_RedCowpea_BE
00000197|gene_cluster:GC_00004082|genome_name:P3340_RedCowpea_BE|gene_callers_id:2749	sp|F4JTF6|CHR7_ARATH	22.697	445	279	15	157	579	253	654	3.27e-12	73.6	sp|F4JTF6|CHR7_ARATH CHD3-type chromatin-remodeling factor CHR7 OS=Arabidopsis thaliana OX=3702 GN=CHR7 PE=3 SV=1	P3340_RedCowpea_BE
00000197|gene_cluster:GC_00004082|genome_name:P3340_RedCowpea_BE|gene_callers_id:2749	sp|P32597|STH1_YEAST	24.828	435	270	16	157	561	498	905	4.27e-12	73.6	sp|P32597|STH1_YEAST Nuclear protein STH1/NPS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=STH1 PE=1 SV=1	P3340_RedCowpea_BE
00000197|gene_cluster:GC_00004082|genome_name:P3340_RedCowpea_BE|gene_callers_id:2749	sp|Q86WJ1|CHD1L_HUMAN	22.385	478	290	18	157	607	74	497	5.51e-12	72.8	sp|Q86WJ1|CHD1L_HUMAN ATP-dependent chromatin remodeler CHD1L OS=Homo sapiens OX=9606 GN=CHD1L PE=1 SV=3	P3340_RedCowpea_BE
00000339|gene_cluster:GC_00004515|genome_name:P3340_RedCowpea_BE|gene_callers_id:2647	sp|P55454|Y4FP_SINFN	28.527	319	215	7	39	353	46	355	3.2700000000000004e-31	124.0	sp|P55454|Y4FP_SINFN Probable ABC transporter periplasmic-binding protein y4fP OS=Sinorhizobium fredii (strain NBRC 101917 / NGR234) OX=394 GN=NGR_a03660 PE=3 SV=1	P3340_RedCowpea_BE
00000339|gene_cluster:GC_00004515|genome_name:P3340_RedCowpea_BE|gene_callers_id:2647	sp|P43951|Y131_HAEIN	21.289	357	238	12	17	352	10	344	0.004	42.4	sp|P43951|Y131_HAEIN Uncharacterized protein HI_0131 OS=Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd) OX=71421 GN=HI_0131 PE=1 SV=1	P3340_RedCowpea_BE
00000389|gene_cluster:GC_00004499|genome_name:P3340_RedCowpea_BE|gene_callers_id:2640	sp|A0T0G2|RBCR_PHATC	26.78	295	183	10	9	284	10	290	1.95e-14	75.9	sp|A0T0G2|RBCR_PHATC Probable RuBisCO transcriptional regulator OS=Phaeodactylum tricornutum (strain CCAP 1055/1) OX=556484 GN=rbcR PE=3 SV=1	P3340_RedCowpea_BE
00000389|gene_cluster:GC_00004499|genome_name:P3340_RedCowpea_BE|gene_callers_id:2640	sp|P49518|RBCR_TRICV	25.283	265	188	5	9	267	11	271	1.57e-08	58.5	sp|P49518|RBCR_TRICV Probable RuBisCO transcriptional regulator OS=Trieres chinensis OX=1514140 GN=rbcR PE=3 SV=1	P3340_RedCowpea_BE
00000389|gene_cluster:GC_00004499|genome_name:P3340_RedCowpea_BE|gene_callers_id:2640	sp|O19892|RBCR_CYACA	22.8	250	181	5	24	267	27	270	1.3e-06	52.8	sp|O19892|RBCR_CYACA Probable RuBisCO transcriptional regulator OS=Cyanidium caldarium OX=2771 GN=rbcR PE=3 SV=1	P3340_RedCowpea_BE
00000389|gene_cluster:GC_00004499|genome_name:P3340_RedCowpea_BE|gene_callers_id:2640	sp|Q6B936|RBCR_GRATL	22.927	205	149	4	24	225	27	225	6.36e-06	50.4	sp|Q6B936|RBCR_GRATL Probable RuBisCO transcriptional regulator OS=Gracilaria tenuistipitata var. liui OX=285951 GN=rbcR PE=3 SV=1	P3340_RedCowpea_BE
00000389|gene_cluster:GC_00004499|genome_name:P3340_RedCowpea_BE|gene_callers_id:2640	sp|P27111|CYNR_ECOLI	21.5	200	143	4	19	214	17	206	9.65e-06	50.1	sp|P27111|CYNR_ECOLI HTH-type transcriptional regulator CynR OS=Escherichia coli (strain K12) OX=83333 GN=cynR PE=1 SV=5	P3340_RedCowpea_BE
00000579|gene_cluster:GC_00004238|genome_name:P3340_RedCowpea_BE|gene_callers_id:2751	sp|P25241|T3RE_BACC1	54.752	968	421	12	1	960	26	984	0.0	1064.0	sp|P25241|T3RE_BACC1 Type III restriction-modification enzyme BceSI Res subunit OS=Bacillus cereus (strain ATCC 10987 / NRS 248) OX=222523 GN=res PE=3 SV=2	P3340_RedCowpea_BE
00000579|gene_cluster:GC_00004238|genome_name:P3340_RedCowpea_BE|gene_callers_id:2751	sp|P40815|T3RE_SALTY	54.093	965	422	13	13	966	36	990	0.0	1034.0	sp|P40815|T3RE_SALTY Type III restriction-modification enzyme StyLTI Res subunit OS=Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720) OX=99287 GN=res PE=3 SV=2	P3340_RedCowpea_BE
00000579|gene_cluster:GC_00004238|genome_name:P3340_RedCowpea_BE|gene_callers_id:2751	sp|Q5ZND2|T3RE_ECOLX	32.576	924	502	32	28	915	80	918	7.49e-115	379.0	sp|Q5ZND2|T3RE_ECOLX Type III restriction-modification enzyme EcoP15I Res subunit OS=Escherichia coli OX=562 GN=res PE=1 SV=1	P3340_RedCowpea_BE
00000579|gene_cluster:GC_00004238|genome_name:P3340_RedCowpea_BE|gene_callers_id:2751	sp|P08764|T3RE_BPP1	33.262	932	506	36	18	915	69	918	8.280000000000001e-109	363.0	sp|P08764|T3RE_BPP1 Type III restriction-modification enzyme EcoPI Res subunit OS=Escherichia phage P1 OX=2886926 GN=res PE=1 SV=1	P3340_RedCowpea_BE
00000994|gene_cluster:GC_00004698|genome_name:P3340_RedCowpea_BE|gene_callers_id:2741	sp|P40814|T3MO_SALTY	46.233	677	304	14	1	642	1	652	0.0	575.0	sp|P40814|T3MO_SALTY Type III restriction-modification enzyme StyLTI Mod subunit OS=Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720) OX=99287 GN=mod PE=1 SV=2	P3340_RedCowpea_BE
00000994|gene_cluster:GC_00004698|genome_name:P3340_RedCowpea_BE|gene_callers_id:2741	sp|P12364|T3MO_ECOLX	33.283	667	356	20	8	630	7	628	5.859999999999999e-91	298.0	sp|P12364|T3MO_ECOLX Type III restriction-modification enzyme EcoP15I Mod subunit OS=Escherichia coli OX=562 GN=mod PE=1 SV=2	P3340_RedCowpea_BE
00000994|gene_cluster:GC_00004698|genome_name:P3340_RedCowpea_BE|gene_callers_id:2741	sp|P08763|T3MO_BPP1	33.945	654	357	19	15	630	14	630	1.92e-86	286.0	sp|P08763|T3MO_BPP1 Type III restriction-modification enzyme EcoPI Mod subunit OS=Escherichia phage P1 OX=2886926 GN=mod PE=1 SV=1	P3340_RedCowpea_BE
00000994|gene_cluster:GC_00004698|genome_name:P3340_RedCowpea_BE|gene_callers_id:2741	sp|P25238|MTK1_KLEPN	29.478	441	230	14	65	474	9	399	2.4300000000000003e-35	141.0	sp|P25238|MTK1_KLEPN Type II methyltransferase M.KpnI OS=Klebsiella pneumoniae OX=573 GN=kpnIM PE=3 SV=1	P3340_RedCowpea_BE
00000994|gene_cluster:GC_00004698|genome_name:P3340_RedCowpea_BE|gene_callers_id:2741	sp|P71366|T3MH_HAEIN	29.767	215	107	5	81	281	219	403	7.42e-17	88.2	sp|P71366|T3MH_HAEIN Probable type III restriction-modification enzyme HindVI Mod subunit OS=Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd) OX=71421 GN=mod PE=3 SV=2	P3340_RedCowpea_BE
00001036|gene_cluster:GC_00004463|genome_name:P3340_RedCowpea_BE|gene_callers_id:2655	sp|P39592|YWBI_BACSU	24.339	189	131	4	1	180	1	186	8.38e-12	67.8	sp|P39592|YWBI_BACSU Uncharacterized HTH-type transcriptional regulator YwbI OS=Bacillus subtilis (strain 168) OX=224308 GN=ywbI PE=3 SV=1	P3340_RedCowpea_BE
00001036|gene_cluster:GC_00004463|genome_name:P3340_RedCowpea_BE|gene_callers_id:2655	sp|B1JQ39|HDFR_YERPY	35.106	94	59	2	1	92	1	94	2.48e-11	66.2	sp|B1JQ39|HDFR_YERPY HTH-type transcriptional regulator HdfR OS=Yersinia pseudotuberculosis serotype O:3 (strain YPIII) OX=502800 GN=hdfR PE=3 SV=1	P3340_RedCowpea_BE
00001036|gene_cluster:GC_00004463|genome_name:P3340_RedCowpea_BE|gene_callers_id:2655	sp|Q66G51|HDFR_YERPS	35.106	94	59	2	1	92	1	94	2.48e-11	66.2	sp|Q66G51|HDFR_YERPS HTH-type transcriptional regulator HdfR OS=Yersinia pseudotuberculosis serotype I (strain IP32953) OX=273123 GN=hdfR PE=3 SV=1	P3340_RedCowpea_BE
00001036|gene_cluster:GC_00004463|genome_name:P3340_RedCowpea_BE|gene_callers_id:2655	sp|A4TRF4|HDFR_YERPP	35.106	94	59	2	1	92	1	94	2.48e-11	66.2	sp|A4TRF4|HDFR_YERPP HTH-type transcriptional regulator HdfR OS=Yersinia pestis (strain Pestoides F) OX=386656 GN=hdfR PE=3 SV=1	P3340_RedCowpea_BE
00001036|gene_cluster:GC_00004463|genome_name:P3340_RedCowpea_BE|gene_callers_id:2655	sp|Q1CNN4|HDFR_YERPN	35.106	94	59	2	1	92	1	94	2.48e-11	66.2	sp|Q1CNN4|HDFR_YERPN HTH-type transcriptional regulator HdfR OS=Yersinia pestis bv. Antiqua (strain Nepal516) OX=377628 GN=hdfR PE=3 SV=1	P3340_RedCowpea_BE
00001102|gene_cluster:GC_00004683|genome_name:P3340_RedCowpea_BE|gene_callers_id:2648	sp|C0SPA0|PULA_BACSU	42.308	572	312	9	455	1025	80	634	1.7e-155	488.0	sp|C0SPA0|PULA_BACSU Pullulanase OS=Bacillus subtilis (strain 168) OX=224308 GN=amyX PE=1 SV=1	P3340_RedCowpea_BE
00001102|gene_cluster:GC_00004683|genome_name:P3340_RedCowpea_BE|gene_callers_id:2648	sp|O33840|PULA_THEMA	39.483	580	327	11	473	1041	217	783	1.17e-123	407.0	sp|O33840|PULA_THEMA Pullulanase OS=Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8) OX=243274 GN=pulA PE=1 SV=2	P3340_RedCowpea_BE
00001102|gene_cluster:GC_00004683|genome_name:P3340_RedCowpea_BE|gene_callers_id:2648	sp|O33840|PULA_THEMA	27.358	106	71	4	173	274	17	120	4.66e-05	51.6	sp|O33840|PULA_THEMA Pullulanase OS=Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8) OX=243274 GN=pulA PE=1 SV=2	P3340_RedCowpea_BE
00001102|gene_cluster:GC_00004683|genome_name:P3340_RedCowpea_BE|gene_callers_id:2648	sp|A0A0H2ZL64|PULA_STRP2	28.004	982	544	40	212	1078	166	1099	3.66e-81	295.0	sp|A0A0H2ZL64|PULA_STRP2 Pullulanase A OS=Streptococcus pneumoniae serotype 2 (strain D39 / NCTC 7466) OX=373153 GN=spuA PE=3 SV=1	P3340_RedCowpea_BE
00001102|gene_cluster:GC_00004683|genome_name:P3340_RedCowpea_BE|gene_callers_id:2648	sp|Q9F930|PULA_STREE	27.902	982	545	40	212	1078	188	1121	9.26e-81	294.0	sp|Q9F930|PULA_STREE Pullulanase A OS=Streptococcus pneumoniae OX=1313 GN=spuA PE=1 SV=1	P3340_RedCowpea_BE
00001102|gene_cluster:GC_00004683|genome_name:P3340_RedCowpea_BE|gene_callers_id:2648	sp|A0A0H2UNG0|PULA_STRPN	28.004	982	544	40	212	1078	181	1114	1.01e-80	294.0	sp|A0A0H2UNG0|PULA_STRPN Pullulanase A OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=spuA PE=1 SV=1	P3340_RedCowpea_BE
