gene_callers_id	source	accession	function	e_value
1061	KOfam	K00694	cellulose synthase (UDP-forming) [EC:2.4.1.12]	2.8e-116
1921	KOfam	K04095	cell filamentation protein, protein adenylyltransferase [EC:2.7.7.108]	1.4e-22
1954	KOfam	K07459	putative ATP-dependent endonuclease of the OLD family	1e-32
2951	KOfam	K07459	putative ATP-dependent endonuclease of the OLD family	3.6e-129
2998	KOfam	K07729	putative transcriptional regulator	1.2e-17
2999	KOfam	K20490	lantibiotic transport system ATP-binding protein	5.1e-90
3000	KOfam	K20491	lantibiotic transport system permease protein	3.3e-30
3001	KOfam	K20492	lantibiotic transport system permease protein	8.4e-30
3005	KOfam	K07459	putative ATP-dependent endonuclease of the OLD family	5.1e-63
3013	KOfam	K01154	type I restriction enzyme, S subunit [EC:3.1.21.3]	9.9e-51
3074	KOfam	K02027	multiple sugar transport system substrate-binding protein	3.9e-54
3075	KOfam	K02025	multiple sugar transport system permease protein	5e-95
3076	KOfam	K02026	multiple sugar transport system permease protein	2.4e-95
3095	KOfam	K03743	nicotinamide-nucleotide amidase [EC:3.5.1.42]	1.9e-49
