gene_callers_id	source	accession	function	e_value
8	NCBI_PGAP	HMEEEBGO_00009	UvrABC system protein A (uvrA_1)	0
12	NCBI_PGAP	HMEEEBGO_00013	IS30 family transposase ISSag3	0
16	NCBI_PGAP	HMEEEBGO_00017	Dipeptidase A (pepDA_1)	0
17	NCBI_PGAP	HMEEEBGO_00018	Anaerobic regulatory protein (fnr)	0
18	NCBI_PGAP	HMEEEBGO_00019	Asparagine synthetase [glutamine-hydrolyzing] 1 (asnB)	0
19	NCBI_PGAP	HMEEEBGO_00020	D-aspartate ligase	0
20	NCBI_PGAP	HMEEEBGO_00021	Aspartate racemase	0
21	NCBI_PGAP	HMEEEBGO_00022	Mannitol-specific cryptic phosphotransferase enzyme IIA component (cmtB)	0
23	NCBI_PGAP	HMEEEBGO_00024	Ascorbate-specific PTS system EIIC component (ulaA)	0
24	NCBI_PGAP	HMEEEBGO_00025	Transketolase (tkt_1)	0
25	NCBI_PGAP	HMEEEBGO_00026	Phosphoenolpyruvate-protein phosphotransferase (ptsI_1)	0
28	NCBI_PGAP	HMEEEBGO_00029	putative protein YyaP (yyaP)	0
31	NCBI_PGAP	HMEEEBGO_00033	Arginine--tRNA ligase (argS)	0
32	NCBI_PGAP	HMEEEBGO_00034	Arginine repressor (argR_1)	0
33	NCBI_PGAP	HMEEEBGO_00035	Penicillin-binding protein 2a (pbp2a)	0
36	NCBI_PGAP	HMEEEBGO_00038	Chromosome partition protein Smc (smc_1)	0
37	NCBI_PGAP	HMEEEBGO_00039	3'-5' exoribonuclease YhaM (yhaM)	0
38	NCBI_PGAP	HMEEEBGO_00040	Foldase protein PrsA (prsA_1)	0
40	NCBI_PGAP	HMEEEBGO_00042	Protein hit (hit)	0
41	NCBI_PGAP	HMEEEBGO_00043	ABC-type transporter ATP-binding protein EcsA (ecsA)	0
43	NCBI_PGAP	HMEEEBGO_00045	Cell cycle regulator CcrZ (ccrZ)	0
44	NCBI_PGAP	HMEEEBGO_00046	tRNA (guanine-N(7)-)-methyltransferase (trmB)	0
46	NCBI_PGAP	HMEEEBGO_00048	Oligoendopeptidase F, plasmid (pepF1)	0
47	NCBI_PGAP	HMEEEBGO_00049	Protein DegV (degV_1)	0
48	NCBI_PGAP	HMEEEBGO_00050	ClpXP adapter protein SpxH (spxH)	0
49	NCBI_PGAP	HMEEEBGO_00051	GTP pyrophosphokinase YjbM (yjbM)	0
50	NCBI_PGAP	HMEEEBGO_00052	NAD kinase 1 (ppnKA)	0
56	NCBI_PGAP	HMEEEBGO_00058	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase GtfA subunit (gtfA_1)	0
57	NCBI_PGAP	HMEEEBGO_00059	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase GtfA subunit (gtfA_2)	0
59	NCBI_PGAP	HMEEEBGO_00061	PF03932 family protein CutC (cutC)	0
60	NCBI_PGAP	HMEEEBGO_00062	Putative transport protein	0
61	NCBI_PGAP	HMEEEBGO_00063	23S rRNA (guanine(745)-N(1))-methyltransferase (rlmA)	0
62	NCBI_PGAP	HMEEEBGO_00064	Putative tRNA (cytidine(34)-2'-O)-methyltransferase (cspR)	0
63	NCBI_PGAP	HMEEEBGO_00065	DNA translocase SpoIIIE (spoIIIE)	0
66	NCBI_PGAP	HMEEEBGO_00068	Transcriptional regulator MraZ (mraZ)	0
67	NCBI_PGAP	HMEEEBGO_00069	Ribosomal RNA small subunit methyltransferase H (rsmH)	0
68	NCBI_PGAP	HMEEEBGO_00070	Cell division protein FtsL (ftsL)	0
69	NCBI_PGAP	HMEEEBGO_00071	Penicillin-binding protein 2B (pbpB)	0
70	NCBI_PGAP	HMEEEBGO_00072	Phospho-N-acetylmuramoyl-pentapeptide- transferase (mraY)	0
71	NCBI_PGAP	HMEEEBGO_00073	UDP-N-acetylmuramoylalanine--D-glutamate ligase (murD)	0
72	NCBI_PGAP	HMEEEBGO_00074	UDP-N-acetylglucosamine--N-acetylmuramyl- (pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (murG)	0
73	NCBI_PGAP	HMEEEBGO_00075	Cell division protein DivIB (divIB)	0
74	NCBI_PGAP	HMEEEBGO_00076	Cell division protein FtsA (ftsA)	0
75	NCBI_PGAP	HMEEEBGO_00077	Cell division protein FtsZ (ftsZ)	0
76	NCBI_PGAP	HMEEEBGO_00078	Cell division protein SepF (sepF)	0
78	NCBI_PGAP	HMEEEBGO_00080	Ribosome-associated protein quality control protein P2 (rqcP2)	0
79	NCBI_PGAP	HMEEEBGO_00081	Cell cycle adapter protein GpsB (gpsB_1)	0
80	NCBI_PGAP	HMEEEBGO_00082	isoleucine--tRNA ligase IleS (ileS)	0
81	NCBI_PGAP	HMEEEBGO_00083	Cold shock protein CspB (cspB)	0
82	NCBI_PGAP	HMEEEBGO_00084	ADP-ribose pyrophosphatase (nudF)	0
84	NCBI_PGAP	HMEEEBGO_00086	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase (mtnN)	0
85	NCBI_PGAP	HMEEEBGO_00087	Cysteine desulfurase IscS (iscS_1)	0
88	NCBI_PGAP	HMEEEBGO_00090	tRNA-specific 2-thiouridylase MnmA (mnmA)	0
89	NCBI_PGAP	HMEEEBGO_00091	Phosphoserine phosphatase 1 (pspA)	0
91	NCBI_PGAP	HMEEEBGO_00093	ATP-dependent RecD2 DNA helicase (recD2)	0
92	NCBI_PGAP	HMEEEBGO_00094	Ribose-phosphate pyrophosphokinase (prs_1)	0
94	NCBI_PGAP	HMEEEBGO_00096	putative amino-acid permease protein YxeN (yxeN)	0
95	NCBI_PGAP	HMEEEBGO_00097	putative ABC transporter extracellular-binding protein YckB (yckB)	0
96	NCBI_PGAP	HMEEEBGO_00098	Lipoamidase (lpa)	0
97	NCBI_PGAP	HMEEEBGO_00099	Dipeptide-binding protein (dppA_1)	0
98	NCBI_PGAP	HMEEEBGO_00100	N-acetylmuramic acid 6-phosphate etherase (murQ)	0
99	NCBI_PGAP	HMEEEBGO_00101	L-glyceraldehyde 3-phosphate reductase (gpr_1)	0
100	NCBI_PGAP	HMEEEBGO_00102	HTH-type transcriptional regulator DegA (degA)	0
101	NCBI_PGAP	HMEEEBGO_00103	Ribokinase (rbsK)	0
102	NCBI_PGAP	HMEEEBGO_00104	Transketolase (tkt_2)	0
103	NCBI_PGAP	HMEEEBGO_00105	Gamma-D-glutamyl-L-lysine dipeptidyl-peptidase (ykfC)	0
104	NCBI_PGAP	HMEEEBGO_00106	putative protein YpuA (ypuA)	0
105	NCBI_PGAP	HMEEEBGO_00107	Cell division suppressor protein YneA (yneA)	0
107	NCBI_PGAP	HMEEEBGO_00109	Putative lipid kinase YtlR (ytlR)	0
108	NCBI_PGAP	HMEEEBGO_00110	Ribonuclease J1 (rnjA)	0
109	NCBI_PGAP	HMEEEBGO_00111	DNA-directed RNA polymerase subunit epsilon (rpoY)	0
111	NCBI_PGAP	HMEEEBGO_00113	Peptide deformylase (def_1)	0
112	NCBI_PGAP	HMEEEBGO_00114	Pyruvate dehydrogenase E1 component subunit alpha (pdhA)	0
113	NCBI_PGAP	HMEEEBGO_00115	Pyruvate dehydrogenase E1 component subunit beta (pdhB)	0
114	NCBI_PGAP	HMEEEBGO_00116	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex (pdhC)	0
115	NCBI_PGAP	HMEEEBGO_00117	Dihydrolipoyl dehydrogenase (pdhD_1)	0
116	NCBI_PGAP	HMEEEBGO_00118	L-lactate dehydrogenase (ldh_1)	0
118	NCBI_PGAP	HMEEEBGO_00120	Inositol-1-monophosphatase (suhB)	0
119	NCBI_PGAP	HMEEEBGO_00121	Large ribosomal subunit assembly factor BipA (bipA_1)	0
120	NCBI_PGAP	HMEEEBGO_00122	putative peptidoglycan glycosyltransferase FtsW (ftsW)	0
122	NCBI_PGAP	HMEEEBGO_00124	Ribosomal RNA small subunit methyltransferase D (rsmD)	0
123	NCBI_PGAP	HMEEEBGO_00125	Phosphopantetheine adenylyltransferase (coaD)	0
124	NCBI_PGAP	HMEEEBGO_00126	putative protein YlbL (ylbL)	0
126	NCBI_PGAP	HMEEEBGO_00128	tRNA-specific adenosine deaminase (tadA_1)	0
127	NCBI_PGAP	HMEEEBGO_00129	ComE operon protein 3 (comEC)	0
128	NCBI_PGAP	HMEEEBGO_00130	DNA polymerase III subunit delta (holA)	0
129	NCBI_PGAP	HMEEEBGO_00131	IS30 family transposase ISSag3	0
132	NCBI_PGAP	HMEEEBGO_00134	Small ribosomal subunit protein bS20 (rpsT)	0
133	NCBI_PGAP	HMEEEBGO_00135	Small ribosomal subunit protein uS15 (rpsO)	0
134	NCBI_PGAP	HMEEEBGO_00136	Ribonuclease J 2 (rnj2)	0
136	NCBI_PGAP	HMEEEBGO_00138	Elongation factor Tu (tuf)	0
137	NCBI_PGAP	HMEEEBGO_00139	Trigger factor (tig)	0
138	NCBI_PGAP	HMEEEBGO_00140	ATP-dependent Clp protease ATP-binding subunit ClpX (clpX)	0
139	NCBI_PGAP	HMEEEBGO_00141	putative GTP-binding protein EngB (engB)	0
142	NCBI_PGAP	HMEEEBGO_00144	UvrABC system protein C (uvrC)	0
143	NCBI_PGAP	HMEEEBGO_00145	GTPase Obg (obg)	0
146	NCBI_PGAP	HMEEEBGO_00148	Ribonuclease Z (rnz)	0
148	NCBI_PGAP	HMEEEBGO_00150	Single-stranded-DNA-specific exonuclease RecJ (recJ)	0
149	NCBI_PGAP	HMEEEBGO_00151	Adenine phosphoribosyltransferase (apt)	0
150	NCBI_PGAP	HMEEEBGO_00152	Putative universal stress protein	0
153	NCBI_PGAP	HMEEEBGO_00155	Diacylglycerol kinase (dagK_1)	0
155	NCBI_PGAP	HMEEEBGO_00158	Tyrosine recombinase XerC (xerC_1)	0
