query,genome,gene_cluster,gene_callers_id,subject,%pident,alignment_length,e-value,bitscore,function
00000009|gene_cluster_GC_00001494|genome_name_Reference|gene_callers_id_169,Reference,GC_00001494,169,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000046|gene_cluster_GC_00001615|genome_name_Reference|gene_callers_id_178,Reference,GC_00001615,178,sp|O32163|SUFU_BACSU,38.298,141.0,2.61e-28,104.0,sp|O32163|SUFU_BACSU Zinc-dependent sulfurtransferase SufU OS=Bacillus subtilis (strain 168) OX=224308 GN=sufU PE=1 SV=1
00000054|gene_cluster_GC_00001614|genome_name_Reference|gene_callers_id_170,Reference,GC_00001614,170,sp|Q48585|YI3A_LACJH,28.324,173.0,3.03e-05,46.6,sp|Q48585|YI3A_LACJH Insertion element IS1223 uncharacterized 20.7 kDa protein OS=Lactobacillus johnsonii OX=33959 PE=3 SV=1
00000062|gene_cluster_GC_00001488|genome_name_Reference|gene_callers_id_173,Reference,GC_00001488,173,sp|P43752|NRDD_HAEIN,48.87,708.0,0.0,698.0,sp|P43752|NRDD_HAEIN Anaerobic ribonucleoside-triphosphate reductase OS=Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd) OX=71421 GN=nrdD PE=3 SV=1
00000078|gene_cluster_GC_00001531|genome_name_Reference|gene_callers_id_171,Reference,GC_00001531,171,sp|P35878|T904_LACLA,29.289,239.0,9.57e-17,80.5,sp|P35878|T904_LACLA Transposase for insertion sequence element IS904 OS=Lactococcus lactis subsp. lactis (strain IL1403) OX=272623 GN=nisX1 PE=3 SV=1
00000082|gene_cluster_GC_00001432|genome_name_Reference|gene_callers_id_175,Reference,GC_00001432,175,sp|P80866|SUFC_BACSU,62.8,250.0,5.92e-116,335.0,sp|P80866|SUFC_BACSU Vegetative protein 296 OS=Bacillus subtilis (strain 168) OX=224308 GN=sufC PE=1 SV=3
00000107|gene_cluster_GC_00001399|genome_name_Reference|gene_callers_id_360,Reference,GC_00001399,360,sp|Q57594|T1S1_METJA,31.795,195.0,4.1e-12,67.4,sp|Q57594|T1S1_METJA Type I restriction enzyme MjaVII specificity subunit OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) OX=243232 GN=MJ0130 PE=1 SV=3
00000159|gene_cluster_GC_00001422|genome_name_Reference|gene_callers_id_180,Reference,GC_00001422,180,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000166|gene_cluster_GC_00001529|genome_name_Reference|gene_callers_id_179,Reference,GC_00001529,179,sp|O32162|SUFB_BACSU,57.952,459.0,0.0,587.0,sp|O32162|SUFB_BACSU Iron-sulfur cluster assembly protein SufB OS=Bacillus subtilis (strain 168) OX=224308 GN=sufB PE=3 SV=1
00000170|gene_cluster_GC_00001539|genome_name_Reference|gene_callers_id_176,Reference,GC_00001539,176,sp|O32165|SUFD_BACSU,38.509,161.0,3.09e-30,122.0,sp|O32165|SUFD_BACSU Iron-sulfur cluster assembly protein SufD OS=Bacillus subtilis (strain 168) OX=224308 GN=sufD PE=3 SV=1
00000192|gene_cluster_GC_00001606|genome_name_Reference|gene_callers_id_276,Reference,GC_00001606,276,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000197|gene_cluster_GC_00001527|genome_name_Reference|gene_callers_id_172,Reference,GC_00001527,172,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000200|gene_cluster_GC_00001571|genome_name_Reference|gene_callers_id_182,Reference,GC_00001571,182,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000203|gene_cluster_GC_00001478|genome_name_Reference|gene_callers_id_174,Reference,GC_00001478,174,sp|Q8Z138|NRDG_SALTI,42.953,149.0,2.29e-37,129.0,sp|Q8Z138|NRDG_SALTI Anaerobic ribonucleoside-triphosphate reductase-activating protein OS=Salmonella typhi OX=90370 GN=nrdG PE=3 SV=1
00000214|gene_cluster_GC_00001446|genome_name_Reference|gene_callers_id_132,Reference,GC_00001446,132,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000224|gene_cluster_GC_00001312|genome_name_Reference|gene_callers_id_34,Reference,GC_00001312,34,sp|Q06715|ADPR_LACLL,33.333,120.0,1.05e-13,75.1,sp|Q06715|ADPR_LACLL ATP-dependent protease OS=Lactococcus lactis subsp. lactis OX=1360 PE=4 SV=1
00000225|gene_cluster_GC_00001312|genome_name_Reference|gene_callers_id_226,Reference,GC_00001312,226,sp|Q06715|ADPR_LACLL,33.333,120.0,1.05e-13,75.1,sp|Q06715|ADPR_LACLL ATP-dependent protease OS=Lactococcus lactis subsp. lactis OX=1360 PE=4 SV=1
00000226|gene_cluster_GC_00001312|genome_name_Reference|gene_callers_id_444,Reference,GC_00001312,444,sp|Q06715|ADPR_LACLL,33.333,120.0,1.05e-13,75.1,sp|Q06715|ADPR_LACLL ATP-dependent protease OS=Lactococcus lactis subsp. lactis OX=1360 PE=4 SV=1
