query	subject	%pident	alignment_length	mismatches	gap_opens	qstart	qend	sstart	send	e-value	bitscore	function	genome
00000518|gene_cluster_GC_00003592|genome_name_P2216_UniAntwerpt_BE|gene_callers_id_2311	sp|Q70XJ9|LSC_FRUSA	66.667	105	33	1	10	112	774	878	2.24e-36	133.0	sp|Q70XJ9|LSC_FRUSA Levansucrase OS=Fructilactobacillus sanfranciscensis OX=1625 GN=levS PE=1 SV=1	P2216_UniAntwerpt_BE
00000518|gene_cluster_GC_00003592|genome_name_P2216_UniAntwerpt_BE|gene_callers_id_2311	sp|Q01443|SSP2_PLAYO	37.097	62	39	0	10	71	479	540	1.32e-08	54.7	sp|Q01443|SSP2_PLAYO Sporozoite surface protein 2 OS=Plasmodium yoelii yoelii OX=73239 GN=SSP2 PE=1 SV=2	P2216_UniAntwerpt_BE
00000518|gene_cluster_GC_00003592|genome_name_P2216_UniAntwerpt_BE|gene_callers_id_2311	sp|Q01443|SSP2_PLAYO	42.308	52	30	0	10	61	491	542	1.52e-08	54.3	sp|Q01443|SSP2_PLAYO Sporozoite surface protein 2 OS=Plasmodium yoelii yoelii OX=73239 GN=SSP2 PE=1 SV=2	P2216_UniAntwerpt_BE
00000518|gene_cluster_GC_00003592|genome_name_P2216_UniAntwerpt_BE|gene_callers_id_2311	sp|Q01443|SSP2_PLAYO	42.308	52	30	0	10	61	503	554	1.84e-08	54.3	sp|Q01443|SSP2_PLAYO Sporozoite surface protein 2 OS=Plasmodium yoelii yoelii OX=73239 GN=SSP2 PE=1 SV=2	P2216_UniAntwerpt_BE
00000518|gene_cluster_GC_00003592|genome_name_P2216_UniAntwerpt_BE|gene_callers_id_2311	sp|Q01443|SSP2_PLAYO	34.848	66	43	0	6	71	481	546	7.9e-08	52.4	sp|Q01443|SSP2_PLAYO Sporozoite surface protein 2 OS=Plasmodium yoelii yoelii OX=73239 GN=SSP2 PE=1 SV=2	P2216_UniAntwerpt_BE
00000518|gene_cluster_GC_00003592|genome_name_P2216_UniAntwerpt_BE|gene_callers_id_2311	sp|Q01443|SSP2_PLAYO	40.385	52	31	0	10	61	497	548	2.32e-07	50.8	sp|Q01443|SSP2_PLAYO Sporozoite surface protein 2 OS=Plasmodium yoelii yoelii OX=73239 GN=SSP2 PE=1 SV=2	P2216_UniAntwerpt_BE
00000518|gene_cluster_GC_00003592|genome_name_P2216_UniAntwerpt_BE|gene_callers_id_2311	sp|Q01443|SSP2_PLAYO	36.842	57	36	0	15	71	472	528	7.15e-07	49.7	sp|Q01443|SSP2_PLAYO Sporozoite surface protein 2 OS=Plasmodium yoelii yoelii OX=73239 GN=SSP2 PE=1 SV=2	P2216_UniAntwerpt_BE
00000518|gene_cluster_GC_00003592|genome_name_P2216_UniAntwerpt_BE|gene_callers_id_2311	sp|Q01443|SSP2_PLAYO	40.816	49	29	0	10	58	509	557	1.45e-06	48.5	sp|Q01443|SSP2_PLAYO Sporozoite surface protein 2 OS=Plasmodium yoelii yoelii OX=73239 GN=SSP2 PE=1 SV=2	P2216_UniAntwerpt_BE
00000518|gene_cluster_GC_00003592|genome_name_P2216_UniAntwerpt_BE|gene_callers_id_2311	sp|Q8CQD9|PLS_STAES	34.211	114	61	3	10	110	1353	1465	1.94e-08	53.9	sp|Q8CQD9|PLS_STAES Accumulation-associated protein OS=Staphylococcus epidermidis (strain ATCC 12228 / FDA PCI 1200) OX=176280 GN=SE_0175 PE=3 SV=1	P2216_UniAntwerpt_BE
00000518|gene_cluster_GC_00003592|genome_name_P2216_UniAntwerpt_BE|gene_callers_id_2311	sp|Q8CQD9|PLS_STAES	38.235	68	40	1	3	68	1290	1357	6.06e-06	47.0	sp|Q8CQD9|PLS_STAES Accumulation-associated protein OS=Staphylococcus epidermidis (strain ATCC 12228 / FDA PCI 1200) OX=176280 GN=SE_0175 PE=3 SV=1	P2216_UniAntwerpt_BE
