layers	Type_strain	Reference	P568_Madre_SD_BE	P527_SD_Italy	P526_SD_Italy	P518_SD_Italy	P516_SD_Italy	P515_SD_Italy	P2800_SD_BE	P2799_SD_BE	P2187_Madre_SD_BE	P2186_Madre_SD_BE	P2185_Madre_SD_BE	P2183_Madre_SD_BE	P2182_Madre_SD_BE	P1194_Madre_SD_BE	P1191_Madre_SD_BE	P1190_Madre_SD_BE
P1190_Madre_SD_BE	1123766.0	1185276.0	1181478.0	1156261.0	1138712.0	1135139.0	1143413.0	1159713.0	1266350.0	1282113.0	1263871.0	1259066.0	1263491.0	1281530.0	1273013.0	1141761.0	1154126.0	1282203.0
P1191_Madre_SD_BE	1150227.0	1170482.0	1147758.0	1155693.0	1138281.0	1210213.0	1142918.0	1157870.0	1158069.0	1161148.0	1173153.0	1172171.0	1168953.0	1160745.0	1161559.0	1135960.0	1242874.0	1160014.0
P1194_Madre_SD_BE	1123022.0	1146383.0	1135776.0	1127596.0	1114601.0	1127308.0	1113888.0	1128696.0	1145787.0	1150515.0	1160382.0	1156422.0	1155780.0	1150160.0	1146033.0	1298568.0	1136852.0	1149287.0
P2182_Madre_SD_BE	1121755.0	1181211.0	1177947.0	1160229.0	1139935.0	1134464.0	1142948.0	1162558.0	1272758.0	1278643.0	1261530.0	1258703.0	1260306.0	1278155.0	1279661.0	1138414.0	1155461.0	1277460.0
P2183_Madre_SD_BE	1124183.0	1183160.0	1182495.0	1160512.0	1142040.0	1138968.0	1147276.0	1164640.0	1265232.0	1282128.0	1263902.0	1258606.0	1263481.0	1282308.0	1272017.0	1145243.0	1158788.0	1280972.0
P2185_Madre_SD_BE	1118098.0	1194633.0	1180667.0	1154329.0	1135656.0	1141697.0	1139825.0	1158761.0	1246585.0	1261292.0	1283788.0	1277572.0	1284102.0	1260634.0	1250449.0	1143895.0	1163334.0	1260807.0
P2186_Madre_SD_BE	1122262.0	1198874.0	1183219.0	1153370.0	1131999.0	1141526.0	1135095.0	1155984.0	1244198.0	1256040.0	1282812.0	1283205.0	1278471.0	1255892.0	1249456.0	1152184.0	1164571.0	1254778.0
P2187_Madre_SD_BE	1119934.0	1195989.0	1186318.0	1153538.0	1135832.0	1141168.0	1136522.0	1156588.0	1242670.0	1258259.0	1285706.0	1276254.0	1279705.0	1257303.0	1247615.0	1148223.0	1162893.0	1255720.0
P2799_SD_BE	1125142.0	1183111.0	1182062.0	1155449.0	1137199.0	1133515.0	1139340.0	1157731.0	1265894.0	1282254.0	1262883.0	1257601.0	1262121.0	1281200.0	1270752.0	1142835.0	1151690.0	1279887.0
P2800_SD_BE	1122984.0	1179421.0	1174078.0	1153516.0	1132160.0	1134382.0	1135369.0	1155991.0	1278046.0	1278033.0	1260973.0	1258526.0	1260222.0	1277460.0	1277382.0	1140403.0	1153683.0	1277374.0
P515_SD_Italy	1134777.0	1215314.0	1190147.0	1282357.0	1230275.0	1144103.0	1231894.0	1324406.0	1160000.0	1163968.0	1165555.0	1162484.0	1161932.0	1163407.0	1161980.0	1131578.0	1159556.0	1164637.0
P516_SD_Italy	1133939.0	1209309.0	1178441.0	1245433.0	1239193.0	1145102.0	1249777.0	1246018.0	1153313.0	1157025.0	1156294.0	1153363.0	1154264.0	1156493.0	1154971.0	1123313.0	1153007.0	1156970.0
P518_SD_Italy	1148798.0	1162184.0	1137749.0	1149355.0	1142982.0	1226511.0	1144865.0	1152303.0	1146192.0	1148317.0	1156305.0	1155385.0	1153660.0	1147985.0	1147044.0	1133476.0	1223436.0	1147811.0
P526_SD_Italy	1134643.0	1207948.0	1180250.0	1248287.0	1252026.0	1147665.0	1242166.0	1248650.0	1158476.0	1163211.0	1160811.0	1158702.0	1160329.0	1162657.0	1161172.0	1124420.0	1156943.0	1162325.0
P527_SD_Italy	1135252.0	1215216.0	1187380.0	1287572.0	1232695.0	1142946.0	1233200.0	1283693.0	1159531.0	1163816.0	1163853.0	1161155.0	1160539.0	1163310.0	1161069.0	1130927.0	1159367.0	1162970.0
P568_Madre_SD_BE	1108437.0	1274244.0	1404823.0	1190632.0	1161214.0	1141297.0	1163904.0	1188489.0	1182851.0	1196749.0	1207100.0	1200361.0	1202759.0	1196691.0	1189713.0	1133428.0	1168578.0	1190571.0
Reference	1125748.0	1360847.0	1266828.0	1219511.0	1193027.0	1163448.0	1191770.0	1213049.0	1185922.0	1198260.0	1209991.0	1207671.0	1206641.0	1197365.0	1186938.0	1141567.0	1181137.0	1193048.0
Type_strain	1231754.0	1149750.0	1126478.0	1137800.0	1130989.0	1157258.0	1129898.0	1139043.0	1141367.0	1144992.0	1143194.0	1142299.0	1142745.0	1144663.0	1143203.0	1134095.0	1161964.0	1144663.0
