items	num_genomes_gene_cluster_has_hits	num_genes_in_gene_cluster	max_num_paralogs	SCG	functional_homogeneity_index	geometric_homogeneity_index	combined_homogeneity_index	AAI_min	AAI_max	AAI_avg
GC_00000001	37	308	14	0	0.443511276365644	0.82508837534549	0.576913288554582	0.19845644983462	1.0	0.800484460000206
GC_00000002	41	284	9	0	0.849887578619071	0.89130563077269	0.870103995651994	0.530612244897959	1.0	0.810628536489
GC_00000003	42	271	7	0	0.672695357273156	0.929899287064537	0.780657710731898	0.0554455445544554	1.0	0.588748729731522
GC_00000004	42	171	5	0	0.713995579056997	0.911216947700773	0.80063974588984	0.0293501048218029	1.0	0.583883188053992
GC_00000005	42	161	6	0	0.630232639772233	0.733694209356872	0.678039351808102	0.129396984924623	1.0	0.739307660195387
GC_00000006	42	148	6	0	0.731788772977049	0.9488095885871	0.826286899357434	0.146258503401361	1.0	0.645503375095212
GC_00000007	42	139	7	0	0.760350196538874	0.757087331553058	0.758715256063687	0.299212598425197	1.0	0.750154549417638
GC_00000008	21	139	13	0	0.493198919860551	0.742550307580022	0.592717359652484	0.0540540540540541	1.0	0.712209406297614
GC_00000009	42	134	4	0	0.871714564566096	1.0	0.931461004865535	0.712121212121212	1.0	0.847719706321434
GC_00000010	42	131	4	0	0.791026973736818	0.889820255392545	0.837520283336488	0.0192592592592593	1.0	0.642283203932059
GC_00000011	42	130	4	0	0.782998100213944	0.935579949516709	0.852515628469306	0.00422832980972516	1.0	0.644589086774052
GC_00000012	42	128	4	0	0.771684987020975	0.977197278126985	0.862366191156449	0.421686746987952	1.0	0.700220666129083
GC_00000013	42	127	4	0	0.775080244828396	0.750975715981385	0.762837611137361	0.166051660516605	1.0	0.648115480029941
GC_00000014	42	126	4	0	0.743009325026539	0.670823396699577	0.70507356568356	0.107011070110701	1.0	0.543981256955427
GC_00000015	42	126	3	0	0.752823178766936	0.975259278565971	0.849725413386965	0.492610837438424	1.0	0.685103448275862
GC_00000016	42	126	3	0	0.792530981019572	0.971263230544743	0.872841282599702	0.459893048128342	1.0	0.733328579916815
GC_00000017	42	123	4	0	0.750047900188431	0.931484740496258	0.830977831488663	0.048526863084922	1.0	0.652904869248141
GC_00000018	42	120	3	0	0.737959023086983	0.946323499490002	0.82925275996976	0.148876404494382	1.0	0.639286107701508
GC_00000019	42	118	3	0	0.791033705161999	0.944304392208049	0.860900366679145	0.452380952380952	1.0	0.709779736898381
GC_00000020	38	114	9	0	0.812612622533163	0.659202674837678	0.727912551714363	0.0033112582781457	1.0	0.621646971851477
GC_00000021	39	111	14	0	0.870904672147287	0.648392951014798	0.74335461573471	0.0288683602771363	1.0	0.577921213256086
