query	subject	pident	alignment_length	mismatches	gap_opens	qstart	qend	sstart	send	evalue	bitscore	function	genome
00000009|gene_cluster:GC_00005211|genome_name:P2506_Topinambur_IT|gene_callers_id:2674	sp|P0A0N5|QACR_STAHA	53.659	41	19	0	8	48	4	44	3.01e-06	49.3	sp|P0A0N5|QACR_STAHA HTH-type transcriptional regulator QacR OS=Staphylococcus haemolyticus OX=1283 GN=qacR PE=1 SV=1	P2506_Topinambur_IT
00000009|gene_cluster:GC_00005211|genome_name:P2506_Topinambur_IT|gene_callers_id:2674	sp|P0A0N4|QACR_STAAU	53.659	41	19	0	8	48	4	44	3.01e-06	49.3	sp|P0A0N4|QACR_STAAU HTH-type transcriptional regulator QacR OS=Staphylococcus aureus OX=1280 GN=qacR PE=1 SV=1	P2506_Topinambur_IT
00000009|gene_cluster:GC_00005211|genome_name:P2506_Topinambur_IT|gene_callers_id:2674	sp|P0A0N3|QACR_STAAM	53.659	41	19	0	8	48	4	44	3.01e-06	49.3	sp|P0A0N3|QACR_STAAM HTH-type transcriptional regulator QacR OS=Staphylococcus aureus (strain Mu50 / ATCC 700699) OX=158878 GN=qacR PE=1 SV=1	P2506_Topinambur_IT
00000009|gene_cluster:GC_00005211|genome_name:P2506_Topinambur_IT|gene_callers_id:2674	sp|Q5HKQ1|ICAR_STAEQ	31.579	76	51	1	8	83	2	76	4.44e-06	48.9	sp|Q5HKQ1|ICAR_STAEQ Biofilm operon icaADBC HTH-type negative transcriptional regulator IcaR OS=Staphylococcus epidermidis (strain ATCC 35984 / DSM 28319 / BCRC 17069 / CCUG 31568 / BM 3577 / RP62A) OX=176279 GN=icaR PE=1 SV=1	P2506_Topinambur_IT
00000009|gene_cluster:GC_00005211|genome_name:P2506_Topinambur_IT|gene_callers_id:2674	sp|Q8GLC6|ICAR_STAEP	31.579	76	51	1	8	83	2	76	4.67e-06	48.5	sp|Q8GLC6|ICAR_STAEP Biofilm operon icaADBC HTH-type negative transcriptional regulator IcaR OS=Staphylococcus epidermidis OX=1282 GN=icaR PE=3 SV=1	P2506_Topinambur_IT
00000013|gene_cluster:GC_00004870|genome_name:P2506_Topinambur_IT|gene_callers_id:2849	sp|P71366|T3MH_HAEIN	38.889	558	284	14	135	643	190	739	5.28e-100	325.0	sp|P71366|T3MH_HAEIN Probable type III restriction-modification enzyme HindVI Mod subunit OS=Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd) OX=71421 GN=mod PE=3 SV=2	P2506_Topinambur_IT
00000013|gene_cluster:GC_00004870|genome_name:P2506_Topinambur_IT|gene_callers_id:2849	sp|P71366|T3MH_HAEIN	36.538	104	65	1	26	129	25	127	4.15e-10	66.6	sp|P71366|T3MH_HAEIN Probable type III restriction-modification enzyme HindVI Mod subunit OS=Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd) OX=71421 GN=mod PE=3 SV=2	P2506_Topinambur_IT
00000013|gene_cluster:GC_00004870|genome_name:P2506_Topinambur_IT|gene_callers_id:2849	sp|P08763|T3MO_BPP1	34.204	383	198	11	176	510	92	468	2.16e-48	183.0	sp|P08763|T3MO_BPP1 Type III restriction-modification enzyme EcoPI Mod subunit OS=Escherichia phage P1 OX=2886926 GN=mod PE=1 SV=1	P2506_Topinambur_IT
00000013|gene_cluster:GC_00004870|genome_name:P2506_Topinambur_IT|gene_callers_id:2849	sp|P25238|MTK1_KLEPN	29.697	330	209	6	181	498	41	359	7.94e-40	154.0	sp|P25238|MTK1_KLEPN Type II methyltransferase M.KpnI OS=Klebsiella pneumoniae OX=573 GN=kpnIM PE=3 SV=1	P2506_Topinambur_IT
00000013|gene_cluster:GC_00004870|genome_name:P2506_Topinambur_IT|gene_callers_id:2849	sp|P40814|T3MO_SALTY	26.5	400	216	10	176	523	104	477	1.7299999999999999e-28	124.0	sp|P40814|T3MO_SALTY Type III restriction-modification enzyme StyLTI Mod subunit OS=Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720) OX=99287 GN=mod PE=1 SV=2	P2506_Topinambur_IT
00000013|gene_cluster:GC_00004870|genome_name:P2506_Topinambur_IT|gene_callers_id:2849	sp|P12364|T3MO_ECOLX	36.145	166	75	3	176	311	92	256	2.85e-20	99.0	sp|P12364|T3MO_ECOLX Type III restriction-modification enzyme EcoP15I Mod subunit OS=Escherichia coli OX=562 GN=mod PE=1 SV=2	P2506_Topinambur_IT
00000058|gene_cluster:GC_00004591|genome_name:P2506_Topinambur_IT|gene_callers_id:3026	sp|O34671|GLNM_BACSU	28.829	222	149	4	6	227	3	215	1.6299999999999997e-23	97.1	sp|O34671|GLNM_BACSU Probable glutamine ABC transporter permease protein GlnM OS=Bacillus subtilis (strain 168) OX=224308 GN=glnM PE=2 SV=1	P2506_Topinambur_IT
00000058|gene_cluster:GC_00004591|genome_name:P2506_Topinambur_IT|gene_callers_id:3026	sp|P42200|TCYB_BACSU	34.911	169	109	1	18	186	28	195	1.1500000000000002e-21	92.4	sp|P42200|TCYB_BACSU L-cystine transport system permease protein TcyB OS=Bacillus subtilis (strain 168) OX=224308 GN=tcyB PE=1 SV=1	P2506_Topinambur_IT
