layers	Reference	P815_Cocoa_CR	P800_Unknown_BE	P363_Unknown_BE	P360_Cocoa_CR	P3378_Banana_BE	P3335_RedCowpea_BE	P3334_WhiteCowpea_BE	P3333_Amaranth_BE	P3124_LMG_BE	P2809_Apricot_BE	P2764_Cocoa_VN	P2763_Cocoa_VN	P2746_Cocoa_VN	P2740_Qu_CN	P2712_SD_BE	P2711_SD_BE	P240_SD_IT	P2176_Unknown_BE	P2052_Cocoa_CR	P2029_Cocoa_CR	P2024_Cocoa_CR	P2020_Cocoa_CR	P187_SD_IT
P187_SD_IT	31374.0	36366.0	19842.0	34229.0	36577.0	33132.0	16303.0	16295.0	16264.0	31678.0	16243.0	31933.0	35710.0	36546.0	30493.0	32105.0	19016.0	10.0	17063.0	34266.0	36174.0	34121.0	34461.0	0.0
P2020_Cocoa_CR	33440.0	11447.0	32947.0	7693.0	12184.0	33829.0	35058.0	35022.0	34940.0	33909.0	34941.0	30853.0	10494.0	10874.0	35036.0	38298.0	35877.0	34804.0	33843.0	8470.0	10854.0	8579.0	0.0	35039.0
P2024_Cocoa_CR	33910.0	9145.0	31938.0	2814.0	10642.0	32218.0	33631.0	33611.0	33569.0	34453.0	33572.0	30760.0	8875.0	8950.0	35125.0	35437.0	34038.0	33623.0	34448.0	5152.0	6759.0	0.0	8099.0	33986.0
P2029_Cocoa_CR	34140.0	8883.0	32015.0	7161.0	9995.0	33732.0	36225.0	36172.0	36000.0	34780.0	36003.0	31453.0	9363.0	9514.0	36282.0	37090.0	36123.0	35699.0	34103.0	7681.0	0.0	6475.0	10602.0	35704.0
P2052_Cocoa_CR	34406.0	9388.0	31308.0	4456.0	11181.0	33350.0	33777.0	33762.0	33761.0	35386.0	33762.0	31905.0	9176.0	9138.0	36095.0	36775.0	34789.0	33986.0	34980.0	0.0	8044.0	5476.0	8381.0	34348.0
P2176_Unknown_BE	29761.0	36581.0	18432.0	34733.0	35009.0	31181.0	22047.0	22001.0	21993.0	31083.0	21980.0	30169.0	35973.0	33694.0	30529.0	32308.0	18666.0	17380.0	0.0	34833.0	34952.0	34620.0	33827.0	17713.0
P240_SD_IT	31380.0	36678.0	20336.0	34308.0	36692.0	32391.0	17010.0	16960.0	16925.0	31281.0	16905.0	32136.0	36242.0	37110.0	29953.0	32137.0	19629.0	0.0	17210.0	34681.0	35964.0	34196.0	34563.0	4.0
P2711_SD_BE	32336.0	37352.0	14318.0	35331.0	35769.0	30126.0	20449.0	20095.0	20160.0	31259.0	20156.0	30402.0	33520.0	33567.0	30001.0	33828.0	0.0	19505.0	17962.0	33029.0	36169.0	32783.0	34433.0	19672.0
P2712_SD_BE	13092.0	38549.0	32451.0	38280.0	33905.0	18498.0	33075.0	32983.0	32524.0	12839.0	32524.0	21093.0	34943.0	36384.0	17027.0	0.0	33682.0	31382.0	33998.0	36391.0	37715.0	34589.0	36346.0	31439.0
P2740_Qu_CN	13571.0	38737.0	30114.0	36678.0	34767.0	16937.0	29268.0	29267.0	29176.0	15267.0	29175.0	21838.0	35295.0	37652.0	0.0	16932.0	29610.0	30671.0	30503.0	36632.0	37480.0	36312.0	35135.0	30782.0
P2746_Cocoa_VN	33698.0	9270.0	32284.0	9220.0	11082.0	34466.0	33315.0	33342.0	33302.0	34199.0	33294.0	31799.0	5320.0	0.0	35914.0	35468.0	35239.0	36252.0	33210.0	9005.0	9142.0	8745.0	10018.0	36265.0
P2763_Cocoa_VN	34141.0	9033.0	30669.0	8605.0	10810.0	32413.0	32920.0	32871.0	32810.0	33324.0	32808.0	30855.0	0.0	5099.0	35704.0	34560.0	33592.0	33904.0	34285.0	9008.0	9212.0	9050.0	10009.0	33912.0
P2764_Cocoa_VN	22569.0	35216.0	31863.0	32867.0	30348.0	23127.0	31264.0	31256.0	31218.0	20892.0	31216.0	0.0	31950.0	33263.0	21690.0	22872.0	32057.0	34367.0	32451.0	33077.0	32842.0	32058.0	31410.0	34633.0
P2809_Apricot_BE	29997.0	35000.0	19595.0	34453.0	35919.0	30100.0	9.0	32.0	3.0	30496.0	0.0	29796.0	33761.0	33920.0	29472.0	31646.0	20352.0	16426.0	21112.0	34426.0	36537.0	34336.0	35357.0	16430.0
P3124_LMG_BE	13345.0	35060.0	29800.0	35242.0	33280.0	15317.0	31147.0	31118.0	31075.0	0.0	31077.0	20312.0	33804.0	34881.0	15394.0	13662.0	31563.0	32297.0	31916.0	35366.0	34643.0	35012.0	33324.0	32303.0
P3333_Amaranth_BE	30144.0	35489.0	19505.0	35110.0	36347.0	30161.0	45.0	32.0	0.0	30710.0	2.0	30358.0	34267.0	34280.0	29747.0	31075.0	20307.0	16374.0	21008.0	35047.0	36831.0	34850.0	35850.0	16379.0
P3334_WhiteCowpea_BE	29408.0	34387.0	19392.0	34149.0	35645.0	30009.0	5.0	0.0	58.0	29885.0	56.0	29503.0	33304.0	33347.0	28966.0	30753.0	19830.0	16275.0	21065.0	34058.0	36104.0	33829.0	35203.0	16275.0
P3335_RedCowpea_BE	29461.0	34024.0	19346.0	34118.0	35162.0	29934.0	0.0	53.0	72.0	30165.0	71.0	30105.0	33244.0	33098.0	29559.0	31382.0	19840.0	15958.0	21187.0	33902.0	35915.0	33717.0	34791.0	15963.0
P3378_Banana_BE	16299.0	35067.0	30001.0	34518.0	33351.0	0.0	31249.0	31053.0	30735.0	15887.0	30730.0	22321.0	33408.0	35093.0	17559.0	18408.0	29825.0	33452.0	31725.0	34023.0	34270.0	33581.0	34000.0	33565.0
P360_Cocoa_CR	33642.0	12125.0	31785.0	11140.0	0.0	33328.0	35793.0	35822.0	35779.0	34008.0	35791.0	29419.0	11092.0	11775.0	34114.0	35013.0	36499.0	35671.0	34532.0	11026.0	10004.0	10579.0	11959.0	35951.0
P363_Unknown_BE	33813.0	8999.0	31021.0	0.0	10503.0	32843.0	34045.0	34051.0	33981.0	33928.0	33980.0	31338.0	8639.0	9382.0	36979.0	36134.0	34899.0	33814.0	34196.0	4414.0	7071.0	2734.0	7407.0	33832.0
P800_Unknown_BE	28478.0	34068.0	0.0	32127.0	32863.0	29253.0	19867.0	19842.0	19811.0	28555.0	19815.0	29880.0	31499.0	33178.0	28505.0	30135.0	13030.0	21080.0	18610.0	31655.0	33234.0	32341.0	33569.0	21084.0
P815_Cocoa_CR	34363.0	0.0	33969.0	8801.0	11389.0	34059.0	33972.0	33952.0	33840.0	34495.0	33836.0	33718.0	8721.0	9723.0	36871.0	35349.0	35775.0	36138.0	35759.0	9230.0	9502.0	9216.0	10851.0	36410.0
Reference	0.0	37867.0	31797.0	37002.0	31399.0	18184.0	32239.0	32046.0	31544.0	12161.0	31544.0	20523.0	33750.0	33181.0	15044.0	12567.0	32541.0	29682.0	31487.0	33985.0	33204.0	33043.0	33104.0	29716.0
