query,genome,gene_cluster,gene_callers_id,subject,pident,alignment_length,evalue,bitscore,function
00000004|gene_cluster_GC_00003061|genome_name_P3378_Banana_BE|gene_callers_id_1762,P3378_Banana_BE,GC_00003061,1762,sp|A7LXS9|BGH2A_BACO1,26.962,790.0,9.38e-83,285.0,sp|A7LXS9|BGH2A_BACO1 Beta-galactosidase BoGH2A OS=Bacteroides ovatus (strain ATCC 8483 / DSM 1896 / JCM 5824 / BCRC 10623 / CCUG 4943 / NCTC 11153) OX=411476 GN=BACOVA_02645 PE=1 SV=1
00000007|gene_cluster_GC_00002708|genome_name_P3378_Banana_BE|gene_callers_id_1688,P3378_Banana_BE,GC_00002708,1688,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000008|gene_cluster_GC_00002929|genome_name_P3378_Banana_BE|gene_callers_id_1790,P3378_Banana_BE,GC_00002929,1790,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000012|gene_cluster_GC_00002545|genome_name_P3378_Banana_BE|gene_callers_id_1687,P3378_Banana_BE,GC_00002545,1687,sp|Q58577|Y1178_METJA,31.469,143.0,9.7e-09,59.7,sp|Q58577|Y1178_METJA Uncharacterized glycosyltransferase MJ1178 OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) OX=243232 GN=MJ1178 PE=3 SV=1
00000028|gene_cluster_GC_00003062|genome_name_P3378_Banana_BE|gene_callers_id_1776,P3378_Banana_BE,GC_00003062,1776,sp|Q9RMV4|Y6611_BACAN,25.256,293.0,2.92e-14,77.8,sp|Q9RMV4|Y6611_BACAN Uncharacterized protein pXO2-81/BXB0111/GBAA_pXO2_0111 OS=Bacillus anthracis OX=1392 GN=pXO2-81 PE=4 SV=1
00000073|gene_cluster_GC_00003116|genome_name_P3378_Banana_BE|gene_callers_id_514,P3378_Banana_BE,GC_00003116,514,sp|Q9WZY4|METY_THEMA,53.271,428.0,4.3500000000000005e-160,461.0,sp|Q9WZY4|METY_THEMA O-acetyl-L-homoserine sulfhydrylase OS=Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8) OX=243274 GN=TM_0882 PE=1 SV=1
00000075|gene_cluster_GC_00002535|genome_name_P3378_Banana_BE|gene_callers_id_1611,P3378_Banana_BE,GC_00002535,1611,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000079|gene_cluster_GC_00002610|genome_name_P3378_Banana_BE|gene_callers_id_1768,P3378_Banana_BE,GC_00002610,1768,sp|P9WF03|RHA78_ALTSL,33.504,782.0,1.36e-139,442.0,sp|P9WF03|RHA78_ALTSL Alpha-L-rhamnosidase OS=Alteromonas sp. (strain LOR) OX=1537994 GN=LOR_34 PE=1 SV=1
00000083|gene_cluster_GC_00003134|genome_name_P3378_Banana_BE|gene_callers_id_1600,P3378_Banana_BE,GC_00003134,1600,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000105|gene_cluster_GC_00002672|genome_name_P3378_Banana_BE|gene_callers_id_1599,P3378_Banana_BE,GC_00002672,1599,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
