gene_callers_id	source	accession	function	e_value
0	NCBI_PGAP	KGEHKDDB_00001	Chromosomal replication initiator protein DnaA (dnaA)	0
1	NCBI_PGAP	KGEHKDDB_00002	Beta sliding clamp (dnaN)	0
3	NCBI_PGAP	KGEHKDDB_00004	DNA replication and repair protein RecF (recF)	0
4	NCBI_PGAP	KGEHKDDB_00005	DNA gyrase subunit B (gyrB)	0
5	NCBI_PGAP	KGEHKDDB_00006	DNA gyrase subunit A GyrA (gyrA)	0
6	NCBI_PGAP	KGEHKDDB_00007	Small ribosomal subunit protein bS6 (rpsF)	0
7	NCBI_PGAP	KGEHKDDB_00008	Single-stranded DNA-binding protein A (ssbA)	0
8	NCBI_PGAP	KGEHKDDB_00009	Small ribosomal subunit protein bS18 (rpsR)	0
10	NCBI_PGAP	KGEHKDDB_00011	Dipeptide-binding protein (dppA_1)	0
13	NCBI_PGAP	KGEHKDDB_00014	Dipeptide-binding protein (dppA_2)	0
16	NCBI_PGAP	KGEHKDDB_00017	Cyclic-di-AMP phosphodiesterase GdpP (gdpP)	0
17	NCBI_PGAP	KGEHKDDB_00018	Large ribosomal subunit protein bL9 (rplI)	0
20	NCBI_PGAP	KGEHKDDB_00021	Replicative DNA helicase DnaC (dnaC)	0
21	NCBI_PGAP	KGEHKDDB_00022	Putative NAD(P)H-dependent FMN-containing oxidoreductase YwqN (ywqN)	0
24	NCBI_PGAP	KGEHKDDB_00025	Dipeptide-binding protein (dppA_3)	0
27	NCBI_PGAP	KGEHKDDB_00029	Transcriptional regulatory protein WalR (walR)	0
28	NCBI_PGAP	KGEHKDDB_00030	Sensor protein kinase WalK (walK)	0
30	NCBI_PGAP	KGEHKDDB_00032	Two-component system WalR/WalK regulatory protein YycI (yycI)	0
31	NCBI_PGAP	KGEHKDDB_00033	Exodeoxyribonuclease WalJ (walJ)	0
32	NCBI_PGAP	KGEHKDDB_00034	Serine protease Do-like HtrA (htrA)	0
33	NCBI_PGAP	KGEHKDDB_00035	Ribosomal RNA large subunit methyltransferase H (rlmH)	0
40	NCBI_PGAP	KGEHKDDB_00042	Cell wall protein	0
43	NCBI_PGAP	KGEHKDDB_00045	Foldase protein PrsA (prsA_1)	0
48	NCBI_PGAP	KGEHKDDB_00050	putative MFS-type transporter EfpA (efpA)	0
50	NCBI_PGAP	KGEHKDDB_00052	Ribosome protection protein VmlR (vmlR_1)	0
52	NCBI_PGAP	KGEHKDDB_00054	Multidrug export protein EmrB (emrB_1)	0
53	NCBI_PGAP	KGEHKDDB_00055	Arginine exporter protein ArgO (argO)	0
54	NCBI_PGAP	KGEHKDDB_00056	HTH-type transcriptional regulator MgrA (mgrA_1)	0
55	NCBI_PGAP	KGEHKDDB_00057	Acetyl esterase (aes)	0
56	NCBI_PGAP	KGEHKDDB_00058	ADP-ribosylarginine hydrolase Tri1 (tri1)	0
57	NCBI_PGAP	KGEHKDDB_00059	Galactoside O-acetyltransferase (lacA_1)	0
60	NCBI_PGAP	KGEHKDDB_00062	Peptidyl-lysine N-acetyltransferase YjaB (yjaB)	0
62	NCBI_PGAP	KGEHKDDB_00064	Dipeptide-binding protein (dppA_4)	0
70	NCBI_PGAP	KGEHKDDB_00072	1,4-dihydroxy-2-naphthoyl-CoA hydrolase (menI)	0
71	NCBI_PGAP	KGEHKDDB_00073	1,4-dihydroxy-2-naphthoyl-CoA synthase (menB)	0
72	NCBI_PGAP	KGEHKDDB_00074	2-succinylbenzoate--CoA ligase (menE)	0
