gene_callers_id	source	accession	function	e_value
0	NCBI_PGAP	BMKFACGC_00001	Chromosomal replication initiator protein DnaA (dnaA)	0
1	NCBI_PGAP	BMKFACGC_00002	Beta sliding clamp (dnaN)	0
3	NCBI_PGAP	BMKFACGC_00004	DNA replication and repair protein RecF (recF)	0
4	NCBI_PGAP	BMKFACGC_00005	DNA gyrase subunit B (gyrB)	0
5	NCBI_PGAP	BMKFACGC_00006	DNA gyrase subunit A GyrA (gyrA)	0
6	NCBI_PGAP	BMKFACGC_00007	Small ribosomal subunit protein bS6 (rpsF)	0
7	NCBI_PGAP	BMKFACGC_00008	Single-stranded DNA-binding protein A (ssbA)	0
8	NCBI_PGAP	BMKFACGC_00009	Small ribosomal subunit protein bS18 (rpsR)	0
10	NCBI_PGAP	BMKFACGC_00011	Dipeptide-binding protein (dppA_1)	0
13	NCBI_PGAP	BMKFACGC_00014	Dipeptide-binding protein (dppA_2)	0
16	NCBI_PGAP	BMKFACGC_00017	Cyclic-di-AMP phosphodiesterase GdpP (gdpP)	0
17	NCBI_PGAP	BMKFACGC_00018	Large ribosomal subunit protein bL9 (rplI)	0
20	NCBI_PGAP	BMKFACGC_00021	Replicative DNA helicase DnaC (dnaC)	0
21	NCBI_PGAP	BMKFACGC_00022	Putative NAD(P)H-dependent FMN-containing oxidoreductase YwqN (ywqN)	0
24	NCBI_PGAP	BMKFACGC_00025	Dipeptide-binding protein (dppA_3)	0
27	NCBI_PGAP	BMKFACGC_00029	Transcriptional regulatory protein WalR (walR)	0
28	NCBI_PGAP	BMKFACGC_00030	Sensor protein kinase WalK (walK)	0
30	NCBI_PGAP	BMKFACGC_00032	Two-component system WalR/WalK regulatory protein YycI (yycI)	0
31	NCBI_PGAP	BMKFACGC_00033	Exodeoxyribonuclease WalJ (walJ)	0
32	NCBI_PGAP	BMKFACGC_00034	Serine protease Do-like HtrA (htrA)	0
33	NCBI_PGAP	BMKFACGC_00035	Ribosomal RNA large subunit methyltransferase H (rlmH)	0
35	NCBI_PGAP	BMKFACGC_00037	IS30 family transposase IS1070	0
36	NCBI_PGAP	BMKFACGC_00038	Type III restriction-modification enzyme StyLTI Mod subunit (mod)	0
37	NCBI_PGAP	BMKFACGC_00039	Type III restriction-modification enzyme EcoP15I Res subunit (res_1)	0
38	NCBI_PGAP	BMKFACGC_00040	IS30 family transposase ISLsa1	0
39	NCBI_PGAP	BMKFACGC_00041	Type III restriction-modification enzyme EcoP15I Res subunit (res_2)	0
40	NCBI_PGAP	BMKFACGC_00042	IS30 family transposase ISLpl1	0
42	NCBI_PGAP	BMKFACGC_00044	IS30 family transposase ISLpl1	0
52	NCBI_PGAP	BMKFACGC_00054	Cell wall protein	0
55	NCBI_PGAP	BMKFACGC_00057	Foldase protein PrsA (prsA_1)	0
59	NCBI_PGAP	BMKFACGC_00061	putative MFS-type transporter EfpA (efpA)	0
61	NCBI_PGAP	BMKFACGC_00063	3-ketodihydrosphingosine reductase (kdsr_1)	0
63	NCBI_PGAP	BMKFACGC_00065	Ribosome protection protein VmlR (vmlR_1)	0
65	NCBI_PGAP	BMKFACGC_00067	Multidrug export protein EmrB (emrB_1)	0
66	NCBI_PGAP	BMKFACGC_00068	Arginine exporter protein ArgO (argO)	0
67	NCBI_PGAP	BMKFACGC_00069	HTH-type transcriptional regulator MgrA (mgrA)	0
68	NCBI_PGAP	BMKFACGC_00070	Acetyl esterase (aes)	0
69	NCBI_PGAP	BMKFACGC_00071	ADP-ribosylarginine hydrolase Tri1 (tri1)	0
70	NCBI_PGAP	BMKFACGC_00072	Maltose O-acetyltransferase (maa_1)	0
73	NCBI_PGAP	BMKFACGC_00075	Peptidyl-lysine N-acetyltransferase YjaB (yjaB)	0
75	NCBI_PGAP	BMKFACGC_00077	Dipeptide-binding protein (dppA_4)	0
76	NCBI_PGAP	BMKFACGC_00078	IS30 family transposase ISLsa1	0
77	NCBI_PGAP	BMKFACGC_00079	Dipeptide-binding protein (dppA_5)	0
88	NCBI_PGAP	BMKFACGC_00090	1,4-dihydroxy-2-naphthoyl-CoA hydrolase (menI)	0
89	NCBI_PGAP	BMKFACGC_00091	1,4-dihydroxy-2-naphthoyl-CoA synthase (menB)	0
90	NCBI_PGAP	BMKFACGC_00092	2-succinylbenzoate--CoA ligase (menE)	0
93	NCBI_PGAP	BMKFACGC_00095	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L- lysine ligase (murE)	0
94	NCBI_PGAP	BMKFACGC_00096	Lysine--tRNA ligase (lysS)	0
97	NCBI_PGAP	BMKFACGC_00101	3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase (hcaB)	0
101	NCBI_PGAP	BMKFACGC_00105	Glutamate/gamma-aminobutyrate antiporter (gadC_1)	0
102	NCBI_PGAP	BMKFACGC_00106	Glutamate decarboxylase (gadB_1)	0
103	NCBI_PGAP	BMKFACGC_00107	Glutamate--tRNA ligase (gltX_1)	0
106	NCBI_PGAP	BMKFACGC_00113	Proton/sodium-glutamate symport protein (gltT)	0
107	NCBI_PGAP	BMKFACGC_00114	Alkyl hydroperoxide reductase C (ahpC)	0
109	NCBI_PGAP	BMKFACGC_00116	putative sugar epimerase YhfK (yhfK_1)	0
112	NCBI_PGAP	BMKFACGC_00119	6-phosphogluconate dehydrogenase, decarboxylating (gnd)	0
114	NCBI_PGAP	BMKFACGC_00121	Protein ElaA (elaA_1)	0
116	NCBI_PGAP	BMKFACGC_00123	Glucose-6-phosphate 1-dehydrogenase (zwf)	0
117	NCBI_PGAP	BMKFACGC_00124	SPbeta prophage-derived aminoglycoside N(3')-acetyltransferase-like protein YokD (yokD)	0
119	NCBI_PGAP	BMKFACGC_00126	Coniferyl aldehyde dehydrogenase (calB)	0
120	NCBI_PGAP	BMKFACGC_00127	Pyridoxine 4-dehydrogenase (pdxI)	0
121	NCBI_PGAP	BMKFACGC_00128	IS30 family transposase ISHahy9	0
124	NCBI_PGAP	BMKFACGC_00131	Phosphoglycerate transporter protein (pgtP)	0
126	NCBI_PGAP	BMKFACGC_00133	Multidrug transporter protein MdtP (mdtP_1)	0
128	NCBI_PGAP	BMKFACGC_00135	FMN reductase (NADPH) (nfrA1)	0
129	NCBI_PGAP	BMKFACGC_00136	Putative NrdI-like protein	0
130	NCBI_PGAP	BMKFACGC_00137	Ribosome protection protein VmlR (vmlR_2)	0
131	NCBI_PGAP	BMKFACGC_00138	Fatty acid resistance protein FarB (farB)	0
133	NCBI_PGAP	BMKFACGC_00140	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase (kduD_1)	0
134	NCBI_PGAP	BMKFACGC_00141	HTH-type transcriptional regulator KdgR (kdgR_1)	0
139	NCBI_PGAP	BMKFACGC_00146	Acid shock protein	0
140	NCBI_PGAP	BMKFACGC_00147	Inner membrane transporter YjeM (yjeM_1)	0
141	NCBI_PGAP	BMKFACGC_00148	Glyoxal reductase (yvgN_1)	0
143	NCBI_PGAP	BMKFACGC_00150	Calcium-transporting ATPase CtpE (ctpE)	0
146	NCBI_PGAP	BMKFACGC_00153	Aldehyde-alcohol dehydrogenase (adhE)	0
153	NCBI_PGAP	BMKFACGC_00160	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase 1 (kduI1_1)	0
154	NCBI_PGAP	BMKFACGC_00161	2-dehydro-3-deoxygluconokinase (kdgK_1)	0
155	NCBI_PGAP	BMKFACGC_00162	Acetate kinase (ackA_1)	0
157	NCBI_PGAP	BMKFACGC_00164	Multidrug efflux system permease protein	0
158	NCBI_PGAP	BMKFACGC_00165	Multidrug efflux system ATP-binding protein	0
159	NCBI_PGAP	BMKFACGC_00166	putative protein YedJ (yedJ)	0
161	NCBI_PGAP	BMKFACGC_00168	Uronate isomerase (uxaC_1)	0
162	NCBI_PGAP	BMKFACGC_00169	Glucuronide carrier protein (uidB)	0
163	NCBI_PGAP	BMKFACGC_00170	Oligosaccharide 4-alpha-D-glucosyltransferase	0
164	NCBI_PGAP	BMKFACGC_00171	Beta-glucuronidase (bglR)	0
165	NCBI_PGAP	BMKFACGC_00172	High-affinity gluconate transporter (gntP)	0
166	NCBI_PGAP	BMKFACGC_00173	2-dehydro-3-deoxy-phosphogluconate aldolase (kdgA_1)	0
167	NCBI_PGAP	BMKFACGC_00174	2-dehydro-3-deoxygluconokinase (kdgK_2)	0
168	NCBI_PGAP	BMKFACGC_00175	Uronate isomerase (uxaC_2)	0
170	NCBI_PGAP	BMKFACGC_00177	putative symporter YjmB (yjmB_1)	0
171	NCBI_PGAP	BMKFACGC_00178	HTH-type transcriptional repressor RspR (rspR_1)	0
172	NCBI_PGAP	BMKFACGC_00179	Mannonate dehydratase (uxuA_1)	0
173	NCBI_PGAP	BMKFACGC_00180	D-mannonate oxidoreductase (uxuB)	0
174	NCBI_PGAP	BMKFACGC_00181	Protein LacX, plasmid (lacX_1)	0
175	NCBI_PGAP	BMKFACGC_00182	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase (gpmA_1)	0
176	NCBI_PGAP	BMKFACGC_00183	Hydroxypyruvate reductase	0
177	NCBI_PGAP	BMKFACGC_00184	Xylulose kinase (xylB_1)	0
178	NCBI_PGAP	BMKFACGC_00185	6-phosphogluconate dehydrogenase, NAD(+)-dependent, decarboxylating	0
179	NCBI_PGAP	BMKFACGC_00186	HTH-type transcriptional repressor RspR (rspR_2)	0
180	NCBI_PGAP	BMKFACGC_00187	Mannonate dehydratase (uxuA_2)	0
181	NCBI_PGAP	BMKFACGC_00188	putative HTH-type transcriptional repressor ExuR (exuR)	0
182	NCBI_PGAP	BMKFACGC_00189	putative symporter YjmB (yjmB_2)	0
183	NCBI_PGAP	BMKFACGC_00190	Tagaturonate/fructuronate epimerase (uxaE)	0
184	NCBI_PGAP	BMKFACGC_00191	Uronate isomerase (uxaC_3)	0
187	NCBI_PGAP	BMKFACGC_00194	putative transport protein HsrA (hsrA)	0
192	NCBI_PGAP	BMKFACGC_00199	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK (ybaK)	0
193	NCBI_PGAP	BMKFACGC_00200	HTH-type transcriptional repressor NagR (nagR_1)	0
195	NCBI_PGAP	BMKFACGC_00202	Transcription elongation factor GreA (greA_1)	0
197	NCBI_PGAP	BMKFACGC_00204	Accessory gene regulator A (agrA)	0
200	NCBI_PGAP	BMKFACGC_00207	NADP-dependent (R)-specific alcohol dehydrogenase (adh_1)	0
202	NCBI_PGAP	BMKFACGC_00209	Ribosomal large subunit pseudouridine synthase D (rluD_1)	0
203	NCBI_PGAP	BMKFACGC_00210	Putative universal stress protein	0
204	NCBI_PGAP	BMKFACGC_00211	Manganese efflux system protein MneS (mneS_1)	0
205	NCBI_PGAP	BMKFACGC_00212	Multidrug resistance protein Stp (stp_1)	0
207	NCBI_PGAP	BMKFACGC_00214	Oligopeptide-binding protein OppA (oppA)	0
208	NCBI_PGAP	BMKFACGC_00215	Oligopeptide transport system permease protein OppC (oppC)	0
209	NCBI_PGAP	BMKFACGC_00216	Oligopeptide transport system permease protein OppB (oppB)	0
210	NCBI_PGAP	BMKFACGC_00217	Oligopeptide transport ATP-binding protein OppF (oppF_1)	0
211	NCBI_PGAP	BMKFACGC_00218	Oligopeptide transport ATP-binding protein OppD (oppD)	0
213	NCBI_PGAP	BMKFACGC_00220	Lipoate-protein ligase LplJ (lplJ_1)	0
218	NCBI_PGAP	BMKFACGC_00225	Xylose isomerase (xylA)	0
219	NCBI_PGAP	BMKFACGC_00226	Xylulose kinase (xylB_2)	0
220	NCBI_PGAP	BMKFACGC_00227	D-xylose transporter (xylT_1)	0
221	NCBI_PGAP	BMKFACGC_00228	Diacetyl reductase [(S)-acetoin forming] (butA)	0
222	NCBI_PGAP	BMKFACGC_00229	Intracellular iron chaperone frataxin (fra)	0
224	NCBI_PGAP	BMKFACGC_00231	Putative universal stress protein	0
226	NCBI_PGAP	BMKFACGC_00233	putative succinyl-diaminopimelate desuccinylase (dapE_1)	0
229	NCBI_PGAP	BMKFACGC_00236	Aldo-keto reductase/MSMEI_2347	0
232	NCBI_PGAP	BMKFACGC_00239	Na(+)/H(+) antiporter NhaC (nhaC_1)	0
234	NCBI_PGAP	BMKFACGC_00241	(R)-2-hydroxyglutarate dehydrogenase (hgdH)	0
235	NCBI_PGAP	BMKFACGC_00242	Sensor histidine kinase DcuS (dcuS)	0
236	NCBI_PGAP	BMKFACGC_00243	Transcriptional regulatory protein DcuR (dcuR)	0
240	NCBI_PGAP	BMKFACGC_00247	IS5 family transposase ISLpl3	0
241	NCBI_PGAP	BMKFACGC_00248	IS5 family transposase ISLpl3	0
248	NCBI_PGAP	BMKFACGC_00255	Phenolic acid decarboxylase PadC (padC)	0
249	NCBI_PGAP	BMKFACGC_00256	Negative transcriptional regulator PadR (padR)	0
251	NCBI_PGAP	BMKFACGC_00258	3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase	0
252	NCBI_PGAP	BMKFACGC_00259	Protein ElaA (elaA_2)	0
259	NCBI_PGAP	BMKFACGC_00266	Putative universal stress protein	0
260	NCBI_PGAP	BMKFACGC_00267	Divalent metal cation transporter MntH (mntH_1)	0
262	NCBI_PGAP	BMKFACGC_00269	IS5 family transposase ISLpl3	0
263	NCBI_PGAP	BMKFACGC_00270	IS5 family transposase ISLpl3	0
264	NCBI_PGAP	BMKFACGC_00271	GMP reductase (guaC)	0
265	NCBI_PGAP	BMKFACGC_00272	Adenylosuccinate synthetase (purA)	0
266	NCBI_PGAP	BMKFACGC_00273	Adenylosuccinate lyase (purB)	0
268	NCBI_PGAP	BMKFACGC_00275	Succinate-semialdehyde dehydrogenase [NADP(+)] 1 (gabD1_1)	0
270	NCBI_PGAP	BMKFACGC_00277	Fatty acid metabolism regulator protein (fadR)	0
271	NCBI_PGAP	BMKFACGC_00278	2-succinyl-6-hydroxy-2, 4-cyclohexadiene-1-carboxylate synthase (menH_1)	0
272	NCBI_PGAP	BMKFACGC_00279	Triple specificity protein phosphatase PtpB (ptpB_1)	0
273	NCBI_PGAP	BMKFACGC_00280	Monoterpene epsilon-lactone hydrolase (mlhB)	0
274	NCBI_PGAP	BMKFACGC_00281	Kumamolisin-As (scpA_1)	0
276	NCBI_PGAP	BMKFACGC_00283	Putative glutamine amidotransferase	0
278	NCBI_PGAP	BMKFACGC_00285	Endonuclease III (nth_1)	0
279	NCBI_PGAP	BMKFACGC_00286	Glycerol kinase (glpK_1)	0
282	NCBI_PGAP	BMKFACGC_00289	Thermostable beta-glucosidase B (bglB_1)	0
283	NCBI_PGAP	BMKFACGC_00290	HTH-type transcriptional activator RhaR (rhaR_1)	0
284	NCBI_PGAP	BMKFACGC_00291	Beta-galactosidase BgaA (bgaA)	0
286	NCBI_PGAP	BMKFACGC_00293	IS5 family transposase ISCaa8	0
290	NCBI_PGAP	BMKFACGC_00297	Triuret hydrolase TrtA (trtA)	0
294	NCBI_PGAP	BMKFACGC_00301	putative tRNA-dihydrouridine synthase (dus)	0
295	NCBI_PGAP	BMKFACGC_00302	Enoyl-[acyl-carrier-protein] reductase [NADH] (fabV)	0
296	NCBI_PGAP	BMKFACGC_00303	Flavodoxin	0
298	NCBI_PGAP	BMKFACGC_00305	Threonine/serine transporter ThrP (thrP)	0
302	NCBI_PGAP	BMKFACGC_00309	putative succinyl-diaminopimelate desuccinylase (dapE_2)	0
303	NCBI_PGAP	BMKFACGC_00310	IS30 family transposase ISLpl1	0
304	NCBI_PGAP	BMKFACGC_00311	Alcohol dehydrogenase 1 (adhA_1)	0
306	NCBI_PGAP	BMKFACGC_00313	IS30 family transposase ISSag3	0
307	NCBI_PGAP	BMKFACGC_00314	Vitamin B12 import ATP-binding protein BtuD (btuD_1)	0
308	NCBI_PGAP	BMKFACGC_00315	putative ergothioneine transporter EgtUBC (egtUBC)	0
313	NCBI_PGAP	BMKFACGC_00320	putative cation-transporting ATPase F (ctpF)	0
314	NCBI_PGAP	BMKFACGC_00321	Dipeptidase A (pepDA_1)	0
