query	subject	pident	alignment_length	mismatches	gap_opens	qstart	qend	sstart	send	evalue	bitscore	function	genome
00000110|gene_cluster:GC_00004874|genome_name:Reference_reformatted|gene_callers_id:1274	sp|Q8U1P0|HERA_PYRFU	40.0	125	66	3	479	603	400	515	1.72e-14	80.1	sp|Q8U1P0|HERA_PYRFU DNA double-strand break repair helicase HerA OS=Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1) OX=186497 GN=herA PE=1 SV=1	Reference_reformatted
00000110|gene_cluster:GC_00004874|genome_name:Reference_reformatted|gene_callers_id:1274	sp|Q96YR7|HERA_SULTO	28.27	237	151	6	387	616	254	478	2.24e-14	79.7	sp|Q96YR7|HERA_SULTO DNA double-strand break repair helicase HerA OS=Sulfurisphaera tokodaii (strain DSM 16993 / JCM 10545 / NBRC 100140 / 7) OX=273063 GN=herA PE=1 SV=1	Reference_reformatted
00000110|gene_cluster:GC_00004874|genome_name:Reference_reformatted|gene_callers_id:1274	sp|Q96YR7|HERA_SULTO	31.959	97	53	4	110	206	97	180	0.001	45.4	sp|Q96YR7|HERA_SULTO DNA double-strand break repair helicase HerA OS=Sulfurisphaera tokodaii (strain DSM 16993 / JCM 10545 / NBRC 100140 / 7) OX=273063 GN=herA PE=1 SV=1	Reference_reformatted
00000110|gene_cluster:GC_00004874|genome_name:Reference_reformatted|gene_callers_id:1274	sp|Q58960|Y1565_METJA	25.907	193	129	4	426	616	307	487	2.74e-13	76.3	sp|Q58960|Y1565_METJA Probable helicase MJ1565 OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) OX=243232 GN=MJ1565 PE=3 SV=1	Reference_reformatted
00000110|gene_cluster:GC_00004874|genome_name:Reference_reformatted|gene_callers_id:1274	sp|Q58960|Y1565_METJA	24.59	183	112	8	145	325	137	295	0.000586	46.6	sp|Q58960|Y1565_METJA Probable helicase MJ1565 OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) OX=243232 GN=MJ1565 PE=3 SV=1	Reference_reformatted
00000110|gene_cluster:GC_00004874|genome_name:Reference_reformatted|gene_callers_id:1274	sp|F2Z5Z6|HERA_SULAC	30.481	187	118	4	432	616	303	479	5.74e-13	75.1	sp|F2Z5Z6|HERA_SULAC DNA double-strand break repair helicase HerA OS=Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770) OX=330779 GN=herA PE=1 SV=1	Reference_reformatted
00000110|gene_cluster:GC_00004874|genome_name:Reference_reformatted|gene_callers_id:1274	sp|F2Z5Z6|HERA_SULAC	27.972	143	86	6	66	206	54	181	0.002	44.7	sp|F2Z5Z6|HERA_SULAC DNA double-strand break repair helicase HerA OS=Sulfolobus acidocaldarius (strain ATCC 33909 / DSM 639 / JCM 8929 / NBRC 15157 / NCIMB 11770) OX=330779 GN=herA PE=1 SV=1	Reference_reformatted
00000110|gene_cluster:GC_00004874|genome_name:Reference_reformatted|gene_callers_id:1274	sp|Q60270|Y3508_METJA	30.201	149	93	2	448	596	367	504	1.16e-12	74.3	sp|Q60270|Y3508_METJA Probable helicase MJECL08 OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) OX=243232 GN=MJECL08 PE=3 SV=1	Reference_reformatted
00000110|gene_cluster:GC_00004874|genome_name:Reference_reformatted|gene_callers_id:1274	sp|Q60270|Y3508_METJA	29.71	138	86	4	71	206	76	204	0.000141	48.5	sp|Q60270|Y3508_METJA Probable helicase MJECL08 OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) OX=243232 GN=MJECL08 PE=3 SV=1	Reference_reformatted
00000113|gene_cluster:GC_00004259|genome_name:Reference_reformatted|gene_callers_id:1275	sp|P46330|YXBF_BACSU	27.848	158	96	6	5	150	197	348	0.000155	44.7	sp|P46330|YXBF_BACSU Uncharacterized HTH-type transcriptional regulator YxbF OS=Bacillus subtilis (strain 168) OX=224308 GN=yxbF PE=4 SV=1	Reference_reformatted
00000236|gene_cluster:GC_00005045|genome_name:Reference_reformatted|gene_callers_id:1432	sp|Q5WNW9|BCRR_ENTFL	34.568	81	50	1	4	84	5	82	9.24e-11	61.2	sp|Q5WNW9|BCRR_ENTFL HTH-type transcriptional activator BcrR OS=Enterococcus faecalis OX=1351 GN=bcrR PE=1 SV=1	Reference_reformatted
00000236|gene_cluster:GC_00005045|genome_name:Reference_reformatted|gene_callers_id:1432	sp|P96631|IMMR_BACSU	38.095	63	39	0	2	64	3	65	2.49e-06	47.8	sp|P96631|IMMR_BACSU HTH-type transcriptional regulator ImmR OS=Bacillus subtilis (strain 168) OX=224308 GN=immR PE=1 SV=1	Reference_reformatted
00000236|gene_cluster:GC_00005045|genome_name:Reference_reformatted|gene_callers_id:1432	sp|O31943|YONR_BACSU	37.705	61	38	0	1	61	1	61	2.62e-05	44.7	sp|O31943|YONR_BACSU SPbeta prophage-derived uncharacterized HTH-type transcriptional regulator YonR OS=Bacillus subtilis (strain 168) OX=224308 GN=yonR PE=4 SV=1	Reference_reformatted
00000236|gene_cluster:GC_00005045|genome_name:Reference_reformatted|gene_callers_id:1432	sp|P23789|XRE_BACSU	35.484	62	38	1	1	62	1	60	0.000453	41.2	sp|P23789|XRE_BACSU HTH-type transcriptional regulator Xre OS=Bacillus subtilis (strain 168) OX=224308 GN=xre PE=1 SV=1	Reference_reformatted
00000236|gene_cluster:GC_00005045|genome_name:Reference_reformatted|gene_callers_id:1432	sp|O34647|YOBD_BACSU	31.429	70	46	1	1	68	1	70	0.000487	41.2	sp|O34647|YOBD_BACSU Uncharacterized HTH-type transcriptional regulator YobD OS=Bacillus subtilis (strain 168) OX=224308 GN=yobD PE=4 SV=1	Reference_reformatted
00000285|gene_cluster:GC_00005036|genome_name:Reference_reformatted|gene_callers_id:825	sp|Q2FDS6|Y2518_STAA3	51.825	274	129	2	1	274	1	271	5.11e-95	284.0	sp|Q2FDS6|Y2518_STAA3 Uncharacterized hydrolase SAUSA300_2518 OS=Staphylococcus aureus (strain USA300) OX=367830 GN=SAUSA300_2518 PE=1 SV=1	Reference_reformatted
00000285|gene_cluster:GC_00005036|genome_name:Reference_reformatted|gene_callers_id:825	sp|Q8NUP5|Y2501_STAAW	51.825	274	129	2	1	274	1	271	1.12e-94	283.0	sp|Q8NUP5|Y2501_STAAW Uncharacterized hydrolase MW2501 OS=Staphylococcus aureus (strain MW2) OX=196620 GN=MW2501 PE=3 SV=1	Reference_reformatted
00000285|gene_cluster:GC_00005036|genome_name:Reference_reformatted|gene_callers_id:825	sp|Q2FV39|Y2900_STAA8	51.825	274	129	2	1	274	1	271	1.8299999999999998e-94	282.0	sp|Q2FV39|Y2900_STAA8 Uncharacterized hydrolase SAOUHSC_02900 OS=Staphylococcus aureus (strain NCTC 8325 / PS 47) OX=93061 GN=SAOUHSC_02900 PE=1 SV=1	Reference_reformatted
