enzyme,genome_name,db_name,gene_caller_id,contig,modules_with_enzyme,enzyme_definition,warnings
K25026,P1211_Sourdough_BE,P1211_Sourdough_BE,1132,c_000000000003,"M00001,M00549",glucokinase [EC:2.7.1.2],
K01810,P1211_Sourdough_BE,P1211_Sourdough_BE,2394,c_000000000014,"M00001,M00004",glucose-6-phosphate isomerase [EC:5.3.1.9],
K01624,P1211_Sourdough_BE,P1211_Sourdough_BE,425,c_000000000001,"M00001,M00003,M00165,M00345,M00344,M00611,M00612","fructose-bisphosphate aldolase, class II [EC:4.1.2.13]",
K01803,P1211_Sourdough_BE,P1211_Sourdough_BE,1329,c_000000000004,"M00001,M00002,M00003,M00165",triosephosphate isomerase (TIM) [EC:5.3.1.1],
K00134,P1211_Sourdough_BE,P1211_Sourdough_BE,1331,c_000000000004,"M00001,M00002,M00003,M00308,M00552,M00165,M00611,M00612",glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12],
K00927,P1211_Sourdough_BE,P1211_Sourdough_BE,1330,c_000000000004,"M00001,M00002,M00003,M00308,M00552,M00165,M00611,M00612",phosphoglycerate kinase [EC:2.7.2.3],
K01834,P1211_Sourdough_BE,P1211_Sourdough_BE,2281,c_000000000012,"M00001,M00002,M00003","2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]",
K01834,P1211_Sourdough_BE,P1211_Sourdough_BE,2033,c_000000000010,"M00001,M00002,M00003","2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]",
K01689,P1211_Sourdough_BE,P1211_Sourdough_BE,1328,c_000000000004,"M00001,M00002,M00003,M00346",enolase 1/2/3 [EC:4.2.1.11],
K01689,P1211_Sourdough_BE,P1211_Sourdough_BE,810,c_000000000002,"M00001,M00002,M00003,M00346",enolase 1/2/3 [EC:4.2.1.11],
K00873,P1211_Sourdough_BE,P1211_Sourdough_BE,789,c_000000000002,"M00001,M00002",pyruvate kinase [EC:2.7.1.40],
K01610,P1211_Sourdough_BE,P1211_Sourdough_BE,2871,c_000000000025,"M00003,M00170",phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49],
K00627,P1211_Sourdough_BE,P1211_Sourdough_BE,1596,c_000000000006,M00307,pyruvate dehydrogenase E2 component (dihydrolipoyllysine-residue acetyltransferase) [EC:2.3.1.12],
K00382,P1211_Sourdough_BE,P1211_Sourdough_BE,1595,c_000000000006,"M00307,M00009,M00011,M00532,M00621,M00036,M00032",dihydrolipoyl dehydrogenase [EC:1.8.1.4],
K01679,P1211_Sourdough_BE,P1211_Sourdough_BE,1715,c_000000000007,"M00009,M00011,M00982,M00173,M00376,M00613,M00614","fumarate hydratase, class II [EC:4.2.1.2]",
K00036,P1211_Sourdough_BE,P1211_Sourdough_BE,1429,c_000000000005,"M00004,M00006,M00008",glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363],
K07404,P1211_Sourdough_BE,P1211_Sourdough_BE,1652,c_000000000006,"M00004,M00006,M00008",6-phosphogluconolactonase [EC:3.1.1.31],
K00033,P1211_Sourdough_BE,P1211_Sourdough_BE,1105,c_000000000003,"M00004,M00006",6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343],
K00033,P1211_Sourdough_BE,P1211_Sourdough_BE,2563,c_000000000017,"M00004,M00006",6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343],
K01783,P1211_Sourdough_BE,P1211_Sourdough_BE,1177,c_000000000003,"M00004,M00007,M00165",ribulose-phosphate 3-epimerase [EC:5.1.3.1],
K01807,P1211_Sourdough_BE,P1211_Sourdough_BE,445,c_000000000001,"M00004,M00007,M00580,M00165,M00611,M00612",ribose 5-phosphate isomerase A [EC:5.3.1.6],
K01807,P1211_Sourdough_BE,P1211_Sourdough_BE,2278,c_000000000012,"M00004,M00007,M00580,M00165,M00611,M00612",ribose 5-phosphate isomerase A [EC:5.3.1.6],
K00615,P1211_Sourdough_BE,P1211_Sourdough_BE,2778,c_000000000022,"M00004,M00007,M00165,M00611,M00612",transketolase [EC:2.2.1.1],
K00615,P1211_Sourdough_BE,P1211_Sourdough_BE,1739,c_000000000007,"M00004,M00007,M00165,M00611,M00612",transketolase [EC:2.2.1.1],
K00615,P1211_Sourdough_BE,P1211_Sourdough_BE,68,c_000000000001,"M00004,M00007,M00165,M00611,M00612",transketolase [EC:2.2.1.1],
K00616,P1211_Sourdough_BE,P1211_Sourdough_BE,69,c_000000000001,"M00004,M00007",transaldolase [EC:2.2.1.2],
K00948,P1211_Sourdough_BE,P1211_Sourdough_BE,524,c_000000000001,M00005,ribose-phosphate pyrophosphokinase [EC:2.7.6.1],
K00948,P1211_Sourdough_BE,P1211_Sourdough_BE,1606,c_000000000006,M00005,ribose-phosphate pyrophosphokinase [EC:2.7.6.1],
K00874,P1211_Sourdough_BE,P1211_Sourdough_BE,353,c_000000000001,"M00308,M00631,M00061",2-dehydro-3-deoxygluconokinase [EC:2.7.1.45],
K01785,P1211_Sourdough_BE,P1211_Sourdough_BE,1298,c_000000000004,M00632,aldose 1-epimerase [EC:5.1.3.3],
K01785,P1211_Sourdough_BE,P1211_Sourdough_BE,746,c_000000000002,M00632,aldose 1-epimerase [EC:5.1.3.3],
K01785,P1211_Sourdough_BE,P1211_Sourdough_BE,651,c_000000000002,M00632,aldose 1-epimerase [EC:5.1.3.3],
K01785,P1211_Sourdough_BE,P1211_Sourdough_BE,31,c_000000000001,M00632,aldose 1-epimerase [EC:5.1.3.3],
K00849,P1211_Sourdough_BE,P1211_Sourdough_BE,26,c_000000000001,"M00632,M00554",galactokinase [EC:2.7.1.6],
K01784,P1211_Sourdough_BE,P1211_Sourdough_BE,2240,c_000000000012,"M00632,M01004",UDP-glucose 4-epimerase [EC:5.1.3.2],
K01784,P1211_Sourdough_BE,P1211_Sourdough_BE,25,c_000000000001,"M00632,M01004",UDP-glucose 4-epimerase [EC:5.1.3.2],
K01784,P1211_Sourdough_BE,P1211_Sourdough_BE,2610,c_000000000018,"M00632,M01004",UDP-glucose 4-epimerase [EC:5.1.3.2],
K00963,P1211_Sourdough_BE,P1211_Sourdough_BE,1363,c_000000000004,"M00129,M00854,M00549",UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9],
K01809,P1211_Sourdough_BE,P1211_Sourdough_BE,1861,c_000000000008,"M00114,M01000,M01006",mannose-6-phosphate isomerase [EC:5.3.1.8],
K02821,P1211_Sourdough_BE,P1211_Sourdough_BE,72,c_000000000001,M00550,ascorbate PTS system EIIA or EIIAB component [EC:2.7.1.194],
K02821,P1211_Sourdough_BE,P1211_Sourdough_BE,2775,c_000000000022,M00550,ascorbate PTS system EIIA or EIIAB component [EC:2.7.1.194],
K02822,P1211_Sourdough_BE,P1211_Sourdough_BE,2776,c_000000000022,M00550,ascorbate PTS system EIIB component [EC:2.7.1.194],
K02822,P1211_Sourdough_BE,P1211_Sourdough_BE,71,c_000000000001,M00550,ascorbate PTS system EIIB component [EC:2.7.1.194],
K03475,P1211_Sourdough_BE,P1211_Sourdough_BE,2777,c_000000000022,M00550,ascorbate PTS system EIIC component,
