items	num_genomes_gene_cluster_has_hits	num_genes_in_gene_cluster	max_num_paralogs	SCG	functional_homogeneity_index	geometric_homogeneity_index	combined_homogeneity_index	AAI_min	AAI_max	AAI_avg
GC_00000001	18	137	17	0	0.417038272710992	0.847264435392442	0.558951103087585	0.279498781761225	1.0	0.838380895433521
GC_00000002	18	114	9	0	0.817687346608797	0.626018879860947	0.709130025784005	0.0495049504950495	1.0	0.469838693231223
GC_00000003	18	112	12	0	0.699921262373056	0.59362851111634	0.642407776486836	0.0254237288135593	1.0	0.47799827672709
GC_00000004	17	107	9	0	0.81262439832039	0.597183567838789	0.688442609419938	0.0460122699386503	1.0	0.550564003924823
GC_00000005	18	84	7	0	0.886341407477859	0.623912421007946	0.732326451287389	0.0952380952380952	1.0	0.622227686255225
GC_00000006	18	82	10	0	0.913854396597716	0.625657226097052	0.742780500521472	0.0101781170483461	1.0	0.485041217389839
GC_00000007	18	71	6	0	0.725039554377683	0.646718625749286	0.683643212067609	0.121359223300971	1.0	0.574063800277393
GC_00000008	17	65	7	0	0.93511669862706	0.826090012928247	0.877228732538804	0.0235294117647059	1.0	0.748800904977376
GC_00000009	18	59	6	0	0.976280494924726	0.616030544822236	0.755403423295205	0.0511945392491468	1.0	0.509882849978956
GC_00000010	18	51	3	0	0.791024224178449	0.688403578428806	0.736154756032897	0.0265486725663717	1.0	0.516330614841807
GC_00000011	17	50	6	0	0.931100515866813	0.599152445548758	0.729122785839602	0.056782334384858	1.0	0.572085237880641
GC_00000012	18	48	3	0	0.53309858652962	0.736426535579432	0.618479994390496	0.161137440758294	1.0	0.708688363416356
GC_00000013	18	46	3	0	0.74165294609841	0.652043170524298	0.693967261061986	0.0237467018469657	1.0	0.568582463385721
GC_00000014	18	46	4	0	0.866885932816201	0.677427347218638	0.760535113439658	0.0458715596330275	1.0	0.548400478659753
GC_00000015	18	44	3	0	0.787220628648488	0.697195307380727	0.739478086762105	0.261208576998051	1.0	0.614801627041529
GC_00000016	18	43	4	0	0.794694938156117	0.6843670964918	0.735416168737096	0.0116959064327485	1.0	0.522209917558755
GC_00000017	17	41	5	0	0.954367881596009	0.691732396523337	0.802098378423874	0.0459183673469388	1.0	0.723382279741165
GC_00000018	17	38	3	0	0.861137964970954	0.598489537715652	0.706182997533612	0.16260162601626	1.0	0.538389480623114
GC_00000019	18	38	3	0	0.93475098521516	0.607535147062041	0.736431541961126	0.0	1.0	0.514179219302956
GC_00000020	18	37	3	0	0.858148148148148	0.95148281234816	0.902408536586298	0.00448430493273543	1.0	0.779016684846281
GC_00000021	18	37	3	0	0.798929338213735	0.858072429912031	0.827445391738457	0.0510204081632653	1.0	0.628508610651468
GC_00000022	16	37	3	0	0.773581613321368	0.634878883497668	0.697400647116477	0.0879120879120879	1.0	0.53988878988879
GC_00000023	18	37	3	0	0.841037156517018	0.928069007048102	0.882412299289439	0.0448717948717949	1.0	0.721688034188034
GC_00000024	17	37	4	0	0.880222796461997	0.655654576990783	0.751521072251382	0.0125	1.0	0.545350037537538
GC_00000025	18	36	2	0	0.788179900614031	0.979161827332561	0.873351949482577	0.475694444444444	1.0	0.730373677248677
GC_00000026	18	36	2	0	0.823484675640733	0.98218487394958	0.895860698904864	0.564705882352941	1.0	0.774192343604108
GC_00000027	18	36	2	0	0.819728517904306	0.768626151661866	0.793355272845153	0.285714285714286	1.0	0.628401360544218
GC_00000028	18	36	2	0	0.820938367362458	0.994014597223917	0.899224097265159	0.55952380952381	1.0	0.776190476190476
GC_00000029	18	36	2	0	0.846740079141968	0.899919080252728	0.872520032470024	0.239651416122004	1.0	0.686817443026593
GC_00000030	18	36	2	0	0.810170734365865	0.960571521050562	0.878983863676369	0.497005988023952	1.0	0.743436935652504
GC_00000031	18	36	2	0	0.877442109359798	0.852557281636603	0.864820720102592	0.291878172588832	1.0	0.728788977519942
GC_00000032	18	36	3	0	0.874513868800823	0.643077993716293	0.7411487081813	0.0909090909090909	1.0	0.604112554112554
GC_00000033	18	36	2	0	0.846544012542076	0.747968533886584	0.79420922130686	0.269709543568465	1.0	0.707291049199763
GC_00000034	18	36	3	0	0.872622410862327	0.946989544601755	0.908286293668631	0.0433639947437582	1.0	0.78900152264147
GC_00000035	18	36	2	0	0.810718713051517	0.982817773803617	0.88851134792284	0.50354609929078	1.0	0.758437464820444
GC_00000036	18	36	2	0	0.782964814707155	0.990857338756322	0.8747285415573	0.487903225806452	1.0	0.738805683563748
GC_00000037	18	36	2	0	0.88146182428764	0.843304125709614	0.861960885856395	0.33469387755102	1.0	0.759034661483641
GC_00000038	18	35	3	0	0.857117242177107	0.747198802300842	0.798392534925419	0.0	1.0	0.638666818078583
GC_00000039	18	35	3	0	0.836614824155808	0.617019900926081	0.710230688641298	0.0650406504065041	1.0	0.482052333128373
GC_00000040	18	35	2	0	0.841863258236618	0.974413784490419	0.903301802736117	0.584615384615385	1.0	0.786118755194385
GC_00000041	18	35	2	0	0.85180506787901	0.7517137283621	0.798635556894068	0.272340425531915	1.0	0.624698730556052
GC_00000042	18	35	6	0	0.989842869137579	0.870180334907684	0.926162423671744	0.613138686131387	1.0	0.883150340428142
GC_00000043	18	35	2	0	0.654699568348331	0.662701961876368	0.658676460334836	0.324074074074074	1.0	0.622823944392572
GC_00000044	18	35	3	0	0.990745936442025	0.650778522552716	0.785557806598499	0.00189393939393939	1.0	0.489976445123504
GC_00000045	18	35	2	0	0.671716711471575	0.647174674037462	0.659217352647048	0.0432276657060519	1.0	0.63669871406776
GC_00000046	18	34	2	0	1.0	1.0	1.0	1.0	1.0	1.0
GC_00000047	18	34	2	0	0.929743193335051	0.7152376557265	0.80850466120381	0.0610932475884244	1.0	0.509637704833468
GC_00000048	17	32	9	0	1.0	1.0	1.0	1.0	1.0	1.0
GC_00000049	18	32	2	0	0.841248197194179	0.617528722961368	0.71223353993218	0.168316831683168	1.0	0.558228201852443
GC_00000050	18	32	2	0	0.811259198969037	0.658790393990172	0.727118010000079	0.0483490566037736	1.0	0.662655013694461
GC_00000051	18	32	2	0	0.823743505016402	0.702727012551618	0.758438247875535	0.053030303030303	1.0	0.497617302052786
GC_00000052	18	30	3	0	0.690058795458434	0.65518304722936	0.67216883987574	0.0547445255474453	1.0	0.614883798976424
GC_00000053	18	30	2	0	0.729773309304752	0.657034788518887	0.691496469768599	0.216494845360825	1.0	0.587771062922147
GC_00000054	18	30	3	0	0.975221806784388	0.596461815338323	0.740203131272077	0.0462724935732648	1.0	0.491327600981001
GC_00000055	18	30	3	0	0.858696970077055	0.667738956909703	0.751273484806741	0.0414847161572052	1.0	0.551453094413492
GC_00000056	18	29	2	0	0.937854947823349	0.64032977121745	0.761047090279618	0.0760517799352751	1.0	0.51801855660242
GC_00000057	18	28	2	0	0.92588139850844	0.690205055446654	0.790858707379897	0.047085201793722	1.0	0.517338126082521
GC_00000058	18	28	2	0	0.938068688431252	0.643833003510422	0.763586744041543	0.0161290322580645	1.0	0.513227513227513
GC_00000059	18	28	2	0	0.854987583900086	0.687255473395137	0.762000378527544	0.0447019867549669	1.0	0.553742247450857
GC_00000060	18	27	2	0	0.912258499957817	0.991196596458191	0.95009072917013	0.745283018867924	1.0	0.884660180257665
GC_00000061	18	27	2	0	0.971004418324196	0.762672106068331	0.854320831257097	0.0566037735849057	1.0	0.563096581964507
GC_00000062	18	27	2	0	0.856330605405453	0.987661504235472	0.917319298098641	0.567816091954023	1.0	0.798762157382847
GC_00000063	18	27	2	0	0.820632520218292	0.728240427116833	0.771680825154766	0.0966292134831461	1.0	0.557706712762893
GC_00000064	18	27	5	0	0.868715416195633	0.781141320837589	0.822604159994249	0.145328719723183	1.0	0.645146344108282
GC_00000065	18	26	2	0	0.993846637767489	0.630141073252102	0.771266411342005	0.0408759124087591	1.0	0.55150589556429
GC_00000066	18	26	2	0	0.874205630847345	0.809089030846706	0.840387845002944	0.376518218623482	1.0	0.749486141388975
GC_00000067	18	26	2	0	0.874647464746475	0.626333619404671	0.729950721008039	0.312977099236641	1.0	0.572871403405754
GC_00000068	18	26	2	0	0.992079473754866	0.621398039711294	0.764158452886943	0.162650602409639	1.0	0.553141797961075
