gene_callers_id	source	accession	function	e_value
0	KOfam	K02313	chromosomal replication initiator protein	3.7e-180
1	KOfam	K02914	large subunit ribosomal protein L34	4.4e-19
2	KOfam	K03536	ribonuclease P protein component [EC:3.1.26.5]	1.9e-29
3	KOfam	K03217	YidC/Oxa1 family membrane protein insertase	7.4e-75
4	KOfam	K15580	oligopeptide transport system substrate-binding protein	9.5e-120
6	KOfam	K06346	spoIIIJ-associated protein	1.6e-68
7	KOfam	K03650	tRNA modification GTPase [EC:3.6.-.-]	3.8e-171
8	KOfam	K03495	tRNA uridine 5-carboxymethylaminomethyl modification enzyme	1.9e-293
13	KOfam	K03100	signal peptidase I [EC:3.4.21.89]	2e-49
14	KOfam	K01372	bleomycin hydrolase [EC:3.4.22.40]	9.4e-167
15	KOfam	K22300	HTH-type transcriptional regulator, cell division transcriptional repressor	3.6e-18
16	KOfam	K25232	fatty acid kinase fatty acid binding subunit	1.3e-86
19	KOfam	K13727	phenacrylate decarboxylase [EC:4.1.1.102]	1.9e-88
20	KOfam	K26739	PadR family transcriptional regulator, phenolic acid-responsive transcriptional regulator	1.5e-69
22	KOfam	K04072	acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1]	0
23	KOfam	K02529	LacI family transcriptional regulator, galactose operon repressor	1.2e-98
24	KOfam	K00852	ribokinase [EC:2.7.1.15]	6.8e-112
25	KOfam	K06726	D-ribose pyranase [EC:5.4.99.62]	3.6e-58
26	KOfam	K06216	putative ribose uptake protein	8e-138
27	KOfam	K00068	sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140]	2.9e-94
30	KOfam	K02783	glucitol/sorbitol PTS system EIIC component	9.2e-82
31	KOfam	K02782	glucitol/sorbitol PTS system EIIB component [EC:2.7.1.198]	6.4e-159
32	KOfam	K02781	glucitol/sorbitol PTS system EIIA component [EC:2.7.1.198]	9.6e-40
34	KOfam	K02103	GntR family transcriptional regulator, arabinose operon transcriptional repressor	1.6e-78
35	KOfam	K06147	ATP-binding cassette, subfamily B, bacterial	5.3e-191
35	KOfam	K18890	ATP-binding cassette, subfamily B, multidrug efflux pump	9.9e-228
36	KOfam	K18889	ATP-binding cassette, subfamily B, multidrug efflux pump	6.9e-218
38	KOfam	K12373	hexosaminidase [EC:3.2.1.52]	1.9e-28
39	KOfam	K17319	putative aldouronate transport system permease protein	3.8e-106
40	KOfam	K17320	putative aldouronate transport system permease protein	5.4e-103
41	KOfam	K17318	putative aldouronate transport system substrate-binding protein	2.5e-65
44	KOfam	K07718	two-component system, sensor histidine kinase YesM [EC:2.7.13.3]	2.8e-92
45	KOfam	K07720	two-component system, response regulator YesN	8e-91
47	KOfam	K10112	multiple sugar transport system ATP-binding protein [EC:7.5.2.-]	2e-174
49	KOfam	K02103	GntR family transcriptional regulator, arabinose operon transcriptional repressor	1.6e-93
50	KOfam	K09704	uncharacterized protein	9.5e-161
51	KOfam	K15524	2-O-(6-phospho-alpha-D-mannosyl)-D-glycerate hydrolase [EC:3.2.1.-]	3.9e-230
53	KOfam	K01223	6-phospho-beta-glucosidase [EC:3.2.1.86]	6.2e-144
58	KOfam	K07273	lysozyme	1.7e-29
77	KOfam	K07487	transposase	1.2e-22
78	KOfam	K07485	transposase	7.5e-39
80	KOfam	K22103	DeoR family transcriptional regulator, carbon catabolite repression regulator	1.7e-59
82	KOfam	K06610	MFS transporter, SP family, inositol transporter	7.4e-170
83	KOfam	K00848	rhamnulokinase [EC:2.7.1.5]	1.7e-188
84	KOfam	K03534	L-rhamnose mutarotase [EC:5.1.3.32]	8e-35
85	KOfam	K01813	L-rhamnose isomerase [EC:5.3.1.14]	3.6e-198
86	KOfam	K01629	rhamnulose-1-phosphate aldolase [EC:4.1.2.19]	3.8e-112
87	KOfam	K07149	uncharacterized protein	1.6e-34
89	KOfam	K00158	pyruvate oxidase [EC:1.2.3.3]	5.4e-244
90	KOfam	K19587	Rrf2 family transcriptional regulator, repressor of oqxAB	2e-21
91	KOfam	K00158	pyruvate oxidase [EC:1.2.3.3]	1.2e-229
92	KOfam	K10530	L-lactate oxidase [EC:1.1.3.2]	1e-170
94	KOfam	K04086	ATP-dependent Clp protease ATP-binding subunit ClpL	0
95	KOfam	K07813	accessory gene regulator B	6.6e-40
96	KOfam	K07800	AgrD protein	2.5e-06
97	KOfam	K07706	two-component system, LytTR family, sensor histidine kinase AgrC [EC:2.7.13.3]	5.4e-84
98	KOfam	K07707	two-component system, LytTR family, response regulator AgrA	3.2e-78
99	KOfam	K16509	regulatory protein spx	6.7e-49
100	KOfam	K03781	catalase [EC:1.11.1.6]	8.2e-240
105	KOfam	K00529	3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin reductase component [EC:1.18.1.3]	1.9e-100
106	KOfam	K01788	N-acylglucosamine-6-phosphate 2-epimerase [EC:5.1.3.9]	1.1e-98
107	KOfam	K02103	GntR family transcriptional regulator, arabinose operon transcriptional repressor	2.2e-133
110	KOfam	K03077	L-ribulose-5-phosphate 4-epimerase [EC:5.1.3.4]	1.6e-97
111	KOfam	K01804	L-arabinose isomerase [EC:5.3.1.4]	1e-192
112	KOfam	K00661	maltose O-acetyltransferase [EC:2.3.1.79]	1.2e-78
114	KOfam	K01621	xylulose-5-phosphate/fructose-6-phosphate phosphoketolase [EC:4.1.2.9 4.1.2.22]	0
116	KOfam	K02773	galactitol PTS system EIIA component [EC:2.7.1.200]	8e-54
117	KOfam	K02774	galactitol PTS system EIIB component [EC:2.7.1.200]	1.6e-33
118	KOfam	K02775	galactitol PTS system EIIC component	3.7e-164
120	KOfam	K01091	phosphoglycolate phosphatase [EC:3.1.3.18]	1.2e-34
122	KOfam	K02821	ascorbate PTS system EIIA or EIIAB component [EC:2.7.1.194]	1.3e-40
123	KOfam	K02822	ascorbate PTS system EIIB component [EC:2.7.1.194]	2.6e-25
124	KOfam	K03475	ascorbate PTS system EIIC component	7.2e-167
125	KOfam	K00616	transaldolase [EC:2.2.1.2]	1.6e-54
126	KOfam	K00615	transketolase [EC:2.2.1.1]	2.1e-184
127	KOfam	K21064	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]	9.4e-57
