locus_tag	ftype	length_bp	gene	EC_number	COG	product
HLLCJJMH_00001	CDS	1350	dnaA		COG0593	Chromosomal replication initiator protein DnaA
HLLCJJMH_00002	CDS	1140	dnaN		COG0592	Beta sliding clamp
HLLCJJMH_00003	CDS	228				hypothetical protein
HLLCJJMH_00004	CDS	1155	recF		COG1195	DNA replication and repair protein RecF
HLLCJJMH_00005	CDS	1944	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
HLLCJJMH_00006	CDS	2535	gyrA			DNA gyrase subunit A GyrA
HLLCJJMH_00007	CDS	297	rpsF		COG0360	Small ribosomal subunit protein bS6
HLLCJJMH_00008	CDS	567	ssbA		COG0629	Single-stranded DNA-binding protein A
HLLCJJMH_00009	CDS	237	rpsR		COG0238	Small ribosomal subunit protein bS18
HLLCJJMH_00010	CDS	1188			COG1228	putative protein
HLLCJJMH_00011	CDS	1608	dppA_1		COG4166	Dipeptide-binding protein
HLLCJJMH_00012	CDS	777				hypothetical protein
HLLCJJMH_00013	CDS	1185			COG1228	putative protein
HLLCJJMH_00014	CDS	1602	dppA_2		COG4166	Dipeptide-binding protein
HLLCJJMH_00015	CDS	567				hypothetical protein
HLLCJJMH_00016	CDS	735				hypothetical protein
HLLCJJMH_00017	CDS	2016	gdpP	3.1.4.59	COG3887	Cyclic-di-AMP phosphodiesterase GdpP
HLLCJJMH_00018	CDS	459	rplI			Large ribosomal subunit protein bL9
HLLCJJMH_00019	CDS	219				hypothetical protein
HLLCJJMH_00020	CDS	144				hypothetical protein
HLLCJJMH_00021	CDS	1389	dnaC	5.6.2.3	COG0305	Replicative DNA helicase DnaC
HLLCJJMH_00022	CDS	531	ywqN	1.-.-.-	COG0655	Putative NAD(P)H-dependent FMN-containing oxidoreductase YwqN
HLLCJJMH_00023	CDS	1176				hypothetical protein
HLLCJJMH_00024	CDS	270				hypothetical protein
HLLCJJMH_00025	CDS	1611	dppA_3		COG4166	Dipeptide-binding protein
HLLCJJMH_00026	CDS	246				hypothetical protein
HLLCJJMH_00027	CDS	1002				hypothetical protein
HLLCJJMH_00028	tRNA	76				tRNA-Lys(ctt)
HLLCJJMH_00029	CDS	717	walR		COG0745	Transcriptional regulatory protein WalR
HLLCJJMH_00030	CDS	1857	walK	2.7.13.3	COG5002	Sensor protein kinase WalK
HLLCJJMH_00031	CDS	1302				hypothetical protein
HLLCJJMH_00032	CDS	855	yycI		COG4853	Two-component system WalR/WalK regulatory protein YycI
HLLCJJMH_00033	CDS	828	walJ	3.1.11.-	COG1235	Exodeoxyribonuclease WalJ
HLLCJJMH_00034	CDS	1344	htrA	3.4.21.107	COG0265	Serine protease Do-like HtrA
HLLCJJMH_00035	CDS	480	rlmH	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
HLLCJJMH_00036	CDS	363				hypothetical protein
HLLCJJMH_00037	CDS	357				hypothetical protein
HLLCJJMH_00038	CDS	138				hypothetical protein
HLLCJJMH_00039	CDS	258				hypothetical protein
HLLCJJMH_00040	CDS	306				hypothetical protein
HLLCJJMH_00041	CDS	405				hypothetical protein
HLLCJJMH_00042	CDS	255				hypothetical protein
HLLCJJMH_00043	CDS	465				hypothetical protein
HLLCJJMH_00044	CDS	549				hypothetical protein
HLLCJJMH_00045	CDS	327				hypothetical protein
HLLCJJMH_00046	CDS	114				hypothetical protein
HLLCJJMH_00047	CDS	1467				hypothetical protein
HLLCJJMH_00048	CDS	348				hypothetical protein
HLLCJJMH_00049	CDS	1878				hypothetical protein
HLLCJJMH_00050	CDS	132				hypothetical protein
HLLCJJMH_00051	CDS	1323				hypothetical protein
HLLCJJMH_00052	CDS	1632				hypothetical protein
HLLCJJMH_00053	CDS	4734				hypothetical protein
HLLCJJMH_00054	CDS	669				hypothetical protein
HLLCJJMH_00055	CDS	930			COG2826	IS30 family transposase ISLpl1
HLLCJJMH_00056	CDS	177				hypothetical protein
HLLCJJMH_00057	CDS	369				hypothetical protein
HLLCJJMH_00058	CDS	240				hypothetical protein
HLLCJJMH_00059	CDS	1707				hypothetical protein
HLLCJJMH_00060	CDS	363				hypothetical protein
HLLCJJMH_00061	CDS	255				hypothetical protein
HLLCJJMH_00062	CDS	465				hypothetical protein
HLLCJJMH_00063	CDS	549				hypothetical protein
HLLCJJMH_00064	CDS	324				hypothetical protein
HLLCJJMH_00065	CDS	96				hypothetical protein
HLLCJJMH_00066	CDS	1572				hypothetical protein
HLLCJJMH_00067	CDS	357				hypothetical protein
HLLCJJMH_00068	CDS	789				hypothetical protein
HLLCJJMH_00069	CDS	1323				hypothetical protein
HLLCJJMH_00070	CDS	1632				hypothetical protein
HLLCJJMH_00071	CDS	2973				hypothetical protein
HLLCJJMH_00072	CDS	1593		2.1.1.72		Type I restriction enzyme MpnII methylase subunit
HLLCJJMH_00073	CDS	1278				hypothetical protein
HLLCJJMH_00074	CDS	369				hypothetical protein
HLLCJJMH_00075	CDS	1821			COG0737	Cell wall protein
HLLCJJMH_00076	CDS	453				hypothetical protein
HLLCJJMH_00077	CDS	1026			COG2826	IS30 family transposase ISSag3
HLLCJJMH_00078	CDS	351				hypothetical protein
HLLCJJMH_00079	CDS	1224				Putative transposase for insertion sequence element IS5376
HLLCJJMH_00080	CDS	738				IS21 family transposase IS712
HLLCJJMH_00081	CDS	1635				hypothetical protein
HLLCJJMH_00082	CDS	1845				hypothetical protein
HLLCJJMH_00083	CDS	132				hypothetical protein
HLLCJJMH_00084	CDS	516				hypothetical protein
HLLCJJMH_00085	CDS	570				hypothetical protein
HLLCJJMH_00086	CDS	453				hypothetical protein
HLLCJJMH_00087	CDS	1884			COG0737	Cell wall protein
HLLCJJMH_00088	CDS	489				hypothetical protein
HLLCJJMH_00089	CDS	1128				hypothetical protein
HLLCJJMH_00090	CDS	924	prsA_1	5.2.1.8		Foldase protein PrsA
HLLCJJMH_00091	CDS	168				hypothetical protein
HLLCJJMH_00092	CDS	2073				hypothetical protein
HLLCJJMH_00093	CDS	294				hypothetical protein
HLLCJJMH_00094	CDS	993				hypothetical protein
