gene_callers_id	source	accession	function	e_value
1	KOfam	K00784	ribonuclease Z [EC:3.1.26.11]	1.2e-25
2	KOfam	K16509	regulatory protein spx	3.4e-65
3	KOfam	K16511	adapter protein MecA 1/2	7e-64
5	KOfam	K06198	competence protein CoiA	3e-70
6	KOfam	K08602	oligoendopeptidase F [EC:3.4.24.-]	6.2e-207
8	KOfam	K07816	GTP pyrophosphokinase [EC:2.7.6.5]	2.3e-91
9	KOfam	K00858	NAD+ kinase [EC:2.7.1.23]	1.4e-36
11	KOfam	K06201	copper homeostasis protein	1.5e-67
12	KOfam	K07404	6-phosphogluconolactonase [EC:3.1.1.31]	4.5e-113
13	KOfam	K02781	glucitol/sorbitol PTS system EIIA component [EC:2.7.1.198]	4.1e-29
15	KOfam	K02954	small subunit ribosomal protein S14	7.1e-33
16	KOfam	K00563	23S rRNA (guanine745-N1)-methyltransferase [EC:2.1.1.187]	1e-77
18	KOfam	K03311	branched-chain amino acid:cation transporter, LIVCS family	5.6e-157
19	KOfam	K07118	uncharacterized protein	4.1e-56
20	KOfam	K03216	tRNA (cytidine/uridine-2'-O-)-methyltransferase [EC:2.1.1.207]	2.8e-67
21	KOfam	K03466	DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family	6.1e-212
23	KOfam	K03284	magnesium transporter	7e-42
25	KOfam	K03925	transcriptional regulator MraZ	1.9e-56
26	KOfam	K03438	16S rRNA (cytosine1402-N4)-methyltransferase [EC:2.1.1.199]	1.1e-138
27	KOfam	K03586	cell division protein FtsL	1.6e-11
28	KOfam	K08724	penicillin-binding protein 2B	8.9e-261
29	KOfam	K01000	phospho-N-acetylmuramoyl-pentapeptide-transferase [EC:2.7.8.13]	7.6e-125
30	KOfam	K01925	UDP-N-acetylmuramoylalanine--D-glutamate ligase [EC:6.3.2.9]	3.4e-141
31	KOfam	K02563	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase [EC:2.4.1.227]	1.3e-118
32	KOfam	K03589	cell division protein FtsQ	5.3e-29
33	KOfam	K03590	cell division protein FtsA	5.6e-141
34	KOfam	K03531	cell division protein FtsZ	1.3e-166
35	KOfam	K09772	cell division inhibitor SepF	1.8e-36
36	KOfam	K02221	YggT family protein	1.1e-23
38	KOfam	K04074	cell division initiation protein	7.2e-63
39	KOfam	K01870	isoleucyl-tRNA synthetase [EC:6.1.1.5]	0
40	KOfam	K01778	diaminopimelate epimerase [EC:5.1.1.7]	3.3e-63
41	KOfam	K01515	ADP-ribose diphosphatase [EC:3.6.1.13 3.6.1.-]	1.4e-47
43	KOfam	K01243	adenosylhomocysteine nucleosidase [EC:3.2.2.9]	3.5e-73
44	KOfam	K04487	cysteine desulfurase [EC:2.8.1.7]	1.9e-140
46	KOfam	K00566	tRNA-uridine 2-sulfurtransferase [EC:2.8.1.13]	2e-169
47	KOfam	K03498	trk/ktr system potassium uptake protein	3.2e-126
48	KOfam	K03499	trk/ktr system potassium uptake protein	1.8e-40
54	KOfam	K03581	exodeoxyribonuclease V alpha subunit [EC:3.1.11.5]	3e-145
55	KOfam	K00948	ribose-phosphate pyrophosphokinase [EC:2.7.6.1]	4.3e-127
56	KOfam	K21471	peptidoglycan DL-endopeptidase CwlO [EC:3.4.-.-]	4.8e-35
58	KOfam	K07029	diacylglycerol kinase (ATP) [EC:2.7.1.107]	1e-61
59	KOfam	K12574	ribonuclease J [EC:3.1.-.-]	9.3e-237
62	KOfam	K01462	peptide deformylase [EC:3.5.1.88]	8.2e-45
63	KOfam	K00166	2-oxoisovalerate dehydrogenase E1 component subunit alpha [EC:1.2.4.4]	5.3e-114
65	KOfam	K09699	2-oxoisovalerate dehydrogenase E2 component (dihydrolipoyl transacylase) [EC:2.3.1.168]	2.2e-145
65	KOfam	K00627	pyruvate dehydrogenase E2 component (dihydrolipoyllysine-residue acetyltransferase) [EC:2.3.1.12]	5.5e-145
66	KOfam	K00382	dihydrolipoyl dehydrogenase [EC:1.8.1.4]	3.6e-176
70	KOfam	K01092	myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]	3.6e-57
71	KOfam	K06207	GTP-binding protein	1.3e-293
74	KOfam	K11936	poly-beta-1,6-N-acetyl-D-glucosamine synthase [EC:2.4.1.-]	4e-86
76	KOfam	K03588	peptidoglycan glycosyltransferase [EC:2.4.99.28]	4.1e-111
77	KOfam	K01958	pyruvate carboxylase [EC:6.4.1.1]	0
79	KOfam	K08316	16S rRNA (guanine966-N2)-methyltransferase [EC:2.1.1.171]	4.7e-64
80	KOfam	K00954	pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]	4.3e-69
81	KOfam	K07177	Lon-like protease	1e-102
82	KOfam	K02237	competence protein ComEA	5e-56
83	KOfam	K01493	dCMP deaminase [EC:3.5.4.12]	8.4e-45
84	KOfam	K02238	competence protein ComEC	1.6e-118
85	KOfam	K02340	DNA polymerase III subunit delta [EC:2.7.7.7]	5.6e-67
86	KOfam	K02968	small subunit ribosomal protein S20	5.5e-25
87	KOfam	K02956	small subunit ribosomal protein S15	1e-34
88	KOfam	K08161	MFS transporter, DHA1 family, multidrug resistance protein	1.2e-120
89	KOfam	K01714	4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]	2.8e-97
90	KOfam	K12574	ribonuclease J [EC:3.1.-.-]	3.7e-201
92	KOfam	K02358	elongation factor Tu	1e-238
93	KOfam	K03545	trigger factor	1.8e-136
94	KOfam	K03544	ATP-dependent Clp protease ATP-binding subunit ClpX	1.3e-197
95	KOfam	K03978	GTP-binding protein	1.1e-78
99	KOfam	K17077	arginine/lysine/histidine transport system permease protein	2.3e-142
99	KOfam	K23059	arginine/lysine/histidine transporter system substrate-binding protein	1.2e-176
99	KOfam	K02030	polar amino acid transport system substrate-binding protein	1.6e-42
99	KOfam	K02029	polar amino acid transport system permease protein	2.5e-89
100	KOfam	K02028	polar amino acid transport system ATP-binding protein [EC:7.4.2.1]	1.2e-132
