gene_callers_id	source	accession	function	e_value
108	KOfam	K00754	L-malate glycosyltransferase [EC:2.4.1.-]	2.7e-61
159	KOfam	K27561	Bacillus phage HNH endonuclease	1.9e-29
510	KOfam	K12373	hexosaminidase [EC:3.2.1.52]	2.6e-35
568	KOfam	K00355	NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]	4.4e-31
600	KOfam	K06889	uncharacterized protein	4.9e-39
604	KOfam	K00661	maltose O-acetyltransferase [EC:2.3.1.79]	5.2e-36
614	KOfam	K21745	MerR family transcriptional regulator, aldehyde-responsive regulator	1.8e-43
615	KOfam	K06889	uncharacterized protein	7.1e-35
621	KOfam	K21745	MerR family transcriptional regulator, aldehyde-responsive regulator	8.6e-26
958	KOfam	K03446	MFS transporter, DHA2 family, multidrug resistance protein	4.8e-115
959	KOfam	K19784	chromate reductase, NAD(P)H dehydrogenase (quinone)	1.7e-42
1326	KOfam	K07727	putative transcriptional regulator	1.7e-13
1617	KOfam	K07584	uncharacterized protein	7.1e-21
1791	KOfam	K01421	putative membrane protein	3.6e-103
1809	KOfam	K21745	MerR family transcriptional regulator, aldehyde-responsive regulator	3.2e-34
2074	KOfam	K06978	uncharacterized protein	2.7e-99
2091	KOfam	K00661	maltose O-acetyltransferase [EC:2.3.1.79]	2.6e-46
2303	KOfam	K11936	poly-beta-1,6-N-acetyl-D-glucosamine synthase [EC:2.4.1.-]	3.2e-87
2325	KOfam	K06221	2,5-diketo-D-gluconate reductase A [EC:1.1.1.346]	1.3e-117
2429	KOfam	K18909	MarR family transcriptional regulator, repressor for mepA	2.3e-32
2583	KOfam	K05346	deoxyribonucleoside regulator	2.3e-110
2584	KOfam	K01619	deoxyribose-phosphate aldolase [EC:4.1.2.4]	1.2e-87
2585	KOfam	K02429	MFS transporter, FHS family, L-fucose permease	4.2e-112
2587	KOfam	K00852	ribokinase [EC:2.7.1.15]	3.2e-114
2641	KOfam	K07706	two-component system, LytTR family, sensor histidine kinase AgrC [EC:2.7.13.3]	6.1e-59
2649	KOfam	K21744	MerR family transcriptional regulator, thiopeptide resistance regulator	1.6e-57
2664	KOfam	K15773	HTH-type transcriptional regulator / antitoxin HipB	5.9e-13
2697	KOfam	K07171	mRNA interferase MazF [EC:3.1.-.-]	1.2e-21
2819	KOfam	K00986	RNA-directed DNA polymerase [EC:2.7.7.49]	5.3e-29
2853	KOfam	K01222	6-phospho-beta-glucosidase [EC:3.2.1.86]	6.5e-172
2907	KOfam	K00754	L-malate glycosyltransferase [EC:2.4.1.-]	1.8e-62
2934	KOfam	K07497	putative transposase	9.3e-44
