query,genome,gene_cluster,gene_callers_id,subject,pident,alignment_length,evalue,bitscore,function
00000000|gene_cluster_GC_00002586|genome_name_P3124_LMG_BE|gene_callers_id_1885,P3124_LMG_BE,GC_00002586,1885,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000001|gene_cluster_GC_00002788|genome_name_P2740_Qu_CN|gene_callers_id_1429,P2740_Qu_CN,GC_00002788,1429,sp|A0A150XSC5|CDNG_ROSEK,22.727,352.0,1.47e-13,75.1,sp|A0A150XSC5|CDNG_ROSEK c-di-GMP synthase OS=Roseivirga ehrenbergii (strain DSM 102268 / JCM 13514 / KCTC 12282 / NCIMB 14502 / KMM 6017) OX=279360 GN=cdnG PE=1 SV=1
00000002|gene_cluster_GC_00002827|genome_name_P3124_LMG_BE|gene_callers_id_1914,P3124_LMG_BE,GC_00002827,1914,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000003|gene_cluster_GC_00003075|genome_name_P815_Cocoa_CR|gene_callers_id_841,P815_Cocoa_CR,GC_00003075,841,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000004|gene_cluster_GC_00003061|genome_name_P3378_Banana_BE|gene_callers_id_1762,P3378_Banana_BE,GC_00003061,1762,sp|A7LXS9|BGH2A_BACO1,26.962,790.0,9.38e-83,285.0,sp|A7LXS9|BGH2A_BACO1 Beta-galactosidase BoGH2A OS=Bacteroides ovatus (strain ATCC 8483 / DSM 1896 / JCM 5824 / BCRC 10623 / CCUG 4943 / NCTC 11153) OX=411476 GN=BACOVA_02645 PE=1 SV=1
00000005|gene_cluster_GC_00002507|genome_name_P2712_SD_BE|gene_callers_id_1267,P2712_SD_BE,GC_00002507,1267,sp|O31504|DNMA_BACSU,39.382,777.0,5.600000000000001e-161,497.0,sp|O31504|DNMA_BACSU DNA methyltransferase A OS=Bacillus subtilis (strain 168) OX=224308 GN=dnmA PE=1 SV=1
00000006|gene_cluster_GC_00002886|genome_name_P2746_Cocoa_VN|gene_callers_id_1796,P2746_Cocoa_VN,GC_00002886,1796,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000007|gene_cluster_GC_00002708|genome_name_P3378_Banana_BE|gene_callers_id_1688,P3378_Banana_BE,GC_00002708,1688,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000008|gene_cluster_GC_00002929|genome_name_P3378_Banana_BE|gene_callers_id_1790,P3378_Banana_BE,GC_00002929,1790,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000009|gene_cluster_GC_00002898|genome_name_Reference|gene_callers_id_705,Reference,GC_00002898,705,sp|P29284|FLP_LACCA,40.553,217.0,9.42e-55,177.0,sp|P29284|FLP_LACCA Probable transcriptional regulator flp OS=Lacticaseibacillus casei OX=1582 GN=flp PE=4 SV=1
00000010|gene_cluster_GC_00002994|genome_name_P2712_SD_BE|gene_callers_id_812,P2712_SD_BE,GC_00002994,812,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000011|gene_cluster_GC_00002525|genome_name_P2029_Cocoa_CR|gene_callers_id_1424,P2029_Cocoa_CR,GC_00002525,1424,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000012|gene_cluster_GC_00002545|genome_name_P3378_Banana_BE|gene_callers_id_1687,P3378_Banana_BE,GC_00002545,1687,sp|Q58577|Y1178_METJA,31.469,143.0,9.7e-09,59.7,sp|Q58577|Y1178_METJA Uncharacterized glycosyltransferase MJ1178 OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) OX=243232 GN=MJ1178 PE=3 SV=1
00000013|gene_cluster_GC_00002647|genome_name_P800_Unknown_BE|gene_callers_id_1253,P800_Unknown_BE,GC_00002647,1253,sp|P37782|RFBF_SHIFL,31.559,263.0,2.55e-20,91.7,sp|P37782|RFBF_SHIFL dTDP-rhamnosyl transferase RfbF OS=Shigella flexneri OX=623 GN=rfbF PE=3 SV=2
00000014|gene_cluster_GC_00002791|genome_name_P2020_Cocoa_CR|gene_callers_id_921,P2020_Cocoa_CR,GC_00002791,921,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000015|gene_cluster_GC_00003153|genome_name_P3124_LMG_BE|gene_callers_id_1055,P3124_LMG_BE,GC_00003153,1055,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000016|gene_cluster_GC_00002530|genome_name_P815_Cocoa_CR|gene_callers_id_99,P815_Cocoa_CR,GC_00002530,99,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000017|gene_cluster_GC_00002650|genome_name_P2176_Unknown_BE|gene_callers_id_1545,P2176_Unknown_BE,GC_00002650,1545,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000018|gene_cluster_GC_00002913|genome_name_P2764_Cocoa_VN|gene_callers_id_1878,P2764_Cocoa_VN,GC_00002913,1878,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
