query,genome,gene_cluster,gene_callers_id,subject,%pident,alignment_length,e-value,bitscore,function
00000000|gene_cluster_GC_00001576|genome_name_P568_Madre_SD_BE|gene_callers_id_1411,P568_Madre_SD_BE,GC_00001576,1411,sp|O32090|PNCB_BACSU,42.266,459.0,3.4900000000000004e-122,369.0,sp|O32090|PNCB_BACSU Nicotinate phosphoribosyltransferase OS=Bacillus subtilis (strain 168) OX=224308 GN=pncB PE=3 SV=1
00000001|gene_cluster_GC_00001570|genome_name_P1194_Madre_SD_BE|gene_callers_id_1027,P1194_Madre_SD_BE,GC_00001570,1027,sp|O27818|RMLC_METTH,46.703,182.0,2.4900000000000004e-56,179.0,"sp|O27818|RMLC_METTH dTDP-4-dehydrorhamnose 3,5-epimerase OS=Methanothermobacter thermautotrophicus (strain ATCC 29096 / DSM 1053 / JCM 10044 / NBRC 100330 / Delta H) OX=187420 GN=rmlC PE=1 SV=1"
00000002|gene_cluster_GC_00001557|genome_name_P1194_Madre_SD_BE|gene_callers_id_1233,P1194_Madre_SD_BE,GC_00001557,1233,sp|Q53WG9|CAS6_THET8,24.324,222.0,1.98e-10,61.6,sp|Q53WG9|CAS6_THET8 CRISPR-associated endoribonuclease Cse3 OS=Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8) OX=300852 GN=cse3 PE=1 SV=1
00000003|gene_cluster_GC_00001522|genome_name_P568_Madre_SD_BE|gene_callers_id_891,P568_Madre_SD_BE,GC_00001522,891,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000004|gene_cluster_GC_00001394|genome_name_P568_Madre_SD_BE|gene_callers_id_1423,P568_Madre_SD_BE,GC_00001394,1423,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000005|gene_cluster_GC_00001582|genome_name_P1194_Madre_SD_BE|gene_callers_id_1030,P1194_Madre_SD_BE,GC_00001582,1030,sp|P39631|SPSK_BACSU,37.367,281.0,5.2100000000000004e-64,205.0,sp|P39631|SPSK_BACSU Spore coat polysaccharide biosynthesis protein SpsK OS=Bacillus subtilis (strain 168) OX=224308 GN=spsK PE=3 SV=3
00000006|gene_cluster_GC_00001496|genome_name_P1194_Madre_SD_BE|gene_callers_id_1245,P1194_Madre_SD_BE,GC_00001496,1245,sp|P54168|YPGQ_BACSU,33.333,192.0,2.7699999999999996e-23,95.1,sp|P54168|YPGQ_BACSU Uncharacterized protein YpgQ OS=Bacillus subtilis (strain 168) OX=224308 GN=ypgQ PE=4 SV=1
00000007|gene_cluster_GC_00001396|genome_name_P1194_Madre_SD_BE|gene_callers_id_586,P1194_Madre_SD_BE,GC_00001396,586,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000008|gene_cluster_GC_00001519|genome_name_P515_SD_Italy|gene_callers_id_1146,P515_SD_Italy,GC_00001519,1146,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000009|gene_cluster_GC_00001494|genome_name_Reference|gene_callers_id_169,Reference,GC_00001494,169,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000010|gene_cluster_GC_00001551|genome_name_P568_Madre_SD_BE|gene_callers_id_1419,P568_Madre_SD_BE,GC_00001551,1419,sp|Q5HKG6|BUTA_STAEQ,50.195,257.0,1.38e-81,248.0,sp|Q5HKG6|BUTA_STAEQ Diacetyl reductase [(S)-acetoin forming] OS=Staphylococcus epidermidis (strain ATCC 35984 / DSM 28319 / BCRC 17069 / CCUG 31568 / BM 3577 / RP62A) OX=176279 GN=butA PE=3 SV=1
00000011|gene_cluster_GC_00001454|genome_name_Type_strain|gene_callers_id_1082,Type_strain,GC_00001454,1082,sp|Q06126|TNPA_BORPP,24.332,374.0,2.42e-14,78.2,sp|Q06126|TNPA_BORPP Transposase for insertion sequence element IS1001 OS=Bordetella parapertussis OX=519 GN=tnpA PE=3 SV=1
00000012|gene_cluster_GC_00001473|genome_name_P1194_Madre_SD_BE|gene_callers_id_1025,P1194_Madre_SD_BE,GC_00001473,1025,sp|A0A0H2URH7|GLYAT_STRPN,36.17,188.0,7.84e-27,114.0,sp|A0A0H2URH7|GLYAT_STRPN Glycosyltransferase GlyA OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=glyA PE=3 SV=1
00000013|gene_cluster_GC_00001429|genome_name_Type_strain|gene_callers_id_907,Type_strain,GC_00001429,907,sp|P0AC68|NRDH_SHIFL,37.333,75.0,6.76e-16,68.6,sp|P0AC68|NRDH_SHIFL Glutaredoxin-like protein NrdH OS=Shigella flexneri OX=623 GN=nrdH PE=3 SV=1
00000014|gene_cluster_GC_00001445|genome_name_P1191_Madre_SD_BE|gene_callers_id_1260,P1191_Madre_SD_BE,GC_00001445,1260,sp|C0SPA8|YOBH_BACSU,42.424,66.0,1.69e-06,47.0,sp|C0SPA8|YOBH_BACSU DNA repair protein homolog YobH OS=Bacillus subtilis (strain 168) OX=224308 GN=yobH PE=5 SV=1
00000015|gene_cluster_GC_00001521|genome_name_P568_Madre_SD_BE|gene_callers_id_895,P568_Madre_SD_BE,GC_00001521,895,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000016|gene_cluster_GC_00001460|genome_name_P515_SD_Italy|gene_callers_id_1129,P515_SD_Italy,GC_00001460,1129,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000017|gene_cluster_GC_00001517|genome_name_P1194_Madre_SD_BE|gene_callers_id_1346,P1194_Madre_SD_BE,GC_00001517,1346,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000018|gene_cluster_GC_00001405|genome_name_P1194_Madre_SD_BE|gene_callers_id_1153,P1194_Madre_SD_BE,GC_00001405,1153,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000019|gene_cluster_GC_00001507|genome_name_Type_strain|gene_callers_id_783,Type_strain,GC_00001507,783,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000020|gene_cluster_GC_00001398|genome_name_P1194_Madre_SD_BE|gene_callers_id_1228,P1194_Madre_SD_BE,GC_00001398,1228,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000021|gene_cluster_GC_00001552|genome_name_P515_SD_Italy|gene_callers_id_259,P515_SD_Italy,GC_00001552,259,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000022|gene_cluster_GC_00001470|genome_name_P568_Madre_SD_BE|gene_callers_id_890,P568_Madre_SD_BE,GC_00001470,890,sp|M5AAG8|POL_BPNNR,31.475,305.0,1.1799999999999999e-30,132.0,sp|M5AAG8|POL_BPNNR DNA Primase-polymerase OS=Nitratiruptor phage NrS-1 OX=1230469 GN=28 PE=1 SV=1
00000023|gene_cluster_GC_00001462|genome_name_P568_Madre_SD_BE|gene_callers_id_886,P568_Madre_SD_BE,GC_00001462,886,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000024|gene_cluster_GC_00001430|genome_name_P515_SD_Italy|gene_callers_id_262,P515_SD_Italy,GC_00001430,262,sp|P57134|DNAC_BUCAI,26.316,247.0,4.71e-12,67.8,sp|P57134|DNAC_BUCAI Replicative helicase loader DnaC OS=Buchnera aphidicola subsp. Acyrthosiphon pisum (strain APS) OX=107806 GN=dnaC PE=3 SV=1
00000025|gene_cluster_GC_00001503|genome_name_P568_Madre_SD_BE|gene_callers_id_1424,P568_Madre_SD_BE,GC_00001503,1424,sp|Q9K5N0|SOJ_HALH5,30.357,224.0,1.43e-20,91.7,sp|Q9K5N0|SOJ_HALH5 Sporulation initiation inhibitor protein Soj OS=Halalkalibacterium halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125) OX=272558 GN=soj PE=3 SV=1
00000026|gene_cluster_GC_00001403|genome_name_P568_Madre_SD_BE|gene_callers_id_880,P568_Madre_SD_BE,GC_00001403,880,sp|P39786|XTMB_BACSU,31.517,422.0,1.04e-50,179.0,sp|P39786|XTMB_BACSU PBSX phage terminase large subunit OS=Bacillus subtilis (strain 168) OX=224308 GN=xtmB PE=4 SV=2
00000027|gene_cluster_GC_00001598|genome_name_P515_SD_Italy|gene_callers_id_261,P515_SD_Italy,GC_00001598,261,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000028|gene_cluster_GC_00001558|genome_name_P515_SD_Italy|gene_callers_id_264,P515_SD_Italy,GC_00001558,264,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000029|gene_cluster_GC_00001584|genome_name_P526_SD_Italy|gene_callers_id_1322,P526_SD_Italy,GC_00001584,1322,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000030|gene_cluster_GC_00001439|genome_name_P568_Madre_SD_BE|gene_callers_id_161,P568_Madre_SD_BE,GC_00001439,161,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000031|gene_cluster_GC_00001549|genome_name_P1194_Madre_SD_BE|gene_callers_id_1148,P1194_Madre_SD_BE,GC_00001549,1148,sp|Q47163|T1MP_ECOLX,32.692,208.0,1.35e-29,117.0,sp|Q47163|T1MP_ECOLX Type I restriction enzyme EcoprrI methylase subunit OS=Escherichia coli OX=562 GN=hsdM PE=3 SV=1
00000032|gene_cluster_GC_00001594|genome_name_P568_Madre_SD_BE|gene_callers_id_875,P568_Madre_SD_BE,GC_00001594,875,sp|A9CRA7|CAPSD_BPMR1,48.473,262.0,1.1e-72,227.0,sp|A9CRA7|CAPSD_BPMR1 Major capsid protein OS=Staphylococcus phage phiMR11 OX=379501 GN=orf44 PE=1 SV=1
00000033|gene_cluster_GC_00001489|genome_name_P1194_Madre_SD_BE|gene_callers_id_1230,P1194_Madre_SD_BE,GC_00001489,1230,sp|P39583|YWAC_BACSU,39.744,78.0,2.02e-09,54.7,sp|P39583|YWAC_BACSU GTP pyrophosphokinase YwaC OS=Bacillus subtilis (strain 168) OX=224308 GN=ywaC PE=1 SV=1
00000034|gene_cluster_GC_00001573|genome_name_P568_Madre_SD_BE|gene_callers_id_874,P568_Madre_SD_BE,GC_00001573,874,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000035|gene_cluster_GC_00001301|genome_name_P568_Madre_SD_BE|gene_callers_id_410,P568_Madre_SD_BE,GC_00001301,410,sp|P37247|TRA4_BACFG,30.061,326.0,1.71e-26,109.0,sp|P37247|TRA4_BACFG Transposase for insertion sequence element IS4351 OS=Bacteroides fragilis OX=817 PE=3 SV=1
00000036|gene_cluster_GC_00001301|genome_name_P568_Madre_SD_BE|gene_callers_id_544,P568_Madre_SD_BE,GC_00001301,544,sp|P37247|TRA4_BACFG,30.061,326.0,1.71e-26,109.0,sp|P37247|TRA4_BACFG Transposase for insertion sequence element IS4351 OS=Bacteroides fragilis OX=817 PE=3 SV=1
00000037|gene_cluster_GC_00001301|genome_name_P568_Madre_SD_BE|gene_callers_id_693,P568_Madre_SD_BE,GC_00001301,693,sp|P37247|TRA4_BACFG,30.061,326.0,1.71e-26,109.0,sp|P37247|TRA4_BACFG Transposase for insertion sequence element IS4351 OS=Bacteroides fragilis OX=817 PE=3 SV=1
00000038|gene_cluster_GC_00001301|genome_name_P568_Madre_SD_BE|gene_callers_id_1201,P568_Madre_SD_BE,GC_00001301,1201,sp|P37247|TRA4_BACFG,30.061,326.0,1.71e-26,109.0,sp|P37247|TRA4_BACFG Transposase for insertion sequence element IS4351 OS=Bacteroides fragilis OX=817 PE=3 SV=1
00000039|gene_cluster_GC_00001301|genome_name_P568_Madre_SD_BE|gene_callers_id_1421,P568_Madre_SD_BE,GC_00001301,1421,sp|P37247|TRA4_BACFG,30.061,326.0,1.71e-26,109.0,sp|P37247|TRA4_BACFG Transposase for insertion sequence element IS4351 OS=Bacteroides fragilis OX=817 PE=3 SV=1
00000040|gene_cluster_GC_00001471|genome_name_P568_Madre_SD_BE|gene_callers_id_1436,P568_Madre_SD_BE,GC_00001471,1436,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
