query,genome,gene_cluster,gene_callers_id,subject,%pident,alignment_length,e-value,bitscore,function
00000000|gene_cluster_GC_00001576|genome_name_P568_Madre_SD_BE|gene_callers_id_1411,P568_Madre_SD_BE,GC_00001576,1411,sp|O32090|PNCB_BACSU,42.266,459.0,3.4900000000000004e-122,369.0,sp|O32090|PNCB_BACSU Nicotinate phosphoribosyltransferase OS=Bacillus subtilis (strain 168) OX=224308 GN=pncB PE=3 SV=1
00000003|gene_cluster_GC_00001522|genome_name_P568_Madre_SD_BE|gene_callers_id_891,P568_Madre_SD_BE,GC_00001522,891,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000004|gene_cluster_GC_00001394|genome_name_P568_Madre_SD_BE|gene_callers_id_1423,P568_Madre_SD_BE,GC_00001394,1423,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000010|gene_cluster_GC_00001551|genome_name_P568_Madre_SD_BE|gene_callers_id_1419,P568_Madre_SD_BE,GC_00001551,1419,sp|Q5HKG6|BUTA_STAEQ,50.195,257.0,1.38e-81,248.0,sp|Q5HKG6|BUTA_STAEQ Diacetyl reductase [(S)-acetoin forming] OS=Staphylococcus epidermidis (strain ATCC 35984 / DSM 28319 / BCRC 17069 / CCUG 31568 / BM 3577 / RP62A) OX=176279 GN=butA PE=3 SV=1
00000015|gene_cluster_GC_00001521|genome_name_P568_Madre_SD_BE|gene_callers_id_895,P568_Madre_SD_BE,GC_00001521,895,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000022|gene_cluster_GC_00001470|genome_name_P568_Madre_SD_BE|gene_callers_id_890,P568_Madre_SD_BE,GC_00001470,890,sp|M5AAG8|POL_BPNNR,31.475,305.0,1.1799999999999999e-30,132.0,sp|M5AAG8|POL_BPNNR DNA Primase-polymerase OS=Nitratiruptor phage NrS-1 OX=1230469 GN=28 PE=1 SV=1
00000023|gene_cluster_GC_00001462|genome_name_P568_Madre_SD_BE|gene_callers_id_886,P568_Madre_SD_BE,GC_00001462,886,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000025|gene_cluster_GC_00001503|genome_name_P568_Madre_SD_BE|gene_callers_id_1424,P568_Madre_SD_BE,GC_00001503,1424,sp|Q9K5N0|SOJ_HALH5,30.357,224.0,1.43e-20,91.7,sp|Q9K5N0|SOJ_HALH5 Sporulation initiation inhibitor protein Soj OS=Halalkalibacterium halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125) OX=272558 GN=soj PE=3 SV=1
00000026|gene_cluster_GC_00001403|genome_name_P568_Madre_SD_BE|gene_callers_id_880,P568_Madre_SD_BE,GC_00001403,880,sp|P39786|XTMB_BACSU,31.517,422.0,1.04e-50,179.0,sp|P39786|XTMB_BACSU PBSX phage terminase large subunit OS=Bacillus subtilis (strain 168) OX=224308 GN=xtmB PE=4 SV=2
00000030|gene_cluster_GC_00001439|genome_name_P568_Madre_SD_BE|gene_callers_id_161,P568_Madre_SD_BE,GC_00001439,161,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000032|gene_cluster_GC_00001594|genome_name_P568_Madre_SD_BE|gene_callers_id_875,P568_Madre_SD_BE,GC_00001594,875,sp|A9CRA7|CAPSD_BPMR1,48.473,262.0,1.1e-72,227.0,sp|A9CRA7|CAPSD_BPMR1 Major capsid protein OS=Staphylococcus phage phiMR11 OX=379501 GN=orf44 PE=1 SV=1
