query	subject	%pident	alignment_length	mismatches	gap_opens	qstart	qend	sstart	send	e-value	bitscore	function	genome
00000129|gene_cluster_GC_00004025|genome_name_P950_Fermented_Rice_BE|gene_callers_id_2390	sp|P46144|YEDJ_ECOLI	39.623	106	60	1	13	118	116	217	7.75e-19	81.3	sp|P46144|YEDJ_ECOLI Uncharacterized protein YedJ OS=Escherichia coli (strain K12) OX=83333 GN=yedJ PE=1 SV=2	P950_Fermented_Rice_BE
00000129|gene_cluster_GC_00004025|genome_name_P950_Fermented_Rice_BE|gene_callers_id_2390	sp|P54168|YPGQ_BACSU	38.889	108	49	2	13	119	113	204	1.27e-16	75.1	sp|P54168|YPGQ_BACSU Uncharacterized protein YpgQ OS=Bacillus subtilis (strain 168) OX=224308 GN=ypgQ PE=4 SV=1	P950_Fermented_Rice_BE
00000129|gene_cluster_GC_00004025|genome_name_P950_Fermented_Rice_BE|gene_callers_id_2390	sp|Q5UR59|YL803_MIMIV	29.63	108	60	4	21	112	136	243	5.57e-05	43.9	sp|Q5UR59|YL803_MIMIV Uncharacterized protein L803 OS=Acanthamoeba polyphaga mimivirus OX=212035 GN=MIMI_L803 PE=4 SV=1	P950_Fermented_Rice_BE
00000166|gene_cluster_GC_00003952|genome_name_P950_Fermented_Rice_BE|gene_callers_id_2498	sp|P76071|INSH5_ECOLI	22.467	227	143	8	15	223	33	244	0.000237	45.4	sp|P76071|INSH5_ECOLI Transposase InsH for insertion sequence element IS5Y OS=Escherichia coli (strain K12) OX=83333 GN=insH5 PE=3 SV=1	P950_Fermented_Rice_BE
00000166|gene_cluster_GC_00003952|genome_name_P950_Fermented_Rice_BE|gene_callers_id_2498	sp|P0CE56|INSH9_ECOLI	22.609	230	139	9	15	223	33	244	0.000289	45.1	sp|P0CE56|INSH9_ECOLI Transposase InsH for insertion sequence element IS5LO OS=Escherichia coli (strain K12) OX=83333 GN=insH9 PE=3 SV=2	P950_Fermented_Rice_BE
00000166|gene_cluster_GC_00003952|genome_name_P950_Fermented_Rice_BE|gene_callers_id_2498	sp|P0CE55|INSH8_ECOLI	22.609	230	139	9	15	223	33	244	0.000289	45.1	sp|P0CE55|INSH8_ECOLI Transposase InsH for insertion sequence element IS5K OS=Escherichia coli (strain K12) OX=83333 GN=insH8 PE=3 SV=2	P950_Fermented_Rice_BE
00000166|gene_cluster_GC_00003952|genome_name_P950_Fermented_Rice_BE|gene_callers_id_2498	sp|P0CE54|INSH7_ECOLI	22.609	230	139	9	15	223	33	244	0.000289	45.1	sp|P0CE54|INSH7_ECOLI Transposase InsH for insertion sequence element IS5I OS=Escherichia coli (strain K12) OX=83333 GN=insH7 PE=3 SV=2	P950_Fermented_Rice_BE
00000166|gene_cluster_GC_00003952|genome_name_P950_Fermented_Rice_BE|gene_callers_id_2498	sp|P0CE52|INSH4_ECOLI	22.609	230	139	9	15	223	33	244	0.000289	45.1	sp|P0CE52|INSH4_ECOLI Transposase InsH for insertion sequence element IS5F OS=Escherichia coli (strain K12) OX=83333 GN=insH4 PE=3 SV=2	P950_Fermented_Rice_BE
00000202|gene_cluster_GC_00003401|genome_name_P950_Fermented_Rice_BE|gene_callers_id_2451	sp|P29284|FLP_LACCA	31.553	206	135	4	7	210	5	206	4.0599999999999995e-24	98.2	sp|P29284|FLP_LACCA Probable transcriptional regulator flp OS=Lacticaseibacillus casei OX=1582 GN=flp PE=4 SV=1	P950_Fermented_Rice_BE
00000202|gene_cluster_GC_00003401|genome_name_P950_Fermented_Rice_BE|gene_callers_id_2451	sp|P23619|HLYX_ACTPL	24.424	217	158	2	1	212	17	232	7.11e-11	63.2	sp|P23619|HLYX_ACTPL Regulatory protein HlyX OS=Actinobacillus pleuropneumoniae OX=715 GN=hlyX PE=4 SV=1	P950_Fermented_Rice_BE
