gene_callers_id	source	accession	function	e_value
0	KOfam	K07010	putative glutamine amidotransferase	2.3e-81
3	KOfam	K03293	amino acid transporter, AAT family	4.2e-174
5	KOfam	K00433	non-heme chloroperoxidase [EC:1.11.1.10]	6.2e-55
11	KOfam	K13993	HSP20 family protein	8.9e-31
13	KOfam	K08161	MFS transporter, DHA1 family, multidrug resistance protein	5.3e-162
15	KOfam	K03449	MFS transporter, CP family, cyanate transporter	1.2e-95
17	KOfam	K06221	2,5-diketo-D-gluconate reductase A [EC:1.1.1.346]	2.7e-96
18	KOfam	K05275	pyridoxine 4-dehydrogenase [EC:1.1.1.65]	1.7e-98
20	KOfam	K10254	oleate hydratase [EC:4.2.1.53]	1.4e-186
24	KOfam	K16785	energy-coupling factor transport system permease protein	1.9e-47
25	KOfam	K01552	energy-coupling factor transport system ATP-binding protein [EC:7.-.-.-]	5.2e-179
26	KOfam	K16924	energy-coupling factor transport system substrate-specific component	4.7e-27
27	KOfam	K03492	GntR family transcriptional regulator, regulator of glucomannan utilization	2.3e-84
33	KOfam	K01990	ABC-2 type transport system ATP-binding protein	3.8e-85
33	KOfam	K25150	polyether ionophore transport system ATP-binding protein	1.9e-139
34	KOfam	K25149	polyether ionophore transport system permease protein	6.6e-138
41	KOfam	K05878	phosphoenolpyruvate---glycerone phosphotransferase subunit DhaK [EC:2.7.1.121]	2.5e-147
42	KOfam	K05879	phosphoenolpyruvate---glycerone phosphotransferase subunit DhaL [EC:2.7.1.121]	1.2e-73
43	KOfam	K05881	phosphoenolpyruvate---glycerone phosphotransferase subunit DhaM [EC:2.7.1.121]	5.9e-37
44	KOfam	K02440	glycerol uptake facilitator	5.4e-93
45	KOfam	K02529	LacI family transcriptional regulator, galactose operon repressor	1.7e-72
46	KOfam	K02529	LacI family transcriptional regulator, galactose operon repressor	3.2e-70
47	KOfam	K01187	alpha-glucosidase [EC:3.2.1.20]	3.9e-62
48	KOfam	K15770	arabinogalactan oligomer / maltooligosaccharide transport system substrate-binding protein	1.3e-106
49	KOfam	K15771	arabinogalactan oligomer / maltooligosaccharide transport system permease protein	1.3e-127
50	KOfam	K15772	arabinogalactan oligomer / maltooligosaccharide transport system permease protein	7.4e-99
52	KOfam	K16147	starch synthase (maltosyl-transferring) [EC:2.4.99.16]	3e-65
53	KOfam	K10112	multiple sugar transport system ATP-binding protein [EC:7.5.2.-]	6.2e-165
54	KOfam	K00691	maltose phosphorylase [EC:2.4.1.8]	0
58	KOfam	K07407	alpha-galactosidase [EC:3.2.1.22]	3.7e-46
59	KOfam	K02810	sucrose PTS system EIIBCA or EIIBC component [EC:2.7.1.211]	2.3e-220
60	KOfam	K01193	beta-fructofuranosidase [EC:3.2.1.26]	1e-115
61	KOfam	K03484	LacI family transcriptional regulator, sucrose operon repressor	2.7e-115
61	KOfam	K02529	LacI family transcriptional regulator, galactose operon repressor	1.2e-86
62	KOfam	K01182	oligo-1,6-glucosidase [EC:3.2.1.10]	1.9e-280
64	KOfam	K03315	Na+:H+ antiporter, NhaC family	1.6e-167
65	KOfam	K01182	oligo-1,6-glucosidase [EC:3.2.1.10]	4.6e-272
69	KOfam	K20391	HTH-type transcriptional regulator, pleiotropic regulator of extracellular virulence genes	3.2e-29
70	KOfam	K02035	peptide/nickel transport system substrate-binding protein	1.4e-86
70	KOfam	K15580	oligopeptide transport system substrate-binding protein	1.3e-149
71	KOfam	K02035	peptide/nickel transport system substrate-binding protein	3.7e-88
71	KOfam	K15580	oligopeptide transport system substrate-binding protein	7.9e-149
72	KOfam	K03826	putative acetyltransferase [EC:2.3.1.-]	9.4e-49
73	KOfam	K00058	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]	1.7e-92
74	KOfam	K00831	phosphoserine aminotransferase [EC:2.6.1.52]	7.4e-146
75	KOfam	K02226	alpha-ribazole phosphatase [EC:3.1.3.73]	2.3e-37
76	KOfam	K19265	L-glyceraldehyde 3-phosphate reductase [EC:1.1.1.-]	1.7e-152
78	KOfam	K05937	uncharacterized protein	1.8e-15
80	KOfam	K00925	acetate kinase [EC:2.7.2.1]	3.5e-162
82	KOfam	K06199	fluoride exporter	5.6e-22
83	KOfam	K06199	fluoride exporter	1.6e-18
84	KOfam	K18231	macrolide transport system ATP-binding/permease protein	4.2e-147
85	KOfam	K16785	energy-coupling factor transport system permease protein	1.2e-32
86	KOfam	K01552	energy-coupling factor transport system ATP-binding protein [EC:7.-.-.-]	3.2e-130
87	KOfam	K16925	energy-coupling factor transport system permease protein	5.4e-55
88	KOfam	K00432	glutathione peroxidase [EC:1.11.1.9]	3e-66
89	KOfam	K06221	2,5-diketo-D-gluconate reductase A [EC:1.1.1.346]	1.4e-108
90	KOfam	K03624	transcription elongation factor GreA	2.8e-48
92	KOfam	K02564	glucosamine-6-phosphate deaminase [EC:3.5.99.6]	1.2e-84
94	KOfam	K08659	dipeptidase [EC:3.4.-.-]	6.6e-177
95	KOfam	K02800	mannitol PTS system EIICBA or EIICB component [EC:2.7.1.197]	8.1e-252
96	KOfam	K03483	mannitol operon transcriptional activator	1.8e-161
97	KOfam	K02798	mannitol PTS system EIIA component [EC:2.7.1.197]	2e-54
98	KOfam	K00009	mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]	1.1e-158
100	KOfam	K03671	thioredoxin	1.8e-37
104	KOfam	K00940	nucleoside-diphosphate kinase [EC:2.7.4.6]	5.5e-52
106	KOfam	K19784	chromate reductase, NAD(P)H dehydrogenase (quinone)	8.3e-65
107	KOfam	K03710	GntR family transcriptional regulator	1.3e-48
108	KOfam	K02761	cellobiose PTS system EIIC component	9.8e-143
110	KOfam	K09963	uncharacterized protein	4.6e-118
112	KOfam	K01042	L-seryl-tRNA(Ser) seleniumtransferase [EC:2.9.1.1]	2.4e-63
113	KOfam	K17463	2-dehydro-3-deoxy-phosphogluconate aldolase [EC:4.1.2.14]	8.1e-81
114	KOfam	K00874	2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]	1.3e-58
115	KOfam	K00640	serine O-acetyltransferase [EC:2.3.1.30]	3.7e-65
118	KOfam	K01265	methionyl aminopeptidase [EC:3.4.11.18]	1.1e-85
119	KOfam	K03811	nicotinamide mononucleotide transporter	4e-32
122	KOfam	K03486	GntR family transcriptional regulator, trehalose operon transcriptional repressor	6.4e-91
123	KOfam	K01226	trehalose-6-phosphate hydrolase [EC:3.2.1.93]	1.6e-256
124	KOfam	K02757	beta-glucoside PTS system EIICBA component [EC:2.7.1.-]	4.3e-231
124	KOfam	K02777	sugar PTS system EIIA component [EC:2.7.1.-]	3.9e-82
125	KOfam	K02757	beta-glucoside PTS system EIICBA component [EC:2.7.1.-]	7.6e-217
125	KOfam	K02777	sugar PTS system EIIA component [EC:2.7.1.-]	4e-81
127	KOfam	K22959	gallate decarboxylase subunit B	4.1e-104
127	KOfam	K03186	flavin prenyltransferase [EC:2.5.1.129]	1.4e-96
128	KOfam	K22960	gallate decarboxylase subunit D	3.4e-45
129	KOfam	K19587	Rrf2 family transcriptional regulator, repressor of oqxAB	4.9e-24
131	KOfam	K03322	manganese transport protein	2.2e-172
135	KOfam	K08169	MFS transporter, DHA2 family, multidrug resistance protein	1.4e-86
136	KOfam	K21745	MerR family transcriptional regulator, aldehyde-responsive regulator	3.6e-26
138	KOfam	K02483	two-component system, OmpR family, response regulator	5.7e-77
141	KOfam	K02761	cellobiose PTS system EIIC component	6.2e-157
144	KOfam	K01005	polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase [EC:2.7.8.-]	3.9e-86
145	KOfam	K00104	glycolate dehydrogenase FAD-linked subunit [EC:1.1.99.14]	2.9e-145
147	KOfam	K07816	GTP pyrophosphokinase [EC:2.7.6.5]	1.7e-72
149	KOfam	K06994	putative drug exporter of the RND superfamily	3.6e-139
150	KOfam	K01246	DNA-3-methyladenine glycosylase I [EC:3.2.2.20]	3.5e-85
153	KOfam	K02004	putative ABC transport system permease protein	8.5e-19
155	KOfam	K07052	CAAX protease family protein	1.5e-18
156	KOfam	K07052	CAAX protease family protein	1.3e-18
159	KOfam	K02437	glycine cleavage system H protein	5.6e-13
162	KOfam	K10844	DNA excision repair protein ERCC-2 [EC:5.6.2.3]	1.3e-140
164	KOfam	K00925	acetate kinase [EC:2.7.2.1]	1.7e-169
165	KOfam	K02348	ElaA protein	9.9e-53
167	KOfam	K03885	NADH:quinone reductase (non-electrogenic) [EC:1.6.5.9]	6.2e-101
169	KOfam	K11069	spermidine/putrescine transport system substrate-binding protein	1.7e-118
170	KOfam	K11070	spermidine/putrescine transport system permease protein	3.9e-96
171	KOfam	K11071	spermidine/putrescine transport system permease protein	3e-88
172	KOfam	K11072	spermidine/putrescine transport system ATP-binding protein [EC:7.6.2.11]	3.3e-165
172	KOfam	K02010	iron(III) transport system ATP-binding protein [EC:7.2.2.7]	4.6e-134
178	KOfam	K07979	GntR family transcriptional regulator	2.3e-39
179	KOfam	K16921	acetoin utilization transport system ATP-binding protein	1.2e-100
180	KOfam	K16919	acetoin utilization transport system permease protein	3.9e-27
181	KOfam	K04072	acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1]	6.2e-198
182	KOfam	K01624	fructose-bisphosphate aldolase, class II [EC:4.1.2.13]	8.4e-105
184	KOfam	K03292	glycoside/pentoside/hexuronide:cation symporter, GPH family	5.9e-102
185	KOfam	K04088	modulator of FtsH protease HflK	6.5e-37
187	KOfam	K08659	dipeptidase [EC:3.4.-.-]	1.8e-177
189	KOfam	K03523	biotin transport system substrate-specific component	6.7e-45
190	KOfam	K03524	BirA family transcriptional regulator, biotin operon repressor / biotin---[acetyl-CoA-carboxylase] ligase [EC:6.3.4.15]	3.6e-61
191	KOfam	K02073	D-methionine transport system substrate-binding protein	2.4e-86
192	KOfam	K02071	D-methionine transport system ATP-binding protein	5.4e-134
193	KOfam	K02072	D-methionine transport system permease protein	3.1e-82
194	KOfam	K00077	2-dehydropantoate 2-reductase [EC:1.1.1.169]	5.5e-64
195	KOfam	K08969	L-glutamine---4-(methylsulfanyl)-2-oxobutanoate aminotransferase [EC:2.6.1.117]	2.3e-192
197	KOfam	K09692	teichoic acid transport system permease protein	1.1e-73
198	KOfam	K09693	teichoic acid transport system ATP-binding protein [EC:7.5.2.4]	8.3e-117
202	KOfam	K03320	ammonium transporter, Amt family	4.4e-134
203	KOfam	K00016	L-lactate dehydrogenase [EC:1.1.1.27]	9.2e-75
206	KOfam	K01807	ribose 5-phosphate isomerase A [EC:5.3.1.6]	2.7e-47
208	KOfam	K08987	putative membrane protein	6.2e-39
210	KOfam	K09384	uncharacterized protein	2e-123
213	KOfam	K02160	acetyl-CoA carboxylase biotin carboxyl carrier protein	3.2e-38
218	KOfam	K05845	osmoprotectant transport system substrate-binding protein	1.3e-91
218	KOfam	K05846	osmoprotectant transport system permease protein	8.7e-95
219	KOfam	K05847	osmoprotectant transport system ATP-binding protein [EC:7.6.2.9]	6e-126
220	KOfam	K00383	glutathione reductase (NADPH) [EC:1.8.1.7]	4.5e-125
221	KOfam	K00864	glycerol kinase [EC:2.7.1.30]	2.2e-219
222	KOfam	K00111	glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]	9.1e-143
222	KOfam	K00105	alpha-glycerophosphate oxidase [EC:1.1.3.21]	0
223	KOfam	K02440	glycerol uptake facilitator	4.5e-110
233	KOfam	K00633	galactoside O-acetyltransferase [EC:2.3.1.18]	6.9e-99
233	KOfam	K00661	maltose O-acetyltransferase [EC:2.3.1.79]	6.8e-71
237	KOfam	K21064	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]	1.6e-58
238	KOfam	K03311	branched-chain amino acid:cation transporter, LIVCS family	6.2e-154
239	KOfam	K26730	Na+:H+ antiporter	2.3e-119
250	KOfam	K07706	two-component system, LytTR family, sensor histidine kinase AgrC [EC:2.7.13.3]	2.9e-67
251	KOfam	K07707	two-component system, LytTR family, response regulator AgrA	3.1e-72
252	KOfam	K07707	two-component system, LytTR family, response regulator AgrA	6.7e-72
253	KOfam	K07052	CAAX protease family protein	1.2e-18
256	KOfam	K20344	ATP-binding cassette, subfamily C, bacteriocin exporter	1.7e-284
257	KOfam	K20345	membrane fusion protein, peptide pheromone/bacteriocin exporter	2.3e-94
259	KOfam	K07052	CAAX protease family protein	3.3e-17
260	KOfam	K07052	CAAX protease family protein	7.9e-20
261	KOfam	K07052	CAAX protease family protein	4e-12
262	KOfam	K07052	CAAX protease family protein	2.1e-13
263	KOfam	K07334	toxin HigB-1	2.2e-34
264	KOfam	K21498	antitoxin HigA-1	1.2e-24
267	KOfam	K01867	tryptophanyl-tRNA synthetase [EC:6.1.1.2]	4.1e-98
269	KOfam	K02761	cellobiose PTS system EIIC component	1.6e-142
272	KOfam	K02761	cellobiose PTS system EIIC component	2.4e-140
273	KOfam	K01223	6-phospho-beta-glucosidase [EC:3.2.1.86]	4.6e-229
277	KOfam	K01524	exopolyphosphatase / guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase [EC:3.6.1.11 3.6.1.40]	6.3e-78
278	KOfam	K00054	hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]	2.3e-186
280	KOfam	K12410	NAD-dependent protein deacetylase/lipoamidase [EC:2.3.1.286 2.3.1.313]	2.8e-68
282	KOfam	K03574	8-oxo-dGTP diphosphatase [EC:3.6.1.55]	6.3e-17
283	KOfam	K01874	methionyl-tRNA synthetase [EC:6.1.1.10]	4.8e-191
285	KOfam	K07552	MFS transporter, DHA1 family, multidrug resistance protein	1.1e-79
288	KOfam	K03424	TatD DNase family protein [EC:3.1.21.-]	7e-85
289	KOfam	K05985	ribonuclease M5 [EC:3.1.26.8]	4.9e-86
290	KOfam	K02528	16S rRNA (adenine1518-N6/adenine1519-N6)-dimethyltransferase [EC:2.1.1.182]	1.9e-106
292	KOfam	K00919	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase [EC:2.7.1.148]	3.4e-79
293	KOfam	K06889	uncharacterized protein	1.1e-32
295	KOfam	K02075	zinc/manganese transport system permease protein	2.1e-70
298	KOfam	K09685	HTH-type transcriptional regulator, purine operon repressor	7.7e-125
299	KOfam	K04042	bifunctional UDP-N-acetylglucosamine pyrophosphorylase / glucosamine-1-phosphate N-acetyltransferase [EC:2.7.7.23 2.3.1.157]	2.4e-197
300	KOfam	K17836	beta-lactamase class A [EC:3.5.2.6]	1e-36
301	KOfam	K00948	ribose-phosphate pyrophosphokinase [EC:2.7.6.1]	1.1e-145
304	KOfam	K21064	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]	3.8e-60
305	KOfam	K06885	uncharacterized protein	1.3e-137
306	KOfam	K16869	octanoyl-[GcvH]:protein N-octanoyltransferase [EC:2.3.1.204]	9.9e-84
308	KOfam	K03048	DNA-directed RNA polymerase subunit delta	8.3e-58
309	KOfam	K01937	CTP synthase [EC:6.3.4.2]	4.3e-263
310	KOfam	K04069	pyruvate formate lyase activating enzyme [EC:1.97.1.4]	1.8e-63
312	KOfam	K05340	glucose uptake protein	4e-77
313	KOfam	K03469	ribonuclease HI [EC:3.1.26.4]	1.1e-40
319	KOfam	K21567	ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1]	8.9e-124
320	KOfam	K01126	glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]	7e-41
321	KOfam	K19005	lipoteichoic acid synthase [EC:2.7.8.20]	3.2e-246
322	KOfam	K02348	ElaA protein	9e-30
325	KOfam	K24915	TMEM175 potassium channel family protein	8.3e-38
327	KOfam	K24041	penicillin V amidase [EC:3.5.1.11]	1.9e-85
328	KOfam	K00133	aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	1.7e-134
331	KOfam	K21745	MerR family transcriptional regulator, aldehyde-responsive regulator	2.6e-36
332	KOfam	K05937	uncharacterized protein	1.6e-12
333	KOfam	K03284	magnesium transporter	4.6e-37
335	KOfam	K04486	histidinol-phosphatase (PHP family) [EC:3.1.3.15]	6.6e-68
336	KOfam	K02502	ATP phosphoribosyltransferase regulatory subunit	2.1e-81
337	KOfam	K00765	ATP phosphoribosyltransferase [EC:2.4.2.17]	1.6e-66
338	KOfam	K00013	histidinol dehydrogenase [EC:1.1.1.23]	6.9e-186
339	KOfam	K01693	imidazoleglycerol-phosphate dehydratase [EC:4.2.1.19]	9.2e-90
340	KOfam	K02501	imidazole glycerol-phosphate synthase subunit HisH [EC:4.3.2.10]	1.7e-80
341	KOfam	K01814	phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase [EC:5.3.1.16]	3.7e-77
342	KOfam	K02500	imidazole glycerol-phosphate synthase subunit HisF [EC:4.3.2.10]	1.6e-126
344	KOfam	K01523	phosphoribosyl-ATP pyrophosphohydrolase [EC:3.6.1.31]	4.6e-38
345	KOfam	K00817	histidinol-phosphate aminotransferase [EC:2.6.1.9]	2e-107
346	KOfam	K00661	maltose O-acetyltransferase [EC:2.3.1.79]	3.8e-79
349	KOfam	K05910	NADH peroxidase [EC:1.11.1.1]	4.4e-219
350	KOfam	K05833	putative tryptophan/tyrosine transport system ATP-binding protein	2.7e-102
351	KOfam	K05832	putative tryptophan/tyrosine transport system permease protein	2.8e-113
352	KOfam	K01989	putative tryptophan/tyrosine transport system substrate-binding protein	1.6e-106
354	KOfam	K00651	homoserine O-succinyltransferase/O-acetyltransferase [EC:2.3.1.46 2.3.1.31]	1.5e-99
355	KOfam	K01740	O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49]	1.2e-216
356	KOfam	K00003	homoserine dehydrogenase [EC:1.1.1.3]	9.6e-124
357	KOfam	K25232	fatty acid kinase fatty acid binding subunit	1.4e-69
358	KOfam	K00077	2-dehydropantoate 2-reductase [EC:1.1.1.169]	1.1e-61
359	KOfam	K02804	N-acetylglucosamine PTS system EIICBA or EIICB component [EC:2.7.1.193]	2.3e-192
363	KOfam	K06158	ATP-binding cassette, subfamily F, member 3	3.5e-141
367	KOfam	K03719	Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein	6.2e-43
368	KOfam	K20742	gamma-D-glutamyl-L-lysine dipeptidyl-peptidase [EC:3.4.14.13]	1.1e-84
