gene_callers_id	source	accession	function	e_value
0	NCBI_PGAP	HLLCJJMH_00001	Chromosomal replication initiator protein DnaA (dnaA)	0
1	NCBI_PGAP	HLLCJJMH_00002	Beta sliding clamp (dnaN)	0
3	NCBI_PGAP	HLLCJJMH_00004	DNA replication and repair protein RecF (recF)	0
4	NCBI_PGAP	HLLCJJMH_00005	DNA gyrase subunit B (gyrB)	0
5	NCBI_PGAP	HLLCJJMH_00006	DNA gyrase subunit A GyrA (gyrA)	0
6	NCBI_PGAP	HLLCJJMH_00007	Small ribosomal subunit protein bS6 (rpsF)	0
7	NCBI_PGAP	HLLCJJMH_00008	Single-stranded DNA-binding protein A (ssbA)	0
8	NCBI_PGAP	HLLCJJMH_00009	Small ribosomal subunit protein bS18 (rpsR)	0
10	NCBI_PGAP	HLLCJJMH_00011	Dipeptide-binding protein (dppA_1)	0
13	NCBI_PGAP	HLLCJJMH_00014	Dipeptide-binding protein (dppA_2)	0
16	NCBI_PGAP	HLLCJJMH_00017	Cyclic-di-AMP phosphodiesterase GdpP (gdpP)	0
17	NCBI_PGAP	HLLCJJMH_00018	Large ribosomal subunit protein bL9 (rplI)	0
20	NCBI_PGAP	HLLCJJMH_00021	Replicative DNA helicase DnaC (dnaC)	0
21	NCBI_PGAP	HLLCJJMH_00022	Putative NAD(P)H-dependent FMN-containing oxidoreductase YwqN (ywqN)	0
24	NCBI_PGAP	HLLCJJMH_00025	Dipeptide-binding protein (dppA_3)	0
27	NCBI_PGAP	HLLCJJMH_00029	Transcriptional regulatory protein WalR (walR)	0
28	NCBI_PGAP	HLLCJJMH_00030	Sensor protein kinase WalK (walK)	0
30	NCBI_PGAP	HLLCJJMH_00032	Two-component system WalR/WalK regulatory protein YycI (yycI)	0
31	NCBI_PGAP	HLLCJJMH_00033	Exodeoxyribonuclease WalJ (walJ)	0
32	NCBI_PGAP	HLLCJJMH_00034	Serine protease Do-like HtrA (htrA)	0
33	NCBI_PGAP	HLLCJJMH_00035	Ribosomal RNA large subunit methyltransferase H (rlmH)	0
53	NCBI_PGAP	HLLCJJMH_00055	IS30 family transposase ISLpl1	0
70	NCBI_PGAP	HLLCJJMH_00072	Type I restriction enzyme MpnII methylase subunit	0
73	NCBI_PGAP	HLLCJJMH_00075	Cell wall protein	0
75	NCBI_PGAP	HLLCJJMH_00077	IS30 family transposase ISSag3	0
77	NCBI_PGAP	HLLCJJMH_00079	Putative transposase for insertion sequence element IS5376	0
78	NCBI_PGAP	HLLCJJMH_00080	IS21 family transposase IS712	0
85	NCBI_PGAP	HLLCJJMH_00087	Cell wall protein	0
88	NCBI_PGAP	HLLCJJMH_00090	Foldase protein PrsA (prsA_1)	0
93	NCBI_PGAP	HLLCJJMH_00095	putative MFS-type transporter EfpA (efpA)	0
95	NCBI_PGAP	HLLCJJMH_00097	Ribosome protection protein VmlR (vmlR_1)	0
97	NCBI_PGAP	HLLCJJMH_00099	Multidrug export protein EmrB (emrB_1)	0
98	NCBI_PGAP	HLLCJJMH_00100	Arginine exporter protein ArgO (argO)	0
99	NCBI_PGAP	HLLCJJMH_00101	HTH-type transcriptional regulator MgrA (mgrA)	0
100	NCBI_PGAP	HLLCJJMH_00102	Acetyl esterase (aes)	0
101	NCBI_PGAP	HLLCJJMH_00103	ADP-ribosylarginine hydrolase Tri1 (tri1)	0
102	NCBI_PGAP	HLLCJJMH_00104	Galactoside O-acetyltransferase (lacA_1)	0
105	NCBI_PGAP	HLLCJJMH_00107	Peptidyl-lysine N-acetyltransferase YjaB (yjaB)	0
107	NCBI_PGAP	HLLCJJMH_00109	Dipeptide-binding protein (dppA_4)	0
115	NCBI_PGAP	HLLCJJMH_00117	1,4-dihydroxy-2-naphthoyl-CoA hydrolase (menI)	0
116	NCBI_PGAP	HLLCJJMH_00118	1,4-dihydroxy-2-naphthoyl-CoA synthase (menB)	0
117	NCBI_PGAP	HLLCJJMH_00119	2-succinylbenzoate--CoA ligase (menE)	0
120	NCBI_PGAP	HLLCJJMH_00122	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L- lysine ligase (murE)	0
121	NCBI_PGAP	HLLCJJMH_00123	Lysine--tRNA ligase (lysS)	0
123	NCBI_PGAP	HLLCJJMH_00127	3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase (hcaB)	0
127	NCBI_PGAP	HLLCJJMH_00131	Glutamate/gamma-aminobutyrate antiporter (gadC_1)	0
128	NCBI_PGAP	HLLCJJMH_00132	Glutamate decarboxylase (gadB_1)	0
129	NCBI_PGAP	HLLCJJMH_00133	Glutamate--tRNA ligase (gltX_1)	0
130	NCBI_PGAP	HLLCJJMH_00134	Glutamate--tRNA ligase (gltX_2)	0
132	NCBI_PGAP	HLLCJJMH_00139	Proton/sodium-glutamate symport protein (gltT)	0
133	NCBI_PGAP	HLLCJJMH_00140	Alkyl hydroperoxide reductase C (ahpC)	0
135	NCBI_PGAP	HLLCJJMH_00142	putative sugar epimerase YhfK (yhfK_1)	0
140	NCBI_PGAP	HLLCJJMH_00147	6-phosphogluconate dehydrogenase, decarboxylating (gnd)	0
142	NCBI_PGAP	HLLCJJMH_00149	Protein ElaA (elaA_1)	0
144	NCBI_PGAP	HLLCJJMH_00151	Glucose-6-phosphate 1-dehydrogenase (zwf)	0
145	NCBI_PGAP	HLLCJJMH_00152	SPbeta prophage-derived aminoglycoside N(3')-acetyltransferase-like protein YokD (yokD)	0
147	NCBI_PGAP	HLLCJJMH_00154	Coniferyl aldehyde dehydrogenase (calB_1)	0
148	NCBI_PGAP	HLLCJJMH_00155	Coniferyl aldehyde dehydrogenase (calB_2)	0
149	NCBI_PGAP	HLLCJJMH_00156	Pyridoxine 4-dehydrogenase (pdxI)	0
152	NCBI_PGAP	HLLCJJMH_00159	Phosphoglycerate transporter protein (pgtP)	0
155	NCBI_PGAP	HLLCJJMH_00162	Putative multidrug resistance protein MdtD (mdtD_1)	0
157	NCBI_PGAP	HLLCJJMH_00164	FMN reductase (NADPH) (nfrA1)	0
158	NCBI_PGAP	HLLCJJMH_00165	Putative NrdI-like protein	0
159	NCBI_PGAP	HLLCJJMH_00166	Ribosome protection protein VmlR (vmlR_2)	0
160	NCBI_PGAP	HLLCJJMH_00167	Fatty acid resistance protein FarB (farB)	0
162	NCBI_PGAP	HLLCJJMH_00169	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase (kduD_1)	0
163	NCBI_PGAP	HLLCJJMH_00170	HTH-type transcriptional regulator KdgR (kdgR_1)	0
168	NCBI_PGAP	HLLCJJMH_00175	Acid shock protein	0
169	NCBI_PGAP	HLLCJJMH_00176	Inner membrane transporter YjeM (yjeM_1)	0
170	NCBI_PGAP	HLLCJJMH_00177	Glyoxal reductase (yvgN_1)	0
172	NCBI_PGAP	HLLCJJMH_00179	Calcium-transporting ATPase CtpE (ctpE)	0
175	NCBI_PGAP	HLLCJJMH_00182	Aldehyde-alcohol dehydrogenase (adhE)	0
183	NCBI_PGAP	HLLCJJMH_00190	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase 1 (kduI1_1)	0
184	NCBI_PGAP	HLLCJJMH_00191	2-dehydro-3-deoxygluconokinase (kdgK_1)	0
185	NCBI_PGAP	HLLCJJMH_00192	Acetate kinase (ackA_1)	0
187	NCBI_PGAP	HLLCJJMH_00194	Multidrug efflux system permease protein	0
188	NCBI_PGAP	HLLCJJMH_00195	Multidrug efflux system ATP-binding protein	0
189	NCBI_PGAP	HLLCJJMH_00196	putative protein YedJ (yedJ)	0
191	NCBI_PGAP	HLLCJJMH_00198	Uronate isomerase (uxaC_1)	0
192	NCBI_PGAP	HLLCJJMH_00199	Glucuronide carrier protein (uidB)	0
