query	subject	%pident	alignment_length	mismatches	gap_opens	qstart	qend	sstart	send	e-value	bitscore	function	genome
00000027|gene_cluster_GC_00004007|genome_name_P2694_LMG_BE|gene_callers_id_1519	sp|P0DXG5|PNBX_NOCS0	35.593	59	38	0	5	63	17	75	1.08e-05	47.8	sp|P0DXG5|PNBX_NOCS0 HTH-type transcriptional repressor PnbX OS=Nocardioides sp. (strain LMS-CY) OX=2840457 GN=pnbX PE=2 SV=1	P2694_LMG_BE
00000029|gene_cluster_GC_00003433|genome_name_P2694_LMG_BE|gene_callers_id_2292	sp|B1JQ48|FABR_YERPY	34.483	58	36	1	5	62	10	65	0.004	40.0	sp|B1JQ48|FABR_YERPY HTH-type transcriptional repressor FabR OS=Yersinia pseudotuberculosis serotype O:3 (strain YPIII) OX=502800 GN=fabR PE=3 SV=1	P2694_LMG_BE
00000029|gene_cluster_GC_00003433|genome_name_P2694_LMG_BE|gene_callers_id_2292	sp|Q66G60|FABR_YERPS	34.483	58	36	1	5	62	10	65	0.004	40.0	sp|Q66G60|FABR_YERPS HTH-type transcriptional repressor FabR OS=Yersinia pseudotuberculosis serotype I (strain IP32953) OX=273123 GN=fabR PE=3 SV=2	P2694_LMG_BE
00000029|gene_cluster_GC_00003433|genome_name_P2694_LMG_BE|gene_callers_id_2292	sp|A4TRG3|FABR_YERPP	34.483	58	36	1	5	62	10	65	0.004	40.0	sp|A4TRG3|FABR_YERPP HTH-type transcriptional repressor FabR OS=Yersinia pestis (strain Pestoides F) OX=386656 GN=fabR PE=3 SV=1	P2694_LMG_BE
00000029|gene_cluster_GC_00003433|genome_name_P2694_LMG_BE|gene_callers_id_2292	sp|Q1CNP3|FABR_YERPN	34.483	58	36	1	5	62	10	65	0.004	40.0	sp|Q1CNP3|FABR_YERPN HTH-type transcriptional repressor FabR OS=Yersinia pestis bv. Antiqua (strain Nepal516) OX=377628 GN=fabR PE=3 SV=1	P2694_LMG_BE
00000029|gene_cluster_GC_00003433|genome_name_P2694_LMG_BE|gene_callers_id_2292	sp|A9R6N6|FABR_YERPG	34.483	58	36	1	5	62	10	65	0.004	40.0	sp|A9R6N6|FABR_YERPG HTH-type transcriptional repressor FabR OS=Yersinia pestis bv. Antiqua (strain Angola) OX=349746 GN=fabR PE=3 SV=1	P2694_LMG_BE
00000044|gene_cluster_GC_00004129|genome_name_P2694_LMG_BE|gene_callers_id_1518	sp|P9WG88|EMRB_MYCTO	30.353	425	287	5	2	421	32	452	1.5499999999999997e-54	194.0	sp|P9WG88|EMRB_MYCTO Multidrug resistance protein B homolog OS=Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh) OX=83331 GN=emrB PE=3 SV=1	P2694_LMG_BE
00000044|gene_cluster_GC_00004129|genome_name_P2694_LMG_BE|gene_callers_id_1518	sp|P9WG89|EMRB_MYCTU	30.588	425	286	5	2	421	32	452	1.21e-51	186.0	sp|P9WG89|EMRB_MYCTU Multidrug resistance protein B homolog OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) OX=83332 GN=emrB PE=3 SV=1	P2694_LMG_BE
00000044|gene_cluster_GC_00004129|genome_name_P2694_LMG_BE|gene_callers_id_1518	sp|P54585|YHCA_BACSU	29.252	441	290	8	3	434	5	432	1.66e-51	186.0	sp|P54585|YHCA_BACSU Uncharacterized MFS-type transporter YhcA OS=Bacillus subtilis (strain 168) OX=224308 GN=yhcA PE=3 SV=2	P2694_LMG_BE
00000044|gene_cluster_GC_00004129|genome_name_P2694_LMG_BE|gene_callers_id_1518	sp|P94422|YCNB_BACSU	26.087	437	317	4	5	441	6	436	1.3699999999999999e-45	169.0	sp|P94422|YCNB_BACSU Uncharacterized MFS-type transporter YcnB OS=Bacillus subtilis (strain 168) OX=224308 GN=ycnB PE=3 SV=1	P2694_LMG_BE
00000044|gene_cluster_GC_00004129|genome_name_P2694_LMG_BE|gene_callers_id_1518	sp|O35018|LMRB_BACSU	27.384	409	288	5	26	430	30	433	1.39e-39	152.0	sp|O35018|LMRB_BACSU Lincomycin resistance protein LmrB OS=Bacillus subtilis (strain 168) OX=224308 GN=lmrB PE=3 SV=1	P2694_LMG_BE
00000063|gene_cluster_GC_00003538|genome_name_P2694_LMG_BE|gene_callers_id_1814	sp|Q7N1I3|HICB1_PHOLL	46.939	49	25	1	9	57	22	69	5e-05	43.9	sp|Q7N1I3|HICB1_PHOLL Antitoxin HicB 1 OS=Photorhabdus laumondii subsp. laumondii (strain DSM 15139 / CIP 105565 / TT01) OX=243265 GN=hicB1 PE=3 SV=1	P2694_LMG_BE
00000063|gene_cluster_GC_00003538|genome_name_P2694_LMG_BE|gene_callers_id_1814	sp|P51716|YO14_BPHC1	28.319	113	69	4	7	113	1	107	0.001	39.7	sp|P51716|YO14_BPHC1 Uncharacterized 14.9 kDa protein in rep-hol intergenic region OS=Haemophilus phage HP1 (strain HP1c1) OX=1289570 PE=4 SV=1	P2694_LMG_BE
00000063|gene_cluster_GC_00003538|genome_name_P2694_LMG_BE|gene_callers_id_1814	sp|Q7MZD8|HICB2_PHOLL	41.304	46	25	1	9	54	7	50	0.002	39.3	sp|Q7MZD8|HICB2_PHOLL Antitoxin HicB 2 OS=Photorhabdus laumondii subsp. laumondii (strain DSM 15139 / CIP 105565 / TT01) OX=243265 GN=hicB2 PE=3 SV=1	P2694_LMG_BE
00000063|gene_cluster_GC_00003538|genome_name_P2694_LMG_BE|gene_callers_id_1814	sp|Q9HK40|Y767_THEAC	41.026	39	23	0	12	50	5	43	0.003	37.7	sp|Q9HK40|Y767_THEAC UPF0150 protein Ta0767 OS=Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165) OX=273075 GN=Ta0767 PE=3 SV=1	P2694_LMG_BE
00000077|gene_cluster_GC_00003907|genome_name_P2694_LMG_BE|gene_callers_id_1825	sp|O31417|YAZB_BACSU	36.364	55	35	0	11	65	7	61	0.003	38.9	sp|O31417|YAZB_BACSU Uncharacterized HTH-type transcriptional regulator YazB OS=Bacillus subtilis (strain 168) OX=224308 GN=yazB PE=4 SV=1	P2694_LMG_BE
00000077|gene_cluster_GC_00003907|genome_name_P2694_LMG_BE|gene_callers_id_1825	sp|P96631|IMMR_BACSU	33.929	56	37	0	10	65	3	58	0.003	40.0	sp|P96631|IMMR_BACSU HTH-type transcriptional regulator ImmR OS=Bacillus subtilis (strain 168) OX=224308 GN=immR PE=1 SV=1	P2694_LMG_BE
00000094|gene_cluster_GC_00004006|genome_name_P2694_LMG_BE|gene_callers_id_1812	sp|P39849|XYLB_PSEPU	43.75	368	199	5	1	365	1	363	7.76e-99	300.0	sp|P39849|XYLB_PSEPU Aryl-alcohol dehydrogenase OS=Pseudomonas putida OX=303 GN=xylB PE=1 SV=1	P2694_LMG_BE
00000094|gene_cluster_GC_00004006|genome_name_P2694_LMG_BE|gene_callers_id_1812	sp|H1ZV38|GEOA_CASD6	36.24	367	225	6	5	367	12	373	1.25e-63	210.0	sp|H1ZV38|GEOA_CASD6 Geraniol dehydrogenase OS=Castellaniella defragrans (strain DSM 12143 / CCUG 39792 / 65Phen) OX=1437824 GN=geoA PE=1 SV=1	P2694_LMG_BE
00000094|gene_cluster_GC_00004006|genome_name_P2694_LMG_BE|gene_callers_id_1812	sp|P80468|ADH4_STRCA	34.037	379	232	10	1	367	7	379	5.88e-53	182.0	sp|P80468|ADH4_STRCA All-trans-retinol dehydrogenase [NAD(+)] ADH4 OS=Struthio camelus OX=8801 GN=ADH4 PE=1 SV=1	P2694_LMG_BE
00000094|gene_cluster_GC_00004006|genome_name_P2694_LMG_BE|gene_callers_id_1812	sp|P9WQB9|ADHD_MYCTU	32.888	374	236	9	1	366	1	367	3.4299999999999995e-52	180.0	sp|P9WQB9|ADHD_MYCTU Putative alcohol dehydrogenase D OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) OX=83332 GN=adhD PE=1 SV=1	P2694_LMG_BE
00000094|gene_cluster_GC_00004006|genome_name_P2694_LMG_BE|gene_callers_id_1812	sp|P9WQB8|ADHD_MYCTO	32.888	374	236	9	1	366	1	367	3.4299999999999995e-52	180.0	sp|P9WQB8|ADHD_MYCTO Putative alcohol dehydrogenase D OS=Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh) OX=83331 GN=adhD PE=3 SV=1	P2694_LMG_BE
00000127|gene_cluster_GC_00003827|genome_name_P2694_LMG_BE|gene_callers_id_2099	sp|P0ACT1|ACRR_SHIFL	30.275	109	69	3	5	112	7	109	0.000157	44.3	sp|P0ACT1|ACRR_SHIFL HTH-type transcriptional regulator AcrR OS=Shigella flexneri OX=623 GN=acrR PE=3 SV=1	P2694_LMG_BE
00000127|gene_cluster_GC_00003827|genome_name_P2694_LMG_BE|gene_callers_id_2099	sp|P0ACS9|ACRR_ECOLI	30.275	109	69	3	5	112	7	109	0.000157	44.3	sp|P0ACS9|ACRR_ECOLI HTH-type transcriptional regulator AcrR OS=Escherichia coli (strain K12) OX=83333 GN=acrR PE=1 SV=1	P2694_LMG_BE
00000127|gene_cluster_GC_00003827|genome_name_P2694_LMG_BE|gene_callers_id_2099	sp|P0ACT0|ACRR_ECOL6	30.275	109	69	3	5	112	7	109	0.000157	44.3	sp|P0ACT0|ACRR_ECOL6 HTH-type transcriptional regulator AcrR OS=Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX=199310 GN=acrR PE=3 SV=1	P2694_LMG_BE
00000127|gene_cluster_GC_00003827|genome_name_P2694_LMG_BE|gene_callers_id_2099	sp|P67433|Y790_MYCBO	38.298	47	29	0	7	53	28	74	0.003	40.4	sp|P67433|Y790_MYCBO Uncharacterized HTH-type transcriptional regulator Mb0790c OS=Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97) OX=233413 GN=BQ2027_MB0790C PE=4 SV=1	P2694_LMG_BE
00000127|gene_cluster_GC_00003827|genome_name_P2694_LMG_BE|gene_callers_id_2099	sp|P9WMD7|Y767_MYCTU	38.298	47	29	0	7	53	28	74	0.003	40.4	sp|P9WMD7|Y767_MYCTU Uncharacterized HTH-type transcriptional regulator Rv0767c OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) OX=83332 GN=Rv0767c PE=1 SV=1	P2694_LMG_BE
00000144|gene_cluster_GC_00003502|genome_name_P2694_LMG_BE|gene_callers_id_2301	sp|A0A0H2URH7|GLYAT_STRPN	28.07	171	106	9	30	195	327	485	6.75e-06	50.8	sp|A0A0H2URH7|GLYAT_STRPN Glycosyltransferase GlyA OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=glyA PE=3 SV=1	P2694_LMG_BE
00000144|gene_cluster_GC_00003502|genome_name_P2694_LMG_BE|gene_callers_id_2301	sp|A0A0H2URH2|GLYF_STRPN	26.702	191	123	8	19	203	16	195	0.000183	45.8	sp|A0A0H2URH2|GLYF_STRPN Glycosyltransferase GlyF OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=glyF PE=3 SV=1	P2694_LMG_BE
00000144|gene_cluster_GC_00003502|genome_name_P2694_LMG_BE|gene_callers_id_2301	sp|Q9AEU2|GLY_STRGN	22.897	214	144	9	30	236	40	239	0.000624	44.7	sp|Q9AEU2|GLY_STRGN Probable glycosyl transferase Gly OS=Streptococcus gordonii OX=1302 GN=gly PE=3 SV=2	P2694_LMG_BE
