contigs_db	P187_SD_IT	P2020_Cocoa_CR	P2024_Cocoa_CR	P2029_Cocoa_CR	P2052_Cocoa_CR	P2176_Unknown_BE	P240_SD_IT	P2711_SD_BE	P2712_SD_BE	P2740_Qu_CN	P2746_Cocoa_VN	P2763_Cocoa_VN	P2764_Cocoa_VN	P2809_Apricot_BE	P3124_LMG_BE	P3333_Amaranth_BE	P3334_WhiteCowpea_BE	P3335_RedCowpea_BE	P3378_Banana_BE	P360_Cocoa_CR	P363_Unknown_BE	P800_Unknown_BE	P815_Cocoa_CR	Reference
Total Length	2040542	1911306	1836992	1864042	1842818	1922849	2038906	2093134	2113973	1873029	1889994	1807185	1896680	1962802	1975526	1962961	1967601	1968277	1933140	1859275	1843432	1932989	1920990	1905587
Num Contigs	203	214	195	184	202	182	208	10	1	239	186	163	261	253	202	252	203	196	189	181	171	168	173	1
Num Contigs > 100 kb	4	1	2	1	3	4	3	2	1	3	2	0	1	3	2	3	4	4	1	2	2	1	3	1
Num Contigs > 50 kb	10	11	10	13	9	11	11	3	1	9	12	12	8	12	11	12	13	13	11	13	10	12	11	1
Num Contigs > 20 kb	31	35	32	35	28	30	34	4	1	29	29	33	31	32	35	32	30	30	36	32	31	38	33	1
Num Contigs > 10 kb	47	46	48	48	46	38	47	5	1	54	48	46	52	47	48	47	42	42	41	47	49	48	46	1
Num Contigs > 5 kb	57	58	60	57	58	47	59	5	1	68	62	60	67	53	63	53	49	49	50	51	56	57	57	1
Num Contigs > 2.5 kb	65	71	69	66	68	58	68	5	1	77	66	68	84	68	76	68	59	60	55	58	63	72	63	1
Longest Contig	220361	164209	143028	115164	139012	174316	160419	1376573	2113973	114776	143388	84051	122282	114894	119877	114894	114890	114891	153649	123632	143028	127236	153078	1905587
Shortest Contig	100	101	100	100	102	101	100	405	2113973	100	101	101	100	100	100	100	100	100	101	100	101	101	101	1905587
Mean Contig Length (trim 10%)	4042.64	3958.93	4546.60	5279.55	3853.80	4281.23	4315.20	89519.50	2113973.00	3450.23	4591.61	6392.60	3163.19	2756.38	4916.96	2770.56	3731.35	4113.63	4851.54	4775.95	5367.45	7220.60	5400.46	1905587.00
L50	11	14	14	15	13	11	13	1	1	14	12	15	17	14	16	14	12	12	14	13	13	17	12	1
L75	26	29	30	29	27	23	28	2	1	33	27	29	35	28	31	28	24	24	25	26	27	31	27	1
L90	43	45	47	44	45	35	45	2	1	55	46	46	59	44	50	44	37	38	38	41	44	45	42	1
N50	47351	40004	38047	42918	43187	51803	45666	1376573	2113973	36385	55428	41534	35983	44519	41034	44519	53174	53173	46544	50456	43885	45636	42433	1905587
N75	24142	25234	20444	23267	20477	34102	24142	592244	2113973	17716	21964	22777	17436	28180	22674	28180	33157	33157	35345	24746	22595	27190	24786	1905587
N90	12320	10214	10630	11469	10340	11202	12043	592244	2113973	9602	10674	10077	8426	10729	9752	10729	13855	12022	15324	14154	11611	14926	13012	1905587
Num Genes	2110	1973	1899	1924	1896	1994	2111	2015	2035	1956	1940	1845	1974	2059	2070	2059	2023	2018	1995	1930	1884	2003	1973	1849
Avg Gene Length	836.88	844.93	841.39	845.39	846.47	829.25	835.99	884.04	889.11	828.93	846.55	855.93	838.90	829.60	826.23	829.71	845.04	847.45	843.31	841.39	851.74	839.43	850.69	884.58
Avg Gene Length (trim 10%)	760.33	775.92	772.72	773.23	777.75	757.31	760.01	813.14	816.22	756.89	774.72	788.79	767.27	759.05	752.63	759.15	775.07	777.38	771.65	771.23	782.58	767.54	778.39	813.87
Min Gene Length	60	78	63	66	60	60	60	93	90	60	63	60	60	60	69	60	60	60	69	66	72	60	75	93
Max Gene Length	4344	4344	4344	4440	4458	4917	4344	4473	5643	4440	4440	4455	4473	4473	6390	4473	4473	4473	4473	4344	4344	4473	4440	4833
Bacteria_71	73	71	72	71	71	72	73	73	71	71	71	71	71	74	71	74	74	74	71	71	71	73	72	71
Ribosomal_RNA_16S	1	1	1	1	1	1	1	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5
bacteria (Bacteria_71)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
