query,genome,gene_cluster,gene_callers_id,subject,pident,alignment_length,evalue,bitscore,function
00000005|gene_cluster_GC_00002507|genome_name_P2712_SD_BE|gene_callers_id_1267,P2712_SD_BE,GC_00002507,1267,sp|O31504|DNMA_BACSU,39.382,777.0,5.600000000000001e-161,497.0,sp|O31504|DNMA_BACSU DNA methyltransferase A OS=Bacillus subtilis (strain 168) OX=224308 GN=dnmA PE=1 SV=1
00000010|gene_cluster_GC_00002994|genome_name_P2712_SD_BE|gene_callers_id_812,P2712_SD_BE,GC_00002994,812,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000023|gene_cluster_GC_00002551|genome_name_P2712_SD_BE|gene_callers_id_197,P2712_SD_BE,GC_00002551,197,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000032|gene_cluster_GC_00002469|genome_name_P2712_SD_BE|gene_callers_id_813,P2712_SD_BE,GC_00002469,813,sp|P55681|Y4WC_SINFN,35.484,62.0,0.007,40.0,sp|P55681|Y4WC_SINFN Uncharacterized HTH-type transcriptional regulator y4wC OS=Sinorhizobium fredii (strain NBRC 101917 / NGR234) OX=394 GN=NGR_a01020 PE=4 SV=1
00000033|gene_cluster_GC_00002469|genome_name_P2712_SD_BE|gene_callers_id_220,P2712_SD_BE,GC_00002469,220,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000034|gene_cluster_GC_00002620|genome_name_P2712_SD_BE|gene_callers_id_233,P2712_SD_BE,GC_00002620,233,sp|P75562|Y107_MYCPN,28.261,138.0,2.2e-05,47.8,sp|P75562|Y107_MYCPN Uncharacterized protein MPN_107 OS=Mycoplasma pneumoniae (strain ATCC 29342 / M129 / Subtype 1) OX=272634 GN=MPN_107 PE=4 SV=1
00000040|gene_cluster_GC_00002956|genome_name_P2712_SD_BE|gene_callers_id_819,P2712_SD_BE,GC_00002956,819,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000047|gene_cluster_GC_00002571|genome_name_P2712_SD_BE|gene_callers_id_930,P2712_SD_BE,GC_00002571,930,sp|A8AV19|METE_STRGC,68.775,743.0,0.0,1071.0,sp|A8AV19|METE_STRGC 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase OS=Streptococcus gordonii (strain Challis / ATCC 35105 / BCRC 15272 / CH1 / DL1 / V288) OX=467705 GN=metE PE=3 SV=1
00000048|gene_cluster_GC_00002629|genome_name_P2712_SD_BE|gene_callers_id_1377,P2712_SD_BE,GC_00002629,1377,sp|Q79CE8|T1353_SHIFL,46.408,515.0,1.82e-158,463.0,sp|Q79CE8|T1353_SHIFL Probable transposase for insertion sequence element IS1353 OS=Shigella flexneri OX=623 PE=3 SV=1
00000051|gene_cluster_GC_00003038|genome_name_P2712_SD_BE|gene_callers_id_1940,P2712_SD_BE,GC_00003038,1940,sp|P71055|EPSF_BACSU,30.24,334.0,8.83e-53,182.0,sp|P71055|EPSF_BACSU Putative glycosyltransferase EpsF OS=Bacillus subtilis (strain 168) OX=224308 GN=epsF PE=2 SV=1
