query	subject	pident	alignment_length	mismatches	gap_opens	qstart	qend	sstart	send	evalue	bitscore	function	genome
00000062|gene_cluster:GC_00004941|genome_name:P2271_Sourdough_CN|gene_callers_id:1063	sp|Q9CIV9|DHAS_LACLA	26.882	93	67	1	6	97	13	105	5.7e-06	48.1	sp|Q9CIV9|DHAS_LACLA HTH-type dhaKLM operon transcriptional activator DhaS OS=Lactococcus lactis subsp. lactis (strain IL1403) OX=272623 GN=dhaS PE=1 SV=1	P2271_Sourdough_CN
00000143|gene_cluster:GC_00004521|genome_name:P2271_Sourdough_CN|gene_callers_id:2956	sp|P54394|DING_BACSU	24.204	314	198	12	150	436	615	915	0.000145	49.3	sp|P54394|DING_BACSU 3'-5' exonuclease DinG OS=Bacillus subtilis (strain 168) OX=224308 GN=dinG PE=3 SV=1	P2271_Sourdough_CN
00000145|gene_cluster:GC_00004281|genome_name:P2271_Sourdough_CN|gene_callers_id:3077	sp|P83970|PMA1_WHEAT	44.643	56	27	1	53	104	786	841	0.005	38.9	sp|P83970|PMA1_WHEAT Plasma membrane ATPase OS=Triticum aestivum OX=4565 GN=ha1 PE=2 SV=1	P2271_Sourdough_CN
00000145|gene_cluster:GC_00004281|genome_name:P2271_Sourdough_CN|gene_callers_id:3077	sp|Q7XPY2|PMA1_ORYSJ	42.857	56	28	1	53	104	786	841	0.009	38.5	sp|Q7XPY2|PMA1_ORYSJ Plasma membrane ATPase OS=Oryza sativa subsp. japonica OX=39947 GN=Os04g0656100 PE=2 SV=1	P2271_Sourdough_CN
00000201|gene_cluster:GC_00005099|genome_name:P2271_Sourdough_CN|gene_callers_id:3080	sp|Q68W27|DNLJ_RICTY	37.5	80	39	2	4	80	615	686	1.48e-06	47.8	sp|Q68W27|DNLJ_RICTY DNA ligase OS=Rickettsia typhi (strain ATCC VR-144 / Wilmington) OX=257363 GN=ligA PE=3 SV=1	P2271_Sourdough_CN
00000201|gene_cluster:GC_00005099|genome_name:P2271_Sourdough_CN|gene_callers_id:3080	sp|Q30ZK6|DNLJ_OLEA2	40.26	77	38	2	4	80	612	680	3.46e-06	46.6	sp|Q30ZK6|DNLJ_OLEA2 DNA ligase OS=Oleidesulfovibrio alaskensis (strain ATCC BAA-1058 / DSM 17464 / G20) OX=207559 GN=ligA PE=3 SV=1	P2271_Sourdough_CN
00000201|gene_cluster:GC_00005099|genome_name:P2271_Sourdough_CN|gene_callers_id:3080	sp|A1VC99|DNLJ1_NITV4	34.211	76	42	1	4	79	604	671	1.02e-05	45.4	sp|A1VC99|DNLJ1_NITV4 DNA ligase 1 OS=Nitratidesulfovibrio vulgaris (strain DP4) OX=391774 GN=ligA1 PE=3 SV=1	P2271_Sourdough_CN
00000201|gene_cluster:GC_00005099|genome_name:P2271_Sourdough_CN|gene_callers_id:3080	sp|B5Y6V5|DNLJ_COPPD	38.961	77	39	2	4	80	589	657	1.1e-05	45.4	sp|B5Y6V5|DNLJ_COPPD DNA ligase OS=Coprothermobacter proteolyticus (strain ATCC 35245 / DSM 5265 / OCM 4 / BT) OX=309798 GN=ligA PE=3 SV=1	P2271_Sourdough_CN
00000201|gene_cluster:GC_00005099|genome_name:P2271_Sourdough_CN|gene_callers_id:3080	sp|A1UTB5|DNLJ_BARBK	40.506	79	36	2	6	84	643	710	1.14e-05	45.4	sp|A1UTB5|DNLJ_BARBK DNA ligase OS=Bartonella bacilliformis (strain ATCC 35685 / KC583 / Herrer 020/F12,63) OX=360095 GN=ligA PE=3 SV=1	P2271_Sourdough_CN
00000218|gene_cluster:GC_00005177|genome_name:P2271_Sourdough_CN|gene_callers_id:1062	sp|B3VA58|AGLK_METVO	28.378	222	132	7	6	209	8	220	7.5e-15	77.0	sp|B3VA58|AGLK_METVO UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminyltransferase OS=Methanococcus voltae OX=2188 GN=aglK PE=1 SV=1	P2271_Sourdough_CN
00000218|gene_cluster:GC_00005177|genome_name:P2271_Sourdough_CN|gene_callers_id:1062	sp|Q58619|Y1222_METJA	25.446	224	149	5	3	221	18	228	4.17e-13	71.6	sp|Q58619|Y1222_METJA Uncharacterized protein MJ1222 OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) OX=243232 GN=MJ1222 PE=4 SV=1	P2271_Sourdough_CN
00000218|gene_cluster:GC_00005177|genome_name:P2271_Sourdough_CN|gene_callers_id:1062	sp|Q57964|Y544_METJA	25.352	213	135	8	7	209	4	202	1.65e-11	67.0	sp|Q57964|Y544_METJA Uncharacterized protein MJ0544 OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) OX=243232 GN=MJ0544 PE=4 SV=1	P2271_Sourdough_CN
00000218|gene_cluster:GC_00005177|genome_name:P2271_Sourdough_CN|gene_callers_id:1062	sp|Q54J42|ALG5_DICDI	26.295	251	156	11	4	232	76	319	2.32e-10	64.7	sp|Q54J42|ALG5_DICDI Dolichyl-phosphate beta-glucosyltransferase OS=Dictyostelium discoideum OX=44689 GN=alg5 PE=2 SV=1	P2271_Sourdough_CN
00000218|gene_cluster:GC_00005177|genome_name:P2271_Sourdough_CN|gene_callers_id:1062	sp|C5BDQ5|ARNC_EDWI9	24.713	174	124	3	4	177	10	176	3.45e-09	61.2	sp|C5BDQ5|ARNC_EDWI9 Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase OS=Edwardsiella ictaluri (strain 93-146) OX=634503 GN=arnC PE=3 SV=1	P2271_Sourdough_CN
00000225|gene_cluster:GC_00004592|genome_name:P2271_Sourdough_CN|gene_callers_id:3004	sp|O34580|PCRA_BACSU	29.642	307	172	12	7	289	5	291	1.04e-19	97.1	sp|O34580|PCRA_BACSU ATP-dependent DNA helicase PcrA OS=Bacillus subtilis (strain 168) OX=224308 GN=pcrA PE=1 SV=1	P2271_Sourdough_CN
00000225|gene_cluster:GC_00004592|genome_name:P2271_Sourdough_CN|gene_callers_id:3004	sp|Q9CD72|UVRD1_MYCLE	26.71	307	176	11	17	288	22	314	4.32e-18	92.0	sp|Q9CD72|UVRD1_MYCLE ATP-dependent DNA helicase UvrD1 OS=Mycobacterium leprae (strain TN) OX=272631 GN=uvrD PE=3 SV=1	P2271_Sourdough_CN
00000225|gene_cluster:GC_00004592|genome_name:P2271_Sourdough_CN|gene_callers_id:3004	sp|P56255|PCRA_GEOSE	27.124	306	181	10	7	289	5	291	2.86e-17	89.4	sp|P56255|PCRA_GEOSE ATP-dependent DNA helicase PcrA OS=Geobacillus stearothermophilus OX=1422 GN=pcrA PE=1 SV=1	P2271_Sourdough_CN
00000225|gene_cluster:GC_00004592|genome_name:P2271_Sourdough_CN|gene_callers_id:3004	sp|P64319|PCRA_STAAN	26.621	293	175	10	19	288	11	286	2.26e-16	86.3	sp|P64319|PCRA_STAAN ATP-dependent DNA helicase PcrA OS=Staphylococcus aureus (strain N315) OX=158879 GN=pcrA PE=1 SV=1	P2271_Sourdough_CN
00000225|gene_cluster:GC_00004592|genome_name:P2271_Sourdough_CN|gene_callers_id:3004	sp|P64318|PCRA_STAAM	26.621	293	175	10	19	288	11	286	2.26e-16	86.3	sp|P64318|PCRA_STAAM ATP-dependent DNA helicase PcrA OS=Staphylococcus aureus (strain Mu50 / ATCC 700699) OX=158878 GN=pcrA PE=3 SV=1	P2271_Sourdough_CN
00000231|gene_cluster:GC_00004811|genome_name:P2271_Sourdough_CN|gene_callers_id:2939	sp|Q9NWW6|NRK1_HUMAN	32.039	103	44	4	1	79	1	101	0.003	40.0	sp|Q9NWW6|NRK1_HUMAN Nicotinamide riboside kinase 1 OS=Homo sapiens OX=9606 GN=NMRK1 PE=1 SV=1	P2271_Sourdough_CN
00000243|gene_cluster:GC_00004646|genome_name:P2271_Sourdough_CN|gene_callers_id:3064	sp|Q9CIV9|DHAS_LACLA	27.957	93	64	1	1	93	8	97	6.12e-05	45.4	sp|Q9CIV9|DHAS_LACLA HTH-type dhaKLM operon transcriptional activator DhaS OS=Lactococcus lactis subsp. lactis (strain IL1403) OX=272623 GN=dhaS PE=1 SV=1	P2271_Sourdough_CN
00000254|gene_cluster:GC_00004652|genome_name:P2271_Sourdough_CN|gene_callers_id:2951	sp|P0DW47|GAJA_BACC5	29.224	219	118	8	273	460	318	530	2.64e-12	73.6	sp|P0DW47|GAJA_BACC5 Endonuclease GajA OS=Bacillus cereus (strain HuB5-5) OX=1053212 GN=gajA PE=3 SV=1	P2271_Sourdough_CN
00000254|gene_cluster:GC_00004652|genome_name:P2271_Sourdough_CN|gene_callers_id:2951	sp|Q60291|Y3535_METJA	29.944	177	99	6	300	458	310	479	2e-09	64.3	sp|Q60291|Y3535_METJA Uncharacterized protein MJECL35 OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) OX=243232 GN=MJECL35 PE=4 SV=1	P2271_Sourdough_CN
00000254|gene_cluster:GC_00004652|genome_name:P2271_Sourdough_CN|gene_callers_id:2951	sp|E8PLM2|OLD_THESS	26.702	191	120	5	299	480	273	452	1.99e-08	60.8	sp|E8PLM2|OLD_THESS OLD nuclease OS=Thermus scotoductus (strain ATCC 700910 / SA-01) OX=743525 GN=old PE=1 SV=1	P2271_Sourdough_CN
