layers	Reference	P815_Cocoa_CR	P800_Unknown_BE	P363_Unknown_BE	P360_Cocoa_CR	P3378_Banana_BE	P3335_RedCowpea_BE	P3334_WhiteCowpea_BE	P3333_Amaranth_BE	P3124_LMG_BE	P2809_Apricot_BE	P2764_Cocoa_VN	P2763_Cocoa_VN	P2746_Cocoa_VN	P2740_Qu_CN	P2712_SD_BE	P2711_SD_BE	P240_SD_IT	P2176_Unknown_BE	P2052_Cocoa_CR	P2029_Cocoa_CR	P2024_Cocoa_CR	P2020_Cocoa_CR	P187_SD_IT
P187_SD_IT	1590824.0	1547547.0	1718519.0	1525212.0	1576024.0	1613003.0	1759285.0	1756993.0	1749770.0	1555569.0	1749456.0	1572696.0	1532249.0	1571146.0	1546327.0	1595093.0	1807208.0	2034306.0	1682245.0	1524299.0	1550522.0	1520682.0	1583404.0	2040542.0
P2020_Cocoa_CR	1539137.0	1720287.0	1608526.0	1720313.0	1730634.0	1578176.0	1577113.0	1576406.0	1573229.0	1509938.0	1573431.0	1596734.0	1694609.0	1722700.0	1526098.0	1556969.0	1590387.0	1584211.0	1537304.0	1725368.0	1727443.0	1714066.0	1911306.0	1585606.0
P2024_Cocoa_CR	1518944.0	1708760.0	1552893.0	1792993.0	1691793.0	1537431.0	1537720.0	1537159.0	1532314.0	1484795.0	1533087.0	1545173.0	1675243.0	1697906.0	1512592.0	1520309.0	1570936.0	1516081.0	1529878.0	1747021.0	1728164.0	1836992.0	1711253.0	1517723.0
P2029_Cocoa_CR	1508680.0	1707555.0	1568056.0	1725726.0	1754464.0	1545287.0	1567193.0	1566094.0	1560123.0	1482884.0	1560936.0	1552385.0	1683740.0	1714795.0	1520990.0	1530179.0	1572816.0	1547400.0	1531010.0	1707845.0	1864042.0	1724431.0	1717873.0	1547777.0
P2052_Cocoa_CR	1508552.0	1710740.0	1556103.0	1763389.0	1695011.0	1545750.0	1545158.0	1544401.0	1543033.0	1497263.0	1542770.0	1555379.0	1675167.0	1694764.0	1524852.0	1534364.0	1565437.0	1526767.0	1542277.0	1842818.0	1713213.0	1754499.0	1723981.0	1528780.0
P2176_Unknown_BE	1542272.0	1527501.0	1656296.0	1523671.0	1525647.0	1584521.0	1668956.0	1667389.0	1665973.0	1553988.0	1664903.0	1538112.0	1505208.0	1518162.0	1542100.0	1577506.0	1699544.0	1675746.0	1922849.0	1524173.0	1515543.0	1518196.0	1526844.0	1679023.0
P240_SD_IT	1587834.0	1537534.0	1720776.0	1515999.0	1568874.0	1611073.0	1758419.0	1756755.0	1750067.0	1548812.0	1749326.0	1574959.0	1525328.0	1565712.0	1540133.0	1589256.0	1803221.0	2038906.0	1680497.0	1517134.0	1540992.0	1513024.0	1577048.0	2035888.0
P2711_SD_BE	1642138.0	1588434.0	1755615.0	1556454.0	1584857.0	1634699.0	1750345.0	1744873.0	1732962.0	1598867.0	1733715.0	1589261.0	1558107.0	1552850.0	1572522.0	1674714.0	2093134.0	1777177.0	1689661.0	1539377.0	1555368.0	1542848.0	1568697.0	1783378.0
P2712_SD_BE	1710898.0	1533963.0	1614253.0	1535554.0	1507895.0	1678823.0	1621924.0	1619581.0	1593067.0	1653149.0	1593067.0	1600248.0	1482041.0	1516735.0	1606957.0	2113973.0	1679441.0	1578423.0	1575726.0	1524536.0	1533812.0	1506329.0	1532431.0	1581884.0
P2740_Qu_CN	1626685.0	1536433.0	1554794.0	1529886.0	1532644.0	1636089.0	1570535.0	1570414.0	1564997.0	1608576.0	1564998.0	1602926.0	1492882.0	1525390.0	1873029.0	1651103.0	1583302.0	1555759.0	1551812.0	1528642.0	1534081.0	1522062.0	1530067.0	1556073.0
