P1210_SD_BE: contigs=7, bases=2425899, CDS=2378

P2216_UniAntwerpt_BE: contigs=81, bases=2355605, CDS=2291

P2297_SD_Lesaf_BE: contigs=98, bases=2337161, CDS=2283

P2301_SD_Lale_BE: contigs=82, bases=2334867, CDS=2277

P2496_SD_IT: contigs=127, bases=2454650, CDS=2432

P2500_SD_IT: contigs=162, bases=2566158, CDS=2537

P2531_SD_IT: contigs=72, bases=2326149, CDS=2274

P2593_Unknown_BE: contigs=95, bases=2349094, CDS=2300

P2599_Fresh-Strawberry_BE: contigs=102, bases=2432281, CDS=2437

P2605_Fresh-Strawberry_BE: contigs=102, bases=2431979, CDS=2433

P2694_LMG_BE: contigs=184, bases=2518128, CDS=2456

P2695_Unknown_BE: contigs=107, bases=2363531, CDS=2314

P2710_SD_BE: contigs=7, bases=2499932, CDS=2512

P2771_Cococa-Vietnam_BE: contigs=46, bases=2440641, CDS=2396

P2795_Unknown_BE: contigs=129, bases=2300198, CDS=2275

P2796_Unknown_BE: contigs=155, bases=2566197, CDS=2543

P2928_Oganic-Rye_SD_BE: contigs=171, bases=2413560, CDS=2330

P2929_Organic-Rye-SD_BE: contigs=109, bases=2227206, CDS=2186

P2933_Rye-SD_BE: contigs=87, bases=2533785, CDS=2514

P2934_Rye-SD_BE: contigs=101, bases=2273426, CDS=2230

P3349_Bambara_BE: contigs=111, bases=2431957, CDS=2433

P3350_Sorghum-seso_BE: contigs=99, bases=2520318, CDS=2428

P3351_Finger-millet_BE: contigs=37, bases=2499958, CDS=2438

P3352_Finger-millet_BE: contigs=71, bases=2448683, CDS=2346

P3353_Maize_BE: contigs=98, bases=2516071, CDS=2425

P3354_OFSP_BE: contigs=97, bases=2387740, CDS=2351

P3401_Brown-teff_BE: contigs=97, bases=2516879, CDS=2426

P950_Fermented-Rice_BE: contigs=107, bases=2486616, CDS=2459

Reference: contigs=1, bases=2494328, CDS=2423

