gene_callers_id	source	accession	function	e_value
0	KOfam	K02313	chromosomal replication initiator protein	4.5e-180
1	KOfam	K02338	DNA polymerase III subunit beta [EC:2.7.7.7]	4.8e-113
2	KOfam	K14761	ribosome-associated protein	1e-27
3	KOfam	K03629	DNA replication and repair protein RecF	7.3e-128
4	KOfam	K02470	DNA gyrase subunit B [EC:5.6.2.2]	0
5	KOfam	K02469	DNA gyrase subunit A [EC:5.6.2.2]	0
6	KOfam	K02990	small subunit ribosomal protein S6	1.2e-26
7	KOfam	K03111	single-strand DNA-binding protein	2.4e-47
8	KOfam	K02963	small subunit ribosomal protein S18	3.8e-30
9	KOfam	K22927	cyclic-di-AMP phosphodiesterase [EC:3.1.4.59]	1.9e-258
10	KOfam	K02939	large subunit ribosomal protein L9	6.6e-38
11	KOfam	K02314	replicative DNA helicase [EC:5.6.2.3]	5.1e-189
13	KOfam	K00931	glutamate 5-kinase [EC:2.7.2.11]	7.6e-105
14	KOfam	K00147	glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]	1.5e-199
15	KOfam	K02035	peptide/nickel transport system substrate-binding protein	1.2e-83
15	KOfam	K15580	oligopeptide transport system substrate-binding protein	1.3e-133
16	KOfam	K00700	1,4-alpha-glucan branching enzyme [EC:2.4.1.18]	1.1e-243
17	KOfam	K00975	glucose-1-phosphate adenylyltransferase [EC:2.7.7.27]	5.7e-135
18	KOfam	K00975	glucose-1-phosphate adenylyltransferase [EC:2.7.7.27]	4.2e-65
19	KOfam	K00703	starch synthase [EC:2.4.1.21]	4.5e-180
20	KOfam	K00688	glycogen phosphorylase [EC:2.4.1.1]	1.8e-47
21	KOfam	K00688	glycogen phosphorylase [EC:2.4.1.1]	3.9e-233
28	KOfam	K01838	beta-phosphoglucomutase [EC:5.4.2.6]	1.4e-86
29	KOfam	K10231	kojibiose phosphorylase [EC:2.4.1.230]	7.7e-177
31	KOfam	K03704	cold shock protein	3.5e-35
33	KOfam	K02483	two-component system, OmpR family, response regulator	6.3e-80
33	KOfam	K07668	two-component system, OmpR family, response regulator VicR	1.4e-122
34	KOfam	K07636	two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]	1.3e-102
34	KOfam	K07652	two-component system, OmpR family, sensor histidine kinase VicK [EC:2.7.13.3]	1e-208
38	KOfam	K04771	serine protease Do [EC:3.4.21.107]	5.9e-86
39	KOfam	K00783	23S rRNA (pseudouridine1915-N3)-methyltransferase [EC:2.1.1.177]	4.9e-61
41	KOfam	K00154	coniferyl-aldehyde dehydrogenase [EC:1.2.1.68]	1e-165
44	KOfam	K01737	6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]	1.4e-15
46	KOfam	K19784	chromate reductase, NAD(P)H dehydrogenase (quinone)	1.3e-41
47	KOfam	K03319	divalent anion:Na+ symporter, DASS family	4.8e-167
50	KOfam	K03741	arsenate reductase (thioredoxin) [EC:1.20.4.4]	1.2e-47
51	KOfam	K04708	3-dehydrosphinganine reductase [EC:1.1.1.102]	6.5e-51
53	KOfam	K15976	putative NAD(P)H nitroreductase [EC:1.-.-.-]	1.6e-35
54	KOfam	K09684	PucR family transcriptional regulator, purine catabolism regulatory protein	8.7e-44
55	KOfam	K01838	beta-phosphoglucomutase [EC:5.4.2.6]	4e-88
61	KOfam	K01104	protein-tyrosine phosphatase [EC:3.1.3.48]	1.2e-31
62	KOfam	K00483	4-hydroxyphenylacetate 3-monooxygenase [EC:1.14.14.9]	2.5e-142
64	KOfam	K01951	GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]	1.7e-24
66	KOfam	K01118	FMN-dependent NADH-azoreductase [EC:1.7.1.17]	2.8e-49
68	KOfam	K18220	ribosomal protection tetracycline resistance protein	3.2e-254
74	KOfam	K23164	reticulon-4-interacting protein 1, mitochondrial	1e-84
75	KOfam	K03892	ArsR family transcriptional regulator, arsenate/arsenite/antimonite-responsive transcriptional repressor	6.2e-21
