gene_callers_id	source	accession	function	e_value
0	NCBI_PGAP	GMGKJONF_00001	Chromosomal replication initiator protein DnaA (dnaA)	0
1	NCBI_PGAP	GMGKJONF_00002	Beta sliding clamp (dnaN)	0
3	NCBI_PGAP	GMGKJONF_00004	DNA replication and repair protein RecF (recF)	0
4	NCBI_PGAP	GMGKJONF_00005	DNA gyrase subunit B (gyrB)	0
5	NCBI_PGAP	GMGKJONF_00006	DNA gyrase subunit A GyrA (gyrA)	0
6	NCBI_PGAP	GMGKJONF_00007	Small ribosomal subunit protein bS6 (rpsF)	0
7	NCBI_PGAP	GMGKJONF_00008	Single-stranded DNA-binding protein A (ssbA)	0
8	NCBI_PGAP	GMGKJONF_00009	Small ribosomal subunit protein bS18 (rpsR)	0
10	NCBI_PGAP	GMGKJONF_00011	Dipeptide-binding protein (dppA_1)	0
12	NCBI_PGAP	GMGKJONF_00013	IS30 family transposase ISSag3	0
14	NCBI_PGAP	GMGKJONF_00015	Dipeptide-binding protein (dppA_2)	0
17	NCBI_PGAP	GMGKJONF_00018	Cyclic-di-AMP phosphodiesterase GdpP (gdpP)	0
18	NCBI_PGAP	GMGKJONF_00019	Large ribosomal subunit protein bL9 (rplI)	0
20	NCBI_PGAP	GMGKJONF_00021	Isoprimeverose transporter (xylP_1)	0
21	NCBI_PGAP	GMGKJONF_00022	Beta-xylosidase (xynB_1)	0
23	NCBI_PGAP	GMGKJONF_00024	Replicative DNA helicase DnaC (dnaC)	0
24	NCBI_PGAP	GMGKJONF_00025	Putative NAD(P)H-dependent FMN-containing oxidoreductase YwqN (ywqN)	0
27	NCBI_PGAP	GMGKJONF_00028	Dipeptide-binding protein (dppA_3)	0
30	NCBI_PGAP	GMGKJONF_00032	Transcriptional regulatory protein WalR (walR)	0
31	NCBI_PGAP	GMGKJONF_00033	Sensor protein kinase WalK (walK)	0
33	NCBI_PGAP	GMGKJONF_00035	Two-component system WalR/WalK regulatory protein YycI (yycI)	0
34	NCBI_PGAP	GMGKJONF_00036	Exodeoxyribonuclease WalJ (walJ)	0
35	NCBI_PGAP	GMGKJONF_00037	Serine protease Do-like HtrA (htrA)	0
36	NCBI_PGAP	GMGKJONF_00038	IS30 family transposase IS1070	0
37	NCBI_PGAP	GMGKJONF_00039	Ribosomal RNA large subunit methyltransferase H (rlmH)	0
39	NCBI_PGAP	GMGKJONF_00041	IS30 family transposase ISLpl1	0
46	NCBI_PGAP	GMGKJONF_00048	HTH-type transcriptional regulator MntR (mntR_1)	0
47	NCBI_PGAP	GMGKJONF_00049	Divalent metal cation transporter MntH (mntH_1)	0
48	NCBI_PGAP	GMGKJONF_00050	Putative universal stress protein	0
51	NCBI_PGAP	GMGKJONF_00053	IS30 family transposase ISLsa1	0
