query	subject	%pident	alignment_length	mismatches	gap_opens	qstart	qend	sstart	send	e-value	bitscore	function	genome
00000009|gene_cluster_GC_00004032|genome_name_P3351_Finger_millet_BE|gene_callers_id_2301	sp|P97084|COBD_SALTY	39.886	351	205	4	5	353	8	354	1.41e-79	251.0	sp|P97084|COBD_SALTY Threonine-phosphate decarboxylase OS=Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720) OX=99287 GN=cobD PE=1 SV=2	P3351_Finger_millet_BE
00000009|gene_cluster_GC_00004032|genome_name_P3351_Finger_millet_BE|gene_callers_id_2301	sp|Q8Z8H8|COBD_SALTI	39.886	351	205	4	5	353	8	354	7.670000000000001e-79	249.0	sp|Q8Z8H8|COBD_SALTI Threonine-phosphate decarboxylase OS=Salmonella typhi OX=90370 GN=cobD PE=3 SV=1	P3351_Finger_millet_BE
00000009|gene_cluster_GC_00004032|genome_name_P3351_Finger_millet_BE|gene_callers_id_2301	sp|Q8R5U4|COBD_CALS4	37.278	338	202	6	22	355	22	353	2.02e-61	204.0	sp|Q8R5U4|COBD_CALS4 Putative threonine-phosphate decarboxylase OS=Caldanaerobacter subterraneus subsp. tengcongensis (strain DSM 15242 / JCM 11007 / NBRC 100824 / MB4) OX=273068 GN=cobD PE=3 SV=1	P3351_Finger_millet_BE
00000009|gene_cluster_GC_00004032|genome_name_P3351_Finger_millet_BE|gene_callers_id_2301	sp|Q8EXQ7|COBDQ_LEPIN	29.67	364	244	8	5	362	6	363	4.88e-48	177.0	sp|Q8EXQ7|COBDQ_LEPIN Adenosylcobalamin biosynthesis bifunctional protein CobDQ OS=Leptospira interrogans serogroup Icterohaemorrhagiae serovar Lai (strain 56601) OX=189518 GN=cobDQ PE=3 SV=2	P3351_Finger_millet_BE
00000009|gene_cluster_GC_00004032|genome_name_P3351_Finger_millet_BE|gene_callers_id_2301	sp|O28255|HIS82_ARCFU	27.893	337	224	8	19	353	21	340	1.6300000000000001e-37	140.0	sp|O28255|HIS82_ARCFU Histidinol-phosphate aminotransferase 2 OS=Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16) OX=224325 GN=hisC2 PE=3 SV=1	P3351_Finger_millet_BE
00000056|gene_cluster_GC_00003752|genome_name_P3351_Finger_millet_BE|gene_callers_id_1436	sp|Q8FVS7|Y3748_BRUSU	27.184	309	184	15	1	291	1	286	6.89e-15	79.3	sp|Q8FVS7|Y3748_BRUSU Putative binding protein BRA0748/BS1330_II0741 OS=Brucella suis biovar 1 (strain 1330) OX=204722 GN=BRA0748 PE=3 SV=1	P3351_Finger_millet_BE
00000056|gene_cluster_GC_00003752|genome_name_P3351_Finger_millet_BE|gene_callers_id_1436	sp|Q2YKZ9|Y2991_BRUA2	27.184	309	184	15	1	291	1	286	6.89e-15	79.3	sp|Q2YKZ9|Y2991_BRUA2 Putative binding protein BAB2_0491 OS=Brucella abortus (strain 2308) OX=359391 GN=BAB2_0491 PE=3 SV=1	P3351_Finger_millet_BE
00000056|gene_cluster_GC_00003752|genome_name_P3351_Finger_millet_BE|gene_callers_id_1436	sp|Q578M8|Y2784_BRUAB	27.184	309	184	15	1	291	1	286	6.89e-15	79.3	sp|Q578M8|Y2784_BRUAB Putative binding protein BruAb2_0484 OS=Brucella abortus biovar 1 (strain 9-941) OX=262698 GN=BruAb2_0484 PE=3 SV=1	P3351_Finger_millet_BE
00000056|gene_cluster_GC_00003752|genome_name_P3351_Finger_millet_BE|gene_callers_id_1436	sp|O07009|GANS_BACSU	26.042	384	249	11	7	373	5	370	2.1e-14	78.2	sp|O07009|GANS_BACSU Galactooligosaccharide-binding protein OS=Bacillus subtilis (strain 168) OX=224308 GN=ganS PE=1 SV=1	P3351_Finger_millet_BE
00000056|gene_cluster_GC_00003752|genome_name_P3351_Finger_millet_BE|gene_callers_id_1436	sp|Q9K491|DASA_STRCO	26.496	234	149	8	8	227	2	226	2.06e-09	62.8	sp|Q9K491|DASA_STRCO Diacetylchitobiose binding protein DasA OS=Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145) OX=100226 GN=dasA PE=1 SV=1	P3351_Finger_millet_BE
00000058|gene_cluster_GC_00003500|genome_name_P3351_Finger_millet_BE|gene_callers_id_2276	sp|Q05599|COBU_SALTY	40.104	192	99	3	6	195	4	181	9.54e-38	131.0	sp|Q05599|COBU_SALTY Bifunctional adenosylcobalamin biosynthesis protein CobU OS=Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720) OX=99287 GN=cobU PE=1 SV=2	P3351_Finger_millet_BE
00000058|gene_cluster_GC_00003500|genome_name_P3351_Finger_millet_BE|gene_callers_id_2276	sp|P0AE76|COBU_ECOLI	38.021	192	103	3	6	195	4	181	3.22e-34	122.0	sp|P0AE76|COBU_ECOLI Bifunctional adenosylcobalamin biosynthesis protein CobU OS=Escherichia coli (strain K12) OX=83333 GN=cobU PE=2 SV=1	P3351_Finger_millet_BE
00000058|gene_cluster_GC_00003500|genome_name_P3351_Finger_millet_BE|gene_callers_id_2276	sp|P0AE77|COBU_ECO57	38.021	192	103	3	6	195	4	181	3.22e-34	122.0	sp|P0AE77|COBU_ECO57 Bifunctional adenosylcobalamin biosynthesis protein CobU OS=Escherichia coli O157:H7 OX=83334 GN=cobU PE=3 SV=1	P3351_Finger_millet_BE
00000058|gene_cluster_GC_00003500|genome_name_P3351_Finger_millet_BE|gene_callers_id_2276	sp|P29931|COBP_SINSX	32.124	193	99	5	6	195	10	173	2.12e-22	92.0	sp|P29931|COBP_SINSX Bifunctional adenosylcobalamin biosynthesis protein CobP OS=Sinorhizobium sp. OX=42445 GN=cobP PE=1 SV=3	P3351_Finger_millet_BE
00000058|gene_cluster_GC_00003500|genome_name_P3351_Finger_millet_BE|gene_callers_id_2276	sp|Q9I466|COBP_PSEAE	31.25	192	104	5	6	195	4	169	8.6e-17	77.4	sp|Q9I466|COBP_PSEAE Bifunctional adenosylcobalamin biosynthesis protein CobP OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=cobP PE=3 SV=1	P3351_Finger_millet_BE
00000060|gene_cluster_GC_00003465|genome_name_P3351_Finger_millet_BE|gene_callers_id_1434	sp|P94552|IABF2_BACSU	52.075	482	210	6	15	481	17	492	0.0	526.0	sp|P94552|IABF2_BACSU Intracellular exo-alpha-L-arabinofuranosidase 2 OS=Bacillus subtilis (strain 168) OX=224308 GN=abf2 PE=1 SV=2	P3351_Finger_millet_BE
00000060|gene_cluster_GC_00003465|genome_name_P3351_Finger_millet_BE|gene_callers_id_1434	sp|Q59219|IABF_BACOV	48.529	476	234	2	15	479	37	512	1.2999999999999999e-170	493.0	sp|Q59219|IABF_BACOV Intracellular exo-alpha-L-arabinofuranosidase OS=Bacteroides ovatus OX=28116 GN=asdII PE=3 SV=1	P3351_Finger_millet_BE
00000060|gene_cluster_GC_00003465|genome_name_P3351_Finger_millet_BE|gene_callers_id_1434	sp|A2QQ94|ABFC_ASPNC	31.981	419	254	13	3	403	15	420	2.29e-49	179.0	sp|A2QQ94|ABFC_ASPNC Probable alpha-L-arabinofuranosidase C OS=Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513) OX=425011 GN=abfC PE=3 SV=1	P3351_Finger_millet_BE
00000060|gene_cluster_GC_00003465|genome_name_P3351_Finger_millet_BE|gene_callers_id_1434	sp|Q0D1I6|ABFC_ASPTN	33.596	381	226	12	23	389	34	401	1.04e-48	177.0	sp|Q0D1I6|ABFC_ASPTN Probable alpha-L-arabinofuranosidase C OS=Aspergillus terreus (strain NIH 2624 / FGSC A1156) OX=341663 GN=abfC PE=3 SV=1	P3351_Finger_millet_BE
00000060|gene_cluster_GC_00003465|genome_name_P3351_Finger_millet_BE|gene_callers_id_1434	sp|Q4WTB3|ABFC_ASPFU	32.08	399	241	12	23	403	34	420	8.41e-48	175.0	sp|Q4WTB3|ABFC_ASPFU Probable alpha-L-arabinofuranosidase C OS=Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) OX=330879 GN=abfC PE=3 SV=2	P3351_Finger_millet_BE
00000081|gene_cluster_GC_00003507|genome_name_P3351_Finger_millet_BE|gene_callers_id_2274	sp|P52086|COBC_ECOLI	31.122	196	132	3	1	195	1	194	5.72e-23	94.4	sp|P52086|COBC_ECOLI Adenosylcobalamin/alpha-ribazole phosphatase OS=Escherichia coli (strain K12) OX=83333 GN=cobC PE=1 SV=1	P3351_Finger_millet_BE
