gene_callers_id	source	accession	function	e_value
3099	KOfam	K08912	light-harvesting complex II chlorophyll a/b binding protein 1	5.7e-199
3100	KOfam	K08916	light-harvesting complex II chlorophyll a/b binding protein 5	2.9e-175
3107	KOfam	K03146	cysteine-dependent adenosine diphosphate thiazole synthase [EC:2.4.2.60]	2.7e-189
3108	KOfam	K05298	glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating) [EC:1.2.1.13]	2.8e-240
3108	KOfam	K00134	glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]	2e-136
3113	KOfam	K08910	light-harvesting complex I chlorophyll a/b binding protein 4	2.1e-151
3113	KOfam	K08908	light-harvesting complex I chlorophyll a/b binding protein 2	6.3e-96
3114	KOfam	K08967	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase [EC:1.13.11.53 1.13.11.54]	6e-35
3115	KOfam	K02716	photosystem II oxygen-evolving enhancer protein 1	3.7e-176
3119	KOfam	K08915	light-harvesting complex II chlorophyll a/b binding protein 4	1.4e-169
