P187_SD_IT: contigs=203, bases=2040542, CDS=1974

P2020_Cocoa_CR: contigs=214, bases=1911306, CDS=1832

P2024_Cocoa_CR: contigs=195, bases=1836992, CDS=1780

P2029_Cocoa_CR: contigs=184, bases=1864042, CDS=1808

P2052_Cocoa_CR: contigs=202, bases=1842818, CDS=1767

P2176_Unknown_BE: contigs=182, bases=1922849, CDS=1877

P240_SD_IT: contigs=208, bases=2038906, CDS=1974

P2711_SD_BE: contigs=10, bases=2093134, CDS=2040

P2712_SD_BE: contigs=1, bases=2113973, CDS=2054

P2740_Qu_CN: contigs=239, bases=1873029, CDS=1791

P2746_Cocoa_VN: contigs=186, bases=1889994, CDS=1826

P2763_Cocoa_VN: contigs=163, bases=1807185, CDS=1749

P2764_Cocoa_VN: contigs=261, bases=1896680, CDS=1789

P2809_Apricot_BE: contigs=253, bases=1962802, CDS=1888

P3124_LMG_BE: contigs=202, bases=1975526, CDS=1945

P3333_Amaranth_BE: contigs=252, bases=1962961, CDS=1893

P3334_WhiteCowpea_BE: contigs=203, bases=1967601, CDS=1899

P3335_RedCowpea_BE: contigs=196, bases=1968277, CDS=1900

P3378_Banana_BE: contigs=189, bases=1933140, CDS=1867

P360_Cocoa_CR: contigs=181, bases=1859275, CDS=1810

P363_Unknown_BE: contigs=171, bases=1843432, CDS=1788

P800_Unknown_BE: contigs=168, bases=1932989, CDS=1902

P815_Cocoa_CR: contigs=173, bases=1920990, CDS=1864

Reference: contigs=1, bases=1905587, CDS=1862

