gene_callers_id	source	accession	function	e_value
627	KOfam	K01358	ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]	5.4e-22
1836	KOfam	K01154	type I restriction enzyme, S subunit [EC:3.1.21.3]	1.2e-15
2740	KOfam	K12990	rhamnosyltransferase [EC:2.4.1.-]	3.1e-74
2743	KOfam	K07271	lipopolysaccharide cholinephosphotransferase [EC:2.7.8.-]	2.3e-41
2910	KOfam	K12972	glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]	3.9e-61
2967	KOfam	K06884	uncharacterized protein	2.7e-09
2989	KOfam	K13292	phosphatidylglycerol---prolipoprotein diacylglyceryl transferase [EC:2.5.1.145]	1.3e-82
3041	KOfam	K00549	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]	5.8e-24
3042	KOfam	K14052	putrescine importer	7.3e-125
3044	KOfam	K19158	toxin YoeB [EC:3.1.-.-]	6.8e-16
3045	KOfam	K19159	antitoxin YefM	7.9e-16
3078	KOfam	K07483	transposase	3.3e-16
3079	KOfam	K07497	putative transposase	5.4e-08
