query	subject	pident	alignment_length	mismatches	gap_opens	qstart	qend	sstart	send	evalue	bitscore	function	genome
00000014|gene_cluster:GC_00005088|genome_name:Type_Strain_reformatted|gene_callers_id:1070	sp|P54490|YQGM_BACSU	26.49	151	101	2	199	340	186	335	1.26e-08	59.7	sp|P54490|YQGM_BACSU Uncharacterized glycosyltransferase YqgM OS=Bacillus subtilis (strain 168) OX=224308 GN=yqgM PE=3 SV=2	Type_Strain_reformatted
00000014|gene_cluster:GC_00005088|genome_name:Type_Strain_reformatted|gene_callers_id:1070	sp|P42982|BSHA_BACSU	25.764	229	130	6	128	352	177	369	2.38e-08	58.9	sp|P42982|BSHA_BACSU N-acetyl-alpha-D-glucosaminyl L-malate synthase OS=Bacillus subtilis (strain 168) OX=224308 GN=bshA PE=1 SV=2	Type_Strain_reformatted
00000014|gene_cluster:GC_00005088|genome_name:Type_Strain_reformatted|gene_callers_id:1070	sp|O58762|TRET_PYRHO	28.042	189	113	7	184	353	226	410	8.49e-08	57.0	sp|O58762|TRET_PYRHO Trehalose synthase OS=Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3) OX=70601 GN=treT PE=1 SV=2	Type_Strain_reformatted
00000014|gene_cluster:GC_00005088|genome_name:Type_Strain_reformatted|gene_callers_id:1070	sp|Q58577|Y1178_METJA	29.703	101	67	1	256	352	249	349	1.06e-07	56.6	sp|Q58577|Y1178_METJA Uncharacterized glycosyltransferase MJ1178 OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) OX=243232 GN=MJ1178 PE=3 SV=1	Type_Strain_reformatted
00000014|gene_cluster:GC_00005088|genome_name:Type_Strain_reformatted|gene_callers_id:1070	sp|Q81ST7|BSHA_BACAN	35.052	97	62	1	257	352	272	368	1.09e-07	56.6	sp|Q81ST7|BSHA_BACAN N-acetyl-alpha-D-glucosaminyl L-malate synthase OS=Bacillus anthracis OX=1392 GN=bshA PE=1 SV=1	Type_Strain_reformatted
00000214|gene_cluster:GC_00005034|genome_name:Type_Strain_reformatted|gene_callers_id:1065	sp|P9WER1|BRAB_ANNTR	25.738	237	155	7	30	250	14	245	1.81e-09	62.0	sp|P9WER1|BRAB_ANNTR O-glycosyltransferase braB OS=Annulohypoxylon truncatum OX=327061 GN=braB PE=1 SV=1	Type_Strain_reformatted
00000214|gene_cluster:GC_00005034|genome_name:Type_Strain_reformatted|gene_callers_id:1065	sp|L0MZK0|FC6_PHOAM	25.0	160	99	6	77	220	46	200	0.000758	44.7	sp|L0MZK0|FC6_PHOAM O-glycosyltransferase PaGT OS=Phomopsis amygdali OX=1214568 GN=PaGT PE=1 SV=1	Type_Strain_reformatted
00000214|gene_cluster:GC_00005034|genome_name:Type_Strain_reformatted|gene_callers_id:1065	sp|B0Y567|AFUMC_ASPFC	33.333	105	58	5	69	163	28	130	0.001	44.3	sp|B0Y567|AFUMC_ASPFC Glycosyltransferase afumC OS=Aspergillus fumigatus (strain CBS 144.89 / FGSC A1163 / CEA10) OX=451804 GN=afumC PE=1 SV=1	Type_Strain_reformatted
00000304|gene_cluster:GC_00004302|genome_name:Type_Strain_reformatted|gene_callers_id:1067	sp|P14184|LICD_HAEIN	30.833	120	80	2	5	124	10	126	3.57e-10	62.4	sp|P14184|LICD_HAEIN Lipopolysaccharide cholinephosphotransferase LicD OS=Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd) OX=71421 GN=licD PE=3 SV=2	Type_Strain_reformatted
00000304|gene_cluster:GC_00004302|genome_name:Type_Strain_reformatted|gene_callers_id:1067	sp|Q9ZCN4|Y689_RICPR	32.836	67	44	1	12	78	62	127	3.65e-05	47.8	sp|Q9ZCN4|Y689_RICPR Uncharacterized protein RP689 OS=Rickettsia prowazekii (strain Madrid E) OX=272947 GN=RP689 PE=3 SV=1	Type_Strain_reformatted
