gene_callers_id	source	accession	function	e_value
0	NCBI_PGAP	KDAEOHOB_00001	Poly(ribitol-phosphate) alpha-N-acetylglucosaminyltransferase (tarM)	0
1	NCBI_PGAP	KDAEOHOB_00002	IS30 family transposase ISPp1	0
6	NCBI_PGAP	KDAEOHOB_00007	IS30 family transposase ISLpl1	0
30	NCBI_PGAP	KDAEOHOB_00031	Tyrosine recombinase XerC (xerC_1)	0
33	NCBI_PGAP	KDAEOHOB_00035	Bifunctional NAD(P)H-hydrate repair enzyme Nnr (nnr)	0
35	NCBI_PGAP	KDAEOHOB_00037	Putative multidrug resistance protein MdtD (mdtD)	0
36	NCBI_PGAP	KDAEOHOB_00038	D-alanyl-D-alanine dipeptidase (ddpX)	0
38	NCBI_PGAP	KDAEOHOB_00040	Penicillin V acylase (yxeI_1)	0
40	NCBI_PGAP	KDAEOHOB_00042	Lipid II flippase MurJ (murJ_1)	0
43	NCBI_PGAP	KDAEOHOB_00045	2-dehydropantoate 2-reductase (panE)	0
45	NCBI_PGAP	KDAEOHOB_00047	Global transcriptional regulator Spx (spx_1)	0
47	NCBI_PGAP	KDAEOHOB_00049	Trifunctional nucleotide phosphoesterase protein YfkN (yfkN)	0
48	NCBI_PGAP	KDAEOHOB_00050	Arylsulfate sulfotransferase AssT (assT_1)	0
50	NCBI_PGAP	KDAEOHOB_00052	Pyrimidine-specific ribonucleoside hydrolase RihA (rihA_1)	0
51	NCBI_PGAP	KDAEOHOB_00054	Catabolite control protein A (ccpA_1)	0
55	NCBI_PGAP	KDAEOHOB_00058	Thiamine precursor transporter HmpT (hmpT)	0
56	NCBI_PGAP	KDAEOHOB_00059	Pyridoxine kinase (pdxK)	0
57	NCBI_PGAP	KDAEOHOB_00060	HTH-type transcriptional regulator NorG (norG)	0
58	NCBI_PGAP	KDAEOHOB_00061	Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU (tagU_1)	0
59	NCBI_PGAP	KDAEOHOB_00062	ATP-binding protein Uup (uup_1)	0
61	NCBI_PGAP	KDAEOHOB_00064	Peptidoglycan glycosyltransferase RodA (rodA_1)	0
62	NCBI_PGAP	KDAEOHOB_00065	Purine efflux pump PbuE (pbuE_1)	0
63	NCBI_PGAP	KDAEOHOB_00066	putative HTH-type transcriptional regulator YybR (yybR_1)	0
68	NCBI_PGAP	KDAEOHOB_00071	2-deoxy-scyllo-inosamine dehydrogenase (neoA)	0
