key,percentage_identity_P187_SD_IT,percentage_identity_P2020_Cocoa_CR,percentage_identity_P2024_Cocoa_CR,percentage_identity_P2029_Cocoa_CR,percentage_identity_P2052_Cocoa_CR,percentage_identity_P2176_Unknown_BE,percentage_identity_P240_SD_IT,percentage_identity_P2711_SD_BE,percentage_identity_P2712_SD_BE,percentage_identity_P2740_Qu_CN,percentage_identity_P2746_Cocoa_VN,percentage_identity_P2763_Cocoa_VN,percentage_identity_P2764_Cocoa_VN,percentage_identity_P2809_Apricot_BE,percentage_identity_P3124_LMG_BE,percentage_identity_P3333_Amaranth_BE,percentage_identity_P3334_WhiteCowpea_BE,percentage_identity_P3335_RedCowpea_BE,percentage_identity_P3378_Banana_BE,percentage_identity_P360_Cocoa_CR,percentage_identity_P363_Unknown_BE,percentage_identity_P800_Unknown_BE,percentage_identity_P815_Cocoa_CR,percentage_identity_Reference,full_percentage_identity_P187_SD_IT,full_percentage_identity_P2020_Cocoa_CR,full_percentage_identity_P2024_Cocoa_CR,full_percentage_identity_P2029_Cocoa_CR,full_percentage_identity_P2052_Cocoa_CR,full_percentage_identity_P2176_Unknown_BE,full_percentage_identity_P240_SD_IT,full_percentage_identity_P2711_SD_BE,full_percentage_identity_P2712_SD_BE,full_percentage_identity_P2740_Qu_CN,full_percentage_identity_P2746_Cocoa_VN,full_percentage_identity_P2763_Cocoa_VN,full_percentage_identity_P2764_Cocoa_VN,full_percentage_identity_P2809_Apricot_BE,full_percentage_identity_P3124_LMG_BE,full_percentage_identity_P3333_Amaranth_BE,full_percentage_identity_P3334_WhiteCowpea_BE,full_percentage_identity_P3335_RedCowpea_BE,full_percentage_identity_P3378_Banana_BE,full_percentage_identity_P360_Cocoa_CR,full_percentage_identity_P363_Unknown_BE,full_percentage_identity_P800_Unknown_BE,full_percentage_identity_P815_Cocoa_CR,full_percentage_identity_Reference,alignment_coverage_P187_SD_IT,alignment_coverage_P2020_Cocoa_CR,alignment_coverage_P2024_Cocoa_CR,alignment_coverage_P2029_Cocoa_CR,alignment_coverage_P2052_Cocoa_CR,alignment_coverage_P2176_Unknown_BE,alignment_coverage_P240_SD_IT,alignment_coverage_P2711_SD_BE,alignment_coverage_P2712_SD_BE,alignment_coverage_P2740_Qu_CN,alignment_coverage_P2746_Cocoa_VN,alignment_coverage_P2763_Cocoa_VN,alignment_coverage_P2764_Cocoa_VN,alignment_coverage_P2809_Apricot_BE,alignment_coverage_P3124_LMG_BE,alignment_coverage_P3333_Amaranth_BE,alignment_coverage_P3334_WhiteCowpea_BE,alignment_coverage_P3335_RedCowpea_BE,alignment_coverage_P3378_Banana_BE,alignment_coverage_P360_Cocoa_CR,alignment_coverage_P363_Unknown_BE,alignment_coverage_P800_Unknown_BE,alignment_coverage_P815_Cocoa_CR,alignment_coverage_Reference,hadamard_P187_SD_IT,hadamard_P2020_Cocoa_CR,hadamard_P2024_Cocoa_CR,hadamard_P2029_Cocoa_CR,hadamard_P2052_Cocoa_CR,hadamard_P2176_Unknown_BE,hadamard_P240_SD_IT,hadamard_P2711_SD_BE,hadamard_P2712_SD_BE,hadamard_P2740_Qu_CN,hadamard_P2746_Cocoa_VN,hadamard_P2763_Cocoa_VN,hadamard_P2764_Cocoa_VN,hadamard_P2809_Apricot_BE,hadamard_P3124_LMG_BE,hadamard_P3333_Amaranth_BE,hadamard_P3334_WhiteCowpea_BE,hadamard_P3335_RedCowpea_BE,hadamard_P3378_Banana_BE,hadamard_P360_Cocoa_CR,hadamard_P363_Unknown_BE,hadamard_P800_Unknown_BE,hadamard_P815_Cocoa_CR,hadamard_Reference,alignment_lengths_P187_SD_IT,alignment_lengths_P2020_Cocoa_CR,alignment_lengths_P2024_Cocoa_CR,alignment_lengths_P2029_Cocoa_CR,alignment_lengths_P2052_Cocoa_CR,alignment_lengths_P2176_Unknown_BE,alignment_lengths_P240_SD_IT,alignment_lengths_P2711_SD_BE,alignment_lengths_P2712_SD_BE,alignment_lengths_P2740_Qu_CN,alignment_lengths_P2746_Cocoa_VN,alignment_lengths_P2763_Cocoa_VN,alignment_lengths_P2764_Cocoa_VN,alignment_lengths_P2809_Apricot_BE,alignment_lengths_P3124_LMG_BE,alignment_lengths_P3333_Amaranth_BE,alignment_lengths_P3334_WhiteCowpea_BE,alignment_lengths_P3335_RedCowpea_BE,alignment_lengths_P3378_Banana_BE,alignment_lengths_P360_Cocoa_CR,alignment_lengths_P363_Unknown_BE,alignment_lengths_P800_Unknown_BE,alignment_lengths_P815_Cocoa_CR,alignment_lengths_Reference,similarity_errors_P187_SD_IT,similarity_errors_P2020_Cocoa_CR,similarity_errors_P2024_Cocoa_CR,similarity_errors_P2029_Cocoa_CR,similarity_errors_P2052_Cocoa_CR,similarity_errors_P2176_Unknown_BE,similarity_errors_P240_SD_IT,similarity_errors_P2711_SD_BE,similarity_errors_P2712_SD_BE,similarity_errors_P2740_Qu_CN,similarity_errors_P2746_Cocoa_VN,similarity_errors_P2763_Cocoa_VN,similarity_errors_P2764_Cocoa_VN,similarity_errors_P2809_Apricot_BE,similarity_errors_P3124_LMG_BE,similarity_errors_P3333_Amaranth_BE,similarity_errors_P3334_WhiteCowpea_BE,similarity_errors_P3335_RedCowpea_BE,similarity_errors_P3378_Banana_BE,similarity_errors_P360_Cocoa_CR,similarity_errors_P363_Unknown_BE,similarity_errors_P800_Unknown_BE,similarity_errors_P815_Cocoa_CR,similarity_errors_Reference
P187_SD_IT,1.0,0.977826947815534,0.977314204902577,0.976388719059406,0.976774476010101,0.9895053526734926,0.9999901930320152,0.9893756954689146,0.9794624137931036,0.9797279615861214,0.976486153846154,0.975918254568368,0.979345648204504,0.9899203247110622,0.978828195812808,0.9899021208791208,0.989987430289776,0.990083304205352,0.9794737180249852,0.9761760510328068,0.977080820802005,0.9883464412416852,0.9758713526868436,0.9796332815301853,1.0,0.7587665926400474,0.7283281205383965,0.7419167012751652,0.72965729546744,0.8157589660042379,0.9969341722082596,0.8762415435982137,0.7656464017915254,0.7424399006026744,0.7518601992366584,0.7328198927756093,0.7548058229375482,0.8487068884579274,0.7461913539306391,0.848843608242643,0.8524210651420673,0.8536157088846555,0.7742521573167596,0.7539550201137385,0.7303233125596374,0.8323730351329303,0.7401008086265644,0.763730487025984,1.0,0.7759722661920215,0.7452343544019187,0.75985792010162,0.7470069226705454,0.8244108673087837,0.9969439492056522,0.8856509692032803,0.7817006462008623,0.7578020937574429,0.7699650387005021,0.7509029463740516,0.7707246408062172,0.8573486848102122,0.7623312825710032,0.8575025654948538,0.861042311307486,0.8621655422921949,0.790477726015931,0.7723555800370686,0.7474543528141053,0.8421875168460145,0.7583999741245219,0.7796085549819607,1.0,0.7587665926400474,0.7283281205383965,0.7419167012751652,0.72965729546744,0.8157589660042379,0.9969341722082596,0.8762415435982137,0.7656464017915254,0.7424399006026744,0.7518601992366584,0.7328198927756093,0.7548058229375482,0.8487068884579274,0.7461913539306391,0.848843608242643,0.8524210651420673,0.8536157088846555,0.7742521573167596,0.7539550201137385,0.7303233125596374,0.8323730351329303,0.7401008086265644,0.763730487025984,2040542.0,1583404.0,1520682.0,1550522.0,1524299.0,1682245.0,2034306.0,1807208.0,1595093.0,1546327.0,1571146.0,1532249.0,1572696.0,1749456.0,1555569.0,1749770.0,1756993.0,1759285.0,1613003.0,1576024.0,1525212.0,1718519.0,1547547.0,1590824.0,0.0,34461.0,34121.0,36174.0,34266.0,17063.0,10.0,19016.0,32105.0,30493.0,36546.0,35710.0,31933.0,16243.0,31678.0,16264.0,16295.0,16303.0,33132.0,36577.0,34229.0,19842.0,36366.0,31374.0
P2020_Cocoa_CR,0.9775563614602034,1.0,0.9947917036625972,0.9934966721672168,0.994798908489526,0.977784603076923,0.9777222915416915,0.9774757531010044,0.975276246264196,0.976689142324425,0.993332770419426,0.9929726542161856,0.980147199762188,0.9775959386281587,0.9768766811684274,0.9776003552077062,0.97758106242497,0.9776939448441246,0.9782557331730768,0.992876783561644,0.9952824917309814,0.9795694214876034,0.9927601049723758,0.9785171924482338,0.8109738744447342,1.0,0.8921327282654546,0.8979247027208377,0.8980216685045495,0.7864529182917681,0.8103979212148942,0.8133520904277216,0.7944697928378393,0.7798454809031209,0.8953115637169271,0.8803929860465232,0.8188298257134532,0.804779431086201,0.7717357776358642,0.8046797473680638,0.8062888162822162,0.806743572423752,0.8077512025579127,0.8990220924553275,0.8958258955903449,0.8243906958214795,0.8935420611365283,0.787980582927693,0.8295929589505814,1.0,0.8968035468941132,0.9038024261944452,0.9027167810910446,0.8043212337532556,0.8288630915196206,0.8320943899093081,0.8146100101187356,0.7984582269924334,0.9013208769291784,0.8866235966402031,0.835415155919565,0.8232229690065327,0.7900032752473963,0.8231172821097198,0.8247794963234563,0.8251494004623017,0.8257055646767184,0.9054719652426142,0.9000719926584231,0.8415847593216366,0.9000583893944769,0.8052802638614643,0.8109738744447342,1.0,0.8921327282654546,0.8979247027208377,0.8980216685045495,0.7864529182917681,0.8103979212148942,0.8133520904277216,0.7944697928378393,0.7798454809031209,0.8953115637169271,0.8803929860465232,0.8188298257134532,0.804779431086201,0.7717357776358642,0.8046797473680638,0.8062888162822162,0.806743572423752,0.8077512025579127,0.8990220924553275,0.8958258955903449,0.8243906958214795,0.8935420611365283,0.787980582927693,1585606.0,1911306.0,1714066.0,1727443.0,1725368.0,1537304.0,1584211.0,1590387.0,1556969.0,1526098.0,1722700.0,1694609.0,1596734.0,1573431.0,1509938.0,1573229.0,1576406.0,1577113.0,1578176.0,1730634.0,1720313.0,1608526.0,1720287.0,1539137.0,35039.0,0.0,8579.0,10854.0,8470.0,33843.0,34804.0,35877.0,38298.0,35036.0,10874.0,10494.0,30853.0,34941.0,33909.0,34940.0,35022.0,35058.0,33829.0,12184.0,7693.0,32947.0,11447.0,33440.0
P2024_Cocoa_CR,0.9778317317380354,0.9950751706771126,1.0,0.9959006674082314,0.9967347153123274,0.9777654754505908,0.9780163171193936,0.978419313666466,0.9766906028589184,0.9767401514195584,0.9946340816326532,0.9943500635838152,0.9796995317313616,0.9779881086142322,0.9769078832584992,0.9779801124297314,0.9781572653822248,0.9782261242236028,0.9790575590062112,0.9935287945670632,0.9983438592750534,0.979538597785978,0.9943757199100114,0.9779602618453864,0.8078846883321464,0.9269639557748324,1.0,0.9369010213386224,0.947917290374513,0.8142996213654707,0.807162990407518,0.8367124750319781,0.8083168101667506,0.8042546397131903,0.919326363429221,0.906796536712376,0.8240674235619662,0.81619345945495,0.789610374200216,0.8157752554162737,0.8185028807407302,0.8188592414888678,0.8194011960860353,0.9149985737265026,0.9744318708373012,0.8280485879806012,0.9249629041135896,0.8086409042437195,0.8262001140995715,0.9315516888478556,1.0,0.9407574992161098,0.9510226500714212,0.8328169093822946,0.8253062615406055,0.8551675783019197,0.8276078502247152,0.823406960944849,0.9242860066891962,0.9119489905236386,0.8411430207643801,0.8345637868863882,0.8082751585200153,0.8341429902797617,0.8367804541337143,0.8370858446852245,0.8369285222799011,0.9209582839772846,0.97604834424973,0.8453455431487997,0.9301945789638714,0.8268647876528585,0.8078846883321464,0.9269639557748324,1.0,0.9369010213386224,0.947917290374513,0.8142996213654707,0.807162990407518,0.8367124750319781,0.8083168101667506,0.8042546397131903,0.919326363429221,0.906796536712376,0.8240674235619662,0.81619345945495,0.789610374200216,0.8157752554162737,0.8185028807407302,0.8188592414888678,0.8194011960860353,0.9149985737265026,0.9744318708373012,0.8280485879806012,0.9249629041135896,0.8086409042437195,1517723.0,1711253.0,1836992.0,1728164.0,1747021.0,1529878.0,1516081.0,1570936.0,1520309.0,1512592.0,1697906.0,1675243.0,1545173.0,1533087.0,1484795.0,1532314.0,1537159.0,1537720.0,1537431.0,1691793.0,1792993.0,1552893.0,1708760.0,1518944.0,33986.0,8099.0,0.0,6759.0,5152.0,34448.0,33623.0,34038.0,35437.0,35125.0,8950.0,8875.0,30760.0,33572.0,34453.0,33569.0,33611.0,33631.0,32218.0,10642.0,2814.0,31938.0,9145.0,33910.0
P2029_Cocoa_CR,0.977008602350031,0.9936126013513514,0.9961278217270196,1.0,0.9951034726143422,0.9779205046728972,0.9770114665841584,0.9772006630500304,0.9757780814312152,0.9760398172652802,0.9941697699214368,0.9939824468696152,0.9793475046324892,0.9768608962553716,0.9760582458386684,0.9768471621621622,0.976860567419158,0.9769299878123096,0.9778325030978934,0.9942296276013144,0.9955623679822122,0.9795826219512196,0.9944463196398424,0.9775855730478588,0.8112432249485386,0.9156983910884252,0.9215209183851792,1.0,0.9117189903376862,0.8032040436102043,0.8110480039571677,0.8245290814561562,0.8010093811546818,0.7964127426647675,0.914570246063356,0.8978381415720492,0.8156062878298379,0.818016621920147,0.7764745407143337,0.8175790702000915,0.8207194223476396,0.8213537239984599,0.8106211422353329,0.935783683715234,0.921689459276385,0.8240374454257691,0.910962191480992,0.7912181175884684,0.8303337585741094,0.9215849213697974,0.9251030824412756,1.0,0.9162052142601936,0.8213387895766298,0.8301315099123303,0.8437663958215533,0.8208929841709576,0.815963374215817,0.919933671022434,0.9032736386841068,0.8328058058777645,0.8373931488668174,0.7955207017867623,0.8369569998959251,0.8401602538998585,0.8407498328900315,0.8289979517628895,0.9412148438715436,0.9257978092768296,0.841212805290868,0.9160496383665176,0.8093594457635611,0.8112432249485386,0.9156983910884252,0.9215209183851792,1.0,0.9117189903376862,0.8032040436102043,0.8110480039571677,0.8245290814561562,0.8010093811546818,0.7964127426647675,0.914570246063356,0.8978381415720492,0.8156062878298379,0.818016621920147,0.7764745407143337,0.8175790702000915,0.8207194223476396,0.8213537239984599,0.8106211422353329,0.935783683715234,0.921689459276385,0.8240374454257691,0.910962191480992,0.7912181175884684,1547777.0,1717873.0,1724431.0,1864042.0,1707845.0,1531010.0,1547400.0,1572816.0,1530179.0,1520990.0,1714795.0,1683740.0,1552385.0,1560936.0,1482884.0,1560123.0,1566094.0,1567193.0,1545287.0,1754464.0,1725726.0,1568056.0,1707555.0,1508680.0,35704.0,10602.0,6475.0,0.0,7681.0,34103.0,35699.0,36123.0,37090.0,36282.0,9514.0,9363.0,31453.0,36003.0,34780.0,36000.0,36172.0,36225.0,33732.0,9995.0,7161.0,32015.0,8883.0,34140.0
P2052_Cocoa_CR,0.977594294592915,0.9950180011074196,0.9966991096634096,0.9950872346368717,1.0,0.977406029593095,0.9777905973864346,0.977712940821256,0.9761400245700248,0.976218142589118,0.994361671372106,0.9940263573487031,0.979186889570552,0.9779435784919654,0.9761152248258392,0.9779610129709698,0.9780433004318324,0.9780922939729396,0.9784175911056208,0.9931340577249576,0.9973492648648647,0.9799108912108176,0.9941109843400447,0.9774124466750316,0.8110006553483614,0.9308527095823736,0.9489312515969252,0.9251029599851632,1.0,0.8180031012844187,0.8100954174529957,0.8305475705904786,0.8127520529207775,0.8077781892532534,0.9144735745045228,0.9035944683418302,0.8264553119805406,0.8187146069715238,0.7930795172764812,0.8188687736540637,0.8196637167806166,0.8201065611311804,0.8206936286988261,0.9134777022573244,0.9543615933970632,0.8274513693407742,0.922861305538522,0.800121065268796,0.829588163345485,0.9355134364869456,0.9520739432760044,0.9296702115998432,1.0,0.8369122724002045,0.8284958145622628,0.8494799812027015,0.832618305226018,0.8274566452031616,0.9196589136854536,0.909024656802788,0.8440220358168848,0.8371797974623647,0.8124855520187018,0.8373225136719958,0.8380648550209516,0.8384756389399278,0.8387968860733941,0.919792947540126,0.9568980767498472,0.8444149123787591,0.9283282451115628,0.8186114960891417,0.8110006553483614,0.9308527095823736,0.9489312515969252,0.9251029599851632,1.0,0.8180031012844187,0.8100954174529957,0.8305475705904786,0.8127520529207775,0.8077781892532534,0.9144735745045228,0.9035944683418302,0.8264553119805406,0.8187146069715238,0.7930795172764812,0.8188687736540637,0.8196637167806166,0.8201065611311804,0.8206936286988261,0.9134777022573244,0.9543615933970632,0.8274513693407742,0.922861305538522,0.800121065268796,1528780.0,1723981.0,1754499.0,1713213.0,1842818.0,1542277.0,1526767.0,1565437.0,1534364.0,1524852.0,1694764.0,1675167.0,1555379.0,1542770.0,1497263.0,1543033.0,1544401.0,1545158.0,1545750.0,1695011.0,1763389.0,1556103.0,1710740.0,1508552.0,34348.0,8381.0,5476.0,8044.0,0.0,34980.0,33986.0,34789.0,36775.0,36095.0,9138.0,9176.0,31905.0,33762.0,35386.0,33761.0,33762.0,33777.0,33350.0,11181.0,4456.0,31308.0,9388.0,34406.0
P2176_Unknown_BE,0.989175437392796,0.9773197842639594,0.9768852281368822,0.976412027972028,0.9767367789072428,1.0,0.989358392652124,0.9887654101123596,0.9784676339554488,0.9795976822429908,0.977523864213198,0.975423204384268,0.9796236654135336,0.9863068945538817,0.9787533600988264,0.9863097627314814,0.9863455086705202,0.986391450028885,0.9799138498789346,0.976174047919294,0.9768455,0.988223406976744,0.9756167046173309,0.9797979058240396,0.8637434922958405,0.7760436980151435,0.7713051029053773,0.7695843064685846,0.7742239908164338,1.0,0.8622171418833336,0.8739377455868871,0.802735193127762,0.7856246568435254,0.7717920568602304,0.76356219891673,0.7836137498350317,0.8539959755880161,0.7909986569685167,0.854547306807271,0.8553046294101253,0.8561483137128333,0.807496622628204,0.7745262408467474,0.7740551441275421,0.8512319355716197,0.7750247117270661,0.7858728770751385,0.8731954511248673,0.7940529911605123,0.7895554981176369,0.7881757745928047,0.7926639065262014,1.0,0.8714912091381071,0.8838676359922178,0.8204003538499383,0.8019870515053444,0.7895378160219549,0.7828009375671204,0.7999130456941757,0.8658521808004684,0.808169544254385,0.8664086467528131,0.8671450540318039,0.867959990618088,0.824048586238441,0.7934304773801791,0.7924028355840734,0.861376010284739,0.7943946716564847,0.8020765021070297,0.8637434922958405,0.7760436980151435,0.7713051029053773,0.7695843064685846,0.7742239908164338,1.0,0.8622171418833336,0.8739377455868871,0.802735193127762,0.7856246568435254,0.7717920568602304,0.76356219891673,0.7836137498350317,0.8539959755880161,0.7909986569685167,0.854547306807271,0.8553046294101253,0.8561483137128333,0.807496622628204,0.7745262408467474,0.7740551441275421,0.8512319355716197,0.7750247117270661,0.7858728770751385,1679023.0,1526844.0,1518196.0,1515543.0,1524173.0,1922849.0,1675746.0,1699544.0,1577506.0,1542100.0,1518162.0,1505208.0,1538112.0,1664903.0,1553988.0,1665973.0,1667389.0,1668956.0,1584521.0,1525647.0,1523671.0,1656296.0,1527501.0,1542272.0,17713.0,33827.0,34620.0,34952.0,34833.0,0.0,17380.0,18666.0,32308.0,30529.0,33694.0,35973.0,30169.0,21980.0,31083.0,21993.0,22001.0,22047.0,31181.0,35009.0,34733.0,18432.0,36581.0,29761.0
P240_SD_IT,0.9999931329262564,0.9778150823672972,0.9771842361111112,0.97645799501868,0.9764119442685244,0.9895129857549856,1.0,0.9890464255543824,0.9792754854079808,0.9800350249066004,0.9761120721271394,0.9755466666666665,0.9790008495145632,0.989584603960396,0.978819562268804,0.9895648215266336,0.9896555798687088,0.9896830727173318,0.979702863095238,0.9759787895377128,0.976914877126654,0.9878994290465632,0.9754625620347396,0.979526090854752,0.9985129375297196,0.7563180058409663,0.7251453483671038,0.7380006526342193,0.7265404872298593,0.8155714898196857,1.0,0.8747187386444489,0.7633110309340136,0.7402912557099136,0.7495737344803182,0.7298171892050604,0.7562321161204131,0.8490367270034145,0.7435396648382372,0.8493793919458039,0.8527035519108059,0.8535349442517399,0.7741273166862203,0.7509849632387122,0.7263708953768002,0.833757724935347,0.7355939189229523,0.7628232154627357,0.9985197944387824,0.7734775413873911,0.7420763880237735,0.7557935481086425,0.7440921749212568,0.8242150447347745,1.0,0.884406147218165,0.7794650660697452,0.7553722437424776,0.7679176970394908,0.7481109967796455,0.7724529723292786,0.8579728540697805,0.7596289382639514,0.8583362842622465,0.8616164747173239,0.8624325986583001,0.7901654122357774,0.7694685287109853,0.7435355038437279,0.8439702467892095,0.7540975405438014,0.778767633230762,0.9985129375297196,0.7563180058409663,0.7251453483671038,0.7380006526342193,0.7265404872298593,0.8155714898196857,1.0,0.8747187386444489,0.7633110309340136,0.7402912557099136,0.7495737344803182,0.7298171892050604,0.7562321161204131,0.8490367270034145,0.7435396648382372,0.8493793919458039,0.8527035519108059,0.8535349442517399,0.7741273166862203,0.7509849632387122,0.7263708953768002,0.833757724935347,0.7355939189229523,0.7628232154627357,2035888.0,1577048.0,1513024.0,1540992.0,1517134.0,1680497.0,2038906.0,1803221.0,1589256.0,1540133.0,1565712.0,1525328.0,1574959.0,1749326.0,1548812.0,1750067.0,1756755.0,1758419.0,1611073.0,1568874.0,1515999.0,1720776.0,1537534.0,1587834.0,4.0,34563.0,34196.0,35964.0,34681.0,17210.0,0.0,19629.0,32137.0,29953.0,37110.0,36242.0,32136.0,16905.0,31281.0,16925.0,16960.0,17010.0,32391.0,36692.0,34308.0,20336.0,36678.0,31380.0
P2711_SD_BE,0.9887978172588832,0.9778222762148336,0.9785115734720417,0.9763944144144144,0.97827443359375,0.9892553126861228,0.9888584654586636,1.0,0.9795403229665072,0.980820719745223,0.978147056165268,0.978152583547558,0.9806630871212122,0.988203524970964,0.980365313283208,0.9881941836141778,0.9883406693594924,0.9881386666666668,0.981535417177914,0.9771585470625396,0.9769971061093248,0.9917078760045924,0.9761915025252524,0.980060695970696,0.8424688881588626,0.7328278415196452,0.7212603799413665,0.7255400884792463,0.7194633323820864,0.7985662269537196,0.8395910252608918,1.0,0.7837290361900054,0.7368673767925024,0.7256657510537959,0.7281265258189562,0.7445914110139842,0.81851581135992,0.7488645004826174,0.818152573521042,0.8238980154960482,0.8263128755763687,0.7665610347571244,0.7398745438284865,0.726494841607027,0.8317944396927299,0.7408105611595803,0.7688924412674615,0.8520132968075622,0.7494489124919858,0.7370994881359721,0.743080949427987,0.735441209210686,0.8072397658248349,0.8490507535590173,1.0,0.8000987992168681,0.7512763158020461,0.7418779686345929,0.74438951352374,0.75927341488887,0.8282866744317373,0.7638627053977433,0.8279269267997176,0.8336174368196207,0.8362316984961307,0.7809815329548897,0.7571693928816788,0.7435997886422943,0.8387494541677695,0.7588783135718975,0.7845355337976451,0.8424688881588626,0.7328278415196452,0.7212603799413665,0.7255400884792463,0.7194633323820864,0.7985662269537196,0.8395910252608918,1.0,0.7837290361900054,0.7368673767925024,0.7256657510537959,0.7281265258189562,0.7445914110139842,0.81851581135992,0.7488645004826174,0.818152573521042,0.8238980154960482,0.8263128755763687,0.7665610347571244,0.7398745438284865,0.726494841607027,0.8317944396927299,0.7408105611595803,0.7688924412674615,1783378.0,1568697.0,1542848.0,1555368.0,1539377.0,1689661.0,1777177.0,2093134.0,1674714.0,1572522.0,1552850.0,1558107.0,1589261.0,1733715.0,1598867.0,1732962.0,1744873.0,1750345.0,1634699.0,1584857.0,1556454.0,1755615.0,1588434.0,1642138.0,19672.0,34433.0,32783.0,36169.0,33029.0,17962.0,19505.0,0.0,33828.0,30001.0,33567.0,33520.0,30402.0,20156.0,31259.0,20160.0,20095.0,20449.0,30126.0,35769.0,35331.0,14318.0,37352.0,32336.0
P2712_SD_BE,0.9800234095238096,0.9760644109947644,0.97683258988016,0.9751729673202616,0.9759320959264128,0.9781531867431484,0.980011222151496,0.9798259330143542,1.0,0.9891969905956114,0.9758614795244388,0.9761620920785375,0.9867166541117388,0.9793826940063092,0.9920961416361416,0.9793826940063092,0.9794399317617868,0.9794094303405574,0.9888810870870872,0.97738273089701,0.9748588005215124,0.9797302857142858,0.9746386854153042,0.9922541214622642,0.7333505920610917,0.707554619384977,0.6960501663368412,0.7075454603022012,0.7038139152180608,0.7291017474367149,0.7317369963107527,0.7784204645790461,1.0,0.75194764948112,0.7001618569142083,0.684357010759441,0.7469307092895707,0.7380521180698849,0.7758295609497595,0.7380521180698849,0.7503796425605654,0.7514417927266234,0.7853252209308278,0.6971662045853693,0.7081208371989662,0.7481328062870921,0.7072274252299894,0.8030592594614713,0.7482990558535989,0.7249056634119736,0.7125582966291433,0.7255589357101534,0.72117098941188,0.7453860574378197,0.7466618542431716,0.7944477058127043,1.0,0.7601596614526297,0.7174807814480129,0.7010690297368982,0.7569860163776926,0.7535890950357454,0.7820104608715438,0.7535890950357454,0.7661313555092709,0.7672396951143652,0.7941553652766615,0.7132990818709605,0.7263829765091607,0.7636109827325136,0.725630365193879,0.8093282175316335,0.7333505920610917,0.707554619384977,0.6960501663368412,0.7075454603022012,0.7038139152180608,0.7291017474367149,0.7317369963107527,0.7784204645790461,1.0,0.75194764948112,0.7001618569142083,0.684357010759441,0.7469307092895707,0.7380521180698849,0.7758295609497595,0.7380521180698849,0.7503796425605654,0.7514417927266234,0.7853252209308278,0.6971662045853693,0.7081208371989662,0.7481328062870921,0.7072274252299894,0.8030592594614713,1581884.0,1532431.0,1506329.0,1533812.0,1524536.0,1575726.0,1578423.0,1679441.0,2113973.0,1606957.0,1516735.0,1482041.0,1600248.0,1593067.0,1653149.0,1593067.0,1619581.0,1621924.0,1678823.0,1507895.0,1535554.0,1614253.0,1533963.0,1710898.0,31439.0,36346.0,34589.0,37715.0,36391.0,33998.0,31382.0,33682.0,0.0,17027.0,36384.0,34943.0,21093.0,32524.0,12839.0,32524.0,32983.0,33075.0,18498.0,33905.0,38280.0,32451.0,38549.0,13092.0
P2740_Qu_CN,0.9796110313075508,0.9765152852664576,0.976081805728518,0.9749999626400996,0.975681547099189,0.9793905253512524,0.979784963190184,0.9805376794258374,0.9893242272727272,1.0,0.974777744360902,0.9756542285345384,0.9860360449970398,0.9804094566544568,0.9898897110849056,0.9804069047619046,0.9804540473300972,0.9804888099574984,0.989146762295082,0.9773623927905531,0.975545251396648,0.9799777723076922,0.9739181408276716,0.991463950260266,0.8138401895111258,0.7977099195910972,0.79318420878201,0.7985615373210381,0.7962865452274356,0.8114289580814701,0.8138204344662029,0.8288645124609855,0.8721040622556734,1.0,0.7938564877909934,0.7776369912068093,0.8438432151680113,0.819175164316896,0.8501271640204787,0.8191725086646637,0.8220474761916912,0.8221399632075105,0.86401872964946,0.7997466174501754,0.796823232570458,0.8134756912559101,0.7988984531826692,0.8610649039225345,0.8307789147952328,0.8168944527820978,0.8126206268028952,0.8190375055591771,0.8161336530293979,0.8285039900610188,0.8306112719023571,0.8453163298592814,0.8815149151454675,1.0,0.8143974279095518,0.7970415834458516,0.8557934767694467,0.8355439237726698,0.858809981052082,0.8355433898781065,0.8384354967274933,0.8385000979696524,0.8734990221721073,0.8182702990717176,0.8167978178661409,0.8300960636487743,0.8202932255720546,0.8684782776988503,0.8138401895111258,0.7977099195910972,0.79318420878201,0.7985615373210381,0.7962865452274356,0.8114289580814701,0.8138204344662029,0.8288645124609855,0.8721040622556734,1.0,0.7938564877909934,0.7776369912068093,0.8438432151680113,0.819175164316896,0.8501271640204787,0.8191725086646637,0.8220474761916912,0.8221399632075105,0.86401872964946,0.7997466174501754,0.796823232570458,0.8134756912559101,0.7988984531826692,0.8610649039225345,1556073.0,1530067.0,1522062.0,1534081.0,1528642.0,1551812.0,1555759.0,1583302.0,1651103.0,1873029.0,1525390.0,1492882.0,1602926.0,1564998.0,1608576.0,1564997.0,1570414.0,1570535.0,1636089.0,1532644.0,1529886.0,1554794.0,1536433.0,1626685.0,30782.0,35135.0,36312.0,37480.0,36632.0,30503.0,30671.0,29610.0,16932.0,0.0,37652.0,35295.0,21838.0,29175.0,15267.0,29176.0,29267.0,29268.0,16937.0,34767.0,36678.0,30114.0,38737.0,13571.0
