gene_callers_id	source	accession	function	e_value
0	NCBI_PGAP	FHDKMCMF_00006	tRNA-dihydrouridine synthase B (dusB)	0
1	NCBI_PGAP	FHDKMCMF_00007	33 kDa chaperonin (hslO)	0
2	NCBI_PGAP	FHDKMCMF_00008	ATP-dependent zinc metalloprotease FtsH (ftsH)	0
3	NCBI_PGAP	FHDKMCMF_00009	Hypoxanthine-guanine phosphoribosyltransferase (hpt)	0
4	NCBI_PGAP	FHDKMCMF_00010	tRNA(Ile)-lysidine synthase (tilS)	0
5	NCBI_PGAP	FHDKMCMF_00011	Polyribonucleotide nucleotidyltransferase (pnp)	0
7	NCBI_PGAP	FHDKMCMF_00013	RQC P-site tRNA stabilizing factor (rqcP)	0
8	NCBI_PGAP	FHDKMCMF_00014	lipid II flippase MurJ (murJ_1)	0
9	NCBI_PGAP	FHDKMCMF_00015	Transcription-repair-coupling factor (mfd)	0
10	NCBI_PGAP	FHDKMCMF_00016	Peptidyl-tRNA hydrolase (pth)	0
11	NCBI_PGAP	FHDKMCMF_00017	L-lactate dehydrogenase (ldh_1)	0
15	NCBI_PGAP	FHDKMCMF_00021	Endoribonuclease EndoA (ndoA)	0
17	NCBI_PGAP	FHDKMCMF_00023	Alanine racemase (alr)	0
18	NCBI_PGAP	FHDKMCMF_00024	Holo-[acyl-carrier-protein] synthase (acpS)	0
20	NCBI_PGAP	FHDKMCMF_00026	IS30 family transposase ISLpl1	0
21	NCBI_PGAP	FHDKMCMF_00027	ATP-dependent RNA helicase CshA (cshA)	0
22	NCBI_PGAP	FHDKMCMF_00028	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase (murF)	0
24	NCBI_PGAP	FHDKMCMF_00030	Protease HtpX (htpX)	0
25	NCBI_PGAP	FHDKMCMF_00031	Protein LemA (lemA)	0
26	NCBI_PGAP	FHDKMCMF_00032	Low molecular weight protein-tyrosine-phosphatase YfkJ (yfkJ)	0
37	NCBI_PGAP	FHDKMCMF_00043	Sortase A (strA)	0
38	NCBI_PGAP	FHDKMCMF_00044	Large ribosomal subunit protein bL31B (rpmE2)	0
39	NCBI_PGAP	FHDKMCMF_00045	UDP-N-acetylglucosamine 1-carboxyvinyltransferase (murA1_1)	0
42	NCBI_PGAP	FHDKMCMF_00048	Alpha-acetolactate decarboxylase (aldC)	0
43	NCBI_PGAP	FHDKMCMF_00049	Acetolactate synthase (alsS)	0
47	NCBI_PGAP	FHDKMCMF_00053	CTP synthase (pyrG)	0
48	NCBI_PGAP	FHDKMCMF_00054	putative DNA-directed RNA polymerase subunit delta (rpoE)	0
49	NCBI_PGAP	FHDKMCMF_00055	putative beta-barrel protein YwiB (ywiB)	0
50	NCBI_PGAP	FHDKMCMF_00056	Lipoyl-[GcvH]:protein N-lipoyltransferase (lipL)	0
52	NCBI_PGAP	FHDKMCMF_00058	Sugar phosphatase YidA (yidA_1)	0
53	NCBI_PGAP	FHDKMCMF_00059	Xylulose-5-phosphate phosphoketolase (xpkA)	0
54	NCBI_PGAP	FHDKMCMF_00060	HTH-type transcriptional regulator GmuR (gmuR)	0
57	NCBI_PGAP	FHDKMCMF_00063	Ribose-phosphate pyrophosphokinase (prs_1)	0
58	NCBI_PGAP	FHDKMCMF_00064	Bifunctional protein GlmU (glmU)	0
59	NCBI_PGAP	FHDKMCMF_00065	Purine biosynthesis transcriptional repressor PurR (purR)	0
62	NCBI_PGAP	FHDKMCMF_00068	High-affinity zinc uptake system membrane protein ZnuB (znuB)	0
63	NCBI_PGAP	FHDKMCMF_00069	Manganese transport system ATP-binding protein MntB (mntB)	0
64	NCBI_PGAP	FHDKMCMF_00070	Manganese-binding lipoprotein MntA (mntA)	0
67	NCBI_PGAP	FHDKMCMF_00073	Fluoroquinolones export ATP-binding protein	0
71	NCBI_PGAP	FHDKMCMF_00077	Beta-glucoside kinase (bglK_1)	0
72	NCBI_PGAP	FHDKMCMF_00078	Aryl-phospho-beta-D-glucosidase BglA (bglA)	0
73	NCBI_PGAP	FHDKMCMF_00079	N-acetylmannosamine kinase (nanK)	0
74	NCBI_PGAP	FHDKMCMF_00080	Isoprimeverose transporter (xylP_1)	0
75	NCBI_PGAP	FHDKMCMF_00081	Alpha-xylosidase XylQ (xylQ)	0
