gene_callers_id	source	accession	function	e_value
4	KOfam	K07482	transposase, IS30 family	2.7e-107
5	KOfam	K01643	citrate lyase subunit alpha / citrate CoA-transferase [EC:2.8.3.10]	4.8e-233
6	KOfam	K01644	citrate lyase subunit beta / citryl-CoA lyase [EC:4.1.3.34]	3.5e-100
7	KOfam	K01646	citrate lyase subunit gamma (acyl carrier protein)	1.6e-35
8	KOfam	K01910	[citrate (pro-3S)-lyase] ligase [EC:6.2.1.22]	6.6e-120
9	KOfam	K00027	malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]	5.9e-115
11	KOfam	K03319	divalent anion:Na+ symporter, DASS family	5.1e-189
12	KOfam	K00016	L-lactate dehydrogenase [EC:1.1.1.27]	5e-98
15	KOfam	K19976	manganese transport system permease protein	2.5e-120
15	KOfam	K02075	zinc/manganese transport system permease protein	7.3e-84
16	KOfam	K02013	iron complex transport system ATP-binding protein [EC:7.2.2.-]	3.8e-79
16	KOfam	K19973	manganese transport system ATP-binding protein [EC:7.2.2.5]	2.6e-106
17	KOfam	K05966	triphosphoribosyl-dephospho-CoA synthase [EC:2.4.2.52]	1.4e-76
19	KOfam	K03779	L(+)-tartrate dehydratase alpha subunit [EC:4.2.1.32]	4.9e-135
20	KOfam	K03780	L(+)-tartrate dehydratase beta subunit [EC:4.2.1.32]	5.2e-94
22	KOfam	K03319	divalent anion:Na+ symporter, DASS family	4.2e-182
23	KOfam	K01735	3-dehydroquinate synthase [EC:4.2.3.4]	2.5e-125
25	KOfam	K00014	shikimate dehydrogenase [EC:1.1.1.25]	1.2e-92
26	KOfam	K00615	transketolase [EC:2.2.1.1]	3.8e-172
27	KOfam	K05884	L-2-hydroxycarboxylate dehydrogenase (NAD+) [EC:1.1.1.337]	1.3e-113
29	KOfam	K25232	fatty acid kinase fatty acid binding subunit	8.6e-72
30	KOfam	K02996	small subunit ribosomal protein S9	2.3e-61
31	KOfam	K02871	large subunit ribosomal protein L13	1.5e-65
32	KOfam	K06173	tRNA pseudouridine38-40 synthase [EC:5.4.99.12]	2.8e-68
33	KOfam	K16785	energy-coupling factor transport system permease protein	1e-69
34	KOfam	K16787	energy-coupling factor transport system ATP-binding protein [EC:7.-.-.-]	4.9e-130
35	KOfam	K16786	energy-coupling factor transport system ATP-binding protein [EC:7.-.-.-]	1.7e-122
36	KOfam	K03734	FAD:protein FMN transferase [EC:2.7.1.180]	5.6e-88
37	KOfam	K20379	sex pheromone cAD1	1.6e-117
38	KOfam	K03885	NADH:quinone reductase (non-electrogenic) [EC:1.6.5.9]	1.3e-115
41	KOfam	K02523	octaprenyl-diphosphate synthase [EC:2.5.1.90]	1.4e-80
42	KOfam	K02879	large subunit ribosomal protein L17	1.2e-54
43	KOfam	K03040	DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6]	4.1e-131
44	KOfam	K02948	small subunit ribosomal protein S11	7e-59
45	KOfam	K02952	small subunit ribosomal protein S13	6e-54
46	KOfam	K02919	large subunit ribosomal protein L36	2.5e-22
47	KOfam	K02518	translation initiation factor IF-1	2.6e-46
48	KOfam	K00939	adenylate kinase [EC:2.7.4.3]	1.8e-64
49	KOfam	K03076	preprotein translocase subunit SecY	4e-151
50	KOfam	K02876	large subunit ribosomal protein L15	5.7e-63
51	KOfam	K02907	large subunit ribosomal protein L30	3.5e-16
52	KOfam	K02988	small subunit ribosomal protein S5	2.6e-65
53	KOfam	K02881	large subunit ribosomal protein L18	3.1e-44
54	KOfam	K02933	large subunit ribosomal protein L6	7e-77
55	KOfam	K02994	small subunit ribosomal protein S8	2.7e-55
