gene_callers_id	source	accession	function	e_value
0	KOfam	K00574	cyclopropane-fatty-acyl-phospholipid synthase [EC:2.1.1.79]	2e-123
4	KOfam	K05770	translocator protein	5.2e-40
7	KOfam	K07029	diacylglycerol kinase (ATP) [EC:2.7.1.107]	7.8e-42
13	KOfam	K08659	dipeptidase [EC:3.4.-.-]	1.3e-183
14	KOfam	K01821	4-oxalocrotonate tautomerase [EC:5.3.2.6]	1.8e-16
15	KOfam	K01586	diaminopimelate decarboxylase [EC:4.1.1.20]	4e-139
16	KOfam	K02548	1,4-dihydroxy-2-naphthoate polyprenyltransferase [EC:2.5.1.74]	2.6e-51
17	KOfam	K10716	voltage-gated potassium channel	3.1e-33
20	KOfam	K20708	isoleucine 2-epimerase [EC:5.1.1.21]	4.5e-253
21	KOfam	K03294	basic amino acid/polyamine antiporter, APA family	4.5e-138
22	KOfam	K21064	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]	2.3e-96
23	KOfam	K11392	16S rRNA (cytosine1407-C5)-methyltransferase [EC:2.1.1.178]	5.7e-110
25	KOfam	K16211	maltose/moltooligosaccharide transporter	6.2e-158
26	KOfam	K00691	maltose phosphorylase [EC:2.4.1.8]	0
27	KOfam	K01785	aldose 1-epimerase [EC:5.1.3.3]	2e-77
29	KOfam	K00938	phosphomevalonate kinase [EC:2.7.4.2]	1.1e-104
30	KOfam	K01597	diphosphomevalonate decarboxylase [EC:4.1.1.33]	1.1e-107
31	KOfam	K00869	mevalonate kinase [EC:2.7.1.36]	1.8e-66
32	KOfam	K02342	DNA polymerase III subunit epsilon [EC:2.7.7.7]	6.2e-50
32	KOfam	K03722	ATP-dependent DNA helicase DinG [EC:5.6.2.3]	7.8e-143
34	KOfam	K00812	aspartate aminotransferase [EC:2.6.1.1]	1.5e-140
35	KOfam	K01893	asparaginyl-tRNA synthetase [EC:6.1.1.22]	1.9e-154
36	KOfam	K02086	DNA replication protein	2.3e-75
37	KOfam	K02071	D-methionine transport system ATP-binding protein	5.3e-137
38	KOfam	K02072	D-methionine transport system permease protein	6.3e-87
39	KOfam	K02073	D-methionine transport system substrate-binding protein	4e-80
41	KOfam	K02011	iron(III) transport system permease protein	4.1e-113
42	KOfam	K02012	iron(III) transport system substrate-binding protein	1.1e-66
45	KOfam	K03700	recombination protein U	6e-84
47	KOfam	K04074	cell division initiation protein	7.9e-22
49	KOfam	K07444	putative N6-adenine-specific DNA methylase [EC:2.1.1.-]	1.3e-171
53	KOfam	K01297	muramoyltetrapeptide carboxypeptidase [EC:3.4.17.13]	7.4e-54
55	KOfam	K07273	lysozyme	4.7e-29
56	KOfam	K01297	muramoyltetrapeptide carboxypeptidase [EC:3.4.17.13]	1.4e-50
64	KOfam	K01938	formate--tetrahydrofolate ligase [EC:6.3.4.3]	1.2e-271
65	KOfam	K03101	signal peptidase II [EC:3.4.23.36]	4.5e-44
66	KOfam	K06180	23S rRNA pseudouridine1911/1915/1917 synthase [EC:5.4.99.23]	2.8e-124
67	KOfam	K02825	pyrimidine operon attenuation protein / uracil phosphoribosyltransferase [EC:2.4.2.9]	1.5e-76
68	KOfam	K01956	carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]	5.4e-132
71	KOfam	K05937	uncharacterized protein	1.9e-47
72	KOfam	K19271	chloramphenicol O-acetyltransferase type A [EC:2.3.1.28]	1.4e-61
81	KOfam	K25232	fatty acid kinase fatty acid binding subunit	1.8e-93
85	KOfam	K18843	antitoxin HicB	7.4e-11
91	KOfam	K08974	putative membrane protein	9.6e-60
95	KOfam	K03303	lactate permease	2.4e-132
97	KOfam	K21030	D-ribitol-5-phosphate cytidylyltransferase [EC:2.7.7.40]	1.8e-99
98	KOfam	K05352	ribitol-5-phosphate 2-dehydrogenase (NADP+) [EC:1.1.1.405]	6.6e-141
98	KOfam	K21680	ribulose-5-phosphate 2-dehydrogenase [EC:1.1.1.137]	8.8e-227
100	KOfam	K18704	CDP-ribitol ribitolphosphotransferase / teichoic acid ribitol-phosphate polymerase [EC:2.7.8.14 2.7.8.47]	4.6e-171
101	KOfam	K22441	diamine N-acetyltransferase [EC:2.3.1.57]	1.8e-72
102	KOfam	K23775	MarR family transcriptional regulator, organic hydroperoxide resistance regulator	2.8e-45
105	KOfam	K19003	1,2-diacylglycerol 3-beta-glucosyltransferase [EC:2.4.1.336]	1.2e-98
109	KOfam	K07304	peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11]	2.2e-69
110	KOfam	K07305	peptide-methionine (R)-S-oxide reductase [EC:1.8.4.12]	2.1e-62
111	KOfam	K15986	manganese-dependent inorganic pyrophosphatase [EC:3.6.1.1]	9.4e-119
113	KOfam	K02621	topoisomerase IV subunit A [EC:5.6.2.2]	9.3e-277
114	KOfam	K02622	topoisomerase IV subunit B [EC:5.6.2.2]	4.6e-284
115	KOfam	K08591	acyl phosphate:glycerol-3-phosphate acyltransferase [EC:2.3.1.275]	4.2e-68
116	KOfam	K01785	aldose 1-epimerase [EC:5.1.3.3]	5e-18
117	KOfam	K03667	ATP-dependent HslUV protease ATP-binding subunit HslU	1.4e-188
118	KOfam	K01419	ATP-dependent HslUV protease, peptidase subunit HslV [EC:3.4.25.2]	4.2e-82
120	KOfam	K04094	methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase [EC:2.1.1.74]	3.6e-231
121	KOfam	K03168	DNA topoisomerase I [EC:5.6.2.1]	3.1e-267
122	KOfam	K04096	DNA processing protein	4.2e-93
123	KOfam	K03470	ribonuclease HII [EC:3.1.26.4]	4.5e-87
124	KOfam	K14540	ribosome biogenesis GTPase A	2e-113
125	KOfam	K00549	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]	2.2e-12
127	KOfam	K06988	8-hydroxy-5-deazaflavin:NADPH oxidoreductase [EC:1.5.1.40]	7.2e-54
130	KOfam	K03797	carboxyl-terminal processing protease [EC:3.4.21.102]	2.5e-121
134	KOfam	K25232	fatty acid kinase fatty acid binding subunit	4.5e-77
135	KOfam	K00287	dihydrofolate reductase [EC:1.5.1.3]	1.9e-61
136	KOfam	K00560	thymidylate synthase [EC:2.1.1.45]	6.9e-145
137	KOfam	K15738	ABC transport system ATP-binding/permease protein	2.7e-245
139	KOfam	K00974	tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72 3.1.3.- 3.1.4.-]	7.9e-106
140	KOfam	K00215	4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]	4.2e-80
141	KOfam	K21064	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]	1e-42
144	KOfam	K03530	DNA-binding protein HU-beta	2.1e-44
145	KOfam	K03977	GTPase	7e-194
146	KOfam	K02945	small subunit ribosomal protein S1	7.5e-140
147	KOfam	K00945	CMP/dCMP kinase [EC:2.7.4.25]	6.6e-95
149	KOfam	K03654	ATP-dependent DNA helicase RecQ [EC:5.6.2.4]	6.5e-151
151	KOfam	K23675	riboflavin transporter	1.1e-50
152	KOfam	K06178	23S rRNA pseudouridine2605 synthase [EC:5.4.99.22]	2e-96
153	KOfam	K06024	segregation and condensation protein B	4.4e-60
154	KOfam	K05896	segregation and condensation protein A	4.8e-73
155	KOfam	K02859	riboflavin biosynthesis RibT protein	3.6e-48
156	KOfam	K04763	integrase/recombinase XerD	3.7e-100
157	KOfam	K00243	uncharacterized protein	1.6e-77
159	KOfam	K00873	pyruvate kinase [EC:2.7.1.40]	1.2e-187
161	KOfam	K02337	DNA polymerase III subunit alpha [EC:2.7.7.7]	0
163	KOfam	K03695	ATP-dependent Clp protease ATP-binding subunit ClpB	0
164	KOfam	K01258	tripeptide aminopeptidase [EC:3.4.11.4]	4.3e-144
166	KOfam	K06967	tRNA (adenine22-N1)-methyltransferase [EC:2.1.1.217]	6.4e-79
168	KOfam	K25140	daunorubicin/doxorubicin transport system permease protein	3.7e-93
169	KOfam	K01990	ABC-2 type transport system ATP-binding protein	1.1e-106
171	KOfam	K01007	pyruvate, water dikinase [EC:2.7.9.2]	4.9e-287
173	KOfam	K15974	MarR family transcriptional regulator, negative regulator of the multidrug operon emrRAB	8.9e-43
180	KOfam	K18909	MarR family transcriptional regulator, repressor for mepA	3.9e-30
181	KOfam	K01439	succinyl-diaminopimelate desuccinylase [EC:3.5.1.18]	1e-85
182	KOfam	K03972	phage shock protein E	3.2e-27
183	KOfam	K22103	DeoR family transcriptional regulator, carbon catabolite repression regulator	3.9e-74
184	KOfam	K03574	8-oxo-dGTP diphosphatase [EC:3.6.1.55]	3.6e-16
185	KOfam	K16509	regulatory protein spx	8.1e-49
189	KOfam	K01091	phosphoglycolate phosphatase [EC:3.1.3.18]	6.2e-38
190	KOfam	K00661	maltose O-acetyltransferase [EC:2.3.1.79]	1.7e-79
191	KOfam	K03481	RpiR family transcriptional regulator, glv operon transcriptional regulator	5.5e-43
195	KOfam	K11921	LysR family transcriptional regulator, cyn operon transcriptional activator	6e-59
198	KOfam	K17869	NADH oxidase (H2O-forming) [EC:1.6.3.4]	5.7e-167
199	KOfam	K07693	two-component system, NarL family, response regulator DesR	1.2e-79
200	KOfam	K07778	two-component system, NarL family, sensor histidine kinase DesK [EC:2.7.13.3]	2.9e-70
204	KOfam	K03827	putative acetyltransferase [EC:2.3.1.-]	4e-53
206	KOfam	K07149	uncharacterized protein	3.1e-54
207	KOfam	K03086	RNA polymerase primary sigma factor	3.1e-182
207	KOfam	K03087	RNA polymerase nonessential primary-like sigma factor	6.2e-127
208	KOfam	K02316	DNA primase [EC:2.7.7.101]	1.2e-151
209	KOfam	K01879	glycyl-tRNA synthetase beta chain [EC:6.1.1.14]	3.1e-245
210	KOfam	K01878	glycyl-tRNA synthetase alpha chain [EC:6.1.1.14]	1.3e-171
211	KOfam	K03584	DNA repair protein RecO (recombination protein O)	5.3e-41
212	KOfam	K03595	GTPase	9.8e-130
213	KOfam	K00887	undecaprenol kinase [EC:2.7.1.66]	2.4e-44
214	KOfam	K07042	probable rRNA maturation factor	3.3e-44
215	KOfam	K06217	phosphate starvation-inducible protein PhoH and related proteins	3.1e-147
216	KOfam	K09117	uncharacterized protein	5.2e-55
217	KOfam	K02970	small subunit ribosomal protein S21	5e-17
218	KOfam	K09773	[pyruvate, water dikinase]-phosphate phosphotransferase / [pyruvate, water dikinase] kinase [EC:2.7.4.28 2.7.11.33]	1.3e-102
220	KOfam	K01151	deoxyribonuclease IV [EC:3.1.21.2]	3.9e-103
221	KOfam	K21285	teichoic acid glycerol-phosphate primase [EC:2.7.8.44]	8.9e-93
223	KOfam	K07304	peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11]	8.9e-68
224	KOfam	K01876	aspartyl-tRNA synthetase [EC:6.1.1.12]	1.1e-258
225	KOfam	K01892	histidyl-tRNA synthetase [EC:6.1.1.21]	2.6e-121
226	KOfam	K01448	N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]	1.8e-60
227	KOfam	K15523	protein-ribulosamine 3-kinase [EC:2.7.1.172]	1.4e-65
228	KOfam	K01091	phosphoglycolate phosphatase [EC:3.1.3.18]	4.2e-34
229	KOfam	K07560	D-aminoacyl-tRNA deacylase [EC:3.1.1.96]	1.3e-55
