query,genome,gene_cluster,gene_callers_id,subject,%pident,alignment_length,e-value,bitscore,function
00000029|gene_cluster_GC_00001584|genome_name_P526_SD_Italy|gene_callers_id_1322,P526_SD_Italy,GC_00001584,1322,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000179|gene_cluster_GC_00001512|genome_name_P526_SD_Italy|gene_callers_id_1320,P526_SD_Italy,GC_00001512,1320,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
00000201|gene_cluster_GC_00001562|genome_name_P526_SD_Italy|gene_callers_id_1311,P526_SD_Italy,GC_00001562,1311,Unknown,0.0,0.0,-,0.0,Unknown - no BLAST hit found
