locus_tag	ftype	length_bp	gene	EC_number	COG	product
BMKFACGC_00001	CDS	1359	dnaA		COG0593	Chromosomal replication initiator protein DnaA
BMKFACGC_00002	CDS	1140	dnaN		COG0592	Beta sliding clamp
BMKFACGC_00003	CDS	228				hypothetical protein
BMKFACGC_00004	CDS	1155	recF		COG1195	DNA replication and repair protein RecF
BMKFACGC_00005	CDS	1944	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
BMKFACGC_00006	CDS	2535	gyrA			DNA gyrase subunit A GyrA
BMKFACGC_00007	CDS	297	rpsF		COG0360	Small ribosomal subunit protein bS6
BMKFACGC_00008	CDS	567	ssbA		COG0629	Single-stranded DNA-binding protein A
BMKFACGC_00009	CDS	237	rpsR		COG0238	Small ribosomal subunit protein bS18
BMKFACGC_00010	CDS	1188			COG1228	putative protein
BMKFACGC_00011	CDS	1608	dppA_1		COG4166	Dipeptide-binding protein
BMKFACGC_00012	CDS	786				hypothetical protein
BMKFACGC_00013	CDS	1185			COG1228	putative protein
BMKFACGC_00014	CDS	1602	dppA_2		COG4166	Dipeptide-binding protein
BMKFACGC_00015	CDS	567				hypothetical protein
BMKFACGC_00016	CDS	735				hypothetical protein
BMKFACGC_00017	CDS	2016	gdpP	3.1.4.59	COG3887	Cyclic-di-AMP phosphodiesterase GdpP
BMKFACGC_00018	CDS	459	rplI			Large ribosomal subunit protein bL9
BMKFACGC_00019	CDS	219				hypothetical protein
BMKFACGC_00020	CDS	144				hypothetical protein
BMKFACGC_00021	CDS	1389	dnaC	5.6.2.3	COG0305	Replicative DNA helicase DnaC
BMKFACGC_00022	CDS	531	ywqN	1.-.-.-	COG0655	Putative NAD(P)H-dependent FMN-containing oxidoreductase YwqN
BMKFACGC_00023	CDS	1176				hypothetical protein
BMKFACGC_00024	CDS	270				hypothetical protein
BMKFACGC_00025	CDS	1611	dppA_3		COG4166	Dipeptide-binding protein
BMKFACGC_00026	CDS	246				hypothetical protein
BMKFACGC_00027	CDS	1002				hypothetical protein
BMKFACGC_00028	tRNA	76				tRNA-Lys(ctt)
BMKFACGC_00029	CDS	717	walR		COG0745	Transcriptional regulatory protein WalR
BMKFACGC_00030	CDS	1857	walK	2.7.13.3	COG5002	Sensor protein kinase WalK
BMKFACGC_00031	CDS	1302				hypothetical protein
BMKFACGC_00032	CDS	855	yycI		COG4853	Two-component system WalR/WalK regulatory protein YycI
BMKFACGC_00033	CDS	828	walJ	3.1.11.-	COG1235	Exodeoxyribonuclease WalJ
BMKFACGC_00034	CDS	1344	htrA	3.4.21.107	COG0265	Serine protease Do-like HtrA
BMKFACGC_00035	CDS	480	rlmH	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
BMKFACGC_00036	CDS	138				hypothetical protein
BMKFACGC_00037	CDS	924			COG2826	IS30 family transposase IS1070
BMKFACGC_00038	CDS	1791	mod	2.1.1.72		Type III restriction-modification enzyme StyLTI Mod subunit
BMKFACGC_00039	CDS	660	res_1	3.1.21.5		Type III restriction-modification enzyme EcoP15I Res subunit
BMKFACGC_00040	CDS	921			COG2826	IS30 family transposase ISLsa1
BMKFACGC_00041	CDS	1905	res_2	3.1.21.5		Type III restriction-modification enzyme EcoP15I Res subunit
BMKFACGC_00042	CDS	930			COG2826	IS30 family transposase ISLpl1
BMKFACGC_00043	CDS	459				hypothetical protein
BMKFACGC_00044	CDS	930			COG2826	IS30 family transposase ISLpl1
BMKFACGC_00045	CDS	375				hypothetical protein
BMKFACGC_00046	CDS	567				hypothetical protein
BMKFACGC_00047	CDS	267				hypothetical protein
BMKFACGC_00048	CDS	306				hypothetical protein
BMKFACGC_00049	CDS	405				hypothetical protein
BMKFACGC_00050	CDS	297				hypothetical protein
BMKFACGC_00051	CDS	225				hypothetical protein
BMKFACGC_00052	CDS	462				hypothetical protein
BMKFACGC_00053	CDS	453				hypothetical protein
BMKFACGC_00054	CDS	1884			COG0737	Cell wall protein
BMKFACGC_00055	CDS	288				hypothetical protein
BMKFACGC_00056	CDS	1128				hypothetical protein
BMKFACGC_00057	CDS	924	prsA_1	5.2.1.8		Foldase protein PrsA
BMKFACGC_00058	CDS	2070				hypothetical protein
BMKFACGC_00059	CDS	294				hypothetical protein
BMKFACGC_00060	CDS	993				hypothetical protein
BMKFACGC_00061	CDS	1338	efpA		COG0477	putative MFS-type transporter EfpA
BMKFACGC_00062	CDS	603				hypothetical protein
BMKFACGC_00063	CDS	840	kdsr_1	1.1.1.102	COG4221	3-ketodihydrosphingosine reductase
BMKFACGC_00064	CDS	363				hypothetical protein
BMKFACGC_00065	CDS	1494	vmlR_1		COG0488	Ribosome protection protein VmlR
BMKFACGC_00066	CDS	603				hypothetical protein
BMKFACGC_00067	CDS	1476	emrB_1		COG2814	Multidrug export protein EmrB
BMKFACGC_00068	CDS	618	argO		COG1279	Arginine exporter protein ArgO
BMKFACGC_00069	CDS	432	mgrA		COG1846	HTH-type transcriptional regulator MgrA
BMKFACGC_00070	CDS	954	aes	3.1.1.-		Acetyl esterase
BMKFACGC_00071	CDS	945	tri1	3.2.2.19	COG1397	ADP-ribosylarginine hydrolase Tri1
BMKFACGC_00072	CDS	597	maa_1	2.3.1.79	COG0110	Maltose O-acetyltransferase
BMKFACGC_00073	CDS	315				hypothetical protein
BMKFACGC_00074	CDS	573				hypothetical protein
BMKFACGC_00075	CDS	432	yjaB	2.3.1.-	COG0456	Peptidyl-lysine N-acetyltransferase YjaB
BMKFACGC_00076	CDS	513				hypothetical protein
BMKFACGC_00077	CDS	906	dppA_4		COG4166	Dipeptide-binding protein
BMKFACGC_00078	CDS	921			COG2826	IS30 family transposase ISLsa1
BMKFACGC_00079	CDS	876	dppA_5		COG4166	Dipeptide-binding protein
BMKFACGC_00080	CDS	636				hypothetical protein
BMKFACGC_00081	CDS	1275				hypothetical protein
BMKFACGC_00082	CDS	480				hypothetical protein
BMKFACGC_00083	CDS	486				hypothetical protein
BMKFACGC_00084	CDS	429				hypothetical protein
BMKFACGC_00085	CDS	849			COG0330	putative protein
BMKFACGC_00086	CDS	330				hypothetical protein
BMKFACGC_00087	CDS	738				hypothetical protein
BMKFACGC_00088	CDS	567				hypothetical protein
BMKFACGC_00089	CDS	504				hypothetical protein
BMKFACGC_00090	CDS	366	menI	3.1.2.28		1,4-dihydroxy-2-naphthoyl-CoA hydrolase
BMKFACGC_00091	CDS	822	menB	4.1.3.36		1,4-dihydroxy-2-naphthoyl-CoA synthase
BMKFACGC_00092	CDS	1434	menE	6.2.1.26	COG0318	2-succinylbenzoate--CoA ligase
BMKFACGC_00093	CDS	543				hypothetical protein
BMKFACGC_00094	CDS	945				hypothetical protein
BMKFACGC_00095	CDS	1515	murE	6.3.2.7		UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase
BMKFACGC_00096	CDS	1509	lysS	6.1.1.6	COG1190	Lysine--tRNA ligase
BMKFACGC_00097	CDS	285				hypothetical protein
BMKFACGC_00098	CDS	900				hypothetical protein
BMKFACGC_00099	tRNA	76				tRNA-Glu(ttc)
BMKFACGC_00100	tRNA	72				tRNA-Gln(ttg)
BMKFACGC_00101	CDS	825	hcaB	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
BMKFACGC_00102	CDS	558				hypothetical protein
BMKFACGC_00103	CDS	636				hypothetical protein
BMKFACGC_00104	CDS	591				hypothetical protein
BMKFACGC_00105	CDS	1506	gadC_1		COG0531	Glutamate/gamma-aminobutyrate antiporter
BMKFACGC_00106	CDS	1410	gadB_1	4.1.1.15	COG0076	Glutamate decarboxylase
BMKFACGC_00107	CDS	1512	gltX_1	6.1.1.17	COG0008	Glutamate--tRNA ligase
BMKFACGC_00108	CDS	105				hypothetical protein
BMKFACGC_00109	CDS	915				hypothetical protein
BMKFACGC_00110	rRNA	1566				16S ribosomal RNA
BMKFACGC_00111	rRNA	2919				23S ribosomal RNA
BMKFACGC_00112	rRNA	117				5S ribosomal RNA
BMKFACGC_00113	CDS	1287	gltT			Proton/sodium-glutamate symport protein
BMKFACGC_00114	CDS	564	ahpC	1.11.1.26	COG0450	Alkyl hydroperoxide reductase C
BMKFACGC_00115	CDS	348				hypothetical protein
BMKFACGC_00116	CDS	642	yhfK_1	4.-.-.-	COG0702	putative sugar epimerase YhfK
BMKFACGC_00117	CDS	264				hypothetical protein
BMKFACGC_00118	CDS	636				hypothetical protein
BMKFACGC_00119	CDS	1443	gnd	1.1.1.44	COG0362	6-phosphogluconate dehydrogenase, decarboxylating
BMKFACGC_00120	CDS	429				hypothetical protein
BMKFACGC_00121	CDS	438	elaA_1		COG2153	Protein ElaA
BMKFACGC_00122	CDS	1689				hypothetical protein
BMKFACGC_00123	CDS	1488	zwf	1.1.1.363		Glucose-6-phosphate 1-dehydrogenase
BMKFACGC_00124	CDS	822	yokD	2.3.1.-	COG2746	SPbeta prophage-derived aminoglycoside N(3')-acetyltransferase-like protein YokD
BMKFACGC_00125	CDS	576				hypothetical protein
BMKFACGC_00126	CDS	1428	calB	1.2.1.68		Coniferyl aldehyde dehydrogenase
BMKFACGC_00127	CDS	843	pdxI	1.1.1.65	COG0667	Pyridoxine 4-dehydrogenase
BMKFACGC_00128	CDS	1047			COG2826	IS30 family transposase ISHahy9
BMKFACGC_00129	CDS	816				hypothetical protein
BMKFACGC_00130	CDS	1167				hypothetical protein
BMKFACGC_00131	CDS	1347	pgtP			Phosphoglycerate transporter protein
BMKFACGC_00132	CDS	615				hypothetical protein
BMKFACGC_00133	CDS	1470	mdtP_1		COG0477	Multidrug transporter protein MdtP
BMKFACGC_00134	CDS	660				hypothetical protein
BMKFACGC_00135	CDS	747	nfrA1	1.5.1.38	COG0778	FMN reductase (NADPH)
BMKFACGC_00136	CDS	474			COG1780	Putative NrdI-like protein
BMKFACGC_00137	CDS	1521	vmlR_2		COG0488	Ribosome protection protein VmlR
BMKFACGC_00138	CDS	1434	farB			Fatty acid resistance protein FarB
BMKFACGC_00139	CDS	180				hypothetical protein
BMKFACGC_00140	CDS	774	kduD_1	1.1.1.127	COG1028	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
BMKFACGC_00141	CDS	969	kdgR_1		COG1609	HTH-type transcriptional regulator KdgR
BMKFACGC_00142	CDS	552				hypothetical protein
BMKFACGC_00143	CDS	810				hypothetical protein
BMKFACGC_00144	CDS	1356				hypothetical protein
BMKFACGC_00145	CDS	357				hypothetical protein
BMKFACGC_00146	CDS	426				Acid shock protein
BMKFACGC_00147	CDS	1479	yjeM_1		COG0531	Inner membrane transporter YjeM
BMKFACGC_00148	CDS	849	yvgN_1	1.1.1.-	COG0656	Glyoxal reductase
BMKFACGC_00149	CDS	159				hypothetical protein
BMKFACGC_00150	CDS	2337	ctpE	7.2.2.10	COG0474	Calcium-transporting ATPase CtpE
BMKFACGC_00151	CDS	525				hypothetical protein
BMKFACGC_00152	CDS	1794				hypothetical protein
BMKFACGC_00153	CDS	2619	adhE		COG1012	Aldehyde-alcohol dehydrogenase
BMKFACGC_00154	CDS	576				hypothetical protein
BMKFACGC_00155	CDS	651				hypothetical protein
BMKFACGC_00156	CDS	108				hypothetical protein
BMKFACGC_00157	CDS	351				hypothetical protein
BMKFACGC_00158	CDS	252				hypothetical protein
BMKFACGC_00159	CDS	522				hypothetical protein
BMKFACGC_00160	CDS	846	kduI1_1	5.3.1.17	COG3717	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase 1
BMKFACGC_00161	CDS	981	kdgK_1	2.7.1.45	COG0524	2-dehydro-3-deoxygluconokinase
BMKFACGC_00162	CDS	1188	ackA_1	2.7.2.1	COG0282	Acetate kinase
BMKFACGC_00163	CDS	498				hypothetical protein
BMKFACGC_00164	CDS	1623			COG3559	Multidrug efflux system permease protein
BMKFACGC_00165	CDS	894		7.6.2.-	COG1131	Multidrug efflux system ATP-binding protein
BMKFACGC_00166	CDS	657	yedJ		COG1418	putative protein YedJ
BMKFACGC_00167	CDS	1338				hypothetical protein
BMKFACGC_00168	CDS	1428	uxaC_1	5.3.1.12	COG1904	Uronate isomerase
BMKFACGC_00169	CDS	1419	uidB		COG2211	Glucuronide carrier protein 
BMKFACGC_00170	CDS	2496		2.4.1.161	COG1501	Oligosaccharide 4-alpha-D-glucosyltransferase
BMKFACGC_00171	CDS	1812	bglR	3.2.1.31		Beta-glucuronidase
BMKFACGC_00172	CDS	1338	gntP		COG2610	High-affinity gluconate transporter
BMKFACGC_00173	CDS	657	kdgA_1	4.1.2.14	COG0800	2-dehydro-3-deoxy-phosphogluconate aldolase
BMKFACGC_00174	CDS	963	kdgK_2	2.7.1.45	COG0524	2-dehydro-3-deoxygluconokinase
BMKFACGC_00175	CDS	1416	uxaC_2	5.3.1.12	COG1904	Uronate isomerase
BMKFACGC_00176	CDS	366				hypothetical protein
BMKFACGC_00177	CDS	1566	yjmB_1		COG2211	putative symporter YjmB
BMKFACGC_00178	CDS	666	rspR_1		COG1802	HTH-type transcriptional repressor RspR
BMKFACGC_00179	CDS	1074	uxuA_1	4.2.1.8	COG1312	Mannonate dehydratase
BMKFACGC_00180	CDS	1638	uxuB	1.1.1.57	COG0246	D-mannonate oxidoreductase
BMKFACGC_00181	CDS	879	lacX_1			Protein LacX, plasmid
BMKFACGC_00182	CDS	663	gpmA_1	5.4.2.11	COG0588	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
BMKFACGC_00183	CDS	993		1.1.1.81	COG1052	Hydroxypyruvate reductase
BMKFACGC_00184	CDS	1542	xylB_1	2.7.1.17		Xylulose kinase
BMKFACGC_00185	CDS	903		1.1.1.343	COG1023	6-phosphogluconate dehydrogenase, NAD(+)-dependent, decarboxylating
BMKFACGC_00186	CDS	702	rspR_2		COG1802	HTH-type transcriptional repressor RspR
BMKFACGC_00187	CDS	1071	uxuA_2	4.2.1.8	COG1312	Mannonate dehydratase
BMKFACGC_00188	CDS	1008	exuR		COG1609	putative HTH-type transcriptional repressor ExuR
BMKFACGC_00189	CDS	1479	yjmB_2		COG2211	putative symporter YjmB
BMKFACGC_00190	CDS	1581	uxaE	5.1.2.7		Tagaturonate/fructuronate epimerase
BMKFACGC_00191	CDS	1461	uxaC_3	5.3.1.12	COG1904	Uronate isomerase
BMKFACGC_00192	CDS	1242				hypothetical protein
BMKFACGC_00193	CDS	183				hypothetical protein
BMKFACGC_00194	CDS	1395	hsrA		COG0477	putative transport protein HsrA
BMKFACGC_00195	CDS	528				hypothetical protein
BMKFACGC_00196	CDS	189				hypothetical protein
