gene_callers_id	source	accession	function	e_value
593	KOfam	K07341	death on curing protein	1.8e-30
1658	KOfam	K03496	chromosome partitioning protein	3.5e-42
2448	KOfam	K21745	MerR family transcriptional regulator, aldehyde-responsive regulator	1.5e-48
2625	KOfam	K06909	phage terminase large subunit	4.1e-67
2628	KOfam	K00571	site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72]	8.9e-57
2629	KOfam	K00571	site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72]	1.3e-52
2654	KOfam	K07729	putative transcriptional regulator	6.9e-20
2655	KOfam	K22299	HTH-type transcriptional regulator, competence development regulator	5.5e-22
2668	KOfam	K07486	transposase	4.7e-15
2686	KOfam	K03496	chromosome partitioning protein	1.4e-64
2840	KOfam	K07497	putative transposase	1.3e-34
2848	KOfam	K01156	type III restriction enzyme [EC:3.1.21.5]	1e-81
2849	KOfam	K07316	adenine-specific DNA-methyltransferase [EC:2.1.1.72]	2.3e-105
2953	KOfam	K00278	L-aspartate oxidase [EC:1.4.3.16]	1.6e-181
2954	KOfam	K03517	quinolinate synthase [EC:2.5.1.72]	5.8e-113
2955	KOfam	K04487	cysteine desulfurase [EC:2.8.1.7]	1.9e-91
2958	KOfam	K00767	nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC:2.4.2.19]	2.7e-100
2965	KOfam	K09813	hemin transport system permease protein	3.8e-79
2999	KOfam	K06889	uncharacterized protein	2.1e-33
3000	KOfam	K22106	TetR/AcrR family transcriptional regulator, repressor of fatR-cypB operon	9.7e-51
3017	KOfam	K19420	protein tyrosine kinase modulator	3.3e-46
3019	KOfam	K16649	rhamnopyranosyl-N-acetylglucosaminyl-diphospho-decaprenol beta-1,3/1,4-galactofuranosyltransferase [EC:2.4.1.287]	6.9e-54
3024	KOfam	K02030	polar amino acid transport system substrate-binding protein	1.2e-43
3026	KOfam	K02029	polar amino acid transport system permease protein	2.2e-57
3027	KOfam	K02029	polar amino acid transport system permease protein	4.7e-59
3037	KOfam	K08177	MFS transporter, OFA family, oxalate/formate antiporter	4e-141
3077	KOfam	K07078	uncharacterized protein	1.7e-45
