gene_callers_id	source	accession	function	e_value
0	KOfam	K01990	ABC-2 type transport system ATP-binding protein	1.8e-71
2	KOfam	K16919	acetoin utilization transport system permease protein	1.4e-15
4	KOfam	K16921	acetoin utilization transport system ATP-binding protein	2.1e-98
5	KOfam	K07979	GntR family transcriptional regulator	1.2e-43
6	KOfam	K03086	RNA polymerase primary sigma factor	2.7e-182
6	KOfam	K03087	RNA polymerase nonessential primary-like sigma factor	5.5e-127
7	KOfam	K02316	DNA primase [EC:2.7.7.101]	1.2e-151
8	KOfam	K01879	glycyl-tRNA synthetase beta chain [EC:6.1.1.14]	4.2e-245
9	KOfam	K01878	glycyl-tRNA synthetase alpha chain [EC:6.1.1.14]	1.1e-171
10	KOfam	K03584	DNA repair protein RecO (recombination protein O)	4.7e-41
11	KOfam	K03595	GTPase	1.2e-128
12	KOfam	K00887	undecaprenol kinase [EC:2.7.1.66]	1.8e-44
13	KOfam	K07042	probable rRNA maturation factor	2.4e-45
14	KOfam	K06217	phosphate starvation-inducible protein PhoH and related proteins	2.8e-147
15	KOfam	K09117	uncharacterized protein	1.7e-54
16	KOfam	K02970	small subunit ribosomal protein S21	4.4e-17
17	KOfam	K09773	[pyruvate, water dikinase]-phosphate phosphotransferase / [pyruvate, water dikinase] kinase [EC:2.7.4.28 2.7.11.33]	8.1e-102
19	KOfam	K01151	deoxyribonuclease IV [EC:3.1.21.2]	1.9e-103
20	KOfam	K21285	teichoic acid glycerol-phosphate primase [EC:2.7.8.44]	4.5e-92
22	KOfam	K07304	peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11]	7.8e-68
23	KOfam	K01876	aspartyl-tRNA synthetase [EC:6.1.1.12]	1.1e-258
24	KOfam	K01892	histidyl-tRNA synthetase [EC:6.1.1.21]	5.6e-122
25	KOfam	K01448	N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]	2.5e-60
26	KOfam	K15523	protein-ribulosamine 3-kinase [EC:2.7.1.172]	1.1e-65
27	KOfam	K01091	phosphoglycolate phosphatase [EC:3.1.3.18]	2.3e-32
28	KOfam	K07560	D-aminoacyl-tRNA deacylase [EC:3.1.1.96]	4e-56
29	KOfam	K01139	GTP diphosphokinase / guanosine-3',5'-bis(diphosphate) 3'-diphosphatase [EC:2.7.6.5 3.1.7.2]	7.5e-294
31	KOfam	K09761	16S rRNA (uracil1498-N3)-methyltransferase [EC:2.1.1.193]	6.5e-64
32	KOfam	K02687	ribosomal protein L11 methyltransferase [EC:2.1.1.-]	5.6e-93
33	KOfam	K03652	DNA-3-methyladenine glycosylase [EC:3.2.2.21]	1.2e-63
36	KOfam	K03596	GTP-binding protein LepA	0
37	KOfam	K03740	D-alanine transfer protein	1.4e-149
38	KOfam	K14188	D-alanine--poly(phosphoribitol) ligase subunit 2 [EC:6.1.1.13]	7.4e-33
39	KOfam	K03739	membrane protein involved in D-alanine export	1.1e-160
40	KOfam	K03367	D-alanine--poly(phosphoribitol) ligase subunit 1 [EC:6.1.1.13]	5.5e-216
42	KOfam	K22580	teichoic acid D-alanine hydrolase [EC:3.1.1.103]	8.4e-69
43	KOfam	K07497	putative transposase	6.8e-41
44	KOfam	K07483	transposase	1.1e-18
45	KOfam	K03686	molecular chaperone DnaJ	2.2e-146
46	KOfam	K04043	molecular chaperone DnaK	4.8e-272
47	KOfam	K03687	molecular chaperone GrpE	2.6e-57
48	KOfam	K03705	heat-inducible transcriptional repressor	6.3e-99
49	KOfam	K01575	acetolactate decarboxylase [EC:4.1.1.5]	1.8e-89
50	KOfam	K11753	riboflavin kinase / FMN adenylyltransferase [EC:2.7.1.26 2.7.7.2]	2.8e-108
51	KOfam	K03177	tRNA pseudouridine55 synthase [EC:5.4.99.25]	3.1e-98
52	KOfam	K00891	shikimate kinase [EC:2.7.1.71]	1.8e-46
53	KOfam	K04517	prephenate dehydrogenase [EC:1.3.1.12]	7.1e-94
54	KOfam	K00800	3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19]	4.9e-135
57	KOfam	K01736	chorismate synthase [EC:4.2.3.5]	1.6e-101
58	KOfam	K26745	MFS transporter, AAHS family, multidrug transporter	1.7e-110
60	KOfam	K02834	ribosome-binding factor A	2.3e-42
61	KOfam	K02519	translation initiation factor IF-2	2.6e-295
63	KOfam	K07742	uncharacterized protein	1.5e-23
64	KOfam	K02600	transcription termination/antitermination protein NusA	8.9e-170
65	KOfam	K09748	ribosome maturation factor RimP	9.6e-52
66	KOfam	K03763	DNA polymerase III subunit alpha, Gram-positive type [EC:2.7.7.7]	0
66	KOfam	K02342	DNA polymerase III subunit epsilon [EC:2.7.7.7]	7.2e-50
67	KOfam	K01881	prolyl-tRNA synthetase [EC:6.1.1.15]	3.2e-165
68	KOfam	K11749	regulator of sigma E protease [EC:3.4.24.-]	2.8e-116
69	KOfam	K00981	phosphatidate cytidylyltransferase [EC:2.7.7.41]	4.6e-55
70	KOfam	K00806	undecaprenyl diphosphate synthase [EC:2.5.1.31]	5.2e-112
71	KOfam	K02838	ribosome recycling factor	2.1e-67
72	KOfam	K09903	uridylate kinase [EC:2.7.4.22]	1.5e-124
73	KOfam	K02357	elongation factor Ts	1.7e-99
74	KOfam	K02967	small subunit ribosomal protein S2	3.1e-121
75	KOfam	K07025	putative hydrolase of the HAD superfamily	1.8e-42
77	KOfam	K06207	GTP-binding protein	5.5e-294
78	KOfam	K01092	myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]	5.1e-54
81	KOfam	K00382	dihydrolipoyl dehydrogenase [EC:1.8.1.4]	4.1e-177
82	KOfam	K09699	2-oxoisovalerate dehydrogenase E2 component (dihydrolipoyl transacylase) [EC:2.3.1.168]	4.5e-147
82	KOfam	K00627	pyruvate dehydrogenase E2 component (dihydrolipoyllysine-residue acetyltransferase) [EC:2.3.1.12]	3e-146
84	KOfam	K00166	2-oxoisovalerate dehydrogenase E1 component subunit alpha [EC:1.2.4.4]	1.3e-114
85	KOfam	K01462	peptide deformylase [EC:3.5.1.88]	6.1e-45
88	KOfam	K12574	ribonuclease J [EC:3.1.-.-]	1.8e-236
89	KOfam	K07029	diacylglycerol kinase (ATP) [EC:2.7.1.107]	7.8e-61
91	KOfam	K21471	peptidoglycan DL-endopeptidase CwlO [EC:3.4.-.-]	5.5e-35
92	KOfam	K00948	ribose-phosphate pyrophosphokinase [EC:2.7.6.1]	4.9e-127
93	KOfam	K03581	exodeoxyribonuclease V alpha subunit [EC:3.1.11.5]	1.9e-145
99	KOfam	K03499	trk/ktr system potassium uptake protein	2.9e-40
100	KOfam	K03498	trk/ktr system potassium uptake protein	3.5e-126
101	KOfam	K00566	tRNA-uridine 2-sulfurtransferase [EC:2.8.1.13]	1.3e-168
103	KOfam	K04487	cysteine desulfurase [EC:2.8.1.7]	1.3e-141
104	KOfam	K01243	adenosylhomocysteine nucleosidase [EC:3.2.2.9]	8.4e-74
106	KOfam	K01515	ADP-ribose diphosphatase [EC:3.6.1.13 3.6.1.-]	3.7e-49
107	KOfam	K01778	diaminopimelate epimerase [EC:5.1.1.7]	3e-63
108	KOfam	K01870	isoleucyl-tRNA synthetase [EC:6.1.1.5]	0
109	KOfam	K04074	cell division initiation protein	6.7e-63
111	KOfam	K02221	YggT family protein	1.3e-23
112	KOfam	K09772	cell division inhibitor SepF	2.1e-37
113	KOfam	K03531	cell division protein FtsZ	3.3e-166
114	KOfam	K03590	cell division protein FtsA	6.3e-141
115	KOfam	K03589	cell division protein FtsQ	1e-26
116	KOfam	K02563	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase [EC:2.4.1.227]	3.4e-119
117	KOfam	K01925	UDP-N-acetylmuramoylalanine--D-glutamate ligase [EC:6.3.2.9]	5.6e-141
118	KOfam	K01000	phospho-N-acetylmuramoyl-pentapeptide-transferase [EC:2.7.8.13]	9.8e-126
119	KOfam	K08724	penicillin-binding protein 2B	2.9e-260
120	KOfam	K03586	cell division protein FtsL	8.8e-13
121	KOfam	K03438	16S rRNA (cytosine1402-N4)-methyltransferase [EC:2.1.1.199]	6.1e-139
122	KOfam	K03925	transcriptional regulator MraZ	8.5e-57
124	KOfam	K03284	magnesium transporter	2e-41
126	KOfam	K02884	large subunit ribosomal protein L19	3.5e-54
127	KOfam	K00554	tRNA (guanine37-N1)-methyltransferase [EC:2.1.1.228]	3e-116
128	KOfam	K02860	16S rRNA processing protein RimM	8.8e-56
129	KOfam	K06960	uncharacterized protein	6.5e-27
130	KOfam	K02959	small subunit ribosomal protein S16	5.4e-46
131	KOfam	K03106	signal recognition particle subunit SRP54 [EC:3.6.5.4]	3.9e-200
132	KOfam	K09787	uncharacterized protein	4.5e-41
133	KOfam	K03110	fused signal recognition particle receptor	5e-147
134	KOfam	K03529	chromosome segregation protein	0
135	KOfam	K03685	ribonuclease III [EC:3.1.26.3]	5.5e-75
136	KOfam	K02078	acyl carrier protein	1.6e-27
137	KOfam	K03621	phosphate acyltransferase [EC:2.3.1.274]	7.1e-132
138	KOfam	K03655	ATP-dependent DNA helicase RecG [EC:5.6.2.4]	6e-226
139	KOfam	K07030	fatty acid kinase [EC:2.7.2.18]	1.6e-173
141	KOfam	K02902	large subunit ribosomal protein L28	2.5e-14
142	KOfam	K00949	thiamine pyrophosphokinase [EC:2.7.6.2]	2.9e-29
143	KOfam	K01783	ribulose-phosphate 3-epimerase [EC:5.1.3.1]	3.4e-93
144	KOfam	K06949	ribosome biogenesis GTPase / thiamine phosphate phosphatase [EC:3.6.1.- 3.1.3.100]	1e-91
145	KOfam	K12132	eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]	1.1e-110
146	KOfam	K20074	PPM family protein phosphatase [EC:3.1.3.16]	1.1e-92
147	KOfam	K03500	16S rRNA (cytosine967-C5)-methyltransferase [EC:2.1.1.176]	1.9e-134
148	KOfam	K00604	methionyl-tRNA formyltransferase [EC:2.1.2.9]	8e-105
149	KOfam	K04066	primosomal protein N' (replication factor Y) (superfamily II helicase) [EC:5.6.2.4]	2.1e-262
150	KOfam	K13038	phosphopantothenoylcysteine decarboxylase / phosphopantothenate---cysteine ligase [EC:4.1.1.36 6.3.2.5]	6.3e-164
151	KOfam	K03060	DNA-directed RNA polymerase subunit omega [EC:2.7.7.6]	3.8e-21
152	KOfam	K00942	guanylate kinase [EC:2.7.4.8]	6.4e-74
154	KOfam	K05846	osmoprotectant transport system permease protein	2.4e-74
155	KOfam	K05845	osmoprotectant transport system substrate-binding protein	6.9e-86
156	KOfam	K05846	osmoprotectant transport system permease protein	7.4e-90
157	KOfam	K05847	osmoprotectant transport system ATP-binding protein [EC:7.6.2.9]	2e-136
158	KOfam	K03631	DNA repair protein RecN (Recombination protein N)	1.3e-213
159	KOfam	K03402	transcriptional regulator of arginine metabolism	2.6e-45
160	KOfam	K06442	23S rRNA (cytidine1920-2'-O)/16S rRNA (cytidine1409-2'-O)-methyltransferase [EC:2.1.1.226 2.1.1.227]	3.1e-110
162	KOfam	K03602	exodeoxyribonuclease VII small subunit [EC:3.1.11.6]	2.2e-25
163	KOfam	K03601	exodeoxyribonuclease VII large subunit [EC:3.1.11.6]	2.7e-165
164	KOfam	K01491	methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]	5.3e-129
165	KOfam	K03625	transcription antitermination protein NusB	1.1e-47
